block,district,10%_conversion_pv_size,100%_conversion_pv_size,30%_conversion_pv_size,10%_conversion_annual_pv_energy,100%_conversion_annual_pv_energy,30%_conversion_annual_pv_energy,10%_conversion_avg_vehicles_served_daily,100%_conversion_avg_vehicles_served_daily,30%_conversion_avg_vehicles_served_daily,10%_conversion_tot_vehicles_served_yearly,100%_conversion_tot_vehicles_served_yearly,30%_conversion_tot_vehicles_served_yearly
Bankura-I,Bankura,12,69,23,18193.59831,104613.1903,34871.06342,2,16,5,930,6097,1921
Bankura-Ii,Bankura,12,65,23,18193.59831,98548.6575,34871.06342,2,15,5,930,5736,1921
Barjora,Bankura,12,61,23,18193.59831,92484.12473,34871.06342,2,14,5,930,5372,1921
Chhatna,Bankura,12,58,23,18193.59831,87935.72516,34871.06342,2,13,5,930,5090,1921
Gangajal Ghati,Bankura,12,58,23,18193.59831,87935.72516,34871.06342,2,13,5,930,5090,1921
Hirbandh,Bankura,8,31,12,12129.06554,47000.12896,18193.59831,1,7,2,570,2648,930
Indpur,Bankura,12,46,20,18193.59831,69742.12685,30322.66385,2,10,4,930,4013,1648
Indus,Bankura,8,42,16,12129.06554,63677.59408,24258.13108,1,9,3,570,3642,1284
Jaypur,Bankura,12,54,20,18193.59831,81871.19239,30322.66385,2,12,4,930,4726,1648
Khatra-I,Bankura,8,27,12,12129.06554,40935.59619,18193.59831,1,6,2,570,2274,930
Kotulpur,Bankura,12,54,20,18193.59831,81871.19239,30322.66385,2,12,4,930,4726,1648
Mejhia,Bankura,8,27,12,12129.06554,40935.59619,18193.59831,1,6,2,570,2274,930
Onda,Bankura,16,84,31,24258.13108,127355.1882,47000.12896,3,20,7,1284,7459,2648
Patrasayer,Bankura,12,58,23,18193.59831,87935.72516,34871.06342,2,13,5,930,5090,1921
Raipur-I,Bankura,8,42,16,12129.06554,63677.59408,24258.13108,1,9,3,570,3642,1284
Ranibundh,Bankura,8,31,12,12129.06554,47000.12896,18193.59831,1,7,2,570,2648,930
Saltora,Bankura,12,46,20,18193.59831,69742.12685,30322.66385,2,10,4,930,4013,1648
Sarenga,Bankura,8,31,12,12129.06554,47000.12896,18193.59831,1,7,2,570,2648,930
Simlapal,Bankura,8,42,16,12129.06554,63677.59408,24258.13108,1,9,3,570,3642,1284
Sonamukhi,Bankura,12,50,20,18193.59831,75806.65962,30322.66385,2,11,4,930,4367,1648
Taldangra,Bankura,12,46,20,18193.59831,69742.12685,30322.66385,2,10,4,930,4013,1648
Vishnupur,Bankura,12,50,20,18193.59831,75806.65962,30322.66385,2,11,4,930,4367,1648
