block,district,10%_conversion_pv_size,100%_conversion_pv_size,30%_conversion_pv_size,10%_conversion_annual_pv_energy,100%_conversion_annual_pv_energy,30%_conversion_annual_pv_energy,10%_conversion_avg_vehicles_served_daily,100%_conversion_avg_vehicles_served_daily,30%_conversion_avg_vehicles_served_daily,10%_conversion_tot_vehicles_served_yearly,100%_conversion_tot_vehicles_served_yearly,30%_conversion_tot_vehicles_served_yearly
Ausgram-I,Barddhaman,8,39,16,12129.06554,59129.1945,24258.13108,1,9,3,570,3370,1284
Ausgram-Ii,Barddhaman,16,81,31,24258.13108,122806.7886,47000.12896,3,19,7,1284,7181,2648
Bhatar,Barddhaman,39,199,77,59129.1945,301710.5053,116742.2558,9,49,18,3370,17897,6823
Burdwan-I,Barddhaman,31,157,61,47000.12896,238032.9112,92484.12473,7,38,14,2648,14086,5372
Burdwan-Ii,Barddhaman,23,115,46,34871.06342,174355.3171,69742.12685,5,28,10,1921,10276,4013
Galsi -I,Barddhaman,35,176,65,53064.66173,266839.4419,98548.6575,8,43,15,3006,15813,5736
Galsi-Ii,Barddhaman,23,111,42,34871.06342,168290.7843,63677.59408,5,27,9,1921,9905,3642
Jamal Pur,Barddhaman,31,168,61,47000.12896,254710.3763,92484.12473,7,41,14,2648,15085,5372
Kalna Ii,Barddhaman,31,168,61,47000.12896,254710.3763,92484.12473,7,41,14,2648,15085,5372
Kalna-I,Barddhaman,20,96,39,30322.66385,145548.7865,59129.1945,4,23,9,1648,8548,3370
Katwa-I,Barddhaman,20,103,39,30322.66385,156161.7188,59129.1945,4,25,9,1648,9177,3370
Katwa-Ii,Barddhaman,20,96,39,30322.66385,145548.7865,59129.1945,4,23,9,1648,8548,3370
Ketugram-Ii,Barddhaman,20,96,39,30322.66385,145548.7865,59129.1945,4,23,9,1648,8548,3370
Ketugram_I,Barddhaman,27,130,50,40935.59619,197097.315,75806.65962,6,31,11,2274,11634,4367
Khandaghosh,Barddhaman,20,103,39,30322.66385,156161.7188,59129.1945,4,25,9,1648,9177,3370
Mangolkote,Barddhaman,35,183,69,53064.66173,277452.3742,104613.1903,8,45,16,3006,16457,6097
Manteswar,Barddhaman,35,187,69,53064.66173,283516.907,104613.1903,8,46,16,3006,16810,6097
Memari-1,Barddhaman,20,96,39,30322.66385,145548.7865,59129.1945,4,23,9,1648,8548,3370
Memari-Ii,Barddhaman,31,168,61,47000.12896,254710.3763,92484.12473,7,41,14,2648,15085,5372
Purbasthali-I,Barddhaman,27,138,54,40935.59619,209226.3805,81871.19239,6,33,12,2274,12356,4726
Purbasthali-Ii,Barddhaman,31,153,58,47000.12896,231968.3784,87935.72516,7,37,13,2648,13729,5090
Raina-I,Barddhaman,23,119,46,34871.06342,180419.8499,69742.12685,5,29,10,1921,10642,4013
Raina-Ii,Barddhaman,20,103,39,30322.66385,156161.7188,59129.1945,4,25,9,1648,9177,3370
