block,district,10%_conversion_pv_size,100%_conversion_pv_size,30%_conversion_pv_size,10%_conversion_annual_pv_energy,100%_conversion_annual_pv_energy,30%_conversion_annual_pv_energy,10%_conversion_avg_vehicles_served_daily,100%_conversion_avg_vehicles_served_daily,30%_conversion_avg_vehicles_served_daily,10%_conversion_tot_vehicles_served_yearly,100%_conversion_tot_vehicles_served_yearly,30%_conversion_tot_vehicles_served_yearly
Bolpur-Sriniketan,Birbhum,54,315,111,82550.04401,481541.9234,169686.2016,13,78,27,4779,28682,9993
Dubrajpur,Birbhum,46,270,95,70320.40786,412750.22,145226.9293,11,67,23,4052,24565,8528
Illambazar,Birbhum,38,213,76,58090.77171,325614.0625,116181.5434,9,52,18,3312,19339,6792
Khoyrasol,Birbhum,35,194,73,53504.65815,296568.6766,111595.4299,8,48,17,3028,17598,6509
Labpur,Birbhum,54,319,114,82550.04401,487656.7414,174272.3151,13,79,28,4779,29043,10268
Mayureswar-I,Birbhum,46,258,92,70320.40786,394405.7658,140640.8157,11,64,22,4052,23453,8265
Mayureswar-Ii,Birbhum,38,221,80,58090.77171,337843.6986,122296.3615,9,54,19,3312,20061,7157
Mohammad Bazar,Birbhum,46,270,95,70320.40786,412750.22,145226.9293,11,67,23,4052,24565,8528
Murarai-I,Birbhum,54,315,114,82550.04401,481541.9234,174272.3151,13,78,28,4779,28682,10268
Murarai-Ii,Birbhum,65,372,133,99365.79371,568678.0809,203317.701,15,92,32,5786,33895,12010
Nalhati-I,Birbhum,50,285,103,76435.22593,435680.7878,157456.5654,12,71,25,4405,25935,9267
Nalhati-Ii,Birbhum,42,239,88,64205.58978,365360.38,134525.9976,10,59,21,3674,21723,7893
Nanoor,Birbhum,57,342,122,87136.15756,522816.9454,186501.9513,13,85,30,5049,31147,11007
Rajnagar,Birbhum,19,111,42,29045.38585,169686.2016,64205.58978,4,27,10,1565,9993,3674
Rampurhat-I,Birbhum,54,315,111,82550.04401,481541.9234,169686.2016,13,78,27,4779,28682,9993
Rampurhat-Ii,Birbhum,54,327,114,82550.04401,499886.3776,174272.3151,13,81,28,4779,29779,10268
Sainthia,Birbhum,57,338,122,87136.15756,516702.1273,186501.9513,13,84,30,5049,30783,11007
Suri-I,Birbhum,111,668,236,169686.2016,1021174.618,360774.2664,27,167,58,9993,61003,21456
Suri-Ii,Birbhum,31,186,65,47389.84008,284339.0405,99365.79371,7,46,15,2667,16865,5786
