block,district,10%_conversion_pv_size,100%_conversion_pv_size,30%_conversion_pv_size,10%_conversion_annual_pv_energy,100%_conversion_annual_pv_energy,30%_conversion_annual_pv_energy,10%_conversion_avg_vehicles_served_daily,100%_conversion_avg_vehicles_served_daily,30%_conversion_avg_vehicles_served_daily,10%_conversion_tot_vehicles_served_yearly,100%_conversion_tot_vehicles_served_yearly,30%_conversion_tot_vehicles_served_yearly
Darjeeling-Pulbazar,Darjiling,93,95,94,135669.3145,138586.9341,137128.1243,21,22,22,7948,8142,8051
Jore Bunglow-Sukiapokhri,Darjiling,33,35,34,48140.72449,51058.34415,49599.53432,7,7,7,2702,2898,2796
Kharibari,Darjiling,16,18,17,23340.95733,26258.57699,24799.76716,3,3,3,1224,1416,1322
Kurseong,Darjiling,20,22,21,29176.19666,32093.81632,30635.00649,4,4,4,1579,1745,1668
Matigara,Darjiling,25,27,26,36470.24582,39387.86549,37929.05566,5,6,5,2014,2198,2097
Mirik,Darjiling,12,14,13,17505.718,20423.33766,18964.52783,2,2,2,883,1064,968
Naxal Bari,Darjiling,29,31,30,42305.48515,45223.10482,43764.29499,6,6,6,2364,2539,2446
Phansidewa,Darjiling,33,35,34,48140.72449,51058.34415,49599.53432,7,7,7,2702,2898,2796
Rangli Rangliot,Darjiling,16,18,17,23340.95733,26258.57699,24799.76716,3,3,3,1224,1416,1322
Siliguri,Darjiling,16,18,17,23340.95733,26258.57699,24799.76716,3,3,3,1224,1416,1322
