block,district,10%_conversion_pv_size,100%_conversion_pv_size,30%_conversion_pv_size,10%_conversion_annual_pv_energy,100%_conversion_annual_pv_energy,30%_conversion_annual_pv_energy,10%_conversion_avg_vehicles_served_daily,100%_conversion_avg_vehicles_served_daily,30%_conversion_avg_vehicles_served_daily,10%_conversion_tot_vehicles_served_yearly,100%_conversion_tot_vehicles_served_yearly,30%_conversion_tot_vehicles_served_yearly
Amta-I,Haora,35,220,76,52960.09891,332892.0503,114999.0719,8,54,18,2991,19751,6704
Amta-Ii,Haora,16,88,31,24210.33093,133156.8201,46907.51618,3,21,7,1284,7794,2642
Bagnan-I,Haora,27,152,53,40854.93345,229998.1438,80196.72121,6,37,12,2276,13586,4620
Bagnan-Ii,Haora,19,106,38,28749.76798,160393.4424,57499.53596,4,25,8,1546,9425,3258
Bally-Jagacha,Haora,118,757,262,178551.1906,1145451.282,396444.169,28,187,64,10508,68358,23551
Domjur,Haora,31,190,69,46907.51618,287497.6798,104407.0521,7,46,16,2642,17010,6078
Jagatballavpur,Haora,35,216,76,52960.09891,326839.4676,114999.0719,8,53,18,2991,19384,6704
Panchla,Haora,23,129,46,34802.35071,195195.7931,69604.70143,5,31,10,1920,11513,4003
Sankrail-H,Haora,31,186,65,46907.51618,281445.0971,98354.46941,7,45,15,2642,16674,5708
Shyampur-I,Haora,27,144,53,40854.93345,217892.9784,80196.72121,6,35,12,2276,12875,4620
Shyampur-Ii,Haora,31,175,61,46907.51618,264800.4946,92301.88667,7,42,14,2642,15666,5358
Udaynarayanpur,Haora,23,129,46,34802.35071,195195.7931,69604.70143,5,31,10,1920,11513,4003
Uluberia-I,Haora,35,212,76,52960.09891,320786.8848,114999.0719,8,52,18,2991,19021,6704
Uluberia-Ii,Haora,16,95,35,24210.33093,143748.8399,52960.09891,3,23,8,1284,8420,2991
