block,district,10%_conversion_pv_size,100%_conversion_pv_size,30%_conversion_pv_size,10%_conversion_annual_pv_energy,100%_conversion_annual_pv_energy,30%_conversion_annual_pv_energy,10%_conversion_avg_vehicles_served_daily,100%_conversion_avg_vehicles_served_daily,30%_conversion_avg_vehicles_served_daily,10%_conversion_tot_vehicles_served_yearly,100%_conversion_tot_vehicles_served_yearly,30%_conversion_tot_vehicles_served_yearly
Arambagh,Hugli,75,678,209,111168.2084,1004960.604,309788.7406,17,164,50,6477,59932,18352
Balagarh,Hugli,63,544,170,93381.29502,806340.0713,251981.2723,14,131,40,5419,48059,14897
Chanditala-I,Hugli,40,355,111,59289.71112,526196.1862,164528.9484,9,85,26,3376,31293,9672
Chanditala-Ii,Hugli,48,402,126,71147.65335,595861.5968,186762.59,11,97,30,4081,35470,10998
Chinsurah-Magrah,Hugli,343,3194,977,508409.2729,4734283.433,1448151.194,82,775,236,30241,282941,86428
Dhaniakhali,Hugli,91,831,256,134884.0928,1231743.749,379454.1512,21,201,61,7894,73478,22529
Goghat-I,Hugli,28,237,75,41502.79779,351291.5384,111168.2084,6,57,17,2314,20823,6477
Goghat-Ii,Hugli,44,398,122,65218.68223,589932.6257,180833.6189,10,96,29,3739,35108,10636
Haripal,Hugli,63,560,174,93381.29502,830055.9557,257910.2434,14,135,41,5419,49475,15251
Jangipara,Hugli,56,504,154,83005.59557,747050.3601,228265.3878,13,121,36,4788,44501,13478
Khanakul-I,Hugli,67,615,189,99310.26613,911579.3085,280143.885,15,148,45,5769,54338,16581
Khanakul-Ii,Hugli,36,300,95,53360.74001,444672.8334,140813.0639,8,72,22,3023,26422,8253
Pandua,Hugli,95,839,260,140813.0639,1243601.691,385383.1223,22,203,62,8253,74187,22880
Polba-Dadpur,Hugli,83,768,237,123026.1506,1138362.454,351291.5384,19,186,57,7187,67906,20823
Pursurah,Hugli,36,288,91,53360.74001,426885.9201,134884.0928,8,69,21,3023,25360,7894
Singur,Hugli,67,611,189,99310.26613,905650.3374,280143.885,15,147,45,5769,53992,16581
Sirampur-Uttarpara,Hugli,83,752,233,123026.1506,1114646.569,345362.5673,19,182,56,7187,66480,20486
Tarakeswar,Hugli,59,524,162,87452.3239,776695.2157,240123.33,13,126,38,5060,46276,14193
