block,district,10%_conversion_pv_size,100%_conversion_pv_size,30%_conversion_pv_size,10%_conversion_annual_pv_energy,100%_conversion_annual_pv_energy,30%_conversion_annual_pv_energy,10%_conversion_avg_vehicles_served_daily,100%_conversion_avg_vehicles_served_daily,30%_conversion_avg_vehicles_served_daily,10%_conversion_tot_vehicles_served_yearly,100%_conversion_tot_vehicles_served_yearly,30%_conversion_tot_vehicles_served_yearly
Cooch Behar Ii,Koch Bihar,270,1028,437,393119.8735,1496767.518,636271.7952,64,245,103,23385,89508,37947
Cooch Behar-I,Koch Bihar,384,1461,625,559103.82,2127215.315,909999.7071,91,348,148,33326,127265,54351
Dinhata-I,Koch Bihar,221,833,355,321775.8964,1212847.61,516879.8336,52,198,84,19095,72497,30791
Dinhata-Ii,Koch Bihar,184,698,298,267903.9138,1016287.673,433887.8603,43,166,70,15876,60711,25818
Haldibari,Koch Bihar,111,421,180,161615.948,612975.8027,262079.9156,26,100,42,9518,36551,15532
Matha Bhanga-Ii,Koch Bihar,225,853,364,327599.8946,1241967.6,529983.8294,53,203,86,19455,74243,31584
Mathabhanga-I,Koch Bihar,245,935,400,356719.8852,1361359.562,582399.8125,58,222,95,21199,81375,34726
Mekliganj,Koch Bihar,131,490,209,190735.9386,713439.7704,304303.9021,30,116,49,11258,42568,18051
Sitai,Koch Bihar,111,421,180,161615.948,612975.8027,262079.9156,26,100,42,9518,36551,15532
Sitalkuchi,Koch Bihar,204,771,331,297023.9044,1122575.639,481935.8449,48,183,78,17614,67082,28707
Tufanganj-I,Koch Bihar,204,776,331,297023.9044,1129855.636,481935.8449,48,185,78,17614,67528,28707
Tufanganj-Ii,Koch Bihar,156,584,249,227135.9269,850303.7263,362543.8833,36,139,59,13436,50775,21550
