block,district,10%_conversion_pv_size,100%_conversion_pv_size,30%_conversion_pv_size,10%_conversion_annual_pv_energy,100%_conversion_annual_pv_energy,30%_conversion_annual_pv_energy,10%_conversion_avg_vehicles_served_daily,100%_conversion_avg_vehicles_served_daily,30%_conversion_avg_vehicles_served_daily,10%_conversion_tot_vehicles_served_yearly,100%_conversion_tot_vehicles_served_yearly,30%_conversion_tot_vehicles_served_yearly
Bamongola,Maldah,53,229,91,80839.61262,349288.1375,138800.0896,12,56,22,4673,20774,8148
Chanchal-I,Maldah,91,406,162,138800.0896,619261.9382,247094.665,22,101,40,8148,36966,14635
Chanchal-Ii,Maldah,91,413,162,138800.0896,629938.8681,247094.665,22,103,40,8148,37604,14635
English Bazar,Maldah,233,1058,417,355389.2404,1613741.701,636039.971,57,264,104,21140,96586,37973
Gazole,Maldah,147,653,259,224215.5293,996005.0385,395046.4088,36,163,64,13290,59549,23515
Habibpur,Maldah,91,398,158,138800.0896,607059.7325,240993.5621,22,99,39,8148,36220,14279
Harishchandrapur-I,Maldah,91,394,158,138800.0896,600958.6296,240993.5621,22,98,39,8148,35861,14279
Harishchandrapur-Ii,Maldah,94,421,169,143375.9167,642141.0738,257771.595,23,104,41,8427,38324,15283
Kaliachak-I,Maldah,60,271,109,91516.54259,413349.7173,166255.0524,14,67,26,5313,24611,9795
Kaliachak-Ii,Maldah,75,331,132,114395.6782,504866.2599,201336.3937,18,82,32,6690,30103,11898
Kaliachak-Iii,Maldah,143,638,252,218114.4265,973125.9028,384369.4789,35,159,62,12899,58183,22879
Manikchak,Maldah,46,192,79,70162.68265,292852.9363,120496.7811,11,47,19,4034,17384,7044
Old Malda,Maldah,128,567,226,195235.2908,864831.3274,344712.3104,31,141,56,11549,51683,20506
Ratua-I,Maldah,105,466,184,160153.9495,710778.4808,280650.7306,25,116,45,9435,42449,16658
Ratua-Ii,Maldah,91,402,158,138800.0896,613160.8353,240993.5621,22,100,39,8148,36595,14279
