block,district,10%_conversion_pv_size,100%_conversion_pv_size,30%_conversion_pv_size,10%_conversion_annual_pv_energy,100%_conversion_annual_pv_energy,30%_conversion_annual_pv_energy,10%_conversion_avg_vehicles_served_daily,100%_conversion_avg_vehicles_served_daily,30%_conversion_avg_vehicles_served_daily,10%_conversion_tot_vehicles_served_yearly,100%_conversion_tot_vehicles_served_yearly,30%_conversion_tot_vehicles_served_yearly
Beldanga-I,Murshidabad,144,389,199,216197.7818,584034.2855,298773.3234,34,95,48,12767,34780,17712
Beldanga-Ii,Murshidabad,133,358,183,199682.6734,537491.7075,274751.3477,32,87,44,11777,31995,16278
Berhampore,Murshidabad,409,1120,568,614061.7552,1681538.303,852780.1392,100,275,139,36586,100456,50873
Bhagabangola-Ii,Murshidabad,47,125,67,70564.55377,187671.6856,100592.0235,11,30,16,4049,11062,5857
Bhagawangola-I,Murshidabad,47,125,67,70564.55377,187671.6856,100592.0235,11,30,16,4049,11062,5857
Bharatpur-I,Murshidabad,63,168,86,94586.52953,252230.7454,129118.1197,15,40,20,5494,14935,7559
Bharatpur-Ii,Murshidabad,82,222,113,123112.6257,333304.9136,169655.2038,19,54,27,7196,19774,9980
Burwan,Murshidabad,105,284,144,157644.2159,426390.0696,216197.7818,25,69,34,9262,25350,12767
Domkal,Murshidabad,148,405,207,222203.2757,608056.2612,310784.3113,35,99,50,13125,36212,18430
Farakka,Murshidabad,113,304,156,169655.2038,456417.5393,234214.2636,27,74,37,9980,27143,13844
Hariharpara,Murshidabad,125,339,172,187671.6856,508965.6113,258236.2393,30,82,41,11062,30288,15286
Jalangi,Murshidabad,78,207,105,117107.1318,310784.3113,157644.2159,18,50,25,6843,18430,9262
Kandi,Murshidabad,98,257,133,147134.6015,385852.9855,199682.6734,23,62,32,8637,22928,11777
Khargram,Murshidabad,117,312,160,175660.6977,468428.5272,240219.7575,28,76,38,10337,27861,14196
Lalgola,Murshidabad,113,304,156,169655.2038,456417.5393,234214.2636,27,74,37,9980,27143,13844
Murshidabad-Jiagunj,Murshidabad,117,312,160,175660.6977,468428.5272,240219.7575,28,76,38,10337,27861,14196
Nabagram,Murshidabad,109,300,152,163649.7098,450412.0454,228208.7697,26,73,36,9624,26784,13487
Nawda,Murshidabad,109,292,148,163649.7098,438401.0575,222203.2757,26,71,35,9624,26066,13125
Raghunathganj-I,Murshidabad,90,245,125,135123.6136,367836.5037,187671.6856,21,59,30,7921,21839,11062
Raghunathganj-Ii,Murshidabad,82,218,113,123112.6257,327299.4196,169655.2038,19,53,27,7196,19413,9980
Raninagar-I,Murshidabad,67,172,90,100592.0235,258236.2393,135123.6136,16,41,21,5857,15286,7921
Raninagar-Ii,Murshidabad,55,148,74,82575.54165,222203.2757,111101.6379,13,35,17,4778,13125,6477
Sagardighi,Murshidabad,129,343,175,193677.1795,514971.1052,262740.3598,31,83,42,11423,30641,15556
Shamsherganj,Murshidabad,94,249,129,141129.1075,373841.9977,193677.1795,22,60,31,8269,22203,11423
Suti-I,Murshidabad,109,296,152,163649.7098,444406.5514,228208.7697,26,72,36,9624,26425,13487
Suti-Ii,Murshidabad,90,245,125,135123.6136,367836.5037,187671.6856,21,59,30,7921,21839,11062
