block,district,10%_conversion_pv_size,100%_conversion_pv_size,30%_conversion_pv_size,10%_conversion_annual_pv_energy,100%_conversion_annual_pv_energy,30%_conversion_annual_pv_energy,10%_conversion_avg_vehicles_served_daily,100%_conversion_avg_vehicles_served_daily,30%_conversion_avg_vehicles_served_daily,10%_conversion_tot_vehicles_served_yearly,100%_conversion_tot_vehicles_served_yearly,30%_conversion_tot_vehicles_served_yearly
Chakdah,Nadia,110,758,254,166814.771,1149505.422,385190.4713,26,188,62,9817,68643,22892
Chapra,Nadia,126,853,288,191078.7377,1293572.725,436751.4005,30,211,71,11269,77263,25978
Hanskhali,Nadia,152,1057,353,230507.6836,1602938.3,535323.7652,37,262,87,13618,95799,31882
Haringhata,Nadia,84,573,194,127385.8252,868953.3073,294200.5962,20,142,47,7453,51850,17438
Kaliganj,Nadia,144,997,334,218375.7003,1511948.425,506510.3048,35,247,82,12907,90350,30164
Kalyani,Nadia,50,330,114,75824.89593,500444.3131,172880.7627,11,81,27,4369,29792,10184
Karimpur-1,Nadia,72,489,167,109187.8501,741567.4822,253255.1524,17,121,41,6365,44227,14999
Karimpur-Ii,Nadia,88,588,197,133451.8168,891700.7761,298750.09,21,145,48,7826,53210,17717
Krishnaganj,Nadia,57,379,129,86440.38136,574752.7111,195628.2315,13,93,31,5022,34233,11540
Krishnagar-I,Nadia,413,2872,959,626313.6404,4355382.022,1454321.504,102,713,238,37321,260574,86893
Krishnagar-Ii,Nadia,99,663,224,150133.2939,1005438.12,339695.5338,24,164,55,8817,60024,20166
Nabadwip,Nadia,54,360,122,81890.8876,545939.2507,185012.7461,12,89,29,4742,32507,10916
Nakashipara,Nadia,163,1118,376,247189.1607,1695444.673,570203.2174,40,277,93,14633,101328,33962
Ranaghat-I,Nadia,72,497,167,109187.8501,753699.4655,253255.1524,17,123,41,6365,44956,14999
Ranaghat-Ii,Nadia,182,1262,421,276002.6212,1913820.373,638445.6237,44,313,104,16355,114408,38043
Santipur,Nadia,99,663,224,150133.2939,1005438.12,339695.5338,24,164,55,8817,60024,20166
Tehatta-I,Nadia,61,413,141,92506.37303,626313.6404,213826.2065,14,102,34,5371,37321,12628
Tehatta-Ii,Nadia,91,603,205,138001.3106,914448.2449,310882.0733,22,149,50,8092,54566,18436
