block,district,10%_conversion_pv_size,100%_conversion_pv_size,30%_conversion_pv_size,10%_conversion_annual_pv_energy,100%_conversion_annual_pv_energy,30%_conversion_annual_pv_energy,10%_conversion_avg_vehicles_served_daily,100%_conversion_avg_vehicles_served_daily,30%_conversion_avg_vehicles_served_daily,10%_conversion_tot_vehicles_served_yearly,100%_conversion_tot_vehicles_served_yearly,30%_conversion_tot_vehicles_served_yearly
Amdanga,North Twenty Four Parganas,68,636,196,99855.83961,933945.794,287819.773,15,152,46,5804,55663,17037
Baduria,North Twenty Four Parganas,120,1107,340,176216.1876,1625594.33,499279.1981,28,265,81,10368,97000,29685
Bagda,North Twenty Four Parganas,92,844,259,135099.0771,1239387.186,380333.2715,21,202,61,7901,73928,22562
Barasat-I,North Twenty Four Parganas,116,1079,331,170342.3146,1584477.22,486062.984,27,259,79,10015,94557,28892
Barasat-Ii,North Twenty Four Parganas,36,312,96,52864.85627,458162.0876,140972.95,8,74,22,2987,27219,8263
Barrackpur-I,North Twenty Four Parganas,176,1635,500,258450.4084,2400945.555,734234.1148,41,392,119,15288,143366,43723
Barrackpur-Ii,North Twenty Four Parganas,1311,12387,3772,1925161.849,18189915.96,5539062.162,314,2978,906,114929,1087240,330957
Basirhat-I,North Twenty Four Parganas,112,1043,319,164468.4417,1531612.363,468441.3653,26,250,76,9652,91387,27835
Basirhat-Ii,North Twenty Four Parganas,80,736,228,117477.4584,1080792.617,334810.7564,18,176,54,6852,64443,19848
Bongaon,North Twenty Four Parganas,168,1559,476,246702.6626,2289341.97,698990.8773,39,374,114,14587,136693,41617
Gaighata,North Twenty Four Parganas,140,1323,404,205585.5521,1942783.468,593261.1648,33,317,96,12133,115970,35288
Habra-I,North Twenty Four Parganas,120,1091,336,176216.1876,1602098.839,493405.3252,28,261,80,10368,95596,29326
Habra-Ii,North Twenty Four Parganas,48,431,136,70486.47502,632909.807,199711.6792,11,103,32,4042,37667,11776
Haroa,North Twenty Four Parganas,68,607,188,99855.83961,891360.2154,276072.0272,15,145,44,5804,53116,16340
Hasnabad,North Twenty Four Parganas,76,692,212,111603.5855,1016180.015,311315.2647,17,165,50,6507,60570,18443
Hingalganj,North Twenty Four Parganas,92,852,259,135099.0771,1251134.932,380333.2715,21,204,61,7901,74620,22562
Minakhan,North Twenty Four Parganas,84,756,231,123351.3313,1110161.982,339216.161,19,181,55,7205,66198,20109
Rajarhat,North Twenty Four Parganas,736,6945,2114,1080792.617,10198511.85,3104341.837,176,1669,507,64443,609498,185414
Sandeshkhali-I,North Twenty Four Parganas,68,636,196,99855.83961,933945.794,287819.773,15,152,46,5804,55663,17037
Sandeshkhali-Ii,North Twenty Four Parganas,60,552,168,88108.09378,810594.4628,246702.6626,13,132,39,5104,48290,14587
Swarupnagar,North Twenty Four Parganas,100,939,288,146846.823,1378891.668,422918.8501,23,225,68,8604,82257,25116
Deganga,North Twenty Four Parganas,124,1135,348,182090.0605,1666711.441,511026.9439,29,272,83,10721,99461,30381
