block,district,10%_conversion_pv_size,100%_conversion_pv_size,30%_conversion_pv_size,10%_conversion_annual_pv_energy,100%_conversion_annual_pv_energy,30%_conversion_annual_pv_energy,10%_conversion_avg_vehicles_served_daily,100%_conversion_avg_vehicles_served_daily,30%_conversion_avg_vehicles_served_daily,10%_conversion_tot_vehicles_served_yearly,100%_conversion_tot_vehicles_served_yearly,30%_conversion_tot_vehicles_served_yearly
Chandrakona-I,Paschim Medinipur,16,95,35,24419.39527,144990.1594,53417.42716,3,23,8,1294,8511,3018
Chandrakona-Ii,Paschim Medinipur,12,69,23,18314.54646,105308.6421,35102.88071,2,16,5,933,6143,1936
Dantan-I,Paschim Medinipur,16,84,31,24419.39527,128201.8252,47312.57834,3,20,7,1294,7517,2660
Dantan-Ii,Paschim Medinipur,19,129,42,28998.03189,196881.3744,64100.9126,4,31,10,1566,11614,3671
Daspur-I,Paschim Medinipur,19,133,46,28998.03189,202986.2232,70205.76141,4,32,11,1566,11989,4038
Daspur-Ii,Paschim Medinipur,19,125,42,28998.03189,190776.5256,64100.9126,4,30,10,1566,11254,3671
Debra,Paschim Medinipur,27,190,61,41207.72953,289980.3189,93098.94448,6,47,14,2293,17196,5397
Garbeta-I,Paschim Medinipur,19,140,46,28998.03189,213669.7087,70205.76141,4,34,11,1566,12621,4038
Garbeta-Ii,Paschim Medinipur,12,80,27,18314.54646,122096.9764,41207.72953,2,19,6,933,7139,2293
Garbeta-Iii,Paschim Medinipur,16,114,38,24419.39527,173988.1913,57996.06378,3,28,9,1294,10254,3313
Ghatal,Paschim Medinipur,19,129,42,28998.03189,196881.3744,64100.9126,4,31,10,1566,11614,3671
Keshiary,Paschim Medinipur,16,91,31,24419.39527,138885.3106,47312.57834,3,22,7,1294,8141,2660
Keshpur,Paschim Medinipur,31,220,72,47312.57834,335766.685,109887.2787,7,54,17,2660,19932,6413
Kharagpur-I,Paschim Medinipur,50,390,125,76310.61023,595222.7598,190776.5256,12,97,30,4394,35475,11254
Kharagpur-Ii,Paschim Medinipur,27,212,69,41207.72953,323556.9874,105308.6421,6,52,16,2293,19187,6143
Midnapore,Paschim Medinipur,16,114,38,24419.39527,173988.1913,57996.06378,3,28,9,1294,10254,3313
Mohanpur,Paschim Medinipur,12,76,27,18314.54646,115992.1276,41207.72953,2,18,6,933,6780,2293
Narayangarh,Paschim Medinipur,27,190,61,41207.72953,289980.3189,93098.94448,6,47,14,2293,17196,5397
Pingla,Paschim Medinipur,16,110,38,24419.39527,167883.3425,57996.06378,3,27,9,1294,9871,3313
Sabang,Paschim Medinipur,19,152,50,28998.03189,231984.2551,76310.61023,4,37,12,1566,13715,4394
Salbani,Paschim Medinipur,19,122,42,28998.03189,186197.889,64100.9126,4,30,10,1566,10971,3671
