block,district,10%_conversion_pv_size,100%_conversion_pv_size,30%_conversion_pv_size,10%_conversion_annual_pv_energy,100%_conversion_annual_pv_energy,30%_conversion_annual_pv_energy,10%_conversion_avg_vehicles_served_daily,100%_conversion_avg_vehicles_served_daily,30%_conversion_avg_vehicles_served_daily,10%_conversion_tot_vehicles_served_yearly,100%_conversion_tot_vehicles_served_yearly,30%_conversion_tot_vehicles_served_yearly
Bhagawanpur-I,Purba Medinipur,43,403,123,64829.92344,607592.0732,185443.7345,10,99,29,3710,36183,10934
Bhagawanpur-Ii,Purba Medinipur,27,249,77,40707.16123,375410.4869,116090.7931,6,61,18,2268,22294,6781
Chandipur,Purba Medinipur,35,318,100,52768.54234,479439.899,150767.2638,8,78,24,2985,28517,8848
Contai-I,Purba Medinipur,43,399,123,64829.92344,601561.3827,185443.7345,10,98,29,3710,35823,10934
Contai-Iii,Purba Medinipur,23,200,62,34676.47068,301534.5276,93475.70357,5,48,14,1907,17870,5417
Deshapran,Purba Medinipur,23,192,62,34676.47068,289473.1465,93475.70357,5,46,14,1907,17152,5417
Egra-I,Purba Medinipur,39,345,108,58799.23289,520147.0602,162828.6449,9,84,26,3351,30951,9579
Egra-Ii,Purba Medinipur,31,288,89,46737.85179,434209.7198,134182.8648,7,70,21,2629,25813,7856
Haldia,Purba Medinipur,35,295,92,52768.54234,444763.4283,138705.8827,8,72,22,2985,26440,8124
Khejuri-I,Purba Medinipur,31,288,89,46737.85179,434209.7198,134182.8648,7,70,21,2629,25813,7856
Khejuri-Ii,Purba Medinipur,31,276,85,46737.85179,416117.6482,128152.1742,7,67,20,2629,24728,7500
Kolaghat,Purba Medinipur,81,747,230,122121.4837,1126231.461,346764.7068,19,184,56,7135,67223,20576
Mahishadal,Purba Medinipur,35,322,100,52768.54234,485470.5895,150767.2638,8,79,24,2985,28883,8848
Moyna,Purba Medinipur,39,361,112,58799.23289,544269.8224,168859.3355,9,88,27,3351,32381,9935
Nandakumar,Purba Medinipur,54,479,150,81414.32246,722175.1937,226150.8957,12,117,36,4701,43027,13358
Nandigram-I,Purba Medinipur,39,338,104,58799.23289,509593.3517,156797.9544,9,83,25,3351,30318,9204
Nandigram-Ii,Purba Medinipur,16,112,39,24122.76221,168859.3355,58799.23289,3,27,9,1273,9935,3351
Panskura-I,Purba Medinipur,43,395,123,64829.92344,595530.6921,185443.7345,10,97,29,3710,35459,10934
Patashpur-I,Purba Medinipur,31,269,85,46737.85179,405563.9397,128152.1742,7,66,20,2629,24091,7500
Patashpur-Ii,Purba Medinipur,39,353,108,58799.23289,532208.4413,162828.6449,9,86,26,3351,31678,9579
Ramnagar-I,Purba Medinipur,43,384,119,64829.92344,578946.2931,179413.0439,10,94,28,3710,34467,10561
Ramnagar-Ii,Purba Medinipur,27,230,73,40707.16123,346764.7068,110060.1026,6,56,17,2268,20576,6414
Shahid Matangini,Purba Medinipur,58,506,158,87445.01302,762882.3549,238212.2768,13,124,38,5058,45478,14085
Sutahata,Purba Medinipur,16,131,43,24122.76221,197505.1156,64829.92344,3,31,10,1273,11645,3710
Tamluk,Purba Medinipur,73,694,211,110060.1026,1046324.811,318118.9267,17,171,51,6414,62438,18856
