block,district,10%_conversion_pv_size,100%_conversion_pv_size,30%_conversion_pv_size,10%_conversion_annual_pv_energy,100%_conversion_annual_pv_energy,30%_conversion_annual_pv_energy,10%_conversion_avg_vehicles_served_daily,100%_conversion_avg_vehicles_served_daily,30%_conversion_avg_vehicles_served_daily,10%_conversion_tot_vehicles_served_yearly,100%_conversion_tot_vehicles_served_yearly,30%_conversion_tot_vehicles_served_yearly
Arsha,Puruliya,23,111,41,36041.33689,173938.6258,64247.60054,5,28,10,1998,10267,3689
Bagmundi,Puruliya,19,103,37,29773.2783,161402.5087,57979.54195,4,26,9,1609,9510,3308
Balarampur,Puruliya,19,92,34,29773.2783,144165.3476,53278.49801,4,23,8,1609,8483,3026
Barabazar,Puruliya,23,118,45,36041.33689,184907.7284,70515.65913,5,29,11,1998,10923,4052
Bundwan,Puruliya,15,81,30,23505.21971,126928.1864,47010.43942,3,20,7,1236,7443,2649
Hura,Puruliya,23,129,48,36041.33689,202144.8895,75216.70307,5,32,11,1998,11962,4335
Jaipur,Puruliya,15,78,30,23505.21971,122227.1425,47010.43942,3,19,7,1236,7163,2649
Jhalda-I,Puruliya,23,111,41,36041.33689,173938.6258,64247.60054,5,28,10,1998,10267,3689
Jhalda-Ii,Puruliya,15,63,26,23505.21971,98721.92278,40742.38083,3,15,6,1236,5763,2284
Kashipur,Puruliya,26,140,52,40742.38083,219382.0506,81484.76166,6,35,12,2284,12981,4724
Manbazar-I,Puruliya,23,111,41,36041.33689,173938.6258,64247.60054,5,28,10,1998,10267,3689
Manbazar-Ii,Puruliya,15,81,30,23505.21971,126928.1864,47010.43942,3,20,7,1236,7443,2649
Neturia,Puruliya,19,85,34,29773.2783,133196.245,53278.49801,4,21,8,1609,7818,3026
Para,Puruliya,26,148,52,40742.38083,231918.1678,81484.76166,6,37,12,2284,13744,4724
Puncha,Puruliya,15,78,30,23505.21971,122227.1425,47010.43942,3,19,7,1236,7163,2649
Purulia-I,Puruliya,19,85,34,29773.2783,133196.245,53278.49801,4,21,8,1609,7818,3026
Purulia-Ii,Puruliya,45,258,92,70515.65913,404289.779,144165.3476,11,66,23,4052,24093,8483
Raghunath Pur-I,Puruliya,15,81,30,23505.21971,126928.1864,47010.43942,3,20,7,1236,7443,2649
Raghunathpur-Ii,Puruliya,11,59,23,17237.16112,92453.86419,36041.33689,2,14,5,867,5380,1998
Santuri,Puruliya,11,48,19,17237.16112,75216.70307,29773.2783,2,11,4,867,4335,1609
