block,district,10%_conversion_pv_size,100%_conversion_pv_size,30%_conversion_pv_size,10%_conversion_annual_pv_energy,100%_conversion_annual_pv_energy,30%_conversion_annual_pv_energy,10%_conversion_avg_vehicles_served_daily,100%_conversion_avg_vehicles_served_daily,30%_conversion_avg_vehicles_served_daily,10%_conversion_tot_vehicles_served_yearly,100%_conversion_tot_vehicles_served_yearly,30%_conversion_tot_vehicles_served_yearly
Baruipur,South Twenty Four Parganas,111,938,293,167583.2677,1416154.1,442359.4363,26,231,72,9854,84548,26297
Basanti,South Twenty Four Parganas,95,813,255,143427.121,1227434.204,384988.5879,23,200,62,8408,73256,22856
Bhangar-I,South Twenty Four Parganas,84,707,221,126819.7701,1067399.732,333656.7762,20,174,54,7410,63678,19790
Bhangar-Ii,South Twenty Four Parganas,61,524,164,92095.30926,791113.8041,247600.5036,14,129,40,5346,47159,14639
Bishnupur-I,South Twenty Four Parganas,76,654,206,114741.6968,987382.496,311010.3886,18,161,50,6698,58889,18431
Bishnupur-Ii,South Twenty Four Parganas,50,395,126,75487.95841,596354.8714,190229.6552,11,97,30,4339,35511,11212
Budge Budge-I,South Twenty Four Parganas,61,517,164,92095.30926,780545.4899,247600.5036,14,127,40,5346,46527,14639
Budge Budge-Ii,South Twenty Four Parganas,57,486,152,86056.27258,733742.9557,229483.3936,13,119,37,4983,43720,13555
Canning-I,South Twenty Four Parganas,54,460,145,81526.99508,694489.2173,218915.0794,12,113,35,4711,41377,12921
Canning-Ii,South Twenty Four Parganas,111,938,293,167583.2677,1416154.1,442359.4363,26,231,72,9854,84548,26297
Diamond Harbour-I,South Twenty Four Parganas,57,471,149,86056.27258,711096.5682,224954.1161,13,116,36,4983,42365,13294
Diamond Harbour-Ii,South Twenty Four Parganas,42,342,107,63409.88506,516337.6355,161544.231,9,84,25,3625,30715,9482
Falta,South Twenty Four Parganas,76,642,202,114741.6968,969265.3859,304971.352,18,158,49,6698,57809,18071
Gosaba,South Twenty Four Parganas,92,767,240,138897.8435,1157985.282,362342.2003,22,189,58,8141,69099,21501
Jaynagar-I,South Twenty Four Parganas,61,521,164,92095.30926,786584.5266,247600.5036,14,128,40,5346,46876,14639
Jaynagar-Ii,South Twenty Four Parganas,65,528,168,98134.34593,797152.8408,253639.5402,15,130,41,5704,47506,14995
Kak Dwip,South Twenty Four Parganas,54,464,145,81526.99508,700528.254,218915.0794,12,114,35,4711,41736,12921
Kulpi,South Twenty Four Parganas,80,669,209,120780.7334,1010028.883,315539.6661,19,165,51,7051,60242,18706
Kultali,South Twenty Four Parganas,92,786,247,138897.8435,1186670.706,372910.5145,22,194,60,8141,70826,22139
Magra Hat-I,South Twenty Four Parganas,65,559,175,98134.34593,843955.375,264207.8544,15,137,42,5704,50318,15631
Magra Hat-Ii,South Twenty Four Parganas,107,900,281,161544.231,1358783.251,424242.3262,25,222,69,9482,81110,25209
Mandirbazar,South Twenty Four Parganas,54,452,145,81526.99508,682411.144,218915.0794,12,111,35,4711,40651,12921
Mathurapur I,South Twenty Four Parganas,61,505,160,92095.30926,762428.3799,241561.4669,14,124,39,5346,45443,14268
Mathurapur-Ii,South Twenty Four Parganas,46,376,118,69448.92173,567669.4472,178151.5818,10,92,28,3990,33789,10487
Namkhana,South Twenty Four Parganas,57,494,156,86056.27258,745821.0291,235522.4302,13,121,38,4983,44447,13913
Pathar Pratima,South Twenty Four Parganas,111,942,297,167583.2677,1422193.136,448398.4729,26,232,72,9854,84903,26638
Sagar,South Twenty Four Parganas,54,437,137,81526.99508,659764.7565,206837.006,12,107,33,4711,39291,12202
Sonar Pur,South Twenty Four Parganas,145,1238,388,218915.0794,1869081.85,585786.5572,35,305,95,12921,111650,34867
Thakurpukur Mahestola,South Twenty Four Parganas,232,2013,627,350264.127,3039145.205,946618.9984,56,497,154,20785,181632,56460
