block,district,10%_conversion_pv_size,10%_conversion_avg_vehicles_served_daily,10%_conversion_tot_vehicles_served_yearly,pv_capex_usd,pv_capex_inr_lakh
Bankura-I,Bankura,12,2,930,12480,10.679135999999998
Bankura-Ii,Bankura,12,2,930,12480,10.679135999999998
Barjora,Bankura,12,2,930,12480,10.679135999999998
Chhatna,Bankura,12,2,930,12480,10.679135999999998
Gangajal Ghati,Bankura,12,2,930,12480,10.679135999999998
Hirbandh,Bankura,8,1,570,8320,7.119423999999999
Indpur,Bankura,12,2,930,12480,10.679135999999998
Indus,Bankura,8,1,570,8320,7.119423999999999
Jaypur,Bankura,12,2,930,12480,10.679135999999998
Khatra-I,Bankura,8,1,570,8320,7.119423999999999
Kotulpur,Bankura,12,2,930,12480,10.679135999999998
Mejhia,Bankura,8,1,570,8320,7.119423999999999
Onda,Bankura,16,3,1284,16640,14.238847999999997
Patrasayer,Bankura,12,2,930,12480,10.679135999999998
Raipur-I,Bankura,8,1,570,8320,7.119423999999999
Ranibundh,Bankura,8,1,570,8320,7.119423999999999
Saltora,Bankura,12,2,930,12480,10.679135999999998
Sarenga,Bankura,8,1,570,8320,7.119423999999999
Simlapal,Bankura,8,1,570,8320,7.119423999999999
Sonamukhi,Bankura,12,2,930,12480,10.679135999999998
Taldangra,Bankura,12,2,930,12480,10.679135999999998
Vishnupur,Bankura,12,2,930,12480,10.679135999999998
Cooch Behar Ii,Koch Bihar,270,64,23385,280800,240.28055999999995
Cooch Behar-I,Koch Bihar,384,91,33326,399360,341.73235199999993
Dinhata-I,Koch Bihar,221,52,19095,229840,196.67408799999998
Dinhata-Ii,Koch Bihar,184,43,15876,191360,163.746752
Haldibari,Koch Bihar,111,26,9518,115440,98.78200799999999
Matha Bhanga-Ii,Koch Bihar,225,53,19455,234000,200.2338
Mathabhanga-I,Koch Bihar,245,58,21199,254800,218.03236
Mekliganj,Koch Bihar,131,30,11258,136240,116.58056799999999
Sitai,Koch Bihar,111,26,9518,115440,98.78200799999999
Sitalkuchi,Koch Bihar,204,48,17614,212160,181.545312
Tufanganj-I,Koch Bihar,204,48,17614,212160,181.545312
Tufanganj-Ii,Koch Bihar,156,36,13436,162240,138.828768
Alipurduar-I,Alipurduar,340,78,28640,353600,302.57552
Alipurduar-Ii,Alipurduar,268,61,22550,278720,238.50070399999998
Falakata,Alipurduar,591,136,49923,614640,525.947448
Kalchini,Alipurduar,629,145,53140,654160,559.7647119999999
Kumargram,Alipurduar,302,69,25422,314080,268.75825599999996
Madarihat,Alipurduar,387,89,32639,402480,344.4021359999999
Bolpur-Sriniketan,Birbhum,54,13,4779,56160,48.05611199999999
Dubrajpur,Birbhum,46,11,4052,47840,40.936688
Illambazar,Birbhum,38,9,3312,39520,33.817264
Khoyrasol,Birbhum,35,8,3028,36400,31.147479999999995
Labpur,Birbhum,54,13,4779,56160,48.05611199999999
Mayureswar-I,Birbhum,46,11,4052,47840,40.936688
Mayureswar-Ii,Birbhum,38,9,3312,39520,33.817264
Mohammad Bazar,Birbhum,46,11,4052,47840,40.936688
Murarai-I,Birbhum,54,13,4779,56160,48.05611199999999
Murarai-Ii,Birbhum,65,15,5786,67600,57.84532
Nalhati-I,Birbhum,50,12,4405,52000,44.4964
Nalhati-Ii,Birbhum,42,10,3674,43680,37.376976
Nanoor,Birbhum,57,13,5049,59280,50.725896
Rajnagar,Birbhum,19,4,1565,19760,16.908632
Rampurhat-I,Birbhum,54,13,4779,56160,48.05611199999999
Rampurhat-Ii,Birbhum,54,13,4779,56160,48.05611199999999
Sainthia,Birbhum,57,13,5049,59280,50.725896
Suri-I,Birbhum,111,27,9993,115440,98.78200799999999
Suri-Ii,Birbhum,31,7,2667,32240,27.587767999999997
Bhagawanpur-I,Purba Medinipur,43,10,3710,44720,38.266904
Bhagawanpur-Ii,Purba Medinipur,27,6,2268,28080,24.028055999999996
Chandipur,Purba Medinipur,35,8,2985,36400,31.147479999999995
Contai-I,Purba Medinipur,43,10,3710,44720,38.266904
Contai-Iii,Purba Medinipur,23,5,1907,23920,20.468344
Deshapran,Purba Medinipur,23,5,1907,23920,20.468344
Egra-I,Purba Medinipur,39,9,3351,40560,34.707192
Egra-Ii,Purba Medinipur,31,7,2629,32240,27.587767999999997
Haldia,Purba Medinipur,35,8,2985,36400,31.147479999999995
Khejuri-I,Purba Medinipur,31,7,2629,32240,27.587767999999997
Khejuri-Ii,Purba Medinipur,31,7,2629,32240,27.587767999999997
Kolaghat,Purba Medinipur,81,19,7135,84240,72.08416799999999
Mahishadal,Purba Medinipur,35,8,2985,36400,31.147479999999995
Moyna,Purba Medinipur,39,9,3351,40560,34.707192
Nandakumar,Purba Medinipur,54,12,4701,56160,48.05611199999999
Nandigram-I,Purba Medinipur,39,9,3351,40560,34.707192
Nandigram-Ii,Purba Medinipur,16,3,1273,16640,14.238847999999997
Panskura-I,Purba Medinipur,43,10,3710,44720,38.266904
Patashpur-I,Purba Medinipur,31,7,2629,32240,27.587767999999997
Patashpur-Ii,Purba Medinipur,39,9,3351,40560,34.707192
Ramnagar-I,Purba Medinipur,43,10,3710,44720,38.266904
Ramnagar-Ii,Purba Medinipur,27,6,2268,28080,24.028055999999996
Shahid Matangini,Purba Medinipur,58,13,5058,60320,51.615823999999996
Sutahata,Purba Medinipur,16,3,1273,16640,14.238847999999997
Tamluk,Purba Medinipur,73,17,6414,75920,64.964744
Amdanga,North Twenty Four Parganas,68,15,5804,70720,60.515103999999994
Baduria,North Twenty Four Parganas,120,28,10368,124800,106.79136
Bagda,North Twenty Four Parganas,92,21,7901,95680,81.873376
Barasat-I,North Twenty Four Parganas,116,27,10015,120640,103.23164799999999
Barasat-Ii,North Twenty Four Parganas,36,8,2987,37440,32.037408
Barrackpur-I,North Twenty Four Parganas,176,41,15288,183040,156.62732799999998
Barrackpur-Ii,North Twenty Four Parganas,1311,314,114929,1363440,1166.695608
Basirhat-I,North Twenty Four Parganas,112,26,9652,116480,99.671936
Basirhat-Ii,North Twenty Four Parganas,80,18,6852,83200,71.19424
Bongaon,North Twenty Four Parganas,168,39,14587,174720,149.507904
Gaighata,North Twenty Four Parganas,140,33,12133,145600,124.58991999999998
Habra-I,North Twenty Four Parganas,120,28,10368,124800,106.79136
Habra-Ii,North Twenty Four Parganas,48,11,4042,49920,42.71654399999999
Haroa,North Twenty Four Parganas,68,15,5804,70720,60.515103999999994
Hasnabad,North Twenty Four Parganas,76,17,6507,79040,67.634528
Hingalganj,North Twenty Four Parganas,92,21,7901,95680,81.873376
Minakhan,North Twenty Four Parganas,84,19,7205,87360,74.753952
Rajarhat,North Twenty Four Parganas,736,176,64443,765440,654.987008
Sandeshkhali-I,North Twenty Four Parganas,68,15,5804,70720,60.515103999999994
Sandeshkhali-Ii,North Twenty Four Parganas,60,13,5104,62400,53.39568
Swarupnagar,North Twenty Four Parganas,100,23,8604,104000,88.9928
Deganga,North Twenty Four Parganas,124,29,10721,128960,110.35107199999999
Chandrakona-I,Paschim Medinipur,16,3,1294,16640,14.238847999999997
Chandrakona-Ii,Paschim Medinipur,12,2,933,12480,10.679135999999998
Dantan-I,Paschim Medinipur,16,3,1294,16640,14.238847999999997
Dantan-Ii,Paschim Medinipur,19,4,1566,19760,16.908632
Daspur-I,Paschim Medinipur,19,4,1566,19760,16.908632
Daspur-Ii,Paschim Medinipur,19,4,1566,19760,16.908632
Debra,Paschim Medinipur,27,6,2293,28080,24.028055999999996
Garbeta-I,Paschim Medinipur,19,4,1566,19760,16.908632
Garbeta-Ii,Paschim Medinipur,12,2,933,12480,10.679135999999998
Garbeta-Iii,Paschim Medinipur,16,3,1294,16640,14.238847999999997
Ghatal,Paschim Medinipur,19,4,1566,19760,16.908632
Keshiary,Paschim Medinipur,16,3,1294,16640,14.238847999999997
Keshpur,Paschim Medinipur,31,7,2660,32240,27.587767999999997
Kharagpur-I,Paschim Medinipur,50,12,4394,52000,44.4964
Kharagpur-Ii,Paschim Medinipur,27,6,2293,28080,24.028055999999996
Midnapore,Paschim Medinipur,16,3,1294,16640,14.238847999999997
Mohanpur,Paschim Medinipur,12,2,933,12480,10.679135999999998
Narayangarh,Paschim Medinipur,27,6,2293,28080,24.028055999999996
