date_time,global_solar_kw/m2,incident_solar_kw/m2,date,hour
2024-01-01 00:00:00,0.0,0.0,2024-01-01,0
2024-01-01 01:00:00,0.0,0.0,2024-01-01,1
2024-01-01 02:00:00,0.0,0.0,2024-01-01,2
2024-01-01 03:00:00,0.0,0.0,2024-01-01,3
2024-01-01 04:00:00,0.0,0.0,2024-01-01,4
2024-01-01 05:00:00,0.0,0.0,2024-01-01,5
2024-01-01 06:00:00,0.02375665,0.05435748,2024-01-01,6
2024-01-01 07:00:00,0.1789622,0.278751,2024-01-01,7
2024-01-01 08:00:00,0.3943286,0.5848879,2024-01-01,8
2024-01-01 09:00:00,0.3370354,0.3802143,2024-01-01,9
2024-01-01 10:00:00,0.356955,0.3833904,2024-01-01,10
2024-01-01 11:00:00,0.6277005,0.8324701,2024-01-01,11
2024-01-01 12:00:00,0.4405987,0.5130898,2024-01-01,12
2024-01-01 13:00:00,0.4011596,0.4841266,2024-01-01,13
2024-01-01 14:00:00,0.2364852,0.2583947,2024-01-01,14
2024-01-01 15:00:00,0.1423502,0.1644261,2024-01-01,15
2024-01-01 16:00:00,0.03996561,0.09093384,2024-01-01,16
2024-01-01 17:00:00,0.0,0.0,2024-01-01,17
2024-01-01 18:00:00,0.0,0.0,2024-01-01,18
2024-01-01 19:00:00,0.0,0.0,2024-01-01,19
2024-01-01 20:00:00,0.0,0.0,2024-01-01,20
2024-01-01 21:00:00,0.0,0.0,2024-01-01,21
2024-01-01 22:00:00,0.0,0.0,2024-01-01,22
2024-01-01 23:00:00,0.0,0.0,2024-01-01,23
2024-01-02 00:00:00,0.0,0.0,2024-01-02,0
2024-01-02 01:00:00,0.0,0.0,2024-01-02,1
2024-01-02 02:00:00,0.0,0.0,2024-01-02,2
2024-01-02 03:00:00,0.0,0.0,2024-01-02,3
2024-01-02 04:00:00,0.0,0.0,2024-01-02,4
2024-01-02 05:00:00,0.0,0.0,2024-01-02,5
2024-01-02 06:00:00,0.029069,0.09955219,2024-01-02,6
2024-01-02 07:00:00,0.2197795,0.3902486,2024-01-02,7
2024-01-02 08:00:00,0.4477786,0.6759661,2024-01-02,8
2024-01-02 09:00:00,0.5894498,0.8299935,2024-01-02,9
2024-01-02 10:00:00,0.579641,0.7682241,2024-01-02,10
2024-01-02 11:00:00,0.5145385,0.630331,2024-01-02,11
2024-01-02 12:00:00,0.4397367,0.5108092,2024-01-02,12
2024-01-02 13:00:00,0.5571471,0.7705766,2024-01-02,13
2024-01-02 14:00:00,0.3923576,0.5594842,2024-01-02,14
2024-01-02 15:00:00,0.2805482,0.485274,2024-01-02,15
2024-01-02 16:00:00,0.04940312,0.1485722,2024-01-02,16
2024-01-02 17:00:00,0.0,0.0,2024-01-02,17
2024-01-02 18:00:00,0.0,0.0,2024-01-02,18
2024-01-02 19:00:00,0.0,0.0,2024-01-02,19
2024-01-02 20:00:00,0.0,0.0,2024-01-02,20
2024-01-02 21:00:00,0.0,0.0,2024-01-02,21
2024-01-02 22:00:00,0.0,0.0,2024-01-02,22
2024-01-02 23:00:00,0.0,0.0,2024-01-02,23
2024-01-03 00:00:00,0.0,0.0,2024-01-03,0
2024-01-03 01:00:00,0.0,0.0,2024-01-03,1
2024-01-03 02:00:00,0.0,0.0,2024-01-03,2
2024-01-03 03:00:00,0.0,0.0,2024-01-03,3
2024-01-03 04:00:00,0.0,0.0,2024-01-03,4
2024-01-03 05:00:00,0.0,0.0,2024-01-03,5
2024-01-03 06:00:00,0.01875199,0.02957825,2024-01-03,6
2024-01-03 07:00:00,0.1714523,0.2588671,2024-01-03,7
2024-01-03 08:00:00,0.3133361,0.4163104,2024-01-03,8
2024-01-03 09:00:00,0.3475549,0.3974035,2024-01-03,9
2024-01-03 10:00:00,0.6831114,0.9326776,2024-01-03,10
2024-01-03 11:00:00,0.5359379,0.6680683,2024-01-03,11
2024-01-03 12:00:00,0.3923655,0.4328802,2024-01-03,12
2024-01-03 13:00:00,0.4514054,0.575852,2024-01-03,13
2024-01-03 14:00:00,0.3829226,0.5382507,2024-01-03,14
2024-01-03 15:00:00,0.2492472,0.4170513,2024-01-03,15
2024-01-03 16:00:00,0.05068494,0.1476798,2024-01-03,16
2024-01-03 17:00:00,0.0,0.0,2024-01-03,17
2024-01-03 18:00:00,0.0,0.0,2024-01-03,18
2024-01-03 19:00:00,0.0,0.0,2024-01-03,19
2024-01-03 20:00:00,0.0,0.0,2024-01-03,20
2024-01-03 21:00:00,0.0,0.0,2024-01-03,21
2024-01-03 22:00:00,0.0,0.0,2024-01-03,22
2024-01-03 23:00:00,0.0,0.0,2024-01-03,23
2024-01-04 00:00:00,0.0,0.0,2024-01-04,0
2024-01-04 01:00:00,0.0,0.0,2024-01-04,1
2024-01-04 02:00:00,0.0,0.0,2024-01-04,2
2024-01-04 03:00:00,0.0,0.0,2024-01-04,3
2024-01-04 04:00:00,0.0,0.0,2024-01-04,4
2024-01-04 05:00:00,0.0,0.0,2024-01-04,5
2024-01-04 06:00:00,0.02897879,0.1029381,2024-01-04,6
2024-01-04 07:00:00,0.2364212,0.4282067,2024-01-04,7
2024-01-04 08:00:00,0.442477,0.6666214,2024-01-04,8
2024-01-04 09:00:00,0.6008927,0.8452405,2024-01-04,9
2024-01-04 10:00:00,0.6746141,0.9195984,2024-01-04,10
2024-01-04 11:00:00,0.7214684,0.9748615,2024-01-04,11
2024-01-04 12:00:00,0.7282864,0.9916846,2024-01-04,12
2024-01-04 13:00:00,0.5715949,0.7912439,2024-01-04,13
2024-01-04 14:00:00,0.4319547,0.6306666,2024-01-04,14
2024-01-04 15:00:00,0.2632965,0.4455209,2024-01-04,15
2024-01-04 16:00:00,0.06912577,0.2526439,2024-01-04,16
2024-01-04 17:00:00,0.0,0.0,2024-01-04,17
2024-01-04 18:00:00,0.0,0.0,2024-01-04,18
2024-01-04 19:00:00,0.0,0.0,2024-01-04,19
2024-01-04 20:00:00,0.0,0.0,2024-01-04,20
2024-01-04 21:00:00,0.0,0.0,2024-01-04,21
2024-01-04 22:00:00,0.0,0.0,2024-01-04,22
2024-01-04 23:00:00,0.0,0.0,2024-01-04,23
2024-01-05 00:00:00,0.0,0.0,2024-01-05,0
2024-01-05 01:00:00,0.0,0.0,2024-01-05,1
2024-01-05 02:00:00,0.0,0.0,2024-01-05,2
2024-01-05 03:00:00,0.0,0.0,2024-01-05,3
2024-01-05 04:00:00,0.0,0.0,2024-01-05,4
2024-01-05 05:00:00,0.0,0.0,2024-01-05,5
2024-01-05 06:00:00,0.01294791,0.01449637,2024-01-05,6
2024-01-05 07:00:00,0.09805042,0.1028359,2024-01-05,7
2024-01-05 08:00:00,0.2593634,0.3070178,2024-01-05,8
2024-01-05 09:00:00,0.2891693,0.3067234,2024-01-05,9
2024-01-05 10:00:00,0.458747,0.5469925,2024-01-05,10
2024-01-05 11:00:00,0.6064562,0.7917228,2024-01-05,11
2024-01-05 12:00:00,0.5990573,0.7920508,2024-01-05,12
2024-01-05 13:00:00,0.4951591,0.6552306,2024-01-05,13
2024-01-05 14:00:00,0.3139971,0.3920882,2024-01-05,14
2024-01-05 15:00:00,0.1712544,0.2169669,2024-01-05,15
2024-01-05 16:00:00,0.03645877,0.05515517,2024-01-05,16
2024-01-05 17:00:00,0.0,0.0,2024-01-05,17
2024-01-05 18:00:00,0.0,0.0,2024-01-05,18
2024-01-05 19:00:00,0.0,0.0,2024-01-05,19
2024-01-05 20:00:00,0.0,0.0,2024-01-05,20
2024-01-05 21:00:00,0.0,0.0,2024-01-05,21
2024-01-05 22:00:00,0.0,0.0,2024-01-05,22
2024-01-05 23:00:00,0.0,0.0,2024-01-05,23
2024-01-06 00:00:00,0.0,0.0,2024-01-06,0
2024-01-06 01:00:00,0.0,0.0,2024-01-06,1
2024-01-06 02:00:00,0.0,0.0,2024-01-06,2
2024-01-06 03:00:00,0.0,0.0,2024-01-06,3
2024-01-06 04:00:00,0.0,0.0,2024-01-06,4
2024-01-06 05:00:00,0.0,0.0,2024-01-06,5
2024-01-06 06:00:00,0.02652137,0.08385421,2024-01-06,6
2024-01-06 07:00:00,0.1864676,0.3020235,2024-01-06,7
2024-01-06 08:00:00,0.340013,0.4725539,2024-01-06,8
2024-01-06 09:00:00,0.4256285,0.5385268,2024-01-06,9
2024-01-06 10:00:00,0.4435565,0.5197173,2024-01-06,10
2024-01-06 11:00:00,0.4736056,0.5546358,2024-01-06,11
2024-01-06 12:00:00,0.5376992,0.6813115,2024-01-06,12
2024-01-06 13:00:00,0.5249839,0.7079844,2024-01-06,13
2024-01-06 14:00:00,0.3895119,0.5446686,2024-01-06,14
2024-01-06 15:00:00,0.1724082,0.2175027,2024-01-06,15
2024-01-06 16:00:00,0.05407534,0.1413285,2024-01-06,16
2024-01-06 17:00:00,0.0,0.0,2024-01-06,17
2024-01-06 18:00:00,0.0,0.0,2024-01-06,18
2024-01-06 19:00:00,0.0,0.0,2024-01-06,19
2024-01-06 20:00:00,0.0,0.0,2024-01-06,20
2024-01-06 21:00:00,0.0,0.0,2024-01-06,21
2024-01-06 22:00:00,0.0,0.0,2024-01-06,22
2024-01-06 23:00:00,0.0,0.0,2024-01-06,23
2024-01-07 00:00:00,0.0,0.0,2024-01-07,0
2024-01-07 01:00:00,0.0,0.0,2024-01-07,1
2024-01-07 02:00:00,0.0,0.0,2024-01-07,2
2024-01-07 03:00:00,0.0,0.0,2024-01-07,3
2024-01-07 04:00:00,0.0,0.0,2024-01-07,4
2024-01-07 05:00:00,0.0,0.0,2024-01-07,5
2024-01-07 06:00:00,0.02799772,0.09861097,2024-01-07,6
2024-01-07 07:00:00,0.2193679,0.3892207,2024-01-07,7
2024-01-07 08:00:00,0.3590727,0.5121144,2024-01-07,8
2024-01-07 09:00:00,0.5203589,0.7148371,2024-01-07,9
2024-01-07 10:00:00,0.6849353,0.9313765,2024-01-07,10
2024-01-07 11:00:00,0.7175847,0.9659336,2024-01-07,11
2024-01-07 12:00:00,0.6556482,0.8820722,2024-01-07,12
2024-01-07 13:00:00,0.5341851,0.7224261,2024-01-07,13
2024-01-07 14:00:00,0.4130704,0.5886653,2024-01-07,14
2024-01-07 15:00:00,0.2296805,0.3549777,2024-01-07,15
2024-01-07 16:00:00,0.05614921,0.14501,2024-01-07,16
2024-01-07 17:00:00,0.0,0.0,2024-01-07,17
2024-01-07 18:00:00,0.0,0.0,2024-01-07,18
2024-01-07 19:00:00,0.0,0.0,2024-01-07,19
2024-01-07 20:00:00,0.0,0.0,2024-01-07,20
2024-01-07 21:00:00,0.0,0.0,2024-01-07,21
2024-01-07 22:00:00,0.0,0.0,2024-01-07,22
2024-01-07 23:00:00,0.0,0.0,2024-01-07,23
2024-01-08 00:00:00,0.0,0.0,2024-01-08,0
2024-01-08 01:00:00,0.0,0.0,2024-01-08,1
2024-01-08 02:00:00,0.0,0.0,2024-01-08,2
2024-01-08 03:00:00,0.0,0.0,2024-01-08,3
2024-01-08 04:00:00,0.0,0.0,2024-01-08,4
2024-01-08 05:00:00,0.0,0.0,2024-01-08,5
2024-01-08 06:00:00,0.01619339,0.02228133,2024-01-08,6
2024-01-08 07:00:00,0.1390506,0.1766917,2024-01-08,7
2024-01-08 08:00:00,0.3170556,0.4224607,2024-01-08,8
2024-01-08 09:00:00,0.3807122,0.4533699,2024-01-08,9
2024-01-08 10:00:00,0.4993012,0.6173027,2024-01-08,10
2024-01-08 11:00:00,0.5274826,0.6472318,2024-01-08,11
2024-01-08 12:00:00,0.5422899,0.6864769,2024-01-08,12
2024-01-08 13:00:00,0.5630798,0.7701337,2024-01-08,13
2024-01-08 14:00:00,0.4020278,0.5646531,2024-01-08,14
2024-01-08 15:00:00,0.2235288,0.3357805,2024-01-08,15
2024-01-08 16:00:00,0.06576027,0.193623,2024-01-08,16
2024-01-08 17:00:00,0.0,0.0,2024-01-08,17
2024-01-08 18:00:00,0.0,0.0,2024-01-08,18
2024-01-08 19:00:00,0.0,0.0,2024-01-08,19
2024-01-08 20:00:00,0.0,0.0,2024-01-08,20
2024-01-08 21:00:00,0.0,0.0,2024-01-08,21
2024-01-08 22:00:00,0.0,0.0,2024-01-08,22
2024-01-08 23:00:00,0.0,0.0,2024-01-08,23
2024-01-09 00:00:00,0.0,0.0,2024-01-09,0
2024-01-09 01:00:00,0.0,0.0,2024-01-09,1
2024-01-09 02:00:00,0.0,0.0,2024-01-09,2
2024-01-09 03:00:00,0.0,0.0,2024-01-09,3
2024-01-09 04:00:00,0.0,0.0,2024-01-09,4
2024-01-09 05:00:00,0.0,0.0,2024-01-09,5
2024-01-09 06:00:00,0.02545372,0.07772212,2024-01-09,6
2024-01-09 07:00:00,0.07858156,0.07886807,2024-01-09,7
2024-01-09 08:00:00,0.1730841,0.1758541,2024-01-09,8
2024-01-09 09:00:00,0.3491229,0.3978293,2024-01-09,9
2024-01-09 10:00:00,0.5434428,0.6963495,2024-01-09,10
2024-01-09 11:00:00,0.5331425,0.6560357,2024-01-09,11
2024-01-09 12:00:00,0.6069717,0.7989886,2024-01-09,12
2024-01-09 13:00:00,0.3178765,0.3397993,2024-01-09,13
2024-01-09 14:00:00,0.1615415,0.1603192,2024-01-09,14
2024-01-09 15:00:00,0.146836,0.1638567,2024-01-09,15
2024-01-09 16:00:00,0.03625434,0.04558774,2024-01-09,16
2024-01-09 17:00:00,0.0,0.0,2024-01-09,17
2024-01-09 18:00:00,0.0,0.0,2024-01-09,18
2024-01-09 19:00:00,0.0,0.0,2024-01-09,19
2024-01-09 20:00:00,0.0,0.0,2024-01-09,20
2024-01-09 21:00:00,0.0,0.0,2024-01-09,21
2024-01-09 22:00:00,0.0,0.0,2024-01-09,22
2024-01-09 23:00:00,0.0,0.0,2024-01-09,23
2024-01-10 00:00:00,0.0,0.0,2024-01-10,0
2024-01-10 01:00:00,0.0,0.0,2024-01-10,1
2024-01-10 02:00:00,0.0,0.0,2024-01-10,2
2024-01-10 03:00:00,0.0,0.0,2024-01-10,3
2024-01-10 04:00:00,0.0,0.0,2024-01-10,4
2024-01-10 05:00:00,0.0,0.0,2024-01-10,5
2024-01-10 06:00:00,0.02537683,0.07773422,2024-01-10,6
2024-01-10 07:00:00,0.2000268,0.3382326,2024-01-10,7
2024-01-10 08:00:00,0.3560857,0.5034292,2024-01-10,8
2024-01-10 09:00:00,0.5537378,0.7676281,2024-01-10,9
2024-01-10 10:00:00,0.6762152,0.9150605,2024-01-10,10
2024-01-10 11:00:00,0.8081496,1.087806,2024-01-10,11
2024-01-10 12:00:00,0.7722574,1.044607,2024-01-10,12
2024-01-10 13:00:00,0.6609876,0.9140457,2024-01-10,13
2024-01-10 14:00:00,0.509682,0.7435661,2024-01-10,14
2024-01-10 15:00:00,0.2552272,0.4065295,2024-01-10,15
2024-01-10 16:00:00,0.07038212,0.1989746,2024-01-10,16
2024-01-10 17:00:00,0.0,0.0,2024-01-10,17
2024-01-10 18:00:00,0.0,0.0,2024-01-10,18
2024-01-10 19:00:00,0.0,0.0,2024-01-10,19
2024-01-10 20:00:00,0.0,0.0,2024-01-10,20
2024-01-10 21:00:00,0.0,0.0,2024-01-10,21
2024-01-10 22:00:00,0.0,0.0,2024-01-10,22
2024-01-10 23:00:00,0.0,0.0,2024-01-10,23
2024-01-11 00:00:00,0.0,0.0,2024-01-11,0
2024-01-11 01:00:00,0.0,0.0,2024-01-11,1
2024-01-11 02:00:00,0.0,0.0,2024-01-11,2
2024-01-11 03:00:00,0.0,0.0,2024-01-11,3
2024-01-11 04:00:00,0.0,0.0,2024-01-11,4
2024-01-11 05:00:00,0.0,0.0,2024-01-11,5
2024-01-11 06:00:00,0.02516688,0.07640757,2024-01-11,6
2024-01-11 07:00:00,0.1713541,0.2582557,2024-01-11,7
2024-01-11 08:00:00,0.3102205,0.4059024,2024-01-11,8
2024-01-11 09:00:00,0.4002912,0.4868281,2024-01-11,9
2024-01-11 10:00:00,0.7127427,0.9652211,2024-01-11,10
2024-01-11 11:00:00,0.6786022,0.9018692,2024-01-11,11
2024-01-11 12:00:00,0.6167936,0.8118848,2024-01-11,12
2024-01-11 13:00:00,0.3676745,0.4142212,2024-01-11,13
2024-01-11 14:00:00,0.321512,0.3954982,2024-01-11,14
2024-01-11 15:00:00,0.1941987,0.254682,2024-01-11,15
2024-01-11 16:00:00,0.04517051,0.06657462,2024-01-11,16
2024-01-11 17:00:00,0.0,0.0,2024-01-11,17
2024-01-11 18:00:00,0.0,0.0,2024-01-11,18
2024-01-11 19:00:00,0.0,0.0,2024-01-11,19
2024-01-11 20:00:00,0.0,0.0,2024-01-11,20
2024-01-11 21:00:00,0.0,0.0,2024-01-11,21
2024-01-11 22:00:00,0.0,0.0,2024-01-11,22
2024-01-11 23:00:00,0.0,0.0,2024-01-11,23
2024-01-12 00:00:00,0.0,0.0,2024-01-12,0
2024-01-12 01:00:00,0.0,0.0,2024-01-12,1
2024-01-12 02:00:00,0.0,0.0,2024-01-12,2
2024-01-12 03:00:00,0.0,0.0,2024-01-12,3
2024-01-12 04:00:00,0.0,0.0,2024-01-12,4
