date_time,global_solar_kw/m2,incident_solar_kw/m2,date,hour
2024-01-01 00:00:00,0.0,0.0,2024-01-01,0
2024-01-01 01:00:00,0.0,0.0,2024-01-01,1
2024-01-01 02:00:00,0.0,0.0,2024-01-01,2
2024-01-01 03:00:00,0.0,0.0,2024-01-01,3
2024-01-01 04:00:00,0.0,0.0,2024-01-01,4
2024-01-01 05:00:00,0.0,0.0,2024-01-01,5
2024-01-01 06:00:00,0.02188656,0.04905749,2024-01-01,6
2024-01-01 07:00:00,0.1811152,0.2752638,2024-01-01,7
2024-01-01 08:00:00,0.408297,0.5868891,2024-01-01,8
2024-01-01 09:00:00,0.361763,0.4067956,2024-01-01,9
2024-01-01 10:00:00,0.3880531,0.4161323,2024-01-01,10
2024-01-01 11:00:00,0.6773844,0.8706599,2024-01-01,11
2024-01-01 12:00:00,0.4887051,0.5622776,2024-01-01,12
2024-01-01 13:00:00,0.4530668,0.5366444,2024-01-01,13
2024-01-01 14:00:00,0.2795247,0.3032049,2024-01-01,14
2024-01-01 15:00:00,0.1832704,0.2073769,2024-01-01,15
2024-01-01 16:00:00,0.07699718,0.1224275,2024-01-01,16
2024-01-01 17:00:00,0.000118546,0.0,2024-01-01,17
2024-01-01 18:00:00,0.0,0.0,2024-01-01,18
2024-01-01 19:00:00,0.0,0.0,2024-01-01,19
2024-01-01 20:00:00,0.0,0.0,2024-01-01,20
2024-01-01 21:00:00,0.0,0.0,2024-01-01,21
2024-01-01 22:00:00,0.0,0.0,2024-01-01,22
2024-01-01 23:00:00,0.0,0.0,2024-01-01,23
2024-01-02 00:00:00,0.0,0.0,2024-01-02,0
2024-01-02 01:00:00,0.0,0.0,2024-01-02,1
2024-01-02 02:00:00,0.0,0.0,2024-01-02,2
2024-01-02 03:00:00,0.0,0.0,2024-01-02,3
2024-01-02 04:00:00,0.0,0.0,2024-01-02,4
2024-01-02 05:00:00,0.0,0.0,2024-01-02,5
2024-01-02 06:00:00,0.02664665,0.08923124,2024-01-02,6
2024-01-02 07:00:00,0.2228414,0.3846441,2024-01-02,7
2024-01-02 08:00:00,0.4638248,0.6774626,2024-01-02,8
2024-01-02 09:00:00,0.6145056,0.8366704,2024-01-02,9
2024-01-02 10:00:00,0.6144028,0.7900082,2024-01-02,10
2024-01-02 11:00:00,0.550192,0.6571905,2024-01-02,11
2024-01-02 12:00:00,0.4806762,0.5484746,2024-01-02,12
2024-01-02 13:00:00,0.6170206,0.8174683,2024-01-02,13
2024-01-02 14:00:00,0.4527497,0.6136975,2024-01-02,14
2024-01-02 15:00:00,0.3498419,0.5482495,2024-01-02,15
2024-01-02 16:00:00,0.09486016,0.1866412,2024-01-02,16
2024-01-02 17:00:00,0.000173293,0.0,2024-01-02,17
2024-01-02 18:00:00,0.0,0.0,2024-01-02,18
2024-01-02 19:00:00,0.0,0.0,2024-01-02,19
2024-01-02 20:00:00,0.0,0.0,2024-01-02,20
2024-01-02 21:00:00,0.0,0.0,2024-01-02,21
2024-01-02 22:00:00,0.0,0.0,2024-01-02,22
2024-01-02 23:00:00,0.0,0.0,2024-01-02,23
2024-01-03 00:00:00,0.0,0.0,2024-01-03,0
2024-01-03 01:00:00,0.0,0.0,2024-01-03,1
2024-01-03 02:00:00,0.0,0.0,2024-01-03,2
2024-01-03 03:00:00,0.0,0.0,2024-01-03,3
2024-01-03 04:00:00,0.0,0.0,2024-01-03,4
2024-01-03 05:00:00,0.0,0.0,2024-01-03,5
2024-01-03 06:00:00,0.01723836,0.02687278,2024-01-03,6
2024-01-03 07:00:00,0.1748164,0.2598088,2024-01-03,7
2024-01-03 08:00:00,0.3282247,0.4290447,2024-01-03,8
2024-01-03 09:00:00,0.3707829,0.4212341,2024-01-03,9
2024-01-03 10:00:00,0.7204416,0.9505735,2024-01-03,10
2024-01-03 11:00:00,0.5784322,0.7045103,2024-01-03,11
2024-01-03 12:00:00,0.4299492,0.4689435,2024-01-03,12
2024-01-03 13:00:00,0.5052416,0.6260626,2024-01-03,13
2024-01-03 14:00:00,0.4431079,0.5941122,2024-01-03,14
2024-01-03 15:00:00,0.3130688,0.4782284,2024-01-03,15
2024-01-03 16:00:00,0.09606295,0.1857598,2024-01-03,16
2024-01-03 17:00:00,0.000184038,0.0,2024-01-03,17
2024-01-03 18:00:00,0.0,0.0,2024-01-03,18
2024-01-03 19:00:00,0.0,0.0,2024-01-03,19
2024-01-03 20:00:00,0.0,0.0,2024-01-03,20
2024-01-03 21:00:00,0.0,0.0,2024-01-03,21
2024-01-03 22:00:00,0.0,0.0,2024-01-03,22
2024-01-03 23:00:00,0.0,0.0,2024-01-03,23
2024-01-04 00:00:00,0.0,0.0,2024-01-04,0
2024-01-04 01:00:00,0.0,0.0,2024-01-04,1
2024-01-04 02:00:00,0.0,0.0,2024-01-04,2
2024-01-04 03:00:00,0.0,0.0,2024-01-04,3
2024-01-04 04:00:00,0.0,0.0,2024-01-04,4
2024-01-04 05:00:00,0.0,0.0,2024-01-04,5
2024-01-04 06:00:00,0.02640222,0.09168012,2024-01-04,6
2024-01-04 07:00:00,0.237516,0.4174163,2024-01-04,7
2024-01-04 08:00:00,0.4574704,0.6669819,2024-01-04,8
2024-01-04 09:00:00,0.6297588,0.8568392,2024-01-04,9
2024-01-04 10:00:00,0.7135791,0.9403237,2024-01-04,10
2024-01-04 11:00:00,0.7702214,1.004387,2024-01-04,11
2024-01-04 12:00:00,0.7867875,1.030795,2024-01-04,12
2024-01-04 13:00:00,0.6355192,0.8432904,2024-01-04,13
2024-01-04 14:00:00,0.4990683,0.6907269,2024-01-04,14
2024-01-04 15:00:00,0.3295482,0.5080138,2024-01-04,15
2024-01-04 16:00:00,0.1277968,0.2951202,2024-01-04,16
2024-01-04 17:00:00,0.00044984,0.0,2024-01-04,17
2024-01-04 18:00:00,0.0,0.0,2024-01-04,18
2024-01-04 19:00:00,0.0,0.0,2024-01-04,19
2024-01-04 20:00:00,0.0,0.0,2024-01-04,20
2024-01-04 21:00:00,0.0,0.0,2024-01-04,21
2024-01-04 22:00:00,0.0,0.0,2024-01-04,22
2024-01-04 23:00:00,0.0,0.0,2024-01-04,23
2024-01-05 00:00:00,0.0,0.0,2024-01-05,0
2024-01-05 01:00:00,0.0,0.0,2024-01-05,1
2024-01-05 02:00:00,0.0,0.0,2024-01-05,2
2024-01-05 03:00:00,0.0,0.0,2024-01-05,3
2024-01-05 04:00:00,0.0,0.0,2024-01-05,4
2024-01-05 05:00:00,0.0,0.0,2024-01-05,5
2024-01-05 06:00:00,0.01176697,0.01309632,2024-01-05,6
2024-01-05 07:00:00,0.09979866,0.1044488,2024-01-05,7
2024-01-05 08:00:00,0.2701788,0.31636,2024-01-05,8
2024-01-05 09:00:00,0.3104763,0.3292633,2024-01-05,9
2024-01-05 10:00:00,0.4944306,0.5824876,2024-01-05,10
2024-01-05 11:00:00,0.6536049,0.8286949,2024-01-05,11
2024-01-05 12:00:00,0.6559513,0.8396131,2024-01-05,12
2024-01-05 13:00:00,0.5545408,0.7096875,2024-01-05,13
2024-01-05 14:00:00,0.3659821,0.4449855,2024-01-05,14
2024-01-05 15:00:00,0.2147569,0.2603165,2024-01-05,15
2024-01-05 16:00:00,0.06761627,0.08449984,2024-01-05,16
2024-01-05 17:00:00,0.000643282,0.0,2024-01-05,17
2024-01-05 18:00:00,0.0,0.0,2024-01-05,18
2024-01-05 19:00:00,0.0,0.0,2024-01-05,19
2024-01-05 20:00:00,0.0,0.0,2024-01-05,20
2024-01-05 21:00:00,0.0,0.0,2024-01-05,21
2024-01-05 22:00:00,0.0,0.0,2024-01-05,22
2024-01-05 23:00:00,0.0,0.0,2024-01-05,23
2024-01-06 00:00:00,0.0,0.0,2024-01-06,0
2024-01-06 01:00:00,0.0,0.0,2024-01-06,1
2024-01-06 02:00:00,0.0,0.0,2024-01-06,2
2024-01-06 03:00:00,0.0,0.0,2024-01-06,3
2024-01-06 04:00:00,0.0,0.0,2024-01-06,4
2024-01-06 05:00:00,0.0,0.0,2024-01-06,5
2024-01-06 06:00:00,0.02402934,0.074142,2024-01-06,6
2024-01-06 07:00:00,0.1886111,0.2985845,2024-01-06,7
2024-01-06 08:00:00,0.3549896,0.4829934,2024-01-06,8
2024-01-06 09:00:00,0.4507764,0.5603283,2024-01-06,9
2024-01-06 10:00:00,0.4760566,0.5510683,2024-01-06,10
2024-01-06 11:00:00,0.512623,0.5914165,2024-01-06,11
2024-01-06 12:00:00,0.5880651,0.7253662,2024-01-06,12
2024-01-06 13:00:00,0.5850702,0.7598739,2024-01-06,13
2024-01-06 14:00:00,0.4505094,0.601903,2024-01-06,14
2024-01-06 15:00:00,0.2188312,0.2666867,2024-01-06,15
2024-01-06 16:00:00,0.09926415,0.1813706,2024-01-06,16
2024-01-06 17:00:00,0.000371523,0.0,2024-01-06,17
2024-01-06 18:00:00,0.0,0.0,2024-01-06,18
2024-01-06 19:00:00,0.0,0.0,2024-01-06,19
2024-01-06 20:00:00,0.0,0.0,2024-01-06,20
2024-01-06 21:00:00,0.0,0.0,2024-01-06,21
2024-01-06 22:00:00,0.0,0.0,2024-01-06,22
2024-01-06 23:00:00,0.0,0.0,2024-01-06,23
2024-01-07 00:00:00,0.0,0.0,2024-01-07,0
2024-01-07 01:00:00,0.0,0.0,2024-01-07,1
2024-01-07 02:00:00,0.0,0.0,2024-01-07,2
2024-01-07 03:00:00,0.0,0.0,2024-01-07,3
2024-01-07 04:00:00,0.0,0.0,2024-01-07,4
2024-01-07 05:00:00,0.0,0.0,2024-01-07,5
2024-01-07 06:00:00,0.0252922,0.08713923,2024-01-07,6
2024-01-07 07:00:00,0.2221349,0.3839152,2024-01-07,7
2024-01-07 08:00:00,0.3712285,0.514977,2024-01-07,8
2024-01-07 09:00:00,0.5428625,0.7227227,2024-01-07,9
2024-01-07 10:00:00,0.7193152,0.9454926,2024-01-07,10
2024-01-07 11:00:00,0.7619781,0.9900221,2024-01-07,11
2024-01-07 12:00:00,0.7070489,0.9160841,2024-01-07,12
2024-01-07 13:00:00,0.5880525,0.763148,2024-01-07,13
2024-01-07 14:00:00,0.4716002,0.6378925,2024-01-07,14
2024-01-07 15:00:00,0.285826,0.4089857,2024-01-07,15
2024-01-07 16:00:00,0.1023591,0.1874859,2024-01-07,16
2024-01-07 17:00:00,0.000646783,0.0,2024-01-07,17
2024-01-07 18:00:00,0.0,0.0,2024-01-07,18
2024-01-07 19:00:00,0.0,0.0,2024-01-07,19
2024-01-07 20:00:00,0.0,0.0,2024-01-07,20
2024-01-07 21:00:00,0.0,0.0,2024-01-07,21
2024-01-07 22:00:00,0.0,0.0,2024-01-07,22
2024-01-07 23:00:00,0.0,0.0,2024-01-07,23
2024-01-08 00:00:00,0.0,0.0,2024-01-08,0
2024-01-08 01:00:00,0.0,0.0,2024-01-08,1
2024-01-08 02:00:00,0.0,0.0,2024-01-08,2
2024-01-08 03:00:00,0.0,0.0,2024-01-08,3
2024-01-08 04:00:00,0.0,0.0,2024-01-08,4
2024-01-08 05:00:00,0.0,0.0,2024-01-08,5
2024-01-08 06:00:00,0.01468319,0.0200465,2024-01-08,6
2024-01-08 07:00:00,0.1413161,0.178238,2024-01-08,7
2024-01-08 08:00:00,0.3316797,0.4349426,2024-01-08,8
2024-01-08 09:00:00,0.4053194,0.4780807,2024-01-08,9
2024-01-08 10:00:00,0.5341279,0.648194,2024-01-08,10
2024-01-08 11:00:00,0.5703301,0.6858808,2024-01-08,11
2024-01-08 12:00:00,0.593573,0.7319682,2024-01-08,12
2024-01-08 13:00:00,0.6259216,0.8223442,2024-01-08,13
2024-01-08 14:00:00,0.4640474,0.6222797,2024-01-08,14
2024-01-08 15:00:00,0.2798966,0.393015,2024-01-08,15
2024-01-08 16:00:00,0.1178183,0.2389587,2024-01-08,16
2024-01-08 17:00:00,0.000724362,0.0,2024-01-08,17
2024-01-08 18:00:00,0.0,0.0,2024-01-08,18
2024-01-08 19:00:00,0.0,0.0,2024-01-08,19
2024-01-08 20:00:00,0.0,0.0,2024-01-08,20
2024-01-08 21:00:00,0.0,0.0,2024-01-08,21
2024-01-08 22:00:00,0.0,0.0,2024-01-08,22
2024-01-08 23:00:00,0.0,0.0,2024-01-08,23
2024-01-09 00:00:00,0.0,0.0,2024-01-09,0
2024-01-09 01:00:00,0.0,0.0,2024-01-09,1
2024-01-09 02:00:00,0.0,0.0,2024-01-09,2
2024-01-09 03:00:00,0.0,0.0,2024-01-09,3
2024-01-09 04:00:00,0.0,0.0,2024-01-09,4
2024-01-09 05:00:00,0.0,0.0,2024-01-09,5
2024-01-09 06:00:00,0.02285426,0.06814481,2024-01-09,6
2024-01-09 07:00:00,0.08036473,0.08064704,2024-01-09,7
2024-01-09 08:00:00,0.1847449,0.1882149,2024-01-09,8
2024-01-09 09:00:00,0.3737446,0.4242608,2024-01-09,9
2024-01-09 10:00:00,0.5808434,0.7273563,2024-01-09,10
2024-01-09 11:00:00,0.5787722,0.6989837,2024-01-09,11
2024-01-09 12:00:00,0.6637229,0.8462644,2024-01-09,12
2024-01-09 13:00:00,0.3614506,0.3851191,2024-01-09,13
2024-01-09 14:00:00,0.1944721,0.1931562,2024-01-09,14
2024-01-09 15:00:00,0.18609,0.2045933,2024-01-09,15
2024-01-09 16:00:00,0.06487627,0.07342852,2024-01-09,16
2024-01-09 17:00:00,0.000812666,0.0,2024-01-09,17
2024-01-09 18:00:00,0.0,0.0,2024-01-09,18
2024-01-09 19:00:00,0.0,0.0,2024-01-09,19
2024-01-09 20:00:00,0.0,0.0,2024-01-09,20
2024-01-09 21:00:00,0.0,0.0,2024-01-09,21
2024-01-09 22:00:00,0.0,0.0,2024-01-09,22
2024-01-09 23:00:00,0.0,0.0,2024-01-09,23
2024-01-10 00:00:00,0.0,0.0,2024-01-10,0
2024-01-10 01:00:00,0.0,0.0,2024-01-10,1
2024-01-10 02:00:00,0.0,0.0,2024-01-10,2
2024-01-10 03:00:00,0.0,0.0,2024-01-10,3
2024-01-10 04:00:00,0.0,0.0,2024-01-10,4
2024-01-10 05:00:00,0.0,0.0,2024-01-10,5
2024-01-10 06:00:00,0.022695,0.0678166,2024-01-10,6
2024-01-10 07:00:00,0.2018985,0.3336037,2024-01-10,7
2024-01-10 08:00:00,0.3703977,0.5113937,2024-01-10,8
2024-01-10 09:00:00,0.5789724,0.7776642,2024-01-10,9
2024-01-10 10:00:00,0.7128983,0.9331716,2024-01-10,10
2024-01-10 11:00:00,0.8532075,1.108491,2024-01-10,11
2024-01-10 12:00:00,0.8295575,1.080382,2024-01-10,12
2024-01-10 13:00:00,0.7243957,0.959659,2024-01-10,13
2024-01-10 14:00:00,0.5790008,0.8000976,2024-01-10,14
2024-01-10 15:00:00,0.3164391,0.4654922,2024-01-10,15
2024-01-10 16:00:00,0.124041,0.2485591,2024-01-10,16
2024-01-10 17:00:00,0.001115584,0.0,2024-01-10,17
2024-01-10 18:00:00,0.0,0.0,2024-01-10,18
2024-01-10 19:00:00,0.0,0.0,2024-01-10,19
2024-01-10 20:00:00,0.0,0.0,2024-01-10,20
2024-01-10 21:00:00,0.0,0.0,2024-01-10,21
2024-01-10 22:00:00,0.0,0.0,2024-01-10,22
2024-01-10 23:00:00,0.0,0.0,2024-01-10,23
2024-01-11 00:00:00,0.0,0.0,2024-01-11,0
2024-01-11 01:00:00,0.0,0.0,2024-01-11,1
2024-01-11 02:00:00,0.0,0.0,2024-01-11,2
2024-01-11 03:00:00,0.0,0.0,2024-01-11,3
2024-01-11 04:00:00,0.0,0.0,2024-01-11,4
2024-01-11 05:00:00,0.0,0.0,2024-01-11,5
2024-01-11 06:00:00,0.02243466,0.06646735,2024-01-11,6
2024-01-11 07:00:00,0.1725401,0.2551712,2024-01-11,7
2024-01-11 08:00:00,0.324144,0.4180984,2024-01-11,8
2024-01-11 09:00:00,0.4246669,0.5100769,2024-01-11,9
2024-01-11 10:00:00,0.7511775,0.9839026,2024-01-11,10
2024-01-11 11:00:00,0.7269128,0.9347371,2024-01-11,11
2024-01-11 12:00:00,0.6720027,0.8560978,2024-01-11,12
2024-01-11 13:00:00,0.4147802,0.4627391,2024-01-11,13
2024-01-11 14:00:00,0.3730917,0.4480409,2024-01-11,14
2024-01-11 15:00:00,0.2431471,0.3059957,2024-01-11,15
2024-01-11 16:00:00,0.0792471,0.1000083,2024-01-11,16
2024-01-11 17:00:00,0.00133701,0.0,2024-01-11,17
2024-01-11 18:00:00,0.0,0.0,2024-01-11,18
2024-01-11 19:00:00,0.0,0.0,2024-01-11,19
2024-01-11 20:00:00,0.0,0.0,2024-01-11,20
2024-01-11 21:00:00,0.0,0.0,2024-01-11,21
2024-01-11 22:00:00,0.0,0.0,2024-01-11,22
2024-01-11 23:00:00,0.0,0.0,2024-01-11,23
2024-01-12 00:00:00,0.0,0.0,2024-01-12,0
2024-01-12 01:00:00,0.0,0.0,2024-01-12,1
2024-01-12 02:00:00,0.0,0.0,2024-01-12,2
2024-01-12 03:00:00,0.0,0.0,2024-01-12,3
