date_time,global_solar_kw/m2,incident_solar_kw/m2,date,hour
2024-01-01 00:00:00,0.0,0.0,2024-01-01,0
2024-01-01 01:00:00,0.0,0.0,2024-01-01,1
2024-01-01 02:00:00,0.0,0.0,2024-01-01,2
2024-01-01 03:00:00,0.0,0.0,2024-01-01,3
2024-01-01 04:00:00,0.0,0.0,2024-01-01,4
2024-01-01 05:00:00,0.0,0.0,2024-01-01,5
2024-01-01 06:00:00,0.02231543,0.05053599,2024-01-01,6
2024-01-01 07:00:00,0.1828966,0.2823841,2024-01-01,7
2024-01-01 08:00:00,0.4095639,0.5945769,2024-01-01,8
2024-01-01 09:00:00,0.3683928,0.4210105,2024-01-01,9
2024-01-01 10:00:00,0.3964167,0.4312977,2024-01-01,10
2024-01-01 11:00:00,0.6760126,0.8780704,2024-01-01,11
2024-01-01 12:00:00,0.4911222,0.5736765,2024-01-01,12
2024-01-01 13:00:00,0.4530713,0.5458296,2024-01-01,13
2024-01-01 14:00:00,0.2804073,0.3095691,2024-01-01,14
2024-01-01 15:00:00,0.1802971,0.2090746,2024-01-01,15
2024-01-01 16:00:00,0.06900999,0.1188344,2024-01-01,16
2024-01-01 17:00:00,0.0,0.0,2024-01-01,17
2024-01-01 18:00:00,0.0,0.0,2024-01-01,18
2024-01-01 19:00:00,0.0,0.0,2024-01-01,19
2024-01-01 20:00:00,0.0,0.0,2024-01-01,20
2024-01-01 21:00:00,0.0,0.0,2024-01-01,21
2024-01-01 22:00:00,0.0,0.0,2024-01-01,22
2024-01-01 23:00:00,0.0,0.0,2024-01-01,23
2024-01-02 00:00:00,0.0,0.0,2024-01-02,0
2024-01-02 01:00:00,0.0,0.0,2024-01-02,1
2024-01-02 02:00:00,0.0,0.0,2024-01-02,2
2024-01-02 03:00:00,0.0,0.0,2024-01-02,3
2024-01-02 04:00:00,0.0,0.0,2024-01-02,4
2024-01-02 05:00:00,0.0,0.0,2024-01-02,5
2024-01-02 06:00:00,0.02705683,0.09070486,2024-01-02,6
2024-01-02 07:00:00,0.2230913,0.3882479,2024-01-02,7
2024-01-02 08:00:00,0.462112,0.6801638,2024-01-02,8
2024-01-02 09:00:00,0.6110815,0.8384626,2024-01-02,9
2024-01-02 10:00:00,0.6124651,0.7951901,2024-01-02,10
2024-01-02 11:00:00,0.5503455,0.6654226,2024-01-02,11
2024-01-02 12:00:00,0.4845507,0.5618683,2024-01-02,12
2024-01-02 13:00:00,0.6075537,0.8136367,2024-01-02,13
2024-01-02 14:00:00,0.4436996,0.6103842,2024-01-02,14
2024-01-02 15:00:00,0.3351183,0.5359995,2024-01-02,15
2024-01-02 16:00:00,0.08435111,0.1795858,2024-01-02,16
2024-01-02 17:00:00,0.0,0.0,2024-01-02,17
2024-01-02 18:00:00,0.0,0.0,2024-01-02,18
2024-01-02 19:00:00,0.0,0.0,2024-01-02,19
2024-01-02 20:00:00,0.0,0.0,2024-01-02,20
2024-01-02 21:00:00,0.0,0.0,2024-01-02,21
2024-01-02 22:00:00,0.0,0.0,2024-01-02,22
2024-01-02 23:00:00,0.0,0.0,2024-01-02,23
2024-01-03 00:00:00,0.0,0.0,2024-01-03,0
2024-01-03 01:00:00,0.0,0.0,2024-01-03,1
2024-01-03 02:00:00,0.0,0.0,2024-01-03,2
2024-01-03 03:00:00,0.0,0.0,2024-01-03,3
2024-01-03 04:00:00,0.0,0.0,2024-01-03,4
2024-01-03 05:00:00,0.0,0.0,2024-01-03,5
2024-01-03 06:00:00,0.01771122,0.02811673,2024-01-03,6
2024-01-03 07:00:00,0.1765496,0.2665102,2024-01-03,7
2024-01-03 08:00:00,0.330738,0.4384547,2024-01-03,8
2024-01-03 09:00:00,0.3752162,0.4321738,2024-01-03,9
2024-01-03 10:00:00,0.7157671,0.9519051,2024-01-03,10
2024-01-03 11:00:00,0.5785021,0.7132579,2024-01-03,11
2024-01-03 12:00:00,0.4347245,0.4810789,2024-01-03,12
2024-01-03 13:00:00,0.5017397,0.6306818,2024-01-03,13
2024-01-03 14:00:00,0.4350599,0.5924059,2024-01-03,14
2024-01-03 15:00:00,0.3011648,0.4701732,2024-01-03,15
2024-01-03 16:00:00,0.08575577,0.1793145,2024-01-03,16
2024-01-03 17:00:00,0.0,0.0,2024-01-03,17
2024-01-03 18:00:00,0.0,0.0,2024-01-03,18
2024-01-03 19:00:00,0.0,0.0,2024-01-03,19
2024-01-03 20:00:00,0.0,0.0,2024-01-03,20
2024-01-03 21:00:00,0.0,0.0,2024-01-03,21
2024-01-03 22:00:00,0.0,0.0,2024-01-03,22
2024-01-03 23:00:00,0.0,0.0,2024-01-03,23
2024-01-04 00:00:00,0.0,0.0,2024-01-04,0
2024-01-04 01:00:00,0.0,0.0,2024-01-04,1
2024-01-04 02:00:00,0.0,0.0,2024-01-04,2
2024-01-04 03:00:00,0.0,0.0,2024-01-04,3
2024-01-04 04:00:00,0.0,0.0,2024-01-04,4
2024-01-04 05:00:00,0.0,0.0,2024-01-04,5
2024-01-04 06:00:00,0.02681226,0.09303159,2024-01-04,6
2024-01-04 07:00:00,0.2378836,0.4211825,2024-01-04,7
2024-01-04 08:00:00,0.4575437,0.6722883,2024-01-04,8
2024-01-04 09:00:00,0.628029,0.8611879,2024-01-04,9
2024-01-04 10:00:00,0.7104877,0.943841,2024-01-04,10
2024-01-04 11:00:00,0.7645283,1.005186,2024-01-04,11
2024-01-04 12:00:00,0.7776092,1.027775,2024-01-04,12
2024-01-04 13:00:00,0.6274502,0.8416542,2024-01-04,13
2024-01-04 14:00:00,0.4892761,0.6865595,2024-01-04,14
2024-01-04 15:00:00,0.3173278,0.4996988,2024-01-04,15
2024-01-04 16:00:00,0.1135112,0.2822802,2024-01-04,16
2024-01-04 17:00:00,1.89981e-06,0.0,2024-01-04,17
2024-01-04 18:00:00,0.0,0.0,2024-01-04,18
2024-01-04 19:00:00,0.0,0.0,2024-01-04,19
2024-01-04 20:00:00,0.0,0.0,2024-01-04,20
2024-01-04 21:00:00,0.0,0.0,2024-01-04,21
2024-01-04 22:00:00,0.0,0.0,2024-01-04,22
2024-01-04 23:00:00,0.0,0.0,2024-01-04,23
2024-01-05 00:00:00,0.0,0.0,2024-01-05,0
2024-01-05 01:00:00,0.0,0.0,2024-01-05,1
2024-01-05 02:00:00,0.0,0.0,2024-01-05,2
2024-01-05 03:00:00,0.0,0.0,2024-01-05,3
2024-01-05 04:00:00,0.0,0.0,2024-01-05,4
2024-01-05 05:00:00,0.0,0.0,2024-01-05,5
2024-01-05 06:00:00,0.01199587,0.01336658,2024-01-05,6
2024-01-05 07:00:00,0.1037137,0.110146,2024-01-05,7
2024-01-05 08:00:00,0.2771897,0.3317065,2024-01-05,8
2024-01-05 09:00:00,0.3211467,0.3463683,2024-01-05,9
2024-01-05 10:00:00,0.5048404,0.606593,2024-01-05,10
2024-01-05 11:00:00,0.6606821,0.8496563,2024-01-05,11
2024-01-05 12:00:00,0.6599345,0.856423,2024-01-05,12
2024-01-05 13:00:00,0.5565011,0.7246035,2024-01-05,13
2024-01-05 14:00:00,0.3665805,0.456758,2024-01-05,14
2024-01-05 15:00:00,0.2120134,0.2653038,2024-01-05,15
2024-01-05 16:00:00,0.06210879,0.08263429,2024-01-05,16
2024-01-05 17:00:00,2.49914e-05,0.0,2024-01-05,17
2024-01-05 18:00:00,0.0,0.0,2024-01-05,18
2024-01-05 19:00:00,0.0,0.0,2024-01-05,19
2024-01-05 20:00:00,0.0,0.0,2024-01-05,20
2024-01-05 21:00:00,0.0,0.0,2024-01-05,21
2024-01-05 22:00:00,0.0,0.0,2024-01-05,22
2024-01-05 23:00:00,0.0,0.0,2024-01-05,23
2024-01-06 00:00:00,0.0,0.0,2024-01-06,0
2024-01-06 01:00:00,0.0,0.0,2024-01-06,1
2024-01-06 02:00:00,0.0,0.0,2024-01-06,2
2024-01-06 03:00:00,0.0,0.0,2024-01-06,3
2024-01-06 04:00:00,0.0,0.0,2024-01-06,4
2024-01-06 05:00:00,0.0,0.0,2024-01-06,5
2024-01-06 06:00:00,0.02446475,0.07558382,2024-01-06,6
2024-01-06 07:00:00,0.1901539,0.3050212,2024-01-06,7
2024-01-06 08:00:00,0.3569067,0.4916096,2024-01-06,8
2024-01-06 09:00:00,0.4541119,0.5722038,2024-01-06,9
2024-01-06 10:00:00,0.4800994,0.5633879,2024-01-06,10
2024-01-06 11:00:00,0.5158055,0.603308,2024-01-06,11
2024-01-06 12:00:00,0.5867532,0.7330893,2024-01-06,12
2024-01-06 13:00:00,0.5789743,0.7611333,2024-01-06,13
2024-01-06 14:00:00,0.4429083,0.6009608,2024-01-06,14
2024-01-06 15:00:00,0.2137129,0.2669479,2024-01-06,15
2024-01-06 16:00:00,0.08943696,0.1757387,2024-01-06,16
2024-01-06 17:00:00,3.35559e-05,0.0,2024-01-06,17
2024-01-06 18:00:00,0.0,0.0,2024-01-06,18
2024-01-06 19:00:00,0.0,0.0,2024-01-06,19
2024-01-06 20:00:00,0.0,0.0,2024-01-06,20
2024-01-06 21:00:00,0.0,0.0,2024-01-06,21
2024-01-06 22:00:00,0.0,0.0,2024-01-06,22
2024-01-06 23:00:00,0.0,0.0,2024-01-06,23
2024-01-07 00:00:00,0.0,0.0,2024-01-07,0
2024-01-07 01:00:00,0.0,0.0,2024-01-07,1
2024-01-07 02:00:00,0.0,0.0,2024-01-07,2
2024-01-07 03:00:00,0.0,0.0,2024-01-07,3
2024-01-07 04:00:00,0.0,0.0,2024-01-07,4
2024-01-07 05:00:00,0.0,0.0,2024-01-07,5
2024-01-07 06:00:00,0.02578433,0.08902857,2024-01-07,6
2024-01-07 07:00:00,0.222442,0.3873816,2024-01-07,7
2024-01-07 08:00:00,0.3716002,0.5206367,2024-01-07,8
2024-01-07 09:00:00,0.5415755,0.7274531,2024-01-07,9
2024-01-07 10:00:00,0.7140794,0.9459882,2024-01-07,10
2024-01-07 11:00:00,0.7547739,0.9887246,2024-01-07,11
2024-01-07 12:00:00,0.6991455,0.9142312,2024-01-07,12
2024-01-07 13:00:00,0.5797762,0.7607476,2024-01-07,13
2024-01-07 14:00:00,0.4614433,0.6326164,2024-01-07,14
2024-01-07 15:00:00,0.2761773,0.4041364,2024-01-07,15
2024-01-07 16:00:00,0.09205926,0.1802272,2024-01-07,16
2024-01-07 17:00:00,9.2386e-05,0.0,2024-01-07,17
2024-01-07 18:00:00,0.0,0.0,2024-01-07,18
2024-01-07 19:00:00,0.0,0.0,2024-01-07,19
2024-01-07 20:00:00,0.0,0.0,2024-01-07,20
2024-01-07 21:00:00,0.0,0.0,2024-01-07,21
2024-01-07 22:00:00,0.0,0.0,2024-01-07,22
2024-01-07 23:00:00,0.0,0.0,2024-01-07,23
2024-01-08 00:00:00,0.0,0.0,2024-01-08,0
2024-01-08 01:00:00,0.0,0.0,2024-01-08,1
2024-01-08 02:00:00,0.0,0.0,2024-01-08,2
2024-01-08 03:00:00,0.0,0.0,2024-01-08,3
2024-01-08 04:00:00,0.0,0.0,2024-01-08,4
2024-01-08 05:00:00,0.0,0.0,2024-01-08,5
2024-01-08 06:00:00,0.01518336,0.02111169,2024-01-08,6
2024-01-08 07:00:00,0.1440318,0.1852436,2024-01-08,7
2024-01-08 08:00:00,0.3344507,0.4447398,2024-01-08,8
2024-01-08 09:00:00,0.4097247,0.4902729,2024-01-08,9
2024-01-08 10:00:00,0.5374067,0.6609086,2024-01-08,10
2024-01-08 11:00:00,0.5725433,0.6978037,2024-01-08,11
2024-01-08 12:00:00,0.5925292,0.7401098,2024-01-08,12
2024-01-08 13:00:00,0.6187125,0.8219226,2024-01-08,13
2024-01-08 14:00:00,0.4562062,0.6209779,2024-01-08,14
2024-01-08 15:00:00,0.2714292,0.3903401,2024-01-08,15
2024-01-08 16:00:00,0.1062944,0.2309455,2024-01-08,16
2024-01-08 17:00:00,0.000142238,0.0,2024-01-08,17
2024-01-08 18:00:00,0.0,0.0,2024-01-08,18
2024-01-08 19:00:00,0.0,0.0,2024-01-08,19
2024-01-08 20:00:00,0.0,0.0,2024-01-08,20
2024-01-08 21:00:00,0.0,0.0,2024-01-08,21
2024-01-08 22:00:00,0.0,0.0,2024-01-08,22
2024-01-08 23:00:00,0.0,0.0,2024-01-08,23
2024-01-09 00:00:00,0.0,0.0,2024-01-09,0
2024-01-09 01:00:00,0.0,0.0,2024-01-09,1
2024-01-09 02:00:00,0.0,0.0,2024-01-09,2
2024-01-09 03:00:00,0.0,0.0,2024-01-09,3
2024-01-09 04:00:00,0.0,0.0,2024-01-09,4
2024-01-09 05:00:00,0.0,0.0,2024-01-09,5
2024-01-09 06:00:00,0.02335833,0.06994819,2024-01-09,6
2024-01-09 07:00:00,0.08431529,0.08521081,2024-01-09,7
2024-01-09 08:00:00,0.1911829,0.1966871,2024-01-09,8
2024-01-09 09:00:00,0.3808459,0.4395576,2024-01-09,9
2024-01-09 10:00:00,0.5850157,0.7423008,2024-01-09,10
2024-01-09 11:00:00,0.5833395,0.7150517,2024-01-09,11
2024-01-09 12:00:00,0.6626618,0.8548428,2024-01-09,12
2024-01-09 13:00:00,0.3668362,0.3969443,2024-01-09,13
2024-01-09 14:00:00,0.1979223,0.1976717,2024-01-09,14
2024-01-09 15:00:00,0.1839372,0.206575,2024-01-09,15
2024-01-09 16:00:00,0.06024181,0.0710626,2024-01-09,16
2024-01-09 17:00:00,0.000200088,0.0,2024-01-09,17
2024-01-09 18:00:00,0.0,0.0,2024-01-09,18
2024-01-09 19:00:00,0.0,0.0,2024-01-09,19
2024-01-09 20:00:00,0.0,0.0,2024-01-09,20
2024-01-09 21:00:00,0.0,0.0,2024-01-09,21
2024-01-09 22:00:00,0.0,0.0,2024-01-09,22
2024-01-09 23:00:00,0.0,0.0,2024-01-09,23
2024-01-10 00:00:00,0.0,0.0,2024-01-10,0
2024-01-10 01:00:00,0.0,0.0,2024-01-10,1
2024-01-10 02:00:00,0.0,0.0,2024-01-10,2
2024-01-10 03:00:00,0.0,0.0,2024-01-10,3
2024-01-10 04:00:00,0.0,0.0,2024-01-10,4
2024-01-10 05:00:00,0.0,0.0,2024-01-10,5
2024-01-10 06:00:00,0.02319425,0.06949689,2024-01-10,6
2024-01-10 07:00:00,0.203153,0.3391185,2024-01-10,7
2024-01-10 08:00:00,0.3718797,0.519075,2024-01-10,8
2024-01-10 09:00:00,0.5777634,0.7825134,2024-01-10,9
2024-01-10 10:00:00,0.7092209,0.9357677,2024-01-10,10
2024-01-10 11:00:00,0.8446049,1.106174,2024-01-10,11
2024-01-10 12:00:00,0.8190536,1.075904,2024-01-10,12
2024-01-10 13:00:00,0.7121699,0.9525768,2024-01-10,13
2024-01-10 14:00:00,0.5652952,0.7905266,2024-01-10,14
2024-01-10 15:00:00,0.3058428,0.4594857,2024-01-10,15
2024-01-10 16:00:00,0.1122674,0.2398477,2024-01-10,16
2024-01-10 17:00:00,0.000325651,0.0,2024-01-10,17
2024-01-10 18:00:00,0.0,0.0,2024-01-10,18
2024-01-10 19:00:00,0.0,0.0,2024-01-10,19
2024-01-10 20:00:00,0.0,0.0,2024-01-10,20
2024-01-10 21:00:00,0.0,0.0,2024-01-10,21
2024-01-10 22:00:00,0.0,0.0,2024-01-10,22
2024-01-10 23:00:00,0.0,0.0,2024-01-10,23
2024-01-11 00:00:00,0.0,0.0,2024-01-11,0
2024-01-11 01:00:00,0.0,0.0,2024-01-11,1
2024-01-11 02:00:00,0.0,0.0,2024-01-11,2
2024-01-11 03:00:00,0.0,0.0,2024-01-11,3
2024-01-11 04:00:00,0.0,0.0,2024-01-11,4
2024-01-11 05:00:00,0.0,0.0,2024-01-11,5
2024-01-11 06:00:00,0.02295958,0.06827774,2024-01-11,6
2024-01-11 07:00:00,0.1747869,0.2627263,2024-01-11,7
2024-01-11 08:00:00,0.327518,0.428716,2024-01-11,8
2024-01-11 09:00:00,0.4297555,0.5240195,2024-01-11,9
2024-01-11 10:00:00,0.7477198,0.9870109,2024-01-11,10
2024-01-11 11:00:00,0.7241335,0.9396464,2024-01-11,11
2024-01-11 12:00:00,0.6688653,0.8613033,2024-01-11,12
2024-01-11 13:00:00,0.4165376,0.4718242,2024-01-11,13
2024-01-11 14:00:00,0.3704738,0.4531583,2024-01-11,14
2024-01-11 15:00:00,0.2376618,0.3066241,2024-01-11,15
2024-01-11 16:00:00,0.07321751,0.09725306,2024-01-11,16
2024-01-11 17:00:00,0.000446726,0.0,2024-01-11,17
2024-01-11 18:00:00,0.0,0.0,2024-01-11,18
2024-01-11 19:00:00,0.0,0.0,2024-01-11,19
2024-01-11 20:00:00,0.0,0.0,2024-01-11,20
2024-01-11 21:00:00,0.0,0.0,2024-01-11,21
2024-01-11 22:00:00,0.0,0.0,2024-01-11,22
2024-01-11 23:00:00,0.0,0.0,2024-01-11,23
2024-01-12 00:00:00,0.0,0.0,2024-01-12,0
2024-01-12 01:00:00,0.0,0.0,2024-01-12,1
2024-01-12 02:00:00,0.0,0.0,2024-01-12,2
2024-01-12 03:00:00,0.0,0.0,2024-01-12,3
