date_time,global_solar_kw/m2,incident_solar_kw/m2,date,hour
2024-01-01 00:00:00,0.0,0.0,2024-01-01,0
2024-01-01 01:00:00,0.0,0.0,2024-01-01,1
2024-01-01 02:00:00,0.0,0.0,2024-01-01,2
2024-01-01 03:00:00,0.0,0.0,2024-01-01,3
2024-01-01 04:00:00,0.0,0.0,2024-01-01,4
2024-01-01 05:00:00,0.0,0.0,2024-01-01,5
2024-01-01 06:00:00,0.02301794,0.0525748,2024-01-01,6
2024-01-01 07:00:00,0.1820602,0.2840942,2024-01-01,7
2024-01-01 08:00:00,0.4030702,0.5923372,2024-01-01,8
2024-01-01 09:00:00,0.3590595,0.4115611,2024-01-01,9
2024-01-01 10:00:00,0.3847595,0.4195555,2024-01-01,10
2024-01-01 11:00:00,0.6568901,0.8645018,2024-01-01,11
2024-01-01 12:00:00,0.4731291,0.5566416,2024-01-01,12
2024-01-01 13:00:00,0.4325286,0.525804,2024-01-01,13
2024-01-01 14:00:00,0.2629269,0.2915044,2024-01-01,14
2024-01-01 15:00:00,0.1636104,0.1917022,2024-01-01,15
2024-01-01 16:00:00,0.05359677,0.1050365,2024-01-01,16
2024-01-01 17:00:00,0.0,0.0,2024-01-01,17
2024-01-01 18:00:00,0.0,0.0,2024-01-01,18
2024-01-01 19:00:00,0.0,0.0,2024-01-01,19
2024-01-01 20:00:00,0.0,0.0,2024-01-01,20
2024-01-01 21:00:00,0.0,0.0,2024-01-01,21
2024-01-01 22:00:00,0.0,0.0,2024-01-01,22
2024-01-01 23:00:00,0.0,0.0,2024-01-01,23
2024-01-02 00:00:00,0.0,0.0,2024-01-02,0
2024-01-02 01:00:00,0.0,0.0,2024-01-02,1
2024-01-02 02:00:00,0.0,0.0,2024-01-02,2
2024-01-02 03:00:00,0.0,0.0,2024-01-02,3
2024-01-02 04:00:00,0.0,0.0,2024-01-02,4
2024-01-02 05:00:00,0.0,0.0,2024-01-02,5
2024-01-02 06:00:00,0.02795523,0.09453915,2024-01-02,6
2024-01-02 07:00:00,0.2218288,0.3905632,2024-01-02,7
2024-01-02 08:00:00,0.4559714,0.6800898,2024-01-02,8
2024-01-02 09:00:00,0.601195,0.8360668,2024-01-02,9
2024-01-02 10:00:00,0.5995334,0.7884176,2024-01-02,10
2024-01-02 11:00:00,0.5361133,0.6550976,2024-01-02,11
2024-01-02 12:00:00,0.4694145,0.549432,2024-01-02,12
2024-01-02 13:00:00,0.5838128,0.7954345,2024-01-02,13
2024-01-02 14:00:00,0.4195282,0.5890435,2024-01-02,14
2024-01-02 15:00:00,0.3075025,0.5111073,2024-01-02,15
2024-01-02 16:00:00,0.0655053,0.1621575,2024-01-02,16
2024-01-02 17:00:00,0.0,0.0,2024-01-02,17
2024-01-02 18:00:00,0.0,0.0,2024-01-02,18
2024-01-02 19:00:00,0.0,0.0,2024-01-02,19
2024-01-02 20:00:00,0.0,0.0,2024-01-02,20
2024-01-02 21:00:00,0.0,0.0,2024-01-02,21
2024-01-02 22:00:00,0.0,0.0,2024-01-02,22
2024-01-02 23:00:00,0.0,0.0,2024-01-02,23
2024-01-03 00:00:00,0.0,0.0,2024-01-03,0
2024-01-03 01:00:00,0.0,0.0,2024-01-03,1
2024-01-03 02:00:00,0.0,0.0,2024-01-03,2
2024-01-03 03:00:00,0.0,0.0,2024-01-03,3
2024-01-03 04:00:00,0.0,0.0,2024-01-03,4
2024-01-03 05:00:00,0.0,0.0,2024-01-03,5
2024-01-03 06:00:00,0.0182917,0.02920344,2024-01-03,6
2024-01-03 07:00:00,0.1752162,0.2664149,2024-01-03,7
2024-01-03 08:00:00,0.3249109,0.4339647,2024-01-03,8
2024-01-03 09:00:00,0.3673314,0.4253035,2024-01-03,9
2024-01-03 10:00:00,0.7011335,0.9452868,2024-01-03,10
2024-01-03 11:00:00,0.5627616,0.7013775,2024-01-03,11
2024-01-03 12:00:00,0.4193563,0.4665024,2024-01-03,12
2024-01-03 13:00:00,0.4811426,0.6128591,2024-01-03,13
2024-01-03 14:00:00,0.4110821,0.5707162,2024-01-03,14
2024-01-03 15:00:00,0.2756771,0.4461709,2024-01-03,15
2024-01-03 16:00:00,0.066914,0.1620183,2024-01-03,16
2024-01-03 17:00:00,0.0,0.0,2024-01-03,17
2024-01-03 18:00:00,0.0,0.0,2024-01-03,18
2024-01-03 19:00:00,0.0,0.0,2024-01-03,19
2024-01-03 20:00:00,0.0,0.0,2024-01-03,20
2024-01-03 21:00:00,0.0,0.0,2024-01-03,21
2024-01-03 22:00:00,0.0,0.0,2024-01-03,22
2024-01-03 23:00:00,0.0,0.0,2024-01-03,23
2024-01-04 00:00:00,0.0,0.0,2024-01-04,0
2024-01-04 01:00:00,0.0,0.0,2024-01-04,1
2024-01-04 02:00:00,0.0,0.0,2024-01-04,2
2024-01-04 03:00:00,0.0,0.0,2024-01-04,3
2024-01-04 04:00:00,0.0,0.0,2024-01-04,4
2024-01-04 05:00:00,0.0,0.0,2024-01-04,5
2024-01-04 06:00:00,0.02776879,0.09720412,2024-01-04,6
2024-01-04 07:00:00,0.2373029,0.4253043,2024-01-04,7
2024-01-04 08:00:00,0.4510456,0.6714918,2024-01-04,8
2024-01-04 09:00:00,0.6172779,0.8578433,2024-01-04,9
2024-01-04 10:00:00,0.6955074,0.9366004,2024-01-04,10
2024-01-04 11:00:00,0.7455122,0.994212,2024-01-04,11
2024-01-04 12:00:00,0.754768,1.013064,2024-01-04,12
2024-01-04 13:00:00,0.6023219,0.8218567,2024-01-04,13
2024-01-04 14:00:00,0.4628196,0.6636006,2024-01-04,14
2024-01-04 15:00:00,0.2909424,0.4752909,2024-01-04,15
2024-01-04 16:00:00,0.08935443,0.261834,2024-01-04,16
2024-01-04 17:00:00,0.0,0.0,2024-01-04,17
2024-01-04 18:00:00,0.0,0.0,2024-01-04,18
2024-01-04 19:00:00,0.0,0.0,2024-01-04,19
2024-01-04 20:00:00,0.0,0.0,2024-01-04,20
2024-01-04 21:00:00,0.0,0.0,2024-01-04,21
2024-01-04 22:00:00,0.0,0.0,2024-01-04,22
2024-01-04 23:00:00,0.0,0.0,2024-01-04,23
2024-01-05 00:00:00,0.0,0.0,2024-01-05,0
2024-01-05 01:00:00,0.0,0.0,2024-01-05,1
2024-01-05 02:00:00,0.0,0.0,2024-01-05,2
2024-01-05 03:00:00,0.0,0.0,2024-01-05,3
2024-01-05 04:00:00,0.0,0.0,2024-01-05,4
2024-01-05 05:00:00,0.0,0.0,2024-01-05,5
2024-01-05 06:00:00,0.0124312,0.01388052,2024-01-05,6
2024-01-05 07:00:00,0.1031758,0.1097809,2024-01-05,7
2024-01-05 08:00:00,0.2728508,0.3282556,2024-01-05,8
2024-01-05 09:00:00,0.3128321,0.3377769,2024-01-05,9
2024-01-05 10:00:00,0.491218,0.5942272,2024-01-05,10
2024-01-05 11:00:00,0.6411917,0.8346406,2024-01-05,11
2024-01-05 12:00:00,0.6379448,0.839493,2024-01-05,12
2024-01-05 13:00:00,0.5332598,0.7046528,2024-01-05,13
2024-01-05 14:00:00,0.3458972,0.4366212,2024-01-05,14
2024-01-05 15:00:00,0.1941441,0.247673,2024-01-05,15
2024-01-05 16:00:00,0.04889313,0.07008565,2024-01-05,16
2024-01-05 17:00:00,0.0,0.0,2024-01-05,17
2024-01-05 18:00:00,0.0,0.0,2024-01-05,18
2024-01-05 19:00:00,0.0,0.0,2024-01-05,19
2024-01-05 20:00:00,0.0,0.0,2024-01-05,20
2024-01-05 21:00:00,0.0,0.0,2024-01-05,21
2024-01-05 22:00:00,0.0,0.0,2024-01-05,22
2024-01-05 23:00:00,0.0,0.0,2024-01-05,23
2024-01-06 00:00:00,0.0,0.0,2024-01-06,0
2024-01-06 01:00:00,0.0,0.0,2024-01-06,1
2024-01-06 02:00:00,0.0,0.0,2024-01-06,2
2024-01-06 03:00:00,0.0,0.0,2024-01-06,3
2024-01-06 04:00:00,0.0,0.0,2024-01-06,4
2024-01-06 05:00:00,0.0,0.0,2024-01-06,5
2024-01-06 06:00:00,0.02539541,0.07921209,2024-01-06,6
2024-01-06 07:00:00,0.1892763,0.3065791,2024-01-06,7
2024-01-06 08:00:00,0.351128,0.4882136,2024-01-06,8
2024-01-06 09:00:00,0.4442909,0.5643644,2024-01-06,9
2024-01-06 10:00:00,0.4681106,0.5529955,2024-01-06,10
2024-01-06 11:00:00,0.5007843,0.5900466,2024-01-06,11
2024-01-06 12:00:00,0.566869,0.71646,2024-01-06,12
2024-01-06 13:00:00,0.5553004,0.7414545,2024-01-06,13
2024-01-06 14:00:00,0.4186611,0.5788738,2024-01-06,14
2024-01-06 15:00:00,0.1952023,0.2479288,2024-01-06,15
2024-01-06 16:00:00,0.07057115,0.1579,2024-01-06,16
2024-01-06 17:00:00,0.0,0.0,2024-01-06,17
2024-01-06 18:00:00,0.0,0.0,2024-01-06,18
2024-01-06 19:00:00,0.0,0.0,2024-01-06,19
2024-01-06 20:00:00,0.0,0.0,2024-01-06,20
2024-01-06 21:00:00,0.0,0.0,2024-01-06,21
2024-01-06 22:00:00,0.0,0.0,2024-01-06,22
2024-01-06 23:00:00,0.0,0.0,2024-01-06,23
2024-01-07 00:00:00,0.0,0.0,2024-01-07,0
2024-01-07 01:00:00,0.0,0.0,2024-01-07,1
2024-01-07 02:00:00,0.0,0.0,2024-01-07,2
2024-01-07 03:00:00,0.0,0.0,2024-01-07,3
2024-01-07 04:00:00,0.0,0.0,2024-01-07,4
2024-01-07 05:00:00,0.0,0.0,2024-01-07,5
2024-01-07 06:00:00,0.02679715,0.09333,2024-01-07,6
2024-01-07 07:00:00,0.2210689,0.3890426,2024-01-07,7
2024-01-07 08:00:00,0.366749,0.5197199,2024-01-07,8
2024-01-07 09:00:00,0.5326506,0.7246044,2024-01-07,9
2024-01-07 10:00:00,0.7004603,0.9406149,2024-01-07,10
2024-01-07 11:00:00,0.7371821,0.9794242,2024-01-07,11
2024-01-07 12:00:00,0.6787392,0.9010149,2024-01-07,12
2024-01-07 13:00:00,0.5583375,0.7448422,2024-01-07,13
2024-01-07 14:00:00,0.4380946,0.6132545,2024-01-07,14
2024-01-07 15:00:00,0.253477,0.3823892,2024-01-07,15
2024-01-07 16:00:00,0.07279295,0.1613458,2024-01-07,16
2024-01-07 17:00:00,0.0,0.0,2024-01-07,17
2024-01-07 18:00:00,0.0,0.0,2024-01-07,18
2024-01-07 19:00:00,0.0,0.0,2024-01-07,19
2024-01-07 20:00:00,0.0,0.0,2024-01-07,20
2024-01-07 21:00:00,0.0,0.0,2024-01-07,21
2024-01-07 22:00:00,0.0,0.0,2024-01-07,22
2024-01-07 23:00:00,0.0,0.0,2024-01-07,23
2024-01-08 00:00:00,0.0,0.0,2024-01-08,0
2024-01-08 01:00:00,0.0,0.0,2024-01-08,1
2024-01-08 02:00:00,0.0,0.0,2024-01-08,2
2024-01-08 03:00:00,0.0,0.0,2024-01-08,3
2024-01-08 04:00:00,0.0,0.0,2024-01-08,4
2024-01-08 05:00:00,0.0,0.0,2024-01-08,5
2024-01-08 06:00:00,0.01577242,0.0220268,2024-01-08,6
2024-01-08 07:00:00,0.1431751,0.1848965,2024-01-08,7
2024-01-08 08:00:00,0.328893,0.4406998,2024-01-08,8
2024-01-08 09:00:00,0.400798,0.4823916,2024-01-08,9
2024-01-08 10:00:00,0.5239392,0.6498865,2024-01-08,10
2024-01-08 11:00:00,0.5558547,0.6836817,2024-01-08,11
2024-01-08 12:00:00,0.5724797,0.7232843,2024-01-08,12
2024-01-08 13:00:00,0.5939866,0.8020832,2024-01-08,13
2024-01-08 14:00:00,0.4316421,0.5988854,2024-01-08,14
2024-01-08 15:00:00,0.2488552,0.3680132,2024-01-08,15
2024-01-08 16:00:00,0.0846591,0.2106591,2024-01-08,16
2024-01-08 17:00:00,0.0,0.0,2024-01-08,17
2024-01-08 18:00:00,0.0,0.0,2024-01-08,18
2024-01-08 19:00:00,0.0,0.0,2024-01-08,19
2024-01-08 20:00:00,0.0,0.0,2024-01-08,20
2024-01-08 21:00:00,0.0,0.0,2024-01-08,21
2024-01-08 22:00:00,0.0,0.0,2024-01-08,22
2024-01-08 23:00:00,0.0,0.0,2024-01-08,23
2024-01-09 00:00:00,0.0,0.0,2024-01-09,0
2024-01-09 01:00:00,0.0,0.0,2024-01-09,1
2024-01-09 02:00:00,0.0,0.0,2024-01-09,2
2024-01-09 03:00:00,0.0,0.0,2024-01-09,3
2024-01-09 04:00:00,0.0,0.0,2024-01-09,4
2024-01-09 05:00:00,0.0,0.0,2024-01-09,5
2024-01-09 06:00:00,0.02433789,0.07357722,2024-01-09,6
2024-01-09 07:00:00,0.08363029,0.08453335,2024-01-09,7
2024-01-09 08:00:00,0.1868425,0.1921187,2024-01-09,8
2024-01-09 09:00:00,0.3716016,0.4302964,2024-01-09,9
2024-01-09 10:00:00,0.5702685,0.7308931,2024-01-09,10
2024-01-09 11:00:00,0.5656356,0.6995219,2024-01-09,11
2024-01-09 12:00:00,0.6405872,0.8375643,2024-01-09,12
2024-01-09 13:00:00,0.3491609,0.3786892,2024-01-09,13
2024-01-09 14:00:00,0.1854171,0.1852469,2024-01-09,14
2024-01-09 15:00:00,0.1680577,0.1902936,2024-01-09,15
2024-01-09 16:00:00,0.04806672,0.0591884,2024-01-09,16
2024-01-09 17:00:00,0.0,0.0,2024-01-09,17
2024-01-09 18:00:00,0.0,0.0,2024-01-09,18
2024-01-09 19:00:00,0.0,0.0,2024-01-09,19
2024-01-09 20:00:00,0.0,0.0,2024-01-09,20
2024-01-09 21:00:00,0.0,0.0,2024-01-09,21
2024-01-09 22:00:00,0.0,0.0,2024-01-09,22
2024-01-09 23:00:00,0.0,0.0,2024-01-09,23
2024-01-10 00:00:00,0.0,0.0,2024-01-10,0
2024-01-10 01:00:00,0.0,0.0,2024-01-10,1
2024-01-10 02:00:00,0.0,0.0,2024-01-10,2
2024-01-10 03:00:00,0.0,0.0,2024-01-10,3
2024-01-10 04:00:00,0.0,0.0,2024-01-10,4
2024-01-10 05:00:00,0.0,0.0,2024-01-10,5
2024-01-10 06:00:00,0.02420311,0.07322958,2024-01-10,6
2024-01-10 07:00:00,0.2023928,0.3411538,2024-01-10,7
2024-01-10 08:00:00,0.3664165,0.5167199,2024-01-10,8
2024-01-10 09:00:00,0.5679888,0.7791891,2024-01-10,9
2024-01-10 10:00:00,0.6949595,0.9292683,2024-01-10,10
2024-01-10 11:00:00,0.8267721,1.098237,2024-01-10,11
2024-01-10 12:00:00,0.7965159,1.062234,2024-01-10,12
2024-01-10 13:00:00,0.6870627,0.9348065,2024-01-10,13
2024-01-10 14:00:00,0.5378357,0.768443,2024-01-10,14
2024-01-10 15:00:00,0.2811915,0.4359767,2024-01-10,15
2024-01-10 16:00:00,0.09006034,0.2182998,2024-01-10,16
2024-01-10 17:00:00,0.0,0.0,2024-01-10,17
2024-01-10 18:00:00,0.0,0.0,2024-01-10,18
2024-01-10 19:00:00,0.0,0.0,2024-01-10,19
2024-01-10 20:00:00,0.0,0.0,2024-01-10,20
2024-01-10 21:00:00,0.0,0.0,2024-01-10,21
2024-01-10 22:00:00,0.0,0.0,2024-01-10,22
2024-01-10 23:00:00,0.0,0.0,2024-01-10,23
2024-01-11 00:00:00,0.0,0.0,2024-01-11,0
2024-01-11 01:00:00,0.0,0.0,2024-01-11,1
2024-01-11 02:00:00,0.0,0.0,2024-01-11,2
2024-01-11 03:00:00,0.0,0.0,2024-01-11,3
2024-01-11 04:00:00,0.0,0.0,2024-01-11,4
2024-01-11 05:00:00,0.0,0.0,2024-01-11,5
2024-01-11 06:00:00,0.02399067,0.07203906,2024-01-11,6
2024-01-11 07:00:00,0.1742946,0.2641451,2024-01-11,7
2024-01-11 08:00:00,0.3221986,0.4246905,2024-01-11,8
2024-01-11 09:00:00,0.4202299,0.5155485,2024-01-11,9
2024-01-11 10:00:00,0.7331342,0.9807845,2024-01-11,10
2024-01-11 11:00:00,0.705426,0.9277615,2024-01-11,11
2024-01-11 12:00:00,0.6473026,0.8449302,2024-01-11,12
2024-01-11 13:00:00,0.3987476,0.4545328,2024-01-11,13
2024-01-11 14:00:00,0.3498625,0.4327306,2024-01-11,14
2024-01-11 15:00:00,0.2180564,0.28664,2024-01-11,15
2024-01-11 16:00:00,0.05889829,0.08314135,2024-01-11,16
2024-01-11 17:00:00,0.0,0.0,2024-01-11,17
2024-01-11 18:00:00,0.0,0.0,2024-01-11,18
2024-01-11 19:00:00,0.0,0.0,2024-01-11,19
2024-01-11 20:00:00,0.0,0.0,2024-01-11,20
2024-01-11 21:00:00,0.0,0.0,2024-01-11,21
2024-01-11 22:00:00,0.0,0.0,2024-01-11,22
2024-01-11 23:00:00,0.0,0.0,2024-01-11,23
2024-01-12 00:00:00,0.0,0.0,2024-01-12,0
2024-01-12 01:00:00,0.0,0.0,2024-01-12,1
2024-01-12 02:00:00,0.0,0.0,2024-01-12,2
2024-01-12 03:00:00,0.0,0.0,2024-01-12,3
2024-01-12 04:00:00,0.0,0.0,2024-01-12,4
