date_time,global_solar_kw/m2,incident_solar_kw/m2,date,hour
2024-01-01 00:00:00,0.0,0.0,2024-01-01,0
2024-01-01 01:00:00,0.0,0.0,2024-01-01,1
2024-01-01 02:00:00,0.0,0.0,2024-01-01,2
2024-01-01 03:00:00,0.0,0.0,2024-01-01,3
2024-01-01 04:00:00,0.0,0.0,2024-01-01,4
2024-01-01 05:00:00,0.0,0.0,2024-01-01,5
2024-01-01 06:00:00,0.01727285,0.03957807,2024-01-01,6
2024-01-01 07:00:00,0.1635363,0.2601047,2024-01-01,7
2024-01-01 08:00:00,0.3769644,0.564768,2024-01-01,8
2024-01-01 09:00:00,0.3220429,0.3606062,2024-01-01,9
2024-01-01 10:00:00,0.3434936,0.3662597,2024-01-01,10
2024-01-01 11:00:00,0.6169866,0.8176755,2024-01-01,11
2024-01-01 12:00:00,0.4323014,0.4990219,2024-01-01,12
2024-01-01 13:00:00,0.3970112,0.4741285,2024-01-01,13
2024-01-01 14:00:00,0.234449,0.2528429,2024-01-01,14
2024-01-01 15:00:00,0.1454199,0.1645942,2024-01-01,15
2024-01-01 16:00:00,0.04698137,0.09236275,2024-01-01,16
2024-01-01 17:00:00,0.0,0.0,2024-01-01,17
2024-01-01 18:00:00,0.0,0.0,2024-01-01,18
2024-01-01 19:00:00,0.0,0.0,2024-01-01,19
2024-01-01 20:00:00,0.0,0.0,2024-01-01,20
2024-01-01 21:00:00,0.0,0.0,2024-01-01,21
2024-01-01 22:00:00,0.0,0.0,2024-01-01,22
2024-01-01 23:00:00,0.0,0.0,2024-01-01,23
2024-01-02 00:00:00,0.0,0.0,2024-01-02,0
2024-01-02 01:00:00,0.0,0.0,2024-01-02,1
2024-01-02 02:00:00,0.0,0.0,2024-01-02,2
2024-01-02 03:00:00,0.0,0.0,2024-01-02,3
2024-01-02 04:00:00,0.0,0.0,2024-01-02,4
2024-01-02 05:00:00,0.0,0.0,2024-01-02,5
2024-01-02 06:00:00,0.02115733,0.07297994,2024-01-02,6
2024-01-02 07:00:00,0.2017766,0.3700562,2024-01-02,7
2024-01-02 08:00:00,0.4289502,0.6553598,2024-01-02,8
2024-01-02 09:00:00,0.5746753,0.8144214,2024-01-02,9
2024-01-02 10:00:00,0.5680733,0.7540256,2024-01-02,10
2024-01-02 11:00:00,0.506567,0.6188743,2024-01-02,11
2024-01-02 12:00:00,0.4342363,0.5015428,2024-01-02,12
2024-01-02 13:00:00,0.5598119,0.7733391,2024-01-02,13
2024-01-02 14:00:00,0.3980785,0.5641523,2024-01-02,14
2024-01-02 15:00:00,0.2935235,0.5001245,2024-01-02,15
2024-01-02 16:00:00,0.05825893,0.150164,2024-01-02,16
2024-01-02 17:00:00,0.0,0.0,2024-01-02,17
2024-01-02 18:00:00,0.0,0.0,2024-01-02,18
2024-01-02 19:00:00,0.0,0.0,2024-01-02,19
2024-01-02 20:00:00,0.0,0.0,2024-01-02,20
2024-01-02 21:00:00,0.0,0.0,2024-01-02,21
2024-01-02 22:00:00,0.0,0.0,2024-01-02,22
2024-01-02 23:00:00,0.0,0.0,2024-01-02,23
2024-01-03 00:00:00,0.0,0.0,2024-01-03,0
2024-01-03 01:00:00,0.0,0.0,2024-01-03,1
2024-01-03 02:00:00,0.0,0.0,2024-01-03,2
2024-01-03 03:00:00,0.0,0.0,2024-01-03,3
2024-01-03 04:00:00,0.0,0.0,2024-01-03,4
2024-01-03 05:00:00,0.0,0.0,2024-01-03,5
2024-01-03 06:00:00,0.01348701,0.02110214,2024-01-03,6
2024-01-03 07:00:00,0.1563926,0.2405124,2024-01-03,7
2024-01-03 08:00:00,0.2974507,0.3956962,2024-01-03,8
2024-01-03 09:00:00,0.3327394,0.3779182,2024-01-03,9
2024-01-03 10:00:00,0.6715987,0.9206089,2024-01-03,10
2024-01-03 11:00:00,0.5263,0.6537154,2024-01-03,11
2024-01-03 12:00:00,0.3848488,0.4213927,2024-01-03,12
2024-01-03 13:00:00,0.4500335,0.5704805,2024-01-03,13
2024-01-03 14:00:00,0.3874501,0.5405303,2024-01-03,14
2024-01-03 15:00:00,0.2594487,0.4268182,2024-01-03,15
2024-01-03 16:00:00,0.05961205,0.1499098,2024-01-03,16
2024-01-03 17:00:00,0.0,0.0,2024-01-03,17
2024-01-03 18:00:00,0.0,0.0,2024-01-03,18
2024-01-03 19:00:00,0.0,0.0,2024-01-03,19
2024-01-03 20:00:00,0.0,0.0,2024-01-03,20
2024-01-03 21:00:00,0.0,0.0,2024-01-03,21
2024-01-03 22:00:00,0.0,0.0,2024-01-03,22
2024-01-03 23:00:00,0.0,0.0,2024-01-03,23
2024-01-04 00:00:00,0.0,0.0,2024-01-04,0
2024-01-04 01:00:00,0.0,0.0,2024-01-04,1
2024-01-04 02:00:00,0.0,0.0,2024-01-04,2
2024-01-04 03:00:00,0.0,0.0,2024-01-04,3
2024-01-04 04:00:00,0.0,0.0,2024-01-04,4
2024-01-04 05:00:00,0.0,0.0,2024-01-04,5
2024-01-04 06:00:00,0.02102102,0.0,2024-01-04,6
2024-01-04 07:00:00,0.2173266,0.4073849,2024-01-04,7
2024-01-04 08:00:00,0.4246873,0.6475844,2024-01-04,8
2024-01-04 09:00:00,0.5826961,0.8247818,2024-01-04,9
2024-01-04 10:00:00,0.6610832,0.9044163,2024-01-04,10
2024-01-04 11:00:00,0.7132273,0.966095,2024-01-04,11
2024-01-04 12:00:00,0.7258419,0.9896637,2024-01-04,12
2024-01-04 13:00:00,0.5720074,0.7904807,2024-01-04,13
2024-01-04 14:00:00,0.4375167,0.6353586,2024-01-04,14
2024-01-04 15:00:00,0.2739803,0.4561954,2024-01-04,15
2024-01-04 16:00:00,0.08174589,0.2585939,2024-01-04,16
2024-01-04 17:00:00,0.0,0.0,2024-01-04,17
2024-01-04 18:00:00,0.0,0.0,2024-01-04,18
2024-01-04 19:00:00,0.0,0.0,2024-01-04,19
2024-01-04 20:00:00,0.0,0.0,2024-01-04,20
2024-01-04 21:00:00,0.0,0.0,2024-01-04,21
2024-01-04 22:00:00,0.0,0.0,2024-01-04,22
2024-01-04 23:00:00,0.0,0.0,2024-01-04,23
2024-01-05 00:00:00,0.0,0.0,2024-01-05,0
2024-01-05 01:00:00,0.0,0.0,2024-01-05,1
2024-01-05 02:00:00,0.0,0.0,2024-01-05,2
2024-01-05 03:00:00,0.0,0.0,2024-01-05,3
2024-01-05 04:00:00,0.0,0.0,2024-01-05,4
2024-01-05 05:00:00,0.0,0.0,2024-01-05,5
2024-01-05 06:00:00,0.009379637,0.0,2024-01-05,6
2024-01-05 07:00:00,0.08786629,0.09189884,2024-01-05,7
2024-01-05 08:00:00,0.2441752,0.2873467,2024-01-05,8
2024-01-05 09:00:00,0.2739078,0.28821,2024-01-05,9
2024-01-05 10:00:00,0.4413459,0.5211403,2024-01-05,10
2024-01-05 11:00:00,0.5916756,0.7693115,2024-01-05,11
2024-01-05 12:00:00,0.59074,0.7783933,2024-01-05,12
2024-01-05 13:00:00,0.4914179,0.645622,2024-01-05,13
2024-01-05 14:00:00,0.3137147,0.3858865,2024-01-05,14
2024-01-05 15:00:00,0.1756824,0.2176486,2024-01-05,15
2024-01-05 16:00:00,0.04210075,0.05806749,2024-01-05,16
2024-01-05 17:00:00,0.0,0.0,2024-01-05,17
2024-01-05 18:00:00,0.0,0.0,2024-01-05,18
2024-01-05 19:00:00,0.0,0.0,2024-01-05,19
2024-01-05 20:00:00,0.0,0.0,2024-01-05,20
2024-01-05 21:00:00,0.0,0.0,2024-01-05,21
2024-01-05 22:00:00,0.0,0.0,2024-01-05,22
2024-01-05 23:00:00,0.0,0.0,2024-01-05,23
2024-01-06 00:00:00,0.0,0.0,2024-01-06,0
2024-01-06 01:00:00,0.0,0.0,2024-01-06,1
2024-01-06 02:00:00,0.0,0.0,2024-01-06,2
2024-01-06 03:00:00,0.0,0.0,2024-01-06,3
2024-01-06 04:00:00,0.0,0.0,2024-01-06,4
2024-01-06 05:00:00,0.0,0.0,2024-01-06,5
2024-01-06 06:00:00,0.01915585,0.0,2024-01-06,6
2024-01-06 07:00:00,0.1703642,0.2828521,2024-01-06,7
2024-01-06 08:00:00,0.3233341,0.4513414,2024-01-06,8
2024-01-06 09:00:00,0.4103509,0.5180769,2024-01-06,9
2024-01-06 10:00:00,0.429795,0.500445,2024-01-06,10
2024-01-06 11:00:00,0.4622286,0.5375458,2024-01-06,11
2024-01-06 12:00:00,0.5317382,0.6709399,2024-01-06,12
2024-01-06 13:00:00,0.5248252,0.7054352,2024-01-06,13
2024-01-06 14:00:00,0.3935687,0.5461154,2024-01-06,14
2024-01-06 15:00:00,0.1769883,0.2185877,2024-01-06,15
2024-01-06 16:00:00,0.06318015,0.1455873,2024-01-06,16
2024-01-06 17:00:00,0.0,0.0,2024-01-06,17
2024-01-06 18:00:00,0.0,0.0,2024-01-06,18
2024-01-06 19:00:00,0.0,0.0,2024-01-06,19
2024-01-06 20:00:00,0.0,0.0,2024-01-06,20
2024-01-06 21:00:00,0.0,0.0,2024-01-06,21
2024-01-06 22:00:00,0.0,0.0,2024-01-06,22
2024-01-06 23:00:00,0.0,0.0,2024-01-06,23
2024-01-07 00:00:00,0.0,0.0,2024-01-07,0
2024-01-07 01:00:00,0.0,0.0,2024-01-07,1
2024-01-07 02:00:00,0.0,0.0,2024-01-07,2
2024-01-07 03:00:00,0.0,0.0,2024-01-07,3
2024-01-07 04:00:00,0.0,0.0,2024-01-07,4
2024-01-07 05:00:00,0.0,0.0,2024-01-07,5
2024-01-07 06:00:00,0.02019156,0.0,2024-01-07,6
2024-01-07 07:00:00,0.2012139,0.3689849,2024-01-07,7
2024-01-07 08:00:00,0.3432924,0.4937503,2024-01-07,8
2024-01-07 09:00:00,0.5062687,0.6989349,2024-01-07,9
2024-01-07 10:00:00,0.6744301,0.9207839,2024-01-07,10
2024-01-07 11:00:00,0.7117983,0.9606097,2024-01-07,11
2024-01-07 12:00:00,0.6542691,0.881044,2024-01-07,12
2024-01-07 13:00:00,0.5361199,0.7237423,2024-01-07,13
2024-01-07 14:00:00,0.4191595,0.59423,2024-01-07,14
2024-01-07 15:00:00,0.2387368,0.3630556,2024-01-07,15
2024-01-07 16:00:00,0.06536957,0.1493217,2024-01-07,16
2024-01-07 17:00:00,0.0,0.0,2024-01-07,17
2024-01-07 18:00:00,0.0,0.0,2024-01-07,18
2024-01-07 19:00:00,0.0,0.0,2024-01-07,19
2024-01-07 20:00:00,0.0,0.0,2024-01-07,20
2024-01-07 21:00:00,0.0,0.0,2024-01-07,21
2024-01-07 22:00:00,0.0,0.0,2024-01-07,22
2024-01-07 23:00:00,0.0,0.0,2024-01-07,23
2024-01-08 00:00:00,0.0,0.0,2024-01-08,0
2024-01-08 01:00:00,0.0,0.0,2024-01-08,1
2024-01-08 02:00:00,0.0,0.0,2024-01-08,2
2024-01-08 03:00:00,0.0,0.0,2024-01-08,3
2024-01-08 04:00:00,0.0,0.0,2024-01-08,4
2024-01-08 05:00:00,0.0,0.0,2024-01-08,5
2024-01-08 06:00:00,0.0115523,0.0,2024-01-08,6
2024-01-08 07:00:00,0.1259783,0.1609968,2024-01-08,7
2024-01-08 08:00:00,0.300653,0.401017,2024-01-08,8
2024-01-08 09:00:00,0.3649261,0.4319229,2024-01-08,9
2024-01-08 10:00:00,0.4854545,0.5978072,2024-01-08,10
2024-01-08 11:00:00,0.5167394,0.6310323,2024-01-08,11
2024-01-08 12:00:00,0.5356816,0.6750261,2024-01-08,12
2024-01-08 13:00:00,0.5635062,0.7692117,2024-01-08,13
2024-01-08 14:00:00,0.4060032,0.5660594,2024-01-08,14
2024-01-08 15:00:00,0.2310075,0.3403437,2024-01-08,15
2024-01-08 16:00:00,0.07678278,0.2008089,2024-01-08,16
2024-01-08 17:00:00,0.0,0.0,2024-01-08,17
2024-01-08 18:00:00,0.0,0.0,2024-01-08,18
2024-01-08 19:00:00,0.0,0.0,2024-01-08,19
2024-01-08 20:00:00,0.0,0.0,2024-01-08,20
2024-01-08 21:00:00,0.0,0.0,2024-01-08,21
2024-01-08 22:00:00,0.0,0.0,2024-01-08,22
2024-01-08 23:00:00,0.0,0.0,2024-01-08,23
2024-01-09 00:00:00,0.0,0.0,2024-01-09,0
2024-01-09 01:00:00,0.0,0.0,2024-01-09,1
2024-01-09 02:00:00,0.0,0.0,2024-01-09,2
2024-01-09 03:00:00,0.0,0.0,2024-01-09,3
2024-01-09 04:00:00,0.0,0.0,2024-01-09,4
2024-01-09 05:00:00,0.0,0.0,2024-01-09,5
2024-01-09 06:00:00,0.0183041,0.0,2024-01-09,6
2024-01-09 07:00:00,0.07001512,0.07020444,2024-01-09,7
2024-01-09 08:00:00,0.1603459,0.1620987,2024-01-09,8
2024-01-09 09:00:00,0.3326159,0.3757233,2024-01-09,9
2024-01-09 10:00:00,0.5274547,0.6735204,2024-01-09,10
2024-01-09 11:00:00,0.5197093,0.6350822,2024-01-09,11
2024-01-09 12:00:00,0.5998142,0.7875587,2024-01-09,12
2024-01-09 13:00:00,0.3102947,0.3281468,2024-01-09,13
2024-01-09 14:00:00,0.1576704,0.155975,2024-01-09,14
2024-01-09 15:00:00,0.1492982,0.163791,2024-01-09,15
2024-01-09 16:00:00,0.0414331,0.04928739,2024-01-09,16
2024-01-09 17:00:00,0.0,0.0,2024-01-09,17
2024-01-09 18:00:00,0.0,0.0,2024-01-09,18
2024-01-09 19:00:00,0.0,0.0,2024-01-09,19
2024-01-09 20:00:00,0.0,0.0,2024-01-09,20
2024-01-09 21:00:00,0.0,0.0,2024-01-09,21
2024-01-09 22:00:00,0.0,0.0,2024-01-09,22
2024-01-09 23:00:00,0.0,0.0,2024-01-09,23
2024-01-10 00:00:00,0.0,0.0,2024-01-10,0
2024-01-10 01:00:00,0.0,0.0,2024-01-10,1
2024-01-10 02:00:00,0.0,0.0,2024-01-10,2
2024-01-10 03:00:00,0.0,0.0,2024-01-10,3
2024-01-10 04:00:00,0.0,0.0,2024-01-10,4
2024-01-10 05:00:00,0.0,0.0,2024-01-10,5
2024-01-10 06:00:00,0.01824961,0.0,2024-01-10,6
2024-01-10 07:00:00,0.1828936,0.3182667,2024-01-10,7
2024-01-10 08:00:00,0.3391368,0.4825095,2024-01-10,8
2024-01-10 09:00:00,0.537932,0.749689,2024-01-10,9
2024-01-10 10:00:00,0.66396,0.9017788,2024-01-10,10
2024-01-10 11:00:00,0.802694,1.083384,2024-01-10,11
2024-01-10 12:00:00,0.7714092,1.044984,2024-01-10,12
2024-01-10 13:00:00,0.6656317,0.9203939,2024-01-10,13
2024-01-10 14:00:00,0.5187718,0.7544461,2024-01-10,14
2024-01-10 15:00:00,0.2646606,0.4149908,2024-01-10,15
2024-01-10 16:00:00,0.08171351,0.2069783,2024-01-10,16
2024-01-10 17:00:00,0.0,0.0,2024-01-10,17
2024-01-10 18:00:00,0.0,0.0,2024-01-10,18
2024-01-10 19:00:00,0.0,0.0,2024-01-10,19
2024-01-10 20:00:00,0.0,0.0,2024-01-10,20
2024-01-10 21:00:00,0.0,0.0,2024-01-10,21
2024-01-10 22:00:00,0.0,0.0,2024-01-10,22
2024-01-10 23:00:00,0.0,0.0,2024-01-10,23
2024-01-11 00:00:00,0.0,0.0,2024-01-11,0
2024-01-11 01:00:00,0.0,0.0,2024-01-11,1
2024-01-11 02:00:00,0.0,0.0,2024-01-11,2
2024-01-11 03:00:00,0.0,0.0,2024-01-11,3
2024-01-11 04:00:00,0.0,0.0,2024-01-11,4
2024-01-11 05:00:00,0.0,0.0,2024-01-11,5
2024-01-11 06:00:00,0.01808209,0.0,2024-01-11,6
2024-01-11 07:00:00,0.1562351,0.2401574,2024-01-11,7
2024-01-11 08:00:00,0.2940551,0.3848657,2024-01-11,8
2024-01-11 09:00:00,0.3847538,0.4658896,2024-01-11,9
2024-01-11 10:00:00,0.698859,0.9500971,2024-01-11,10
2024-01-11 11:00:00,0.6687119,0.8896883,2024-01-11,11
2024-01-11 12:00:00,0.6110891,0.8031576,2024-01-11,12
2024-01-11 13:00:00,0.3630725,0.4052357,2024-01-11,13
2024-01-11 14:00:00,0.3219642,0.3911378,2024-01-11,14
2024-01-11 15:00:00,0.19948,0.2564254,2024-01-11,15
2024-01-11 16:00:00,0.05161856,0.07065171,2024-01-11,16
2024-01-11 17:00:00,0.0,0.0,2024-01-11,17
2024-01-11 18:00:00,0.0,0.0,2024-01-11,18
2024-01-11 19:00:00,0.0,0.0,2024-01-11,19
2024-01-11 20:00:00,0.0,0.0,2024-01-11,20
2024-01-11 21:00:00,0.0,0.0,2024-01-11,21
2024-01-11 22:00:00,0.0,0.0,2024-01-11,22
2024-01-11 23:00:00,0.0,0.0,2024-01-11,23
2024-01-12 00:00:00,0.0,0.0,2024-01-12,0
2024-01-12 01:00:00,0.0,0.0,2024-01-12,1
2024-01-12 02:00:00,0.0,0.0,2024-01-12,2
2024-01-12 03:00:00,0.0,0.0,2024-01-12,3
2024-01-12 04:00:00,0.0,0.0,2024-01-12,4
