date_time,global_solar_kw/m2,incident_solar_kw/m2,date,hour
2024-01-01 00:00:00,0.0,0.0,2024-01-01,0
2024-01-01 01:00:00,0.0,0.0,2024-01-01,1
2024-01-01 02:00:00,0.0,0.0,2024-01-01,2
2024-01-01 03:00:00,0.0,0.0,2024-01-01,3
2024-01-01 04:00:00,0.0,0.0,2024-01-01,4
2024-01-01 05:00:00,0.0,0.0,2024-01-01,5
2024-01-01 06:00:00,0.02860078,0.06336106,2024-01-01,6
2024-01-01 07:00:00,0.1925421,0.2818107,2024-01-01,7
2024-01-01 08:00:00,0.4211331,0.5956658,2024-01-01,8
2024-01-01 09:00:00,0.3592529,0.3968058,2024-01-01,9
2024-01-01 10:00:00,0.3801633,0.401812,2024-01-01,10
2024-01-01 11:00:00,0.6751776,0.8595498,2024-01-01,11
2024-01-01 12:00:00,0.4776317,0.5409824,2024-01-01,12
2024-01-01 13:00:00,0.4422541,0.5161466,2024-01-01,13
2024-01-01 14:00:00,0.2680891,0.2866784,2024-01-01,14
2024-01-01 15:00:00,0.1737449,0.1932292,2024-01-01,15
2024-01-01 16:00:00,0.07004388,0.1107151,2024-01-01,16
2024-01-01 17:00:00,0.0,0.0,2024-01-01,17
2024-01-01 18:00:00,0.0,0.0,2024-01-01,18
2024-01-01 19:00:00,0.0,0.0,2024-01-01,19
2024-01-01 20:00:00,0.0,0.0,2024-01-01,20
2024-01-01 21:00:00,0.0,0.0,2024-01-01,21
2024-01-01 22:00:00,0.0,0.0,2024-01-01,22
2024-01-01 23:00:00,0.0,0.0,2024-01-01,23
2024-01-02 00:00:00,0.0,0.0,2024-01-02,0
2024-01-02 01:00:00,0.0,0.0,2024-01-02,1
2024-01-02 02:00:00,0.0,0.0,2024-01-02,2
2024-01-02 03:00:00,0.0,0.0,2024-01-02,3
2024-01-02 04:00:00,0.0,0.0,2024-01-02,4
2024-01-02 05:00:00,0.0,0.0,2024-01-02,5
2024-01-02 06:00:00,0.03506874,0.1172328,2024-01-02,6
2024-01-02 07:00:00,0.2394134,0.3995372,2024-01-02,7
2024-01-02 08:00:00,0.4808092,0.6922129,2024-01-02,8
2024-01-02 09:00:00,0.6279371,0.8468383,2024-01-02,9
2024-01-02 10:00:00,0.618584,0.7874486,2024-01-02,10
2024-01-02 11:00:00,0.5485385,0.6481779,2024-01-02,11
2024-01-02 12:00:00,0.4716252,0.5307959,2024-01-02,12
2024-01-02 13:00:00,0.6137025,0.8083506,2024-01-02,13
2024-01-02 14:00:00,0.4457908,0.6002461,2024-01-02,14
2024-01-02 15:00:00,0.3425313,0.5372442,2024-01-02,15
2024-01-02 16:00:00,0.0874335,0.1748271,2024-01-02,16
2024-01-02 17:00:00,2.15629e-06,0.0,2024-01-02,17
2024-01-02 18:00:00,0.0,0.0,2024-01-02,18
2024-01-02 19:00:00,0.0,0.0,2024-01-02,19
2024-01-02 20:00:00,0.0,0.0,2024-01-02,20
2024-01-02 21:00:00,0.0,0.0,2024-01-02,21
2024-01-02 22:00:00,0.0,0.0,2024-01-02,22
2024-01-02 23:00:00,0.0,0.0,2024-01-02,23
2024-01-03 00:00:00,0.0,0.0,2024-01-03,0
2024-01-03 01:00:00,0.0,0.0,2024-01-03,1
2024-01-03 02:00:00,0.0,0.0,2024-01-03,2
2024-01-03 03:00:00,0.0,0.0,2024-01-03,3
2024-01-03 04:00:00,0.0,0.0,2024-01-03,4
2024-01-03 05:00:00,0.0,0.0,2024-01-03,5
2024-01-03 06:00:00,0.02241417,0.03416688,2024-01-03,6
2024-01-03 07:00:00,0.1859737,0.2663735,2024-01-03,7
2024-01-03 08:00:00,0.3358624,0.4302605,2024-01-03,8
2024-01-03 09:00:00,0.3688884,0.411642,2024-01-03,9
2024-01-03 10:00:00,0.729176,0.954828,2024-01-03,10
2024-01-03 11:00:00,0.5744175,0.6909308,2024-01-03,11
2024-01-03 12:00:00,0.4210985,0.4538464,2024-01-03,12
2024-01-03 13:00:00,0.4967425,0.6083408,2024-01-03,13
2024-01-03 14:00:00,0.4353297,0.5790933,2024-01-03,14
2024-01-03 15:00:00,0.3050289,0.4649846,2024-01-03,15
2024-01-03 16:00:00,0.08853228,0.1734922,2024-01-03,16
2024-01-03 17:00:00,1.39626e-05,0.0,2024-01-03,17
2024-01-03 18:00:00,0.0,0.0,2024-01-03,18
2024-01-03 19:00:00,0.0,0.0,2024-01-03,19
2024-01-03 20:00:00,0.0,0.0,2024-01-03,20
2024-01-03 21:00:00,0.0,0.0,2024-01-03,21
2024-01-03 22:00:00,0.0,0.0,2024-01-03,22
2024-01-03 23:00:00,0.0,0.0,2024-01-03,23
2024-01-04 00:00:00,0.0,0.0,2024-01-04,0
2024-01-04 01:00:00,0.0,0.0,2024-01-04,1
2024-01-04 02:00:00,0.0,0.0,2024-01-04,2
2024-01-04 03:00:00,0.0,0.0,2024-01-04,3
2024-01-04 04:00:00,0.0,0.0,2024-01-04,4
2024-01-04 05:00:00,0.0,0.0,2024-01-04,5
2024-01-04 06:00:00,0.03490063,0.1211536,2024-01-04,6
2024-01-04 07:00:00,0.2553286,0.4338436,2024-01-04,7
2024-01-04 08:00:00,0.4718727,0.6780587,2024-01-04,8
2024-01-04 09:00:00,0.6409079,0.8636332,2024-01-04,9
2024-01-04 10:00:00,0.7199907,0.9413294,2024-01-04,10
2024-01-04 11:00:00,0.7733732,1.001926,2024-01-04,11
2024-01-04 12:00:00,0.7872822,1.02566,2024-01-04,12
2024-01-04 13:00:00,0.6297352,0.8304796,2024-01-04,13
2024-01-04 14:00:00,0.4907984,0.6755642,2024-01-04,14
2024-01-04 15:00:00,0.3207993,0.493807,2024-01-04,15
2024-01-04 16:00:00,0.1190502,0.2835059,2024-01-04,16
2024-01-04 17:00:00,6.91359e-05,0.0,2024-01-04,17
2024-01-04 18:00:00,0.0,0.0,2024-01-04,18
2024-01-04 19:00:00,0.0,0.0,2024-01-04,19
2024-01-04 20:00:00,0.0,0.0,2024-01-04,20
2024-01-04 21:00:00,0.0,0.0,2024-01-04,21
2024-01-04 22:00:00,0.0,0.0,2024-01-04,22
2024-01-04 23:00:00,0.0,0.0,2024-01-04,23
2024-01-05 00:00:00,0.0,0.0,2024-01-05,0
2024-01-05 01:00:00,0.0,0.0,2024-01-05,1
2024-01-05 02:00:00,0.0,0.0,2024-01-05,2
2024-01-05 03:00:00,0.0,0.0,2024-01-05,3
2024-01-05 04:00:00,0.0,0.0,2024-01-05,4
2024-01-05 05:00:00,0.0,0.0,2024-01-05,5
2024-01-05 06:00:00,0.01557336,0.01732857,2024-01-05,6
2024-01-05 07:00:00,0.1031478,0.1061726,2024-01-05,7
2024-01-05 08:00:00,0.2718747,0.3107486,2024-01-05,8
2024-01-05 09:00:00,0.30384,0.3170162,2024-01-05,9
2024-01-05 10:00:00,0.4843996,0.558654,2024-01-05,10
2024-01-05 11:00:00,0.644605,0.8064198,2024-01-05,11
2024-01-05 12:00:00,0.6429755,0.8128716,2024-01-05,12
2024-01-05 13:00:00,0.5394987,0.680363,2024-01-05,13
2024-01-05 14:00:00,0.3510643,0.4180153,2024-01-05,14
2024-01-05 15:00:00,0.2041852,0.2426168,2024-01-05,15
2024-01-05 16:00:00,0.06100442,0.07476509,2024-01-05,16
2024-01-05 17:00:00,0.000144696,0.0,2024-01-05,17
2024-01-05 18:00:00,0.0,0.0,2024-01-05,18
2024-01-05 19:00:00,0.0,0.0,2024-01-05,19
2024-01-05 20:00:00,0.0,0.0,2024-01-05,20
2024-01-05 21:00:00,0.0,0.0,2024-01-05,21
2024-01-05 22:00:00,0.0,0.0,2024-01-05,22
2024-01-05 23:00:00,0.0,0.0,2024-01-05,23
2024-01-06 00:00:00,0.0,0.0,2024-01-06,0
2024-01-06 01:00:00,0.0,0.0,2024-01-06,1
2024-01-06 02:00:00,0.0,0.0,2024-01-06,2
2024-01-06 03:00:00,0.0,0.0,2024-01-06,3
2024-01-06 04:00:00,0.0,0.0,2024-01-06,4
2024-01-06 05:00:00,0.0,0.0,2024-01-06,5
2024-01-06 06:00:00,0.03180938,0.09782627,2024-01-06,6
2024-01-06 07:00:00,0.2013273,0.3071715,2024-01-06,7
2024-01-06 08:00:00,0.3642041,0.486153,2024-01-06,8
2024-01-06 09:00:00,0.4539054,0.5553631,2024-01-06,9
2024-01-06 10:00:00,0.4726137,0.5389147,2024-01-06,10
2024-01-06 11:00:00,0.5070481,0.5772812,2024-01-06,11
2024-01-06 12:00:00,0.5823032,0.7104658,2024-01-06,12
2024-01-06 13:00:00,0.5785681,0.745414,2024-01-06,13
2024-01-06 14:00:00,0.4421227,0.5858358,2024-01-06,14
2024-01-06 15:00:00,0.2094592,0.2511774,2024-01-06,15
2024-01-06 16:00:00,0.09168968,0.1689019,2024-01-06,16
2024-01-06 17:00:00,0.000105818,0.0,2024-01-06,17
2024-01-06 18:00:00,0.0,0.0,2024-01-06,18
2024-01-06 19:00:00,0.0,0.0,2024-01-06,19
2024-01-06 20:00:00,0.0,0.0,2024-01-06,20
2024-01-06 21:00:00,0.0,0.0,2024-01-06,21
2024-01-06 22:00:00,0.0,0.0,2024-01-06,22
2024-01-06 23:00:00,0.0,0.0,2024-01-06,23
2024-01-07 00:00:00,0.0,0.0,2024-01-07,0
2024-01-07 01:00:00,0.0,0.0,2024-01-07,1
2024-01-07 02:00:00,0.0,0.0,2024-01-07,2
2024-01-07 03:00:00,0.0,0.0,2024-01-07,3
2024-01-07 04:00:00,0.0,0.0,2024-01-07,4
2024-01-07 05:00:00,0.0,0.0,2024-01-07,5
2024-01-07 06:00:00,0.03350633,0.1149881,2024-01-07,6
2024-01-07 07:00:00,0.238888,0.3990687,2024-01-07,7
2024-01-07 08:00:00,0.3830898,0.5227963,2024-01-07,8
2024-01-07 09:00:00,0.5529785,0.7282994,2024-01-07,9
2024-01-07 10:00:00,0.7291192,0.9512202,2024-01-07,10
2024-01-07 11:00:00,0.7676814,0.9910094,2024-01-07,11
2024-01-07 12:00:00,0.7076932,0.9112245,2024-01-07,12
2024-01-07 13:00:00,0.5846452,0.7538507,2024-01-07,13
2024-01-07 14:00:00,0.465839,0.626708,2024-01-07,14
2024-01-07 15:00:00,0.2779452,0.3954759,2024-01-07,15
2024-01-07 16:00:00,0.09511252,0.176539,2024-01-07,16
2024-01-07 17:00:00,0.000223565,0.0,2024-01-07,17
2024-01-07 18:00:00,0.0,0.0,2024-01-07,18
2024-01-07 19:00:00,0.0,0.0,2024-01-07,19
2024-01-07 20:00:00,0.0,0.0,2024-01-07,20
2024-01-07 21:00:00,0.0,0.0,2024-01-07,21
2024-01-07 22:00:00,0.0,0.0,2024-01-07,22
2024-01-07 23:00:00,0.0,0.0,2024-01-07,23
2024-01-08 00:00:00,0.0,0.0,2024-01-08,0
2024-01-08 01:00:00,0.0,0.0,2024-01-08,1
2024-01-08 02:00:00,0.0,0.0,2024-01-08,2
2024-01-08 03:00:00,0.0,0.0,2024-01-08,3
2024-01-08 04:00:00,0.0,0.0,2024-01-08,4
2024-01-08 05:00:00,0.0,0.0,2024-01-08,5
2024-01-08 06:00:00,0.01917536,0.02563503,2024-01-08,6
2024-01-08 07:00:00,0.1489631,0.1815546,2024-01-08,7
2024-01-08 08:00:00,0.3388224,0.4350471,2024-01-08,8
2024-01-08 09:00:00,0.4051995,0.4695126,2024-01-08,9
2024-01-08 10:00:00,0.5323046,0.6367598,2024-01-08,10
2024-01-08 11:00:00,0.565028,0.6705358,2024-01-08,11
2024-01-08 12:00:00,0.5867422,0.7152916,2024-01-08,12
2024-01-08 13:00:00,0.6193146,0.8080941,2024-01-08,13
2024-01-08 14:00:00,0.4551826,0.6054831,2024-01-08,14
2024-01-08 15:00:00,0.2705515,0.3762386,2024-01-08,15
2024-01-08 16:00:00,0.1094388,0.2257104,2024-01-08,16
2024-01-08 17:00:00,0.000284866,0.0,2024-01-08,17
2024-01-08 18:00:00,0.0,0.0,2024-01-08,18
2024-01-08 19:00:00,0.0,0.0,2024-01-08,19
2024-01-08 20:00:00,0.0,0.0,2024-01-08,20
2024-01-08 21:00:00,0.0,0.0,2024-01-08,21
2024-01-08 22:00:00,0.0,0.0,2024-01-08,22
2024-01-08 23:00:00,0.0,0.0,2024-01-08,23
2024-01-09 00:00:00,0.0,0.0,2024-01-09,0
2024-01-09 01:00:00,0.0,0.0,2024-01-09,1
2024-01-09 02:00:00,0.0,0.0,2024-01-09,2
2024-01-09 03:00:00,0.0,0.0,2024-01-09,3
2024-01-09 04:00:00,0.0,0.0,2024-01-09,4
2024-01-09 05:00:00,0.0,0.0,2024-01-09,5
2024-01-09 06:00:00,0.03029311,0.08967447,2024-01-09,6
2024-01-09 07:00:00,0.08244647,0.08215377,2024-01-09,7
2024-01-09 08:00:00,0.1827981,0.1842794,2024-01-09,8
2024-01-09 09:00:00,0.3704368,0.4124702,2024-01-09,9
2024-01-09 10:00:00,0.5784933,0.7142221,2024-01-09,10
2024-01-09 11:00:00,0.5705644,0.6786709,2024-01-09,11
2024-01-09 12:00:00,0.6554935,0.8273668,2024-01-09,12
2024-01-09 13:00:00,0.3477138,0.3654723,2024-01-09,13
2024-01-09 14:00:00,0.1810141,0.1788731,2024-01-09,14
2024-01-09 15:00:00,0.1757724,0.1900595,2024-01-09,15
2024-01-09 16:00:00,0.05866984,0.06538345,2024-01-09,16
2024-01-09 17:00:00,0.00035449,0.0,2024-01-09,17
2024-01-09 18:00:00,0.0,0.0,2024-01-09,18
2024-01-09 19:00:00,0.0,0.0,2024-01-09,19
2024-01-09 20:00:00,0.0,0.0,2024-01-09,20
2024-01-09 21:00:00,0.0,0.0,2024-01-09,21
2024-01-09 22:00:00,0.0,0.0,2024-01-09,22
2024-01-09 23:00:00,0.0,0.0,2024-01-09,23
2024-01-10 00:00:00,0.0,0.0,2024-01-10,0
2024-01-10 01:00:00,0.0,0.0,2024-01-10,1
2024-01-10 02:00:00,0.0,0.0,2024-01-10,2
2024-01-10 03:00:00,0.0,0.0,2024-01-10,3
2024-01-10 04:00:00,0.0,0.0,2024-01-10,4
2024-01-10 05:00:00,0.0,0.0,2024-01-10,5
2024-01-10 06:00:00,0.03013563,0.0895663,2024-01-10,6
2024-01-10 07:00:00,0.2162363,0.344797,2024-01-10,7
2024-01-10 08:00:00,0.3808285,0.5165257,2024-01-10,8
2024-01-10 09:00:00,0.5894631,0.7836536,2024-01-10,9
2024-01-10 10:00:00,0.7207413,0.9361896,2024-01-10,10
2024-01-10 11:00:00,0.8606713,1.111176,2024-01-10,11
2024-01-10 12:00:00,0.8320289,1.077631,2024-01-10,12
2024-01-10 13:00:00,0.7227947,0.9530378,2024-01-10,13
2024-01-10 14:00:00,0.5737284,0.7901106,2024-01-10,14
2024-01-10 15:00:00,0.3080407,0.4513948,2024-01-10,15
2024-01-10 16:00:00,0.1157184,0.2359927,2024-01-10,16
2024-01-10 17:00:00,0.000529847,0.0,2024-01-10,17
2024-01-10 18:00:00,0.0,0.0,2024-01-10,18
2024-01-10 19:00:00,0.0,0.0,2024-01-10,19
2024-01-10 20:00:00,0.0,0.0,2024-01-10,20
2024-01-10 21:00:00,0.0,0.0,2024-01-10,21
2024-01-10 22:00:00,0.0,0.0,2024-01-10,22
2024-01-10 23:00:00,0.0,0.0,2024-01-10,23
2024-01-11 00:00:00,0.0,0.0,2024-01-11,0
2024-01-11 01:00:00,0.0,0.0,2024-01-11,1
2024-01-11 02:00:00,0.0,0.0,2024-01-11,2
2024-01-11 03:00:00,0.0,0.0,2024-01-11,3
2024-01-11 04:00:00,0.0,0.0,2024-01-11,4
2024-01-11 05:00:00,0.0,0.0,2024-01-11,5
2024-01-11 06:00:00,0.0297836,0.08762807,2024-01-11,6
2024-01-11 07:00:00,0.1835311,0.2614012,2024-01-11,7
2024-01-11 08:00:00,0.3308778,0.4179118,2024-01-11,8
2024-01-11 09:00:00,0.425697,0.5026767,2024-01-11,9
2024-01-11 10:00:00,0.7587821,0.9864857,2024-01-11,10
2024-01-11 11:00:00,0.7272125,0.9278936,2024-01-11,11
2024-01-11 12:00:00,0.6672435,0.8428342,2024-01-11,12
2024-01-11 13:00:00,0.4023214,0.442266,2024-01-11,13
2024-01-11 14:00:00,0.3626569,0.4295399,2024-01-11,14
2024-01-11 15:00:00,0.2334176,0.2893499,2024-01-11,15
2024-01-11 16:00:00,0.07253972,0.09025724,2024-01-11,16
2024-01-11 17:00:00,0.000679645,0.0,2024-01-11,17
2024-01-11 18:00:00,0.0,0.0,2024-01-11,18
2024-01-11 19:00:00,0.0,0.0,2024-01-11,19
2024-01-11 20:00:00,0.0,0.0,2024-01-11,20
2024-01-11 21:00:00,0.0,0.0,2024-01-11,21
2024-01-11 22:00:00,0.0,0.0,2024-01-11,22
2024-01-11 23:00:00,0.0,0.0,2024-01-11,23
2024-01-12 00:00:00,0.0,0.0,2024-01-12,0
2024-01-12 01:00:00,0.0,0.0,2024-01-12,1
2024-01-12 02:00:00,0.0,0.0,2024-01-12,2
2024-01-12 03:00:00,0.0,0.0,2024-01-12,3
