date_time,global_solar_kw/m2,incident_solar_kw/m2,date,hour
2024-01-01 00:00:00,0.0,0.0,2024-01-01,0
2024-01-01 01:00:00,0.0,0.0,2024-01-01,1
2024-01-01 02:00:00,0.0,0.0,2024-01-01,2
2024-01-01 03:00:00,0.0,0.0,2024-01-01,3
2024-01-01 04:00:00,0.0,0.0,2024-01-01,4
2024-01-01 05:00:00,0.0,0.0,2024-01-01,5
2024-01-01 06:00:00,0.02755328,0.06116009,2024-01-01,6
2024-01-01 07:00:00,0.1897509,0.2790097,2024-01-01,7
2024-01-01 08:00:00,0.4170048,0.5923046,2024-01-01,8
2024-01-01 09:00:00,0.3545689,0.3913691,2024-01-01,9
2024-01-01 10:00:00,0.3752045,0.3962615,2024-01-01,10
2024-01-01 11:00:00,0.6689849,0.8539702,2024-01-01,11
2024-01-01 12:00:00,0.4719581,0.5344895,2024-01-01,12
2024-01-01 13:00:00,0.4369957,0.5101659,2024-01-01,13
2024-01-01 14:00:00,0.2640724,0.2821442,2024-01-01,14
2024-01-01 15:00:00,0.1705371,0.1894875,2024-01-01,15
2024-01-01 16:00:00,0.06774324,0.1080883,2024-01-01,16
2024-01-01 17:00:00,0.0,0.0,2024-01-01,17
2024-01-01 18:00:00,0.0,0.0,2024-01-01,18
2024-01-01 19:00:00,0.0,0.0,2024-01-01,19
2024-01-01 20:00:00,0.0,0.0,2024-01-01,20
2024-01-01 21:00:00,0.0,0.0,2024-01-01,21
2024-01-01 22:00:00,0.0,0.0,2024-01-01,22
2024-01-01 23:00:00,0.0,0.0,2024-01-01,23
2024-01-02 00:00:00,0.0,0.0,2024-01-02,0
2024-01-02 01:00:00,0.0,0.0,2024-01-02,1
2024-01-02 02:00:00,0.0,0.0,2024-01-02,2
2024-01-02 03:00:00,0.0,0.0,2024-01-02,3
2024-01-02 04:00:00,0.0,0.0,2024-01-02,4
2024-01-02 05:00:00,0.0,0.0,2024-01-02,5
2024-01-02 06:00:00,0.03380566,0.1133568,2024-01-02,6
2024-01-02 07:00:00,0.2361244,0.3967681,2024-01-02,7
2024-01-02 08:00:00,0.4764012,0.689065,2024-01-02,8
2024-01-02 09:00:00,0.6233099,0.8439041,2024-01-02,9
2024-01-02 10:00:00,0.6135798,0.783357,2024-01-02,10
2024-01-02 11:00:00,0.544201,0.6442996,2024-01-02,11
2024-01-02 12:00:00,0.4672055,0.5262711,2024-01-02,12
2024-01-02 13:00:00,0.6087542,0.8047396,2024-01-02,13
2024-01-02 14:00:00,0.4412292,0.596195,2024-01-02,14
2024-01-02 15:00:00,0.3383466,0.5340351,2024-01-02,15
2024-01-02 16:00:00,0.0846296,0.1716192,2024-01-02,16
2024-01-02 17:00:00,0.0,0.0,2024-01-02,17
2024-01-02 18:00:00,0.0,0.0,2024-01-02,18
2024-01-02 19:00:00,0.0,0.0,2024-01-02,19
2024-01-02 20:00:00,0.0,0.0,2024-01-02,20
2024-01-02 21:00:00,0.0,0.0,2024-01-02,21
2024-01-02 22:00:00,0.0,0.0,2024-01-02,22
2024-01-02 23:00:00,0.0,0.0,2024-01-02,23
2024-01-03 00:00:00,0.0,0.0,2024-01-03,0
2024-01-03 01:00:00,0.0,0.0,2024-01-03,1
2024-01-03 02:00:00,0.0,0.0,2024-01-03,2
2024-01-03 03:00:00,0.0,0.0,2024-01-03,3
2024-01-03 04:00:00,0.0,0.0,2024-01-03,4
2024-01-03 05:00:00,0.0,0.0,2024-01-03,5
2024-01-03 06:00:00,0.02155655,0.03283763,2024-01-03,6
2024-01-03 07:00:00,0.1830876,0.2631636,2024-01-03,7
2024-01-03 08:00:00,0.3318907,0.4258873,2024-01-03,8
2024-01-03 09:00:00,0.3643262,0.4063993,2024-01-03,9
2024-01-03 10:00:00,0.7239981,0.9514925,2024-01-03,10
2024-01-03 11:00:00,0.5690433,0.6855377,2024-01-03,11
2024-01-03 12:00:00,0.4168401,0.4493585,2024-01-03,12
2024-01-03 13:00:00,0.491658,0.6031103,2024-01-03,13
2024-01-03 14:00:00,0.4306146,0.5745739,2024-01-03,14
2024-01-03 15:00:00,0.3008618,0.461117,2024-01-03,15
2024-01-03 16:00:00,0.08576211,0.1703917,2024-01-03,16
2024-01-03 17:00:00,2.3464e-07,0.0,2024-01-03,17
2024-01-03 18:00:00,0.0,0.0,2024-01-03,18
2024-01-03 19:00:00,0.0,0.0,2024-01-03,19
2024-01-03 20:00:00,0.0,0.0,2024-01-03,20
2024-01-03 21:00:00,0.0,0.0,2024-01-03,21
2024-01-03 22:00:00,0.0,0.0,2024-01-03,22
2024-01-03 23:00:00,0.0,0.0,2024-01-03,23
2024-01-04 00:00:00,0.0,0.0,2024-01-04,0
2024-01-04 01:00:00,0.0,0.0,2024-01-04,1
2024-01-04 02:00:00,0.0,0.0,2024-01-04,2
2024-01-04 03:00:00,0.0,0.0,2024-01-04,3
2024-01-04 04:00:00,0.0,0.0,2024-01-04,4
2024-01-04 05:00:00,0.0,0.0,2024-01-04,5
2024-01-04 06:00:00,0.03364551,0.1171862,2024-01-04,6
2024-01-04 07:00:00,0.2520369,0.4313966,2024-01-04,7
2024-01-04 08:00:00,0.4671468,0.674365,2024-01-04,8
2024-01-04 09:00:00,0.635435,0.8595849,2024-01-04,9
2024-01-04 10:00:00,0.7143055,0.93721,2024-01-04,10
2024-01-04 11:00:00,0.7676595,0.9980286,2024-01-04,11
2024-01-04 12:00:00,0.7816805,1.022055,2024-01-04,12
2024-01-04 13:00:00,0.6240002,0.8257812,2024-01-04,13
2024-01-04 14:00:00,0.4854789,0.6708026,2024-01-04,14
2024-01-04 15:00:00,0.3164957,0.4899606,2024-01-04,15
2024-01-04 16:00:00,0.1157175,0.2807674,2024-01-04,16
2024-01-04 17:00:00,1.62442e-05,0.0,2024-01-04,17
2024-01-04 18:00:00,0.0,0.0,2024-01-04,18
2024-01-04 19:00:00,0.0,0.0,2024-01-04,19
2024-01-04 20:00:00,0.0,0.0,2024-01-04,20
2024-01-04 21:00:00,0.0,0.0,2024-01-04,21
2024-01-04 22:00:00,0.0,0.0,2024-01-04,22
2024-01-04 23:00:00,0.0,0.0,2024-01-04,23
2024-01-05 00:00:00,0.0,0.0,2024-01-05,0
2024-01-05 01:00:00,0.0,0.0,2024-01-05,1
2024-01-05 02:00:00,0.0,0.0,2024-01-05,2
2024-01-05 03:00:00,0.0,0.0,2024-01-05,3
2024-01-05 04:00:00,0.0,0.0,2024-01-05,4
2024-01-05 05:00:00,0.0,0.0,2024-01-05,5
2024-01-05 06:00:00,0.01501744,0.01672653,2024-01-05,6
2024-01-05 07:00:00,0.1012558,0.1041902,2024-01-05,7
2024-01-05 08:00:00,0.2682169,0.3064823,2024-01-05,8
2024-01-05 09:00:00,0.2991836,0.3117686,2024-01-05,9
2024-01-05 10:00:00,0.4778243,0.5506298,2024-01-05,10
2024-01-05 11:00:00,0.6375692,0.7990226,2024-01-05,11
2024-01-05 12:00:00,0.6365041,0.8065436,2024-01-05,12
2024-01-05 13:00:00,0.5334822,0.6739728,2024-01-05,13
2024-01-05 14:00:00,0.3462302,0.4122511,2024-01-05,14
2024-01-05 15:00:00,0.2007936,0.2386041,2024-01-05,15
2024-01-05 16:00:00,0.05903829,0.07255982,2024-01-05,16
2024-01-05 17:00:00,5.85237e-05,0.0,2024-01-05,17
2024-01-05 18:00:00,0.0,0.0,2024-01-05,18
2024-01-05 19:00:00,0.0,0.0,2024-01-05,19
2024-01-05 20:00:00,0.0,0.0,2024-01-05,20
2024-01-05 21:00:00,0.0,0.0,2024-01-05,21
2024-01-05 22:00:00,0.0,0.0,2024-01-05,22
2024-01-05 23:00:00,0.0,0.0,2024-01-05,23
2024-01-06 00:00:00,0.0,0.0,2024-01-06,0
2024-01-06 01:00:00,0.0,0.0,2024-01-06,1
2024-01-06 02:00:00,0.0,0.0,2024-01-06,2
2024-01-06 03:00:00,0.0,0.0,2024-01-06,3
2024-01-06 04:00:00,0.0,0.0,2024-01-06,4
2024-01-06 05:00:00,0.0,0.0,2024-01-06,5
2024-01-06 06:00:00,0.03065782,0.09459782,2024-01-06,6
2024-01-06 07:00:00,0.1984041,0.3042546,2024-01-06,7
2024-01-06 08:00:00,0.3600717,0.4818503,2024-01-06,8
2024-01-06 09:00:00,0.4491202,0.5502228,2024-01-06,9
2024-01-06 10:00:00,0.4673557,0.5330003,2024-01-06,10
2024-01-06 11:00:00,0.5014802,0.5710575,2024-01-06,11
2024-01-06 12:00:00,0.5768487,0.7051001,2024-01-06,12
2024-01-06 13:00:00,0.5730931,0.7404597,2024-01-06,13
2024-01-06 14:00:00,0.4372427,0.5810401,2024-01-06,14
2024-01-06 15:00:00,0.2058799,0.2468293,2024-01-06,15
2024-01-06 16:00:00,0.08901691,0.1659999,2024-01-06,16
2024-01-06 17:00:00,5.47417e-05,0.0,2024-01-06,17
2024-01-06 18:00:00,0.0,0.0,2024-01-06,18
2024-01-06 19:00:00,0.0,0.0,2024-01-06,19
2024-01-06 20:00:00,0.0,0.0,2024-01-06,20
2024-01-06 21:00:00,0.0,0.0,2024-01-06,21
2024-01-06 22:00:00,0.0,0.0,2024-01-06,22
2024-01-06 23:00:00,0.0,0.0,2024-01-06,23
2024-01-07 00:00:00,0.0,0.0,2024-01-07,0
2024-01-07 01:00:00,0.0,0.0,2024-01-07,1
2024-01-07 02:00:00,0.0,0.0,2024-01-07,2
2024-01-07 03:00:00,0.0,0.0,2024-01-07,3
2024-01-07 04:00:00,0.0,0.0,2024-01-07,4
2024-01-07 05:00:00,0.0,0.0,2024-01-07,5
2024-01-07 06:00:00,0.03229444,0.1111706,2024-01-07,6
2024-01-07 07:00:00,0.2354165,0.3958631,2024-01-07,7
2024-01-07 08:00:00,0.379391,0.5196406,2024-01-07,8
2024-01-07 09:00:00,0.5486629,0.7251529,2024-01-07,9
2024-01-07 10:00:00,0.7243645,0.9484388,2024-01-07,10
2024-01-07 11:00:00,0.7627985,0.9881889,2024-01-07,11
2024-01-07 12:00:00,0.7028729,0.9081699,2024-01-07,12
2024-01-07 13:00:00,0.5802438,0.7507453,2024-01-07,13
2024-01-07 14:00:00,0.4616583,0.6235001,2024-01-07,14
2024-01-07 15:00:00,0.2742739,0.3919107,2024-01-07,15
2024-01-07 16:00:00,0.09240919,0.1736451,2024-01-07,16
2024-01-07 17:00:00,0.000133707,0.0,2024-01-07,17
2024-01-07 18:00:00,0.0,0.0,2024-01-07,18
2024-01-07 19:00:00,0.0,0.0,2024-01-07,19
2024-01-07 20:00:00,0.0,0.0,2024-01-07,20
2024-01-07 21:00:00,0.0,0.0,2024-01-07,21
2024-01-07 22:00:00,0.0,0.0,2024-01-07,22
2024-01-07 23:00:00,0.0,0.0,2024-01-07,23
2024-01-08 00:00:00,0.0,0.0,2024-01-08,0
2024-01-08 01:00:00,0.0,0.0,2024-01-08,1
2024-01-08 02:00:00,0.0,0.0,2024-01-08,2
2024-01-08 03:00:00,0.0,0.0,2024-01-08,3
2024-01-08 04:00:00,0.0,0.0,2024-01-08,4
2024-01-08 05:00:00,0.0,0.0,2024-01-08,5
2024-01-08 06:00:00,0.01844432,0.02465073,2024-01-08,6
2024-01-08 07:00:00,0.1465195,0.1787528,2024-01-08,7
2024-01-08 08:00:00,0.3347593,0.4305027,2024-01-08,8
2024-01-08 09:00:00,0.4003043,0.4638173,2024-01-08,9
2024-01-08 10:00:00,0.5269164,0.6310218,2024-01-08,10
2024-01-08 11:00:00,0.5594371,0.6646539,2024-01-08,11
2024-01-08 12:00:00,0.5810807,0.7095977,2024-01-08,12
2024-01-08 13:00:00,0.6136382,0.8032846,2024-01-08,13
2024-01-08 14:00:00,0.4501986,0.6006452,2024-01-08,14
2024-01-08 15:00:00,0.266571,0.371787,2024-01-08,15
2024-01-08 16:00:00,0.1064934,0.2229033,2024-01-08,16
2024-01-08 17:00:00,0.000186921,0.0,2024-01-08,17
2024-01-08 18:00:00,0.0,0.0,2024-01-08,18
2024-01-08 19:00:00,0.0,0.0,2024-01-08,19
2024-01-08 20:00:00,0.0,0.0,2024-01-08,20
2024-01-08 21:00:00,0.0,0.0,2024-01-08,21
2024-01-08 22:00:00,0.0,0.0,2024-01-08,22
2024-01-08 23:00:00,0.0,0.0,2024-01-08,23
2024-01-09 00:00:00,0.0,0.0,2024-01-09,0
2024-01-09 01:00:00,0.0,0.0,2024-01-09,1
2024-01-09 02:00:00,0.0,0.0,2024-01-09,2
2024-01-09 03:00:00,0.0,0.0,2024-01-09,3
2024-01-09 04:00:00,0.0,0.0,2024-01-09,4
2024-01-09 05:00:00,0.0,0.0,2024-01-09,5
2024-01-09 06:00:00,0.02919733,0.08670456,2024-01-09,6
2024-01-09 07:00:00,0.08084252,0.08054819,2024-01-09,7
2024-01-09 08:00:00,0.1794655,0.1807414,2024-01-09,8
2024-01-09 09:00:00,0.3653655,0.406427,2024-01-09,9
2024-01-09 10:00:00,0.5724118,0.7077708,2024-01-09,10
2024-01-09 11:00:00,0.564152,0.6714551,2024-01-09,11
2024-01-09 12:00:00,0.6491346,0.8213215,2024-01-09,12
2024-01-09 13:00:00,0.3426856,0.3598126,2024-01-09,13
2024-01-09 14:00:00,0.1773548,0.175175,2024-01-09,14
2024-01-09 15:00:00,0.1724905,0.1862713,2024-01-09,15
2024-01-09 16:00:00,0.05688923,0.06346568,2024-01-09,16
2024-01-09 17:00:00,0.000248404,0.0,2024-01-09,17
2024-01-09 18:00:00,0.0,0.0,2024-01-09,18
2024-01-09 19:00:00,0.0,0.0,2024-01-09,19
2024-01-09 20:00:00,0.0,0.0,2024-01-09,20
2024-01-09 21:00:00,0.0,0.0,2024-01-09,21
2024-01-09 22:00:00,0.0,0.0,2024-01-09,22
2024-01-09 23:00:00,0.0,0.0,2024-01-09,23
2024-01-10 00:00:00,0.0,0.0,2024-01-10,0
2024-01-10 01:00:00,0.0,0.0,2024-01-10,1
2024-01-10 02:00:00,0.0,0.0,2024-01-10,2
2024-01-10 03:00:00,0.0,0.0,2024-01-10,3
2024-01-10 04:00:00,0.0,0.0,2024-01-10,4
2024-01-10 05:00:00,0.0,0.0,2024-01-10,5
2024-01-10 06:00:00,0.02905436,0.08665645,2024-01-10,6
2024-01-10 07:00:00,0.2131751,0.341903,2024-01-10,7
2024-01-10 08:00:00,0.3767198,0.5125018,2024-01-10,8
2024-01-10 09:00:00,0.5846454,0.7800505,2024-01-10,9
2024-01-10 10:00:00,0.7155205,0.9326736,2024-01-10,10
2024-01-10 11:00:00,0.8558233,1.108852,2024-01-10,11
2024-01-10 12:00:00,0.8268604,1.074785,2024-01-10,12
2024-01-10 13:00:00,0.717894,0.950161,2024-01-10,13
2024-01-10 14:00:00,0.5689952,0.7869598,2024-01-10,14
2024-01-10 15:00:00,0.3039767,0.4474885,2024-01-10,15
2024-01-10 16:00:00,0.1126603,0.232894,2024-01-10,16
2024-01-10 17:00:00,0.000389965,0.0,2024-01-10,17
2024-01-10 18:00:00,0.0,0.0,2024-01-10,18
2024-01-10 19:00:00,0.0,0.0,2024-01-10,19
2024-01-10 20:00:00,0.0,0.0,2024-01-10,20
2024-01-10 21:00:00,0.0,0.0,2024-01-10,21
2024-01-10 22:00:00,0.0,0.0,2024-01-10,22
2024-01-10 23:00:00,0.0,0.0,2024-01-10,23
2024-01-11 00:00:00,0.0,0.0,2024-01-11,0
2024-01-11 01:00:00,0.0,0.0,2024-01-11,1
2024-01-11 02:00:00,0.0,0.0,2024-01-11,2
2024-01-11 03:00:00,0.0,0.0,2024-01-11,3
2024-01-11 04:00:00,0.0,0.0,2024-01-11,4
2024-01-11 05:00:00,0.0,0.0,2024-01-11,5
2024-01-11 06:00:00,0.0287168,0.08477518,2024-01-11,6
2024-01-11 07:00:00,0.1808837,0.2586731,2024-01-11,7
2024-01-11 08:00:00,0.3269033,0.4134238,2024-01-11,8
2024-01-11 09:00:00,0.4209391,0.4973204,2024-01-11,9
2024-01-11 10:00:00,0.7532086,0.9827248,2024-01-11,10
2024-01-11 11:00:00,0.7213079,0.9232277,2024-01-11,11
2024-01-11 12:00:00,0.6613454,0.8376377,2024-01-11,12
2024-01-11 13:00:00,0.3973457,0.4366217,2024-01-11,13
2024-01-11 14:00:00,0.3581244,0.4243672,2024-01-11,14
2024-01-11 15:00:00,0.2297714,0.2850072,2024-01-11,15
2024-01-11 16:00:00,0.07042513,0.08780714,2024-01-11,16
2024-01-11 17:00:00,0.000519448,0.0,2024-01-11,17
2024-01-11 18:00:00,0.0,0.0,2024-01-11,18
2024-01-11 19:00:00,0.0,0.0,2024-01-11,19
2024-01-11 20:00:00,0.0,0.0,2024-01-11,20
2024-01-11 21:00:00,0.0,0.0,2024-01-11,21
2024-01-11 22:00:00,0.0,0.0,2024-01-11,22
2024-01-11 23:00:00,0.0,0.0,2024-01-11,23
2024-01-12 00:00:00,0.0,0.0,2024-01-12,0
2024-01-12 01:00:00,0.0,0.0,2024-01-12,1
2024-01-12 02:00:00,0.0,0.0,2024-01-12,2
2024-01-12 03:00:00,0.0,0.0,2024-01-12,3
