date_time,global_solar_kw/m2,incident_solar_kw/m2,date,hour
2024-01-01 00:00:00,0.0,0.0,2024-01-01,0
2024-01-01 01:00:00,0.0,0.0,2024-01-01,1
2024-01-01 02:00:00,0.0,0.0,2024-01-01,2
2024-01-01 03:00:00,0.0,0.0,2024-01-01,3
2024-01-01 04:00:00,0.0,0.0,2024-01-01,4
2024-01-01 05:00:00,0.0,0.0,2024-01-01,5
2024-01-01 06:00:00,0.0201489,0.04623107,2024-01-01,6
2024-01-01 07:00:00,0.1719029,0.2721193,2024-01-01,7
2024-01-01 08:00:00,0.3870541,0.5775831,2024-01-01,8
2024-01-01 09:00:00,0.3352814,0.3797893,2024-01-01,9
2024-01-01 10:00:00,0.3573649,0.3849911,2024-01-01,10
2024-01-01 11:00:00,0.6284134,0.8347015,2024-01-01,11
2024-01-01 12:00:00,0.4440638,0.5185134,2024-01-01,12
2024-01-01 13:00:00,0.4059647,0.4908701,2024-01-01,13
2024-01-01 14:00:00,0.2415202,0.2643826,2024-01-01,14
2024-01-01 15:00:00,0.1477092,0.1706418,2024-01-01,15
2024-01-01 16:00:00,0.04474006,0.09450743,2024-01-01,16
2024-01-01 17:00:00,0.0,0.0,2024-01-01,17
2024-01-01 18:00:00,0.0,0.0,2024-01-01,18
2024-01-01 19:00:00,0.0,0.0,2024-01-01,19
2024-01-01 20:00:00,0.0,0.0,2024-01-01,20
2024-01-01 21:00:00,0.0,0.0,2024-01-01,21
2024-01-01 22:00:00,0.0,0.0,2024-01-01,22
2024-01-01 23:00:00,0.0,0.0,2024-01-01,23
2024-01-02 00:00:00,0.0,0.0,2024-01-02,0
2024-01-02 01:00:00,0.0,0.0,2024-01-02,1
2024-01-02 02:00:00,0.0,0.0,2024-01-02,2
2024-01-02 03:00:00,0.0,0.0,2024-01-02,3
2024-01-02 04:00:00,0.0,0.0,2024-01-02,4
2024-01-02 05:00:00,0.0,0.0,2024-01-02,5
2024-01-02 06:00:00,0.02460032,0.08432389,2024-01-02,6
2024-01-02 07:00:00,0.2106977,0.3806222,2024-01-02,7
2024-01-02 08:00:00,0.4391184,0.6667804,2024-01-02,8
2024-01-02 09:00:00,0.5831533,0.8235018,2024-01-02,9
2024-01-02 10:00:00,0.5772567,0.7666555,2024-01-02,10
2024-01-02 11:00:00,0.5149174,0.6319183,2024-01-02,11
2024-01-02 12:00:00,0.4426951,0.5153532,2024-01-02,12
2024-01-02 13:00:00,0.5617254,0.7763946,2024-01-02,13
2024-01-02 14:00:00,0.3986666,0.5673052,2024-01-02,14
2024-01-02 15:00:00,0.2892615,0.4953326,2024-01-02,15
2024-01-02 16:00:00,0.05510659,0.1514634,2024-01-02,16
2024-01-02 17:00:00,0.0,0.0,2024-01-02,17
2024-01-02 18:00:00,0.0,0.0,2024-01-02,18
2024-01-02 19:00:00,0.0,0.0,2024-01-02,19
2024-01-02 20:00:00,0.0,0.0,2024-01-02,20
2024-01-02 21:00:00,0.0,0.0,2024-01-02,21
2024-01-02 22:00:00,0.0,0.0,2024-01-02,22
2024-01-02 23:00:00,0.0,0.0,2024-01-02,23
2024-01-03 00:00:00,0.0,0.0,2024-01-03,0
2024-01-03 01:00:00,0.0,0.0,2024-01-03,1
2024-01-03 02:00:00,0.0,0.0,2024-01-03,2
2024-01-03 03:00:00,0.0,0.0,2024-01-03,3
2024-01-03 04:00:00,0.0,0.0,2024-01-03,4
2024-01-03 05:00:00,0.0,0.0,2024-01-03,5
2024-01-03 06:00:00,0.01588916,0.02517891,2024-01-03,6
2024-01-03 07:00:00,0.1646496,0.2525395,2024-01-03,7
2024-01-03 08:00:00,0.3080135,0.4118285,2024-01-03,8
2024-01-03 09:00:00,0.3456733,0.3969387,2024-01-03,9
2024-01-03 10:00:00,0.679653,0.9294725,2024-01-03,10
2024-01-03 11:00:00,0.5367867,0.6705785,2024-01-03,11
2024-01-03 12:00:00,0.3951803,0.4368705,2024-01-03,12
2024-01-03 13:00:00,0.4560854,0.5823696,2024-01-03,13
2024-01-03 14:00:00,0.3892584,0.5462673,2024-01-03,14
2024-01-03 15:00:00,0.2571971,0.4265283,2024-01-03,15
2024-01-03 16:00:00,0.05646796,0.1511616,2024-01-03,16
2024-01-03 17:00:00,0.0,0.0,2024-01-03,17
2024-01-03 18:00:00,0.0,0.0,2024-01-03,18
2024-01-03 19:00:00,0.0,0.0,2024-01-03,19
2024-01-03 20:00:00,0.0,0.0,2024-01-03,20
2024-01-03 21:00:00,0.0,0.0,2024-01-03,21
2024-01-03 22:00:00,0.0,0.0,2024-01-03,22
2024-01-03 23:00:00,0.0,0.0,2024-01-03,23
2024-01-04 00:00:00,0.0,0.0,2024-01-04,0
2024-01-04 01:00:00,0.0,0.0,2024-01-04,1
2024-01-04 02:00:00,0.0,0.0,2024-01-04,2
2024-01-04 03:00:00,0.0,0.0,2024-01-04,3
2024-01-04 04:00:00,0.0,0.0,2024-01-04,4
2024-01-04 05:00:00,0.0,0.0,2024-01-04,5
2024-01-04 06:00:00,0.02446691,0.08698553,2024-01-04,6
2024-01-04 07:00:00,0.2265254,0.4175342,2024-01-04,7
2024-01-04 08:00:00,0.4338689,0.6574845,2024-01-04,8
2024-01-04 09:00:00,0.5950611,0.8394929,2024-01-04,9
2024-01-04 10:00:00,0.6716306,0.9170869,2024-01-04,10
2024-01-04 11:00:00,0.7211135,0.9752209,2024-01-04,11
2024-01-04 12:00:00,0.7306647,0.9950528,2024-01-04,12
2024-01-04 13:00:00,0.5766935,0.7978644,2024-01-04,13
2024-01-04 14:00:00,0.4390141,0.6394668,2024-01-04,14
2024-01-04 15:00:00,0.2716631,0.4555117,2024-01-04,15
2024-01-04 16:00:00,0.07675005,0.2555663,2024-01-04,16
2024-01-04 17:00:00,0.0,0.0,2024-01-04,17
2024-01-04 18:00:00,0.0,0.0,2024-01-04,18
2024-01-04 19:00:00,0.0,0.0,2024-01-04,19
2024-01-04 20:00:00,0.0,0.0,2024-01-04,20
2024-01-04 21:00:00,0.0,0.0,2024-01-04,21
2024-01-04 22:00:00,0.0,0.0,2024-01-04,22
2024-01-04 23:00:00,0.0,0.0,2024-01-04,23
2024-01-05 00:00:00,0.0,0.0,2024-01-05,0
2024-01-05 01:00:00,0.0,0.0,2024-01-05,1
2024-01-05 02:00:00,0.0,0.0,2024-01-05,2
2024-01-05 03:00:00,0.0,0.0,2024-01-05,3
2024-01-05 04:00:00,0.0,0.0,2024-01-05,4
2024-01-05 05:00:00,0.0,0.0,2024-01-05,5
2024-01-05 06:00:00,0.01092299,0.01223341,2024-01-05,6
2024-01-05 07:00:00,0.09465514,0.09982079,2024-01-05,7
2024-01-05 08:00:00,0.2556803,0.3046075,2024-01-05,8
2024-01-05 09:00:00,0.2883997,0.307026,2024-01-05,9
2024-01-05 10:00:00,0.4593001,0.5501573,2024-01-05,10
2024-01-05 11:00:00,0.608281,0.7959629,2024-01-05,11
2024-01-05 12:00:00,0.6027479,0.7979615,2024-01-05,12
2024-01-05 13:00:00,0.5008075,0.6634015,2024-01-05,13
2024-01-05 14:00:00,0.3205677,0.4011483,2024-01-05,14
2024-01-05 15:00:00,0.177388,0.224545,2024-01-05,15
2024-01-05 16:00:00,0.04067932,0.05944473,2024-01-05,16
2024-01-05 17:00:00,0.0,0.0,2024-01-05,17
2024-01-05 18:00:00,0.0,0.0,2024-01-05,18
2024-01-05 19:00:00,0.0,0.0,2024-01-05,19
2024-01-05 20:00:00,0.0,0.0,2024-01-05,20
2024-01-05 21:00:00,0.0,0.0,2024-01-05,21
2024-01-05 22:00:00,0.0,0.0,2024-01-05,22
2024-01-05 23:00:00,0.0,0.0,2024-01-05,23
2024-01-06 00:00:00,0.0,0.0,2024-01-06,0
2024-01-06 01:00:00,0.0,0.0,2024-01-06,1
2024-01-06 02:00:00,0.0,0.0,2024-01-06,2
2024-01-06 03:00:00,0.0,0.0,2024-01-06,3
2024-01-06 04:00:00,0.0,0.0,2024-01-06,4
2024-01-06 05:00:00,0.0,0.0,2024-01-06,5
2024-01-06 06:00:00,0.02235745,0.07080779,2024-01-06,6
2024-01-06 07:00:00,0.178892,0.2946608,2024-01-06,7
2024-01-06 08:00:00,0.3340522,0.4672477,2024-01-06,8
2024-01-06 09:00:00,0.4222618,0.5363891,2024-01-06,9
2024-01-06 10:00:00,0.443087,0.5209103,2024-01-06,10
2024-01-06 11:00:00,0.4751416,0.558046,2024-01-06,11
2024-01-06 12:00:00,0.5405059,0.6858444,2024-01-06,12
2024-01-06 13:00:00,0.5298371,0.7145188,2024-01-06,13
2024-01-06 14:00:00,0.395956,0.5528991,2024-01-06,14
2024-01-06 15:00:00,0.17841,0.2247895,2024-01-06,15
2024-01-06 16:00:00,0.05999227,0.1460883,2024-01-06,16
2024-01-06 17:00:00,0.0,0.0,2024-01-06,17
2024-01-06 18:00:00,0.0,0.0,2024-01-06,18
2024-01-06 19:00:00,0.0,0.0,2024-01-06,19
2024-01-06 20:00:00,0.0,0.0,2024-01-06,20
2024-01-06 21:00:00,0.0,0.0,2024-01-06,21
2024-01-06 22:00:00,0.0,0.0,2024-01-06,22
2024-01-06 23:00:00,0.0,0.0,2024-01-06,23
2024-01-07 00:00:00,0.0,0.0,2024-01-07,0
2024-01-07 01:00:00,0.0,0.0,2024-01-07,1
2024-01-07 02:00:00,0.0,0.0,2024-01-07,2
2024-01-07 03:00:00,0.0,0.0,2024-01-07,3
2024-01-07 04:00:00,0.0,0.0,2024-01-07,4
2024-01-07 05:00:00,0.0,0.0,2024-01-07,5
2024-01-07 06:00:00,0.02358712,0.08322995,2024-01-07,6
2024-01-07 07:00:00,0.2101332,0.3793873,2024-01-07,7
2024-01-07 08:00:00,0.3523109,0.5054367,2024-01-07,8
2024-01-07 09:00:00,0.5150247,0.7096683,2024-01-07,9
2024-01-07 10:00:00,0.6811623,0.9277451,2024-01-07,10
2024-01-07 11:00:00,0.7166571,0.9655071,2024-01-07,11
2024-01-07 12:00:00,0.6576114,0.8849425,2024-01-07,12
2024-01-07 13:00:00,0.538442,0.727869,2024-01-07,13
2024-01-07 14:00:00,0.4192593,0.5961546,2024-01-07,14
2024-01-07 15:00:00,0.2367788,0.3634153,2024-01-07,15
2024-01-07 16:00:00,0.06215404,0.1498474,2024-01-07,16
2024-01-07 17:00:00,0.0,0.0,2024-01-07,17
2024-01-07 18:00:00,0.0,0.0,2024-01-07,18
2024-01-07 19:00:00,0.0,0.0,2024-01-07,19
2024-01-07 20:00:00,0.0,0.0,2024-01-07,20
2024-01-07 21:00:00,0.0,0.0,2024-01-07,21
2024-01-07 22:00:00,0.0,0.0,2024-01-07,22
2024-01-07 23:00:00,0.0,0.0,2024-01-07,23
2024-01-08 00:00:00,0.0,0.0,2024-01-08,0
2024-01-08 01:00:00,0.0,0.0,2024-01-08,1
2024-01-08 02:00:00,0.0,0.0,2024-01-08,2
2024-01-08 03:00:00,0.0,0.0,2024-01-08,3
2024-01-08 04:00:00,0.0,0.0,2024-01-08,4
2024-01-08 05:00:00,0.0,0.0,2024-01-08,5
2024-01-08 06:00:00,0.01367408,0.01891242,2024-01-08,6
2024-01-08 07:00:00,0.1336866,0.1720283,2024-01-08,7
2024-01-08 08:00:00,0.3117301,0.418098,2024-01-08,8
2024-01-08 09:00:00,0.3783332,0.4525323,2024-01-08,9
2024-01-08 10:00:00,0.4982132,0.6178367,2024-01-08,10
2024-01-08 11:00:00,0.5285434,0.6501015,2024-01-08,11
2024-01-08 12:00:00,0.5452815,0.6913486,2024-01-08,12
2024-01-08 13:00:00,0.5680604,0.7766801,2024-01-08,13
2024-01-08 14:00:00,0.4086402,0.5731141,2024-01-08,14
2024-01-08 15:00:00,0.2306784,0.3446279,2024-01-08,15
2024-01-08 16:00:00,0.07268436,0.1991178,2024-01-08,16
2024-01-08 17:00:00,0.0,0.0,2024-01-08,17
2024-01-08 18:00:00,0.0,0.0,2024-01-08,18
2024-01-08 19:00:00,0.0,0.0,2024-01-08,19
2024-01-08 20:00:00,0.0,0.0,2024-01-08,20
2024-01-08 21:00:00,0.0,0.0,2024-01-08,21
2024-01-08 22:00:00,0.0,0.0,2024-01-08,22
2024-01-08 23:00:00,0.0,0.0,2024-01-08,23
2024-01-09 00:00:00,0.0,0.0,2024-01-09,0
2024-01-09 01:00:00,0.0,0.0,2024-01-09,1
2024-01-09 02:00:00,0.0,0.0,2024-01-09,2
2024-01-09 03:00:00,0.0,0.0,2024-01-09,3
2024-01-09 04:00:00,0.0,0.0,2024-01-09,4
2024-01-09 05:00:00,0.0,0.0,2024-01-09,5
2024-01-09 06:00:00,0.02142479,0.06560782,2024-01-09,6
2024-01-09 07:00:00,0.07591064,0.07636403,2024-01-09,7
2024-01-09 08:00:00,0.1712552,0.1744481,2024-01-09,8
2024-01-09 09:00:00,0.3473242,0.3975146,2024-01-09,9
2024-01-09 10:00:00,0.5422582,0.6968975,2024-01-09,10
2024-01-09 11:00:00,0.5346391,0.6597028,2024-01-09,11
2024-01-09 12:00:00,0.6100875,0.8039172,2024-01-09,12
2024-01-09 13:00:00,0.3223478,0.345352,2024-01-09,13
2024-01-09 14:00:00,0.1657205,0.1645956,2024-01-09,14
2024-01-09 15:00:00,0.1521218,0.1698959,2024-01-09,15
2024-01-09 16:00:00,0.04023251,0.04969795,2024-01-09,16
2024-01-09 17:00:00,0.0,0.0,2024-01-09,17
2024-01-09 18:00:00,0.0,0.0,2024-01-09,18
2024-01-09 19:00:00,0.0,0.0,2024-01-09,19
2024-01-09 20:00:00,0.0,0.0,2024-01-09,20
2024-01-09 21:00:00,0.0,0.0,2024-01-09,21
2024-01-09 22:00:00,0.0,0.0,2024-01-09,22
2024-01-09 23:00:00,0.0,0.0,2024-01-09,23
2024-01-10 00:00:00,0.0,0.0,2024-01-10,0
2024-01-10 01:00:00,0.0,0.0,2024-01-10,1
2024-01-10 02:00:00,0.0,0.0,2024-01-10,2
2024-01-10 03:00:00,0.0,0.0,2024-01-10,3
2024-01-10 04:00:00,0.0,0.0,2024-01-10,4
2024-01-10 05:00:00,0.0,0.0,2024-01-10,5
2024-01-10 06:00:00,0.02134679,0.06556135,2024-01-10,6
2024-01-10 07:00:00,0.1917419,0.3298568,2024-01-10,7
2024-01-10 08:00:00,0.3496757,0.497461,2024-01-10,8
2024-01-10 09:00:00,0.5481627,0.7621954,2024-01-10,9
2024-01-10 10:00:00,0.6728704,0.9120556,2024-01-10,10
2024-01-10 11:00:00,0.8068335,1.086946,2024-01-10,11
2024-01-10 12:00:00,0.7742428,1.047458,2024-01-10,12
2024-01-10 13:00:00,0.6657401,0.9199079,2024-01-10,13
2024-01-10 14:00:00,0.5169137,0.7521325,2024-01-10,14
2024-01-10 15:00:00,0.2629277,0.4157684,2024-01-10,15
2024-01-10 16:00:00,0.07759348,0.2054089,2024-01-10,16
2024-01-10 17:00:00,0.0,0.0,2024-01-10,17
2024-01-10 18:00:00,0.0,0.0,2024-01-10,18
2024-01-10 19:00:00,0.0,0.0,2024-01-10,19
2024-01-10 20:00:00,0.0,0.0,2024-01-10,20
2024-01-10 21:00:00,0.0,0.0,2024-01-10,21
2024-01-10 22:00:00,0.0,0.0,2024-01-10,22
2024-01-10 23:00:00,0.0,0.0,2024-01-10,23
2024-01-11 00:00:00,0.0,0.0,2024-01-11,0
2024-01-11 01:00:00,0.0,0.0,2024-01-11,1
2024-01-11 02:00:00,0.0,0.0,2024-01-11,2
2024-01-11 03:00:00,0.0,0.0,2024-01-11,3
2024-01-11 04:00:00,0.0,0.0,2024-01-11,4
2024-01-11 05:00:00,0.0,0.0,2024-01-11,5
2024-01-11 06:00:00,0.02116685,0.06445888,2024-01-11,6
2024-01-11 07:00:00,0.1644217,0.2517776,2024-01-11,7
2024-01-11 08:00:00,0.3050361,0.4017006,2024-01-11,8
2024-01-11 09:00:00,0.3974249,0.4853438,2024-01-11,9
2024-01-11 10:00:00,0.7094132,0.9622797,2024-01-11,10
2024-01-11 11:00:00,0.6787151,0.9030742,2024-01-11,11
2024-01-11 12:00:00,0.6196477,0.8163491,2024-01-11,12
2024-01-11 13:00:00,0.3723114,0.4204039,2024-01-11,13
2024-01-11 14:00:00,0.3274664,0.4032987,2024-01-11,14
2024-01-11 15:00:00,0.2005245,0.26243,2024-01-11,15
2024-01-11 16:00:00,0.04991388,0.07158393,2024-01-11,16
2024-01-11 17:00:00,0.0,0.0,2024-01-11,17
2024-01-11 18:00:00,0.0,0.0,2024-01-11,18
2024-01-11 19:00:00,0.0,0.0,2024-01-11,19
2024-01-11 20:00:00,0.0,0.0,2024-01-11,20
2024-01-11 21:00:00,0.0,0.0,2024-01-11,21
2024-01-11 22:00:00,0.0,0.0,2024-01-11,22
2024-01-11 23:00:00,0.0,0.0,2024-01-11,23
2024-01-12 00:00:00,0.0,0.0,2024-01-12,0
2024-01-12 01:00:00,0.0,0.0,2024-01-12,1
2024-01-12 02:00:00,0.0,0.0,2024-01-12,2
2024-01-12 03:00:00,0.0,0.0,2024-01-12,3
2024-01-12 04:00:00,0.0,0.0,2024-01-12,4
