date_time,global_solar_kw/m2,incident_solar_kw/m2,date,hour
2024-01-01 00:00:00,0.0,0.0,2024-01-01,0
2024-01-01 01:00:00,0.0,0.0,2024-01-01,1
2024-01-01 02:00:00,0.0,0.0,2024-01-01,2
2024-01-01 03:00:00,0.0,0.0,2024-01-01,3
2024-01-01 04:00:00,0.0,0.0,2024-01-01,4
2024-01-01 05:00:00,0.0,0.0,2024-01-01,5
2024-01-01 06:00:00,0.02424452,0.05572697,2024-01-01,6
2024-01-01 07:00:00,0.1831945,0.2876396,2024-01-01,7
2024-01-01 08:00:00,0.4010876,0.5942481,2024-01-01,8
2024-01-01 09:00:00,0.3545025,0.4076632,2024-01-01,9
2024-01-01 10:00:00,0.3784439,0.4137749,2024-01-01,10
2024-01-01 11:00:00,0.6448244,0.8566236,2024-01-01,11
2024-01-01 12:00:00,0.4618633,0.5468311,2024-01-01,12
2024-01-01 13:00:00,0.4191147,0.5135497,2024-01-01,13
2024-01-01 14:00:00,0.2514988,0.2802928,2024-01-01,14
2024-01-01 15:00:00,0.1521029,0.180266,2024-01-01,15
2024-01-01 16:00:00,0.04335684,0.09875384,2024-01-01,16
2024-01-01 17:00:00,0.0,0.0,2024-01-01,17
2024-01-01 18:00:00,0.0,0.0,2024-01-01,18
2024-01-01 19:00:00,0.0,0.0,2024-01-01,19
2024-01-01 20:00:00,0.0,0.0,2024-01-01,20
2024-01-01 21:00:00,0.0,0.0,2024-01-01,21
2024-01-01 22:00:00,0.0,0.0,2024-01-01,22
2024-01-01 23:00:00,0.0,0.0,2024-01-01,23
2024-01-02 00:00:00,0.0,0.0,2024-01-02,0
2024-01-02 01:00:00,0.0,0.0,2024-01-02,1
2024-01-02 02:00:00,0.0,0.0,2024-01-02,2
2024-01-02 03:00:00,0.0,0.0,2024-01-02,3
2024-01-02 04:00:00,0.0,0.0,2024-01-02,4
2024-01-02 05:00:00,0.0,0.0,2024-01-02,5
2024-01-02 06:00:00,0.02946809,0.1001908,2024-01-02,6
2024-01-02 07:00:00,0.2228284,0.3944109,2024-01-02,7
2024-01-02 08:00:00,0.4534128,0.6818458,2024-01-02,8
2024-01-02 09:00:00,0.5957529,0.8358811,2024-01-02,9
2024-01-02 10:00:00,0.5913819,0.7845564,2024-01-02,10
2024-01-02 11:00:00,0.5273163,0.649596,2024-01-02,11
2024-01-02 12:00:00,0.4591695,0.5412522,2024-01-02,12
2024-01-02 13:00:00,0.5670993,0.7824315,2024-01-02,13
2024-01-02 14:00:00,0.4023859,0.5739672,2024-01-02,14
2024-01-02 15:00:00,0.2870183,0.4920771,2024-01-02,15
2024-01-02 16:00:00,0.05298722,0.1549647,2024-01-02,16
2024-01-02 17:00:00,0.0,0.0,2024-01-02,17
2024-01-02 18:00:00,0.0,0.0,2024-01-02,18
2024-01-02 19:00:00,0.0,0.0,2024-01-02,19
2024-01-02 20:00:00,0.0,0.0,2024-01-02,20
2024-01-02 21:00:00,0.0,0.0,2024-01-02,21
2024-01-02 22:00:00,0.0,0.0,2024-01-02,22
2024-01-02 23:00:00,0.0,0.0,2024-01-02,23
2024-01-03 00:00:00,0.0,0.0,2024-01-03,0
2024-01-03 01:00:00,0.0,0.0,2024-01-03,1
2024-01-03 02:00:00,0.0,0.0,2024-01-03,2
2024-01-03 03:00:00,0.0,0.0,2024-01-03,3
2024-01-03 04:00:00,0.0,0.0,2024-01-03,4
2024-01-03 05:00:00,0.0,0.0,2024-01-03,5
2024-01-03 06:00:00,0.01930567,0.03099088,2024-01-03,6
2024-01-03 07:00:00,0.1760203,0.2687768,2024-01-03,7
2024-01-03 08:00:00,0.3227515,0.4334929,2024-01-03,8
2024-01-03 09:00:00,0.3636504,0.4230351,2024-01-03,9
2024-01-03 10:00:00,0.6920727,0.9417699,2024-01-03,10
2024-01-03 11:00:00,0.5530154,0.6949006,2024-01-03,11
2024-01-03 12:00:00,0.4101373,0.4586255,2024-01-03,12
2024-01-03 13:00:00,0.4669796,0.6009023,2024-01-03,13
2024-01-03 14:00:00,0.3942031,0.555639,2024-01-03,14
2024-01-03 15:00:00,0.2570882,0.4285134,2024-01-03,15
2024-01-03 16:00:00,0.05435211,0.1545218,2024-01-03,16
2024-01-03 17:00:00,0.0,0.0,2024-01-03,17
2024-01-03 18:00:00,0.0,0.0,2024-01-03,18
2024-01-03 19:00:00,0.0,0.0,2024-01-03,19
2024-01-03 20:00:00,0.0,0.0,2024-01-03,20
2024-01-03 21:00:00,0.0,0.0,2024-01-03,21
2024-01-03 22:00:00,0.0,0.0,2024-01-03,22
2024-01-03 23:00:00,0.0,0.0,2024-01-03,23
2024-01-04 00:00:00,0.0,0.0,2024-01-04,0
2024-01-04 01:00:00,0.0,0.0,2024-01-04,1
2024-01-04 02:00:00,0.0,0.0,2024-01-04,2
2024-01-04 03:00:00,0.0,0.0,2024-01-04,3
2024-01-04 04:00:00,0.0,0.0,2024-01-04,4
2024-01-04 05:00:00,0.0,0.0,2024-01-04,5
2024-01-04 06:00:00,0.02932578,0.1031832,2024-01-04,6
2024-01-04 07:00:00,0.2389012,0.4305108,2024-01-04,7
2024-01-04 08:00:00,0.448476,0.6731106,2024-01-04,8
2024-01-04 09:00:00,0.6114153,0.8572325,2024-01-04,9
2024-01-04 10:00:00,0.6863765,0.9328947,2024-01-04,10
2024-01-04 11:00:00,0.7330603,0.9872529,2024-01-04,11
2024-01-04 12:00:00,0.738949,1.002638,2024-01-04,12
2024-01-04 13:00:00,0.5848829,0.8080497,2024-01-04,13
2024-01-04 14:00:00,0.4440137,0.6471352,2024-01-04,14
2024-01-04 15:00:00,0.2716547,0.4572012,2024-01-04,15
2024-01-04 16:00:00,0.07297003,0.2536742,2024-01-04,16
2024-01-04 17:00:00,0.0,0.0,2024-01-04,17
2024-01-04 18:00:00,0.0,0.0,2024-01-04,18
2024-01-04 19:00:00,0.0,0.0,2024-01-04,19
2024-01-04 20:00:00,0.0,0.0,2024-01-04,20
2024-01-04 21:00:00,0.0,0.0,2024-01-04,21
2024-01-04 22:00:00,0.0,0.0,2024-01-04,22
2024-01-04 23:00:00,0.0,0.0,2024-01-04,23
2024-01-05 00:00:00,0.0,0.0,2024-01-05,0
2024-01-05 01:00:00,0.0,0.0,2024-01-05,1
2024-01-05 02:00:00,0.0,0.0,2024-01-05,2
2024-01-05 03:00:00,0.0,0.0,2024-01-05,3
2024-01-05 04:00:00,0.0,0.0,2024-01-05,4
2024-01-05 05:00:00,0.0,0.0,2024-01-05,5
2024-01-05 06:00:00,0.01314252,0.01469613,2024-01-05,6
2024-01-05 07:00:00,0.104114,0.111056,2024-01-05,7
2024-01-05 08:00:00,0.2719622,0.3290002,2024-01-05,8
2024-01-05 09:00:00,0.3095177,0.3350827,2024-01-05,9
2024-01-05 10:00:00,0.4844255,0.5898102,2024-01-05,10
2024-01-05 11:00:00,0.6300325,0.8277177,2024-01-05,11
2024-01-05 12:00:00,0.6241885,0.8299991,2024-01-05,12
2024-01-05 13:00:00,0.5181675,0.6927348,2024-01-05,13
2024-01-05 14:00:00,0.3321854,0.4243763,2024-01-05,14
2024-01-05 15:00:00,0.1817109,0.2362336,2024-01-05,15
2024-01-05 16:00:00,0.04010297,0.0628752,2024-01-05,16
2024-01-05 17:00:00,0.0,0.0,2024-01-05,17
2024-01-05 18:00:00,0.0,0.0,2024-01-05,18
2024-01-05 19:00:00,0.0,0.0,2024-01-05,19
2024-01-05 20:00:00,0.0,0.0,2024-01-05,20
2024-01-05 21:00:00,0.0,0.0,2024-01-05,21
2024-01-05 22:00:00,0.0,0.0,2024-01-05,22
2024-01-05 23:00:00,0.0,0.0,2024-01-05,23
2024-01-06 00:00:00,0.0,0.0,2024-01-06,0
2024-01-06 01:00:00,0.0,0.0,2024-01-06,1
2024-01-06 02:00:00,0.0,0.0,2024-01-06,2
2024-01-06 03:00:00,0.0,0.0,2024-01-06,3
2024-01-06 04:00:00,0.0,0.0,2024-01-06,4
2024-01-06 05:00:00,0.0,0.0,2024-01-06,5
2024-01-06 06:00:00,0.02687243,0.08430199,2024-01-06,6
2024-01-06 07:00:00,0.190464,0.3101031,2024-01-06,7
2024-01-06 08:00:00,0.349018,0.4884248,2024-01-06,8
2024-01-06 09:00:00,0.439431,0.5617159,2024-01-06,9
2024-01-06 10:00:00,0.4615531,0.5483586,2024-01-06,10
2024-01-06 11:00:00,0.4918883,0.5831833,2024-01-06,11
2024-01-06 12:00:00,0.554036,0.706479,2024-01-06,12
2024-01-06 13:00:00,0.5390934,0.728212,2024-01-06,13
2024-01-06 14:00:00,0.4016662,0.5636246,2024-01-06,14
2024-01-06 15:00:00,0.1822099,0.2351624,2024-01-06,15
2024-01-06 16:00:00,0.05787956,0.1488197,2024-01-06,16
2024-01-06 17:00:00,0.0,0.0,2024-01-06,17
2024-01-06 18:00:00,0.0,0.0,2024-01-06,18
2024-01-06 19:00:00,0.0,0.0,2024-01-06,19
2024-01-06 20:00:00,0.0,0.0,2024-01-06,20
2024-01-06 21:00:00,0.0,0.0,2024-01-06,21
2024-01-06 22:00:00,0.0,0.0,2024-01-06,22
2024-01-06 23:00:00,0.0,0.0,2024-01-06,23
2024-01-07 00:00:00,0.0,0.0,2024-01-07,0
2024-01-07 01:00:00,0.0,0.0,2024-01-07,1
2024-01-07 02:00:00,0.0,0.0,2024-01-07,2
2024-01-07 03:00:00,0.0,0.0,2024-01-07,3
2024-01-07 04:00:00,0.0,0.0,2024-01-07,4
2024-01-07 05:00:00,0.0,0.0,2024-01-07,5
2024-01-07 06:00:00,0.0283842,0.09938042,2024-01-07,6
2024-01-07 07:00:00,0.2222408,0.3929785,2024-01-07,7
2024-01-07 08:00:00,0.3650942,0.5212292,2024-01-07,8
2024-01-07 09:00:00,0.5279592,0.7244093,2024-01-07,9
2024-01-07 10:00:00,0.6919855,0.9378151,2024-01-07,10
2024-01-07 11:00:00,0.7254683,0.9733198,2024-01-07,11
2024-01-07 12:00:00,0.6647072,0.8918561,2024-01-07,12
2024-01-07 13:00:00,0.5432317,0.7335449,2024-01-07,13
2024-01-07 14:00:00,0.4212602,0.5990995,2024-01-07,14
2024-01-07 15:00:00,0.2370614,0.3668538,2024-01-07,15
2024-01-07 16:00:00,0.05978061,0.1511271,2024-01-07,16
2024-01-07 17:00:00,0.0,0.0,2024-01-07,17
2024-01-07 18:00:00,0.0,0.0,2024-01-07,18
2024-01-07 19:00:00,0.0,0.0,2024-01-07,19
2024-01-07 20:00:00,0.0,0.0,2024-01-07,20
2024-01-07 21:00:00,0.0,0.0,2024-01-07,21
2024-01-07 22:00:00,0.0,0.0,2024-01-07,22
2024-01-07 23:00:00,0.0,0.0,2024-01-07,23
2024-01-08 00:00:00,0.0,0.0,2024-01-08,0
2024-01-08 01:00:00,0.0,0.0,2024-01-08,1
2024-01-08 02:00:00,0.0,0.0,2024-01-08,2
2024-01-08 03:00:00,0.0,0.0,2024-01-08,3
2024-01-08 04:00:00,0.0,0.0,2024-01-08,4
2024-01-08 05:00:00,0.0,0.0,2024-01-08,5
2024-01-08 06:00:00,0.01672933,0.02346998,2024-01-08,6
2024-01-08 07:00:00,0.1441427,0.186799,2024-01-08,7
2024-01-08 08:00:00,0.3269317,0.4405347,2024-01-08,8
2024-01-08 09:00:00,0.3964983,0.4796154,2024-01-08,9
2024-01-08 10:00:00,0.5163957,0.6448528,2024-01-08,10
2024-01-08 11:00:00,0.5457883,0.6761742,2024-01-08,11
2024-01-08 12:00:00,0.559542,0.7131614,2024-01-08,12
2024-01-08 13:00:00,0.5768985,0.78838,2024-01-08,13
2024-01-08 14:00:00,0.4143806,0.583519,2024-01-08,14
2024-01-08 15:00:00,0.232673,0.352349,2024-01-08,15
2024-01-08 16:00:00,0.06986918,0.1997931,2024-01-08,16
2024-01-08 17:00:00,0.0,0.0,2024-01-08,17
2024-01-08 18:00:00,0.0,0.0,2024-01-08,18
2024-01-08 19:00:00,0.0,0.0,2024-01-08,19
2024-01-08 20:00:00,0.0,0.0,2024-01-08,20
2024-01-08 21:00:00,0.0,0.0,2024-01-08,21
2024-01-08 22:00:00,0.0,0.0,2024-01-08,22
2024-01-08 23:00:00,0.0,0.0,2024-01-08,23
2024-01-09 00:00:00,0.0,0.0,2024-01-09,0
2024-01-09 01:00:00,0.0,0.0,2024-01-09,1
2024-01-09 02:00:00,0.0,0.0,2024-01-09,2
2024-01-09 03:00:00,0.0,0.0,2024-01-09,3
2024-01-09 04:00:00,0.0,0.0,2024-01-09,4
2024-01-09 05:00:00,0.0,0.0,2024-01-09,5
2024-01-09 06:00:00,0.02583137,0.07855733,2024-01-09,6
2024-01-09 07:00:00,0.08438018,0.08536542,2024-01-09,7
2024-01-09 08:00:00,0.1856264,0.1910187,2024-01-09,8
2024-01-09 09:00:00,0.3674044,0.4270442,2024-01-09,9
2024-01-09 10:00:00,0.5622074,0.7261266,2024-01-09,10
2024-01-09 11:00:00,0.5552022,0.6915818,2024-01-09,11
2024-01-09 12:00:00,0.6263202,0.8270587,2024-01-09,12
2024-01-09 13:00:00,0.3384164,0.3683212,2024-01-09,13
2024-01-09 14:00:00,0.177681,0.1777047,2024-01-09,14
2024-01-09 15:00:00,0.1571965,0.1796651,2024-01-09,15
2024-01-09 16:00:00,0.03984503,0.05167774,2024-01-09,16
2024-01-09 17:00:00,0.0,0.0,2024-01-09,17
2024-01-09 18:00:00,0.0,0.0,2024-01-09,18
2024-01-09 19:00:00,0.0,0.0,2024-01-09,19
2024-01-09 20:00:00,0.0,0.0,2024-01-09,20
2024-01-09 21:00:00,0.0,0.0,2024-01-09,21
2024-01-09 22:00:00,0.0,0.0,2024-01-09,22
2024-01-09 23:00:00,0.0,0.0,2024-01-09,23
2024-01-10 00:00:00,0.0,0.0,2024-01-10,0
2024-01-10 01:00:00,0.0,0.0,2024-01-10,1
2024-01-10 02:00:00,0.0,0.0,2024-01-10,2
2024-01-10 03:00:00,0.0,0.0,2024-01-10,3
2024-01-10 04:00:00,0.0,0.0,2024-01-10,4
2024-01-10 05:00:00,0.0,0.0,2024-01-10,5
2024-01-10 06:00:00,0.02571346,0.07825931,2024-01-10,6
2024-01-10 07:00:00,0.2037215,0.3449584,2024-01-10,7
2024-01-10 08:00:00,0.3644903,0.5175015,2024-01-10,8
2024-01-10 09:00:00,0.5628219,0.7787222,2024-01-10,9
2024-01-10 10:00:00,0.6862371,0.925962,2024-01-10,10
2024-01-10 11:00:00,0.8147252,1.092838,2024-01-10,11
2024-01-10 12:00:00,0.7807091,1.052259,2024-01-10,12
2024-01-10 13:00:00,0.6690092,0.9214642,2024-01-10,13
2024-01-10 14:00:00,0.5177369,0.7516432,2024-01-10,14
2024-01-10 15:00:00,0.2634153,0.4191435,2024-01-10,15
2024-01-10 16:00:00,0.0746729,0.2056122,2024-01-10,16
2024-01-10 17:00:00,0.0,0.0,2024-01-10,17
2024-01-10 18:00:00,0.0,0.0,2024-01-10,18
2024-01-10 19:00:00,0.0,0.0,2024-01-10,19
2024-01-10 20:00:00,0.0,0.0,2024-01-10,20
2024-01-10 21:00:00,0.0,0.0,2024-01-10,21
2024-01-10 22:00:00,0.0,0.0,2024-01-10,22
2024-01-10 23:00:00,0.0,0.0,2024-01-10,23
2024-01-11 00:00:00,0.0,0.0,2024-01-11,0
2024-01-11 01:00:00,0.0,0.0,2024-01-11,1
2024-01-11 02:00:00,0.0,0.0,2024-01-11,2
2024-01-11 03:00:00,0.0,0.0,2024-01-11,3
2024-01-11 04:00:00,0.0,0.0,2024-01-11,4
2024-01-11 05:00:00,0.0,0.0,2024-01-11,5
2024-01-11 06:00:00,0.0255136,0.0770687,2024-01-11,6
2024-01-11 07:00:00,0.1756877,0.2675529,2024-01-11,7
2024-01-11 08:00:00,0.3204482,0.424639,2024-01-11,8
2024-01-11 09:00:00,0.415725,0.5127254,2024-01-11,9
2024-01-11 10:00:00,0.7242005,0.9776515,2024-01-11,10
2024-01-11 11:00:00,0.6935254,0.9207447,2024-01-11,11
2024-01-11 12:00:00,0.6331466,0.834654,2024-01-11,12
2024-01-11 13:00:00,0.3873256,0.4441633,2024-01-11,13
2024-01-11 14:00:00,0.3359305,0.4196442,2024-01-11,14
2024-01-11 15:00:00,0.204217,0.2730862,2024-01-11,15
2024-01-11 16:00:00,0.04902886,0.07414189,2024-01-11,16
2024-01-11 17:00:00,0.0,0.0,2024-01-11,17
2024-01-11 18:00:00,0.0,0.0,2024-01-11,18
2024-01-11 19:00:00,0.0,0.0,2024-01-11,19
2024-01-11 20:00:00,0.0,0.0,2024-01-11,20
2024-01-11 21:00:00,0.0,0.0,2024-01-11,21
2024-01-11 22:00:00,0.0,0.0,2024-01-11,22
2024-01-11 23:00:00,0.0,0.0,2024-01-11,23
2024-01-12 00:00:00,0.0,0.0,2024-01-12,0
2024-01-12 01:00:00,0.0,0.0,2024-01-12,1
2024-01-12 02:00:00,0.0,0.0,2024-01-12,2
2024-01-12 03:00:00,0.0,0.0,2024-01-12,3
2024-01-12 04:00:00,0.0,0.0,2024-01-12,4
