date_time,global_solar_kw/m2,incident_solar_kw/m2,date,hour
2024-01-01 00:00:00,0.0,0.0,2024-01-01,0
2024-01-01 01:00:00,0.0,0.0,2024-01-01,1
2024-01-01 02:00:00,0.0,0.0,2024-01-01,2
2024-01-01 03:00:00,0.0,0.0,2024-01-01,3
2024-01-01 04:00:00,0.0,0.0,2024-01-01,4
2024-01-01 05:00:00,0.0,0.0,2024-01-01,5
2024-01-01 06:00:00,0.03024157,0.06691243,2024-01-01,6
2024-01-01 07:00:00,0.1948112,0.2832821,2024-01-01,7
2024-01-01 08:00:00,0.4231941,0.5974112,2024-01-01,8
2024-01-01 09:00:00,0.3577004,0.3937866,2024-01-01,9
2024-01-01 10:00:00,0.3773221,0.3977712,2024-01-01,10
2024-01-01 11:00:00,0.6724108,0.8554418,2024-01-01,11
2024-01-01 12:00:00,0.4732818,0.5346657,2024-01-01,12
2024-01-01 13:00:00,0.4377005,0.5096952,2024-01-01,13
2024-01-01 14:00:00,0.2638986,0.2815201,2024-01-01,14
2024-01-01 15:00:00,0.1699723,0.1885432,2024-01-01,15
2024-01-01 16:00:00,0.06676681,0.1065334,2024-01-01,16
2024-01-01 17:00:00,0.0,0.0,2024-01-01,17
2024-01-01 18:00:00,0.0,0.0,2024-01-01,18
2024-01-01 19:00:00,0.0,0.0,2024-01-01,19
2024-01-01 20:00:00,0.0,0.0,2024-01-01,20
2024-01-01 21:00:00,0.0,0.0,2024-01-01,21
2024-01-01 22:00:00,0.0,0.0,2024-01-01,22
2024-01-01 23:00:00,0.0,0.0,2024-01-01,23
2024-01-02 00:00:00,0.0,0.0,2024-01-02,0
2024-01-02 01:00:00,0.0,0.0,2024-01-02,1
2024-01-02 02:00:00,0.0,0.0,2024-01-02,2
2024-01-02 03:00:00,0.0,0.0,2024-01-02,3
2024-01-02 04:00:00,0.0,0.0,2024-01-02,4
2024-01-02 05:00:00,0.0,0.0,2024-01-02,5
2024-01-02 06:00:00,0.03714127,0.124274,2024-01-02,6
2024-01-02 07:00:00,0.2427806,0.4029492,2024-01-02,7
2024-01-02 08:00:00,0.4837436,0.6953874,2024-01-02,8
2024-01-02 09:00:00,0.6296899,0.8487771,2024-01-02,9
2024-01-02 10:00:00,0.617947,0.7860505,2024-01-02,10
2024-01-02 11:00:00,0.5466896,0.6452962,2024-01-02,11
2024-01-02 12:00:00,0.4683331,0.5261922,2024-01-02,12
2024-01-02 13:00:00,0.6102962,0.8043931,2024-01-02,13
2024-01-02 14:00:00,0.4415887,0.5950513,2024-01-02,14
2024-01-02 15:00:00,0.3378,0.5321111,2024-01-02,15
2024-01-02 16:00:00,0.08356904,0.1700215,2024-01-02,16
2024-01-02 17:00:00,0.0,0.0,2024-01-02,17
2024-01-02 18:00:00,0.0,0.0,2024-01-02,18
2024-01-02 19:00:00,0.0,0.0,2024-01-02,19
2024-01-02 20:00:00,0.0,0.0,2024-01-02,20
2024-01-02 21:00:00,0.0,0.0,2024-01-02,21
2024-01-02 22:00:00,0.0,0.0,2024-01-02,22
2024-01-02 23:00:00,0.0,0.0,2024-01-02,23
2024-01-03 00:00:00,0.0,0.0,2024-01-03,0
2024-01-03 01:00:00,0.0,0.0,2024-01-03,1
2024-01-03 02:00:00,0.0,0.0,2024-01-03,2
2024-01-03 03:00:00,0.0,0.0,2024-01-03,3
2024-01-03 04:00:00,0.0,0.0,2024-01-03,4
2024-01-03 05:00:00,0.0,0.0,2024-01-03,5
2024-01-03 06:00:00,0.02366081,0.03589751,2024-01-03,6
2024-01-03 07:00:00,0.1881264,0.2676559,2024-01-03,7
2024-01-03 08:00:00,0.336789,0.4299869,2024-01-03,8
2024-01-03 09:00:00,0.3674558,0.4086981,2024-01-03,9
2024-01-03 10:00:00,0.7293627,0.9549993,2024-01-03,10
2024-01-03 11:00:00,0.5717518,0.6866647,2024-01-03,11
2024-01-03 12:00:00,0.4177965,0.4494994,2024-01-03,12
2024-01-03 13:00:00,0.4925972,0.6025649,2024-01-03,13
2024-01-03 14:00:00,0.4309487,0.5734648,2024-01-03,14
2024-01-03 15:00:00,0.3003871,0.4594411,2024-01-03,15
2024-01-03 16:00:00,0.08465833,0.1686325,2024-01-03,16
2024-01-03 17:00:00,0.0,0.0,2024-01-03,17
2024-01-03 18:00:00,0.0,0.0,2024-01-03,18
2024-01-03 19:00:00,0.0,0.0,2024-01-03,19
2024-01-03 20:00:00,0.0,0.0,2024-01-03,20
2024-01-03 21:00:00,0.0,0.0,2024-01-03,21
2024-01-03 22:00:00,0.0,0.0,2024-01-03,22
2024-01-03 23:00:00,0.0,0.0,2024-01-03,23
2024-01-04 00:00:00,0.0,0.0,2024-01-04,0
2024-01-04 01:00:00,0.0,0.0,2024-01-04,1
2024-01-04 02:00:00,0.0,0.0,2024-01-04,2
2024-01-04 03:00:00,0.0,0.0,2024-01-04,3
2024-01-04 04:00:00,0.0,0.0,2024-01-04,4
2024-01-04 05:00:00,0.0,0.0,2024-01-04,5
2024-01-04 06:00:00,0.03700376,0.1286173,2024-01-04,6
2024-01-04 07:00:00,0.2590316,0.4377684,2024-01-04,7
2024-01-04 08:00:00,0.4742766,0.6804628,2024-01-04,8
2024-01-04 09:00:00,0.6417991,0.8643646,2024-01-04,9
2024-01-04 10:00:00,0.7194257,0.9404207,2024-01-04,10
2024-01-04 11:00:00,0.7717065,0.9999482,2024-01-04,11
2024-01-04 12:00:00,0.7846296,1.022735,2024-01-04,12
2024-01-04 13:00:00,0.6254382,0.8252149,2024-01-04,13
2024-01-04 14:00:00,0.4858249,0.6694185,2024-01-04,14
2024-01-04 15:00:00,0.3159183,0.4880312,2024-01-04,15
2024-01-04 16:00:00,0.1142482,0.2783002,2024-01-04,16
2024-01-04 17:00:00,2.37758e-06,0.0,2024-01-04,17
2024-01-04 18:00:00,0.0,0.0,2024-01-04,18
2024-01-04 19:00:00,0.0,0.0,2024-01-04,19
2024-01-04 20:00:00,0.0,0.0,2024-01-04,20
2024-01-04 21:00:00,0.0,0.0,2024-01-04,21
2024-01-04 22:00:00,0.0,0.0,2024-01-04,22
2024-01-04 23:00:00,0.0,0.0,2024-01-04,23
2024-01-05 00:00:00,0.0,0.0,2024-01-05,0
2024-01-05 01:00:00,0.0,0.0,2024-01-05,1
2024-01-05 02:00:00,0.0,0.0,2024-01-05,2
2024-01-05 03:00:00,0.0,0.0,2024-01-05,3
2024-01-05 04:00:00,0.0,0.0,2024-01-05,4
2024-01-05 05:00:00,0.0,0.0,2024-01-05,5
2024-01-05 06:00:00,0.01652663,0.01839909,2024-01-05,6
2024-01-05 07:00:00,0.1036259,0.1063327,2024-01-05,7
2024-01-05 08:00:00,0.2714114,0.3087059,2024-01-05,8
2024-01-05 09:00:00,0.3011505,0.3131494,2024-01-05,9
2024-01-05 10:00:00,0.4799119,0.550956,2024-01-05,10
2024-01-05 11:00:00,0.6396765,0.7985834,2024-01-05,11
2024-01-05 12:00:00,0.6378747,0.8054224,2024-01-05,12
2024-01-05 13:00:00,0.5337666,0.6719694,2024-01-05,13
2024-01-05 14:00:00,0.3456539,0.4102217,2024-01-05,14
2024-01-05 15:00:00,0.1998266,0.236702,2024-01-05,15
2024-01-05 16:00:00,0.05809133,0.07122821,2024-01-05,16
2024-01-05 17:00:00,2.58471e-05,0.0,2024-01-05,17
2024-01-05 18:00:00,0.0,0.0,2024-01-05,18
2024-01-05 19:00:00,0.0,0.0,2024-01-05,19
2024-01-05 20:00:00,0.0,0.0,2024-01-05,20
2024-01-05 21:00:00,0.0,0.0,2024-01-05,21
2024-01-05 22:00:00,0.0,0.0,2024-01-05,22
2024-01-05 23:00:00,0.0,0.0,2024-01-05,23
2024-01-06 00:00:00,0.0,0.0,2024-01-06,0
2024-01-06 01:00:00,0.0,0.0,2024-01-06,1
2024-01-06 02:00:00,0.0,0.0,2024-01-06,2
2024-01-06 03:00:00,0.0,0.0,2024-01-06,3
2024-01-06 04:00:00,0.0,0.0,2024-01-06,4
2024-01-06 05:00:00,0.0,0.0,2024-01-06,5
2024-01-06 06:00:00,0.03373738,0.1038154,2024-01-06,6
2024-01-06 07:00:00,0.203874,0.3090712,2024-01-06,7
2024-01-06 08:00:00,0.3654412,0.4863378,2024-01-06,8
2024-01-06 09:00:00,0.4534372,0.5534189,2024-01-06,9
2024-01-06 10:00:00,0.4702752,0.5348107,2024-01-06,10
2024-01-06 11:00:00,0.5036287,0.5719688,2024-01-06,11
2024-01-06 12:00:00,0.5788382,0.7054544,2024-01-06,12
2024-01-06 13:00:00,0.5744423,0.7400372,2024-01-06,13
2024-01-06 14:00:00,0.4375633,0.5798984,2024-01-06,14
2024-01-06 15:00:00,0.2053314,0.2456901,2024-01-06,15
2024-01-06 16:00:00,0.08789238,0.1641717,2024-01-06,16
2024-01-06 17:00:00,3.23879e-05,0.0,2024-01-06,17
2024-01-06 18:00:00,0.0,0.0,2024-01-06,18
2024-01-06 19:00:00,0.0,0.0,2024-01-06,19
2024-01-06 20:00:00,0.0,0.0,2024-01-06,20
2024-01-06 21:00:00,0.0,0.0,2024-01-06,21
2024-01-06 22:00:00,0.0,0.0,2024-01-06,22
2024-01-06 23:00:00,0.0,0.0,2024-01-06,23
2024-01-07 00:00:00,0.0,0.0,2024-01-07,0
2024-01-07 01:00:00,0.0,0.0,2024-01-07,1
2024-01-07 02:00:00,0.0,0.0,2024-01-07,2
2024-01-07 03:00:00,0.0,0.0,2024-01-07,3
2024-01-07 04:00:00,0.0,0.0,2024-01-07,4
2024-01-07 05:00:00,0.0,0.0,2024-01-07,5
2024-01-07 06:00:00,0.03554846,0.1220531,2024-01-07,6
2024-01-07 07:00:00,0.2422478,0.4023937,2024-01-07,7
2024-01-07 08:00:00,0.3850681,0.5243823,2024-01-07,8
2024-01-07 09:00:00,0.5541407,0.7292146,2024-01-07,9
2024-01-07 10:00:00,0.7296948,0.9519114,2024-01-07,10
2024-01-07 11:00:00,0.7669319,0.9902554,2024-01-07,11
2024-01-07 12:00:00,0.705543,0.9087817,2024-01-07,12
2024-01-07 13:00:00,0.5815148,0.7501593,2024-01-07,13
2024-01-07 14:00:00,0.4619725,0.6222075,2024-01-07,14
2024-01-07 15:00:00,0.2737429,0.3903003,2024-01-07,15
2024-01-07 16:00:00,0.09132579,0.1720251,2024-01-07,16
2024-01-07 17:00:00,9.08936e-05,0.0,2024-01-07,17
2024-01-07 18:00:00,0.0,0.0,2024-01-07,18
2024-01-07 19:00:00,0.0,0.0,2024-01-07,19
2024-01-07 20:00:00,0.0,0.0,2024-01-07,20
2024-01-07 21:00:00,0.0,0.0,2024-01-07,21
2024-01-07 22:00:00,0.0,0.0,2024-01-07,22
2024-01-07 23:00:00,0.0,0.0,2024-01-07,23
2024-01-08 00:00:00,0.0,0.0,2024-01-08,0
2024-01-08 01:00:00,0.0,0.0,2024-01-08,1
2024-01-08 02:00:00,0.0,0.0,2024-01-08,2
2024-01-08 03:00:00,0.0,0.0,2024-01-08,3
2024-01-08 04:00:00,0.0,0.0,2024-01-08,4
2024-01-08 05:00:00,0.0,0.0,2024-01-08,5
2024-01-08 06:00:00,0.02028009,0.02701254,2024-01-08,6
2024-01-08 07:00:00,0.1503916,0.1821091,2024-01-08,7
2024-01-08 08:00:00,0.3396389,0.4345194,2024-01-08,8
2024-01-08 09:00:00,0.4039305,0.4664823,2024-01-08,9
2024-01-08 10:00:00,0.5303937,0.6331145,2024-01-08,10
2024-01-08 11:00:00,0.5620427,0.6657546,2024-01-08,11
2024-01-08 12:00:00,0.5830159,0.7098512,2024-01-08,12
2024-01-08 13:00:00,0.6150661,0.8027811,2024-01-08,13
2024-01-08 14:00:00,0.4504798,0.5993756,2024-01-08,14
2024-01-08 15:00:00,0.2660109,0.3701796,2024-01-08,15
2024-01-08 16:00:00,0.1052052,0.2207209,2024-01-08,16
2024-01-08 17:00:00,0.000137587,0.0,2024-01-08,17
2024-01-08 18:00:00,0.0,0.0,2024-01-08,18
2024-01-08 19:00:00,0.0,0.0,2024-01-08,19
2024-01-08 20:00:00,0.0,0.0,2024-01-08,20
2024-01-08 21:00:00,0.0,0.0,2024-01-08,21
2024-01-08 22:00:00,0.0,0.0,2024-01-08,22
2024-01-08 23:00:00,0.0,0.0,2024-01-08,23
2024-01-09 00:00:00,0.0,0.0,2024-01-09,0
2024-01-09 01:00:00,0.0,0.0,2024-01-09,1
2024-01-09 02:00:00,0.0,0.0,2024-01-09,2
2024-01-09 03:00:00,0.0,0.0,2024-01-09,3
2024-01-09 04:00:00,0.0,0.0,2024-01-09,4
2024-01-09 05:00:00,0.0,0.0,2024-01-09,5
2024-01-09 06:00:00,0.03214848,0.09515313,2024-01-09,6
2024-01-09 07:00:00,0.08274663,0.0823558,2024-01-09,7
2024-01-09 08:00:00,0.1815819,0.1826516,2024-01-09,8
2024-01-09 09:00:00,0.3683937,0.408585,2024-01-09,9
2024-01-09 10:00:00,0.5760195,0.7096215,2024-01-09,10
2024-01-09 11:00:00,0.5665043,0.6721019,2024-01-09,11
2024-01-09 12:00:00,0.6511671,0.8212481,2024-01-09,12
2024-01-09 13:00:00,0.3427324,0.3592692,2024-01-09,13
2024-01-09 14:00:00,0.17687,0.1746293,2024-01-09,14
2024-01-09 15:00:00,0.1717841,0.1851934,2024-01-09,15
2024-01-09 16:00:00,0.0560429,0.06243065,2024-01-09,16
2024-01-09 17:00:00,0.000192636,0.0,2024-01-09,17
2024-01-09 18:00:00,0.0,0.0,2024-01-09,18
2024-01-09 19:00:00,0.0,0.0,2024-01-09,19
2024-01-09 20:00:00,0.0,0.0,2024-01-09,20
2024-01-09 21:00:00,0.0,0.0,2024-01-09,21
2024-01-09 22:00:00,0.0,0.0,2024-01-09,22
2024-01-09 23:00:00,0.0,0.0,2024-01-09,23
2024-01-10 00:00:00,0.0,0.0,2024-01-10,0
2024-01-10 01:00:00,0.0,0.0,2024-01-10,1
2024-01-10 02:00:00,0.0,0.0,2024-01-10,2
2024-01-10 03:00:00,0.0,0.0,2024-01-10,3
2024-01-10 04:00:00,0.0,0.0,2024-01-10,4
2024-01-10 05:00:00,0.0,0.0,2024-01-10,5
2024-01-10 06:00:00,0.03199835,0.09513354,2024-01-10,6
2024-01-10 07:00:00,0.219155,0.3473294,2024-01-10,7
2024-01-10 08:00:00,0.3823649,0.5172505,2024-01-10,8
2024-01-10 09:00:00,0.5905501,0.7845101,2024-01-10,9
2024-01-10 10:00:00,0.720762,0.9360796,2024-01-10,10
2024-01-10 11:00:00,0.8602765,1.110947,2024-01-10,11
2024-01-10 12:00:00,0.8300025,1.075564,2024-01-10,12
2024-01-10 13:00:00,0.7196026,0.9496807,2024-01-10,13
2024-01-10 14:00:00,0.5694631,0.7855237,2024-01-10,14
2024-01-10 15:00:00,0.3034542,0.4457843,2024-01-10,15
2024-01-10 16:00:00,0.1113831,0.2308303,2024-01-10,16
2024-01-10 17:00:00,0.000313772,0.0,2024-01-10,17
2024-01-10 18:00:00,0.0,0.0,2024-01-10,18
2024-01-10 19:00:00,0.0,0.0,2024-01-10,19
2024-01-10 20:00:00,0.0,0.0,2024-01-10,20
2024-01-10 21:00:00,0.0,0.0,2024-01-10,21
2024-01-10 22:00:00,0.0,0.0,2024-01-10,22
2024-01-10 23:00:00,0.0,0.0,2024-01-10,23
2024-01-11 00:00:00,0.0,0.0,2024-01-11,0
2024-01-11 01:00:00,0.0,0.0,2024-01-11,1
2024-01-11 02:00:00,0.0,0.0,2024-01-11,2
2024-01-11 03:00:00,0.0,0.0,2024-01-11,3
2024-01-11 04:00:00,0.0,0.0,2024-01-11,4
2024-01-11 05:00:00,0.0,0.0,2024-01-11,5
2024-01-11 06:00:00,0.03162625,0.09304573,2024-01-11,6
2024-01-11 07:00:00,0.1857851,0.26288,2024-01-11,7
2024-01-11 08:00:00,0.3316252,0.4173114,2024-01-11,8
2024-01-11 09:00:00,0.4248344,0.500199,2024-01-11,9
2024-01-11 10:00:00,0.7586105,0.9861842,2024-01-11,10
2024-01-11 11:00:00,0.725049,0.9249485,2024-01-11,11
2024-01-11 12:00:00,0.6637076,0.8380427,2024-01-11,12
2024-01-11 13:00:00,0.3977658,0.4361936,2024-01-11,13
2024-01-11 14:00:00,0.3580995,0.4233277,2024-01-11,14
2024-01-11 15:00:00,0.229181,0.2836829,2024-01-11,15
2024-01-11 16:00:00,0.06948084,0.08652373,2024-01-11,16
2024-01-11 17:00:00,0.000429479,0.0,2024-01-11,17
2024-01-11 18:00:00,0.0,0.0,2024-01-11,18
2024-01-11 19:00:00,0.0,0.0,2024-01-11,19
2024-01-11 20:00:00,0.0,0.0,2024-01-11,20
2024-01-11 21:00:00,0.0,0.0,2024-01-11,21
2024-01-11 22:00:00,0.0,0.0,2024-01-11,22
2024-01-11 23:00:00,0.0,0.0,2024-01-11,23
2024-01-12 00:00:00,0.0,0.0,2024-01-12,0
2024-01-12 01:00:00,0.0,0.0,2024-01-12,1
2024-01-12 02:00:00,0.0,0.0,2024-01-12,2
2024-01-12 03:00:00,0.0,0.0,2024-01-12,3
