date_time,global_solar_kw/m2,incident_solar_kw/m2,date,hour
2024-01-01 00:00:00,0.0,0.0,2024-01-01,0
2024-01-01 01:00:00,0.0,0.0,2024-01-01,1
2024-01-01 02:00:00,0.0,0.0,2024-01-01,2
2024-01-01 03:00:00,0.0,0.0,2024-01-01,3
2024-01-01 04:00:00,0.0,0.0,2024-01-01,4
2024-01-01 05:00:00,0.0,0.0,2024-01-01,5
2024-01-01 06:00:00,0.02466855,0.055703,2024-01-01,6
2024-01-01 07:00:00,0.1860681,0.2838193,2024-01-01,7
2024-01-01 08:00:00,0.4105406,0.5942434,2024-01-01,8
2024-01-01 09:00:00,0.3623946,0.4104756,2024-01-01,9
2024-01-01 10:00:00,0.3871725,0.417921,2024-01-01,10
2024-01-01 11:00:00,0.6681196,0.8677582,2024-01-01,11
2024-01-01 12:00:00,0.48032,0.5580274,2024-01-01,12
2024-01-01 13:00:00,0.4411863,0.5287033,2024-01-01,13
2024-01-01 14:00:00,0.2691424,0.2947608,2024-01-01,14
2024-01-01 15:00:00,0.1710274,0.196728,2024-01-01,15
2024-01-01 16:00:00,0.06199149,0.10958,2024-01-01,16
2024-01-01 17:00:00,0.0,0.0,2024-01-01,17
2024-01-01 18:00:00,0.0,0.0,2024-01-01,18
2024-01-01 19:00:00,0.0,0.0,2024-01-01,19
2024-01-01 20:00:00,0.0,0.0,2024-01-01,20
2024-01-01 21:00:00,0.0,0.0,2024-01-01,21
2024-01-01 22:00:00,0.0,0.0,2024-01-01,22
2024-01-01 23:00:00,0.0,0.0,2024-01-01,23
2024-01-02 00:00:00,0.0,0.0,2024-01-02,0
2024-01-02 01:00:00,0.0,0.0,2024-01-02,1
2024-01-02 02:00:00,0.0,0.0,2024-01-02,2
2024-01-02 03:00:00,0.0,0.0,2024-01-02,3
2024-01-02 04:00:00,0.0,0.0,2024-01-02,4
2024-01-02 05:00:00,0.0,0.0,2024-01-02,5
2024-01-02 06:00:00,0.03003032,0.1009407,2024-01-02,6
2024-01-02 07:00:00,0.2280132,0.3933474,2024-01-02,7
2024-01-02 08:00:00,0.4656546,0.6845407,2024-01-02,8
2024-01-02 09:00:00,0.6122805,0.8405669,2024-01-02,9
2024-01-02 10:00:00,0.6092799,0.79087,2024-01-02,10
2024-01-02 11:00:00,0.5437519,0.6558771,2024-01-02,11
2024-01-02 12:00:00,0.4738333,0.5464382,2024-01-02,12
2024-01-02 13:00:00,0.5988243,0.8040568,2024-01-02,13
2024-01-02 14:00:00,0.4334438,0.5978433,2024-01-02,14
2024-01-02 15:00:00,0.3245769,0.5248802,2024-01-02,15
2024-01-02 16:00:00,0.07617858,0.1692463,2024-01-02,16
2024-01-02 17:00:00,0.0,0.0,2024-01-02,17
2024-01-02 18:00:00,0.0,0.0,2024-01-02,18
2024-01-02 19:00:00,0.0,0.0,2024-01-02,19
2024-01-02 20:00:00,0.0,0.0,2024-01-02,20
2024-01-02 21:00:00,0.0,0.0,2024-01-02,21
2024-01-02 22:00:00,0.0,0.0,2024-01-02,22
2024-01-02 23:00:00,0.0,0.0,2024-01-02,23
2024-01-03 00:00:00,0.0,0.0,2024-01-03,0
2024-01-03 01:00:00,0.0,0.0,2024-01-03,1
2024-01-03 02:00:00,0.0,0.0,2024-01-03,2
2024-01-03 03:00:00,0.0,0.0,2024-01-03,3
2024-01-03 04:00:00,0.0,0.0,2024-01-03,4
2024-01-03 05:00:00,0.0,0.0,2024-01-03,5
2024-01-03 06:00:00,0.01953093,0.03072597,2024-01-03,6
2024-01-03 07:00:00,0.1793538,0.2670963,2024-01-03,7
2024-01-03 08:00:00,0.3303244,0.4347634,2024-01-03,8
2024-01-03 09:00:00,0.3711933,0.4247543,2024-01-03,9
2024-01-03 10:00:00,0.7137651,0.9504603,2024-01-03,10
2024-01-03 11:00:00,0.571349,0.7028685,2024-01-03,11
2024-01-03 12:00:00,0.4236944,0.4659171,2024-01-03,12
2024-01-03 13:00:00,0.4915617,0.6168695,2024-01-03,13
2024-01-03 14:00:00,0.4244088,0.5788551,2024-01-03,14
2024-01-03 15:00:00,0.2906492,0.4577349,2024-01-03,15
2024-01-03 16:00:00,0.07751933,0.1687856,2024-01-03,16
2024-01-03 17:00:00,0.0,0.0,2024-01-03,17
2024-01-03 18:00:00,0.0,0.0,2024-01-03,18
2024-01-03 19:00:00,0.0,0.0,2024-01-03,19
2024-01-03 20:00:00,0.0,0.0,2024-01-03,20
2024-01-03 21:00:00,0.0,0.0,2024-01-03,21
2024-01-03 22:00:00,0.0,0.0,2024-01-03,22
2024-01-03 23:00:00,0.0,0.0,2024-01-03,23
2024-01-04 00:00:00,0.0,0.0,2024-01-04,0
2024-01-04 01:00:00,0.0,0.0,2024-01-04,1
2024-01-04 02:00:00,0.0,0.0,2024-01-04,2
2024-01-04 03:00:00,0.0,0.0,2024-01-04,3
2024-01-04 04:00:00,0.0,0.0,2024-01-04,4
2024-01-04 05:00:00,0.0,0.0,2024-01-04,5
2024-01-04 06:00:00,0.02983421,0.1039034,2024-01-04,6
2024-01-04 07:00:00,0.243505,0.4275706,2024-01-04,7
2024-01-04 08:00:00,0.4597942,0.6746826,2024-01-04,8
2024-01-04 09:00:00,0.6279414,0.8614548,2024-01-04,9
2024-01-04 10:00:00,0.7073804,0.9407942,2024-01-04,10
2024-01-04 11:00:00,0.7592286,1.000024,2024-01-04,11
2024-01-04 12:00:00,0.7706129,1.020989,2024-01-04,12
2024-01-04 13:00:00,0.6171851,0.8299615,2024-01-04,13
2024-01-04 14:00:00,0.4779967,0.6733364,2024-01-04,14
2024-01-04 15:00:00,0.3063444,0.4869665,2024-01-04,15
2024-01-04 16:00:00,0.1034757,0.2718576,2024-01-04,16
2024-01-04 17:00:00,0.0,0.0,2024-01-04,17
2024-01-04 18:00:00,0.0,0.0,2024-01-04,18
2024-01-04 19:00:00,0.0,0.0,2024-01-04,19
2024-01-04 20:00:00,0.0,0.0,2024-01-04,20
2024-01-04 21:00:00,0.0,0.0,2024-01-04,21
2024-01-04 22:00:00,0.0,0.0,2024-01-04,22
2024-01-04 23:00:00,0.0,0.0,2024-01-04,23
2024-01-05 00:00:00,0.0,0.0,2024-01-05,0
2024-01-05 01:00:00,0.0,0.0,2024-01-05,1
2024-01-05 02:00:00,0.0,0.0,2024-01-05,2
2024-01-05 03:00:00,0.0,0.0,2024-01-05,3
2024-01-05 04:00:00,0.0,0.0,2024-01-05,4
2024-01-05 05:00:00,0.0,0.0,2024-01-05,5
2024-01-05 06:00:00,0.01332632,0.01484759,2024-01-05,6
2024-01-05 07:00:00,0.1037271,0.109077,2024-01-05,7
2024-01-05 08:00:00,0.2741018,0.3239572,2024-01-05,8
2024-01-05 09:00:00,0.3128548,0.3339953,2024-01-05,9
2024-01-05 10:00:00,0.4937841,0.5879554,2024-01-05,10
2024-01-05 11:00:00,0.6473069,0.8300204,2024-01-05,11
2024-01-05 12:00:00,0.6459811,0.8372676,2024-01-05,12
2024-01-05 13:00:00,0.5417501,0.7036052,2024-01-05,13
2024-01-05 14:00:00,0.3532214,0.4368438,2024-01-05,14
2024-01-05 15:00:00,0.2015483,0.2501866,2024-01-05,15
2024-01-05 16:00:00,0.05555755,0.07410039,2024-01-05,16
2024-01-05 17:00:00,0.0,0.0,2024-01-05,17
2024-01-05 18:00:00,0.0,0.0,2024-01-05,18
2024-01-05 19:00:00,0.0,0.0,2024-01-05,19
2024-01-05 20:00:00,0.0,0.0,2024-01-05,20
2024-01-05 21:00:00,0.0,0.0,2024-01-05,21
2024-01-05 22:00:00,0.0,0.0,2024-01-05,22
2024-01-05 23:00:00,0.0,0.0,2024-01-05,23
2024-01-06 00:00:00,0.0,0.0,2024-01-06,0
2024-01-06 01:00:00,0.0,0.0,2024-01-06,1
2024-01-06 02:00:00,0.0,0.0,2024-01-06,2
2024-01-06 03:00:00,0.0,0.0,2024-01-06,3
2024-01-06 04:00:00,0.0,0.0,2024-01-06,4
2024-01-06 05:00:00,0.0,0.0,2024-01-06,5
2024-01-06 06:00:00,0.02724459,0.084386,2024-01-06,6
2024-01-06 07:00:00,0.193708,0.3070672,2024-01-06,7
2024-01-06 08:00:00,0.3572155,0.4893432,2024-01-06,8
2024-01-06 09:00:00,0.4503458,0.5644404,2024-01-06,9
2024-01-06 10:00:00,0.4734803,0.5526046,2024-01-06,10
2024-01-06 11:00:00,0.5070459,0.5901631,2024-01-06,11
2024-01-06 12:00:00,0.5769304,0.7193941,2024-01-06,12
2024-01-06 13:00:00,0.5685103,0.7480625,2024-01-06,13
2024-01-06 14:00:00,0.4318703,0.5867724,2024-01-06,14
2024-01-06 15:00:00,0.2042652,0.2539714,2024-01-06,15
2024-01-06 16:00:00,0.08112744,0.1649533,2024-01-06,16
2024-01-06 17:00:00,0.0,0.0,2024-01-06,17
2024-01-06 18:00:00,0.0,0.0,2024-01-06,18
2024-01-06 19:00:00,0.0,0.0,2024-01-06,19
2024-01-06 20:00:00,0.0,0.0,2024-01-06,20
2024-01-06 21:00:00,0.0,0.0,2024-01-06,21
2024-01-06 22:00:00,0.0,0.0,2024-01-06,22
2024-01-06 23:00:00,0.0,0.0,2024-01-06,23
2024-01-07 00:00:00,0.0,0.0,2024-01-07,0
2024-01-07 01:00:00,0.0,0.0,2024-01-07,1
2024-01-07 02:00:00,0.0,0.0,2024-01-07,2
2024-01-07 03:00:00,0.0,0.0,2024-01-07,3
2024-01-07 04:00:00,0.0,0.0,2024-01-07,4
2024-01-07 05:00:00,0.0,0.0,2024-01-07,5
2024-01-07 06:00:00,0.02872389,0.09933762,2024-01-07,6
2024-01-07 07:00:00,0.227236,0.3920443,2024-01-07,7
2024-01-07 08:00:00,0.3734831,0.5215924,2024-01-07,8
2024-01-07 09:00:00,0.541582,0.7271161,2024-01-07,9
2024-01-07 10:00:00,0.7129452,0.9456875,2024-01-07,10
2024-01-07 11:00:00,0.751083,0.9856373,2024-01-07,11
2024-01-07 12:00:00,0.6927621,0.9076787,2024-01-07,12
2024-01-07 13:00:00,0.5716903,0.751679,2024-01-07,13
2024-01-07 14:00:00,0.4521927,0.6221358,2024-01-07,14
2024-01-07 15:00:00,0.2663106,0.3916387,2024-01-07,15
2024-01-07 16:00:00,0.08380114,0.169972,2024-01-07,16
2024-01-07 17:00:00,0.0,0.0,2024-01-07,17
2024-01-07 18:00:00,0.0,0.0,2024-01-07,18
2024-01-07 19:00:00,0.0,0.0,2024-01-07,19
2024-01-07 20:00:00,0.0,0.0,2024-01-07,20
2024-01-07 21:00:00,0.0,0.0,2024-01-07,21
2024-01-07 22:00:00,0.0,0.0,2024-01-07,22
2024-01-07 23:00:00,0.0,0.0,2024-01-07,23
2024-01-08 00:00:00,0.0,0.0,2024-01-08,0
2024-01-08 01:00:00,0.0,0.0,2024-01-08,1
2024-01-08 02:00:00,0.0,0.0,2024-01-08,2
2024-01-08 03:00:00,0.0,0.0,2024-01-08,3
2024-01-08 04:00:00,0.0,0.0,2024-01-08,4
2024-01-08 05:00:00,0.0,0.0,2024-01-08,5
2024-01-08 06:00:00,0.0167801,0.02310769,2024-01-08,6
2024-01-08 07:00:00,0.1457658,0.1847207,2024-01-08,7
2024-01-08 08:00:00,0.3342192,0.441366,2024-01-08,8
2024-01-08 09:00:00,0.4056566,0.4822557,2024-01-08,9
2024-01-08 10:00:00,0.530939,0.6502207,2024-01-08,10
2024-01-08 11:00:00,0.5638329,0.6847007,2024-01-08,11
2024-01-08 12:00:00,0.5826774,0.7264228,2024-01-08,12
2024-01-08 13:00:00,0.6083746,0.809811,2024-01-08,13
2024-01-08 14:00:00,0.4452041,0.6071333,2024-01-08,14
2024-01-08 15:00:00,0.2611315,0.3765881,2024-01-08,15
2024-01-08 16:00:00,0.09706379,0.2198208,2024-01-08,16
2024-01-08 17:00:00,1.10575e-06,0.0,2024-01-08,17
2024-01-08 18:00:00,0.0,0.0,2024-01-08,18
2024-01-08 19:00:00,0.0,0.0,2024-01-08,19
2024-01-08 20:00:00,0.0,0.0,2024-01-08,20
2024-01-08 21:00:00,0.0,0.0,2024-01-08,21
2024-01-08 22:00:00,0.0,0.0,2024-01-08,22
2024-01-08 23:00:00,0.0,0.0,2024-01-08,23
2024-01-09 00:00:00,0.0,0.0,2024-01-09,0
2024-01-09 01:00:00,0.0,0.0,2024-01-09,1
2024-01-09 02:00:00,0.0,0.0,2024-01-09,2
2024-01-09 03:00:00,0.0,0.0,2024-01-09,3
2024-01-09 04:00:00,0.0,0.0,2024-01-09,4
2024-01-09 05:00:00,0.0,0.0,2024-01-09,5
2024-01-09 06:00:00,0.02603925,0.07801224,2024-01-09,6
2024-01-09 07:00:00,0.08372948,0.08418425,2024-01-09,7
2024-01-09 08:00:00,0.1874856,0.191593,2024-01-09,8
2024-01-09 09:00:00,0.3746496,0.4284544,2024-01-09,9
2024-01-09 10:00:00,0.5773767,0.7299815,2024-01-09,10
2024-01-09 11:00:00,0.572549,0.6984447,2024-01-09,11
2024-01-09 12:00:00,0.6515596,0.840269,2024-01-09,12
2024-01-09 13:00:00,0.3535393,0.3794543,2024-01-09,13
2024-01-09 14:00:00,0.1882356,0.1874037,2024-01-09,14
2024-01-09 15:00:00,0.1746308,0.1945846,2024-01-09,15
2024-01-09 16:00:00,0.05417449,0.06378008,2024-01-09,16
2024-01-09 17:00:00,1.36864e-05,0.0,2024-01-09,17
2024-01-09 18:00:00,0.0,0.0,2024-01-09,18
2024-01-09 19:00:00,0.0,0.0,2024-01-09,19
2024-01-09 20:00:00,0.0,0.0,2024-01-09,20
2024-01-09 21:00:00,0.0,0.0,2024-01-09,21
2024-01-09 22:00:00,0.0,0.0,2024-01-09,22
2024-01-09 23:00:00,0.0,0.0,2024-01-09,23
2024-01-10 00:00:00,0.0,0.0,2024-01-10,0
2024-01-10 01:00:00,0.0,0.0,2024-01-10,1
2024-01-10 02:00:00,0.0,0.0,2024-01-10,2
2024-01-10 03:00:00,0.0,0.0,2024-01-10,3
2024-01-10 04:00:00,0.0,0.0,2024-01-10,4
2024-01-10 05:00:00,0.0,0.0,2024-01-10,5
2024-01-10 06:00:00,0.02588565,0.07767,2024-01-10,6
2024-01-10 07:00:00,0.2073407,0.342445,2024-01-10,7
2024-01-10 08:00:00,0.3728185,0.518133,2024-01-10,8
2024-01-10 09:00:00,0.5775672,0.7821791,2024-01-10,9
2024-01-10 10:00:00,0.7068652,0.9336842,2024-01-10,10
2024-01-10 11:00:00,0.8417286,1.104454,2024-01-10,11
2024-01-10 12:00:00,0.8130149,1.070518,2024-01-10,12
2024-01-10 13:00:00,0.7040792,0.9447693,2024-01-10,13
2024-01-10 14:00:00,0.5553251,0.7803593,2024-01-10,14
2024-01-10 15:00:00,0.2952065,0.4463669,2024-01-10,15
2024-01-10 16:00:00,0.1029015,0.2285958,2024-01-10,16
2024-01-10 17:00:00,4.72213e-05,0.0,2024-01-10,17
2024-01-10 18:00:00,0.0,0.0,2024-01-10,18
2024-01-10 19:00:00,0.0,0.0,2024-01-10,19
2024-01-10 20:00:00,0.0,0.0,2024-01-10,20
2024-01-10 21:00:00,0.0,0.0,2024-01-10,21
2024-01-10 22:00:00,0.0,0.0,2024-01-10,22
2024-01-10 23:00:00,0.0,0.0,2024-01-10,23
2024-01-11 00:00:00,0.0,0.0,2024-01-11,0
2024-01-11 01:00:00,0.0,0.0,2024-01-11,1
2024-01-11 02:00:00,0.0,0.0,2024-01-11,2
2024-01-11 03:00:00,0.0,0.0,2024-01-11,3
2024-01-11 04:00:00,0.0,0.0,2024-01-11,4
2024-01-11 05:00:00,0.0,0.0,2024-01-11,5
2024-01-11 06:00:00,0.02562842,0.07626726,2024-01-11,6
2024-01-11 07:00:00,0.1777728,0.2636153,2024-01-11,7
2024-01-11 08:00:00,0.3268635,0.4245324,2024-01-11,8
2024-01-11 09:00:00,0.42496,0.5145322,2024-01-11,9
2024-01-11 10:00:00,0.7452177,0.9849035,2024-01-11,10
2024-01-11 11:00:00,0.7173187,0.9316469,2024-01-11,11
2024-01-11 12:00:00,0.6592287,0.8491595,2024-01-11,12
2024-01-11 13:00:00,0.405374,0.4565893,2024-01-11,13
2024-01-11 14:00:00,0.3590239,0.4370608,2024-01-11,14
2024-01-11 15:00:00,0.2276659,0.2926913,2024-01-11,15
2024-01-11 16:00:00,0.0664477,0.08862241,2024-01-11,16
2024-01-11 17:00:00,9.7682e-05,0.0,2024-01-11,17
2024-01-11 18:00:00,0.0,0.0,2024-01-11,18
2024-01-11 19:00:00,0.0,0.0,2024-01-11,19
2024-01-11 20:00:00,0.0,0.0,2024-01-11,20
2024-01-11 21:00:00,0.0,0.0,2024-01-11,21
2024-01-11 22:00:00,0.0,0.0,2024-01-11,22
2024-01-11 23:00:00,0.0,0.0,2024-01-11,23
2024-01-12 00:00:00,0.0,0.0,2024-01-12,0
2024-01-12 01:00:00,0.0,0.0,2024-01-12,1
2024-01-12 02:00:00,0.0,0.0,2024-01-12,2
2024-01-12 03:00:00,0.0,0.0,2024-01-12,3
2024-01-12 04:00:00,0.0,0.0,2024-01-12,4
