date_time,global_solar_kw/m2,incident_solar_kw/m2,date,hour
2024-01-01 00:00:00,0.0,0.0,2024-01-01,0
2024-01-01 01:00:00,0.0,0.0,2024-01-01,1
2024-01-01 02:00:00,0.0,0.0,2024-01-01,2
2024-01-01 03:00:00,0.0,0.0,2024-01-01,3
2024-01-01 04:00:00,0.0,0.0,2024-01-01,4
2024-01-01 05:00:00,0.0,0.0,2024-01-01,5
2024-01-01 06:00:00,0.02831506,0.06349947,2024-01-01,6
2024-01-01 07:00:00,0.193465,0.2892847,2024-01-01,7
2024-01-01 08:00:00,0.4200992,0.6012555,2024-01-01,8
2024-01-01 09:00:00,0.3671671,0.4132086,2024-01-01,9
2024-01-01 10:00:00,0.3903575,0.4192462,2024-01-01,10
2024-01-01 11:00:00,0.6749756,0.8703319,2024-01-01,11
2024-01-01 12:00:00,0.4836085,0.558394,2024-01-01,12
2024-01-01 13:00:00,0.4439433,0.5285098,2024-01-01,13
2024-01-01 14:00:00,0.2701824,0.2944185,2024-01-01,14
2024-01-01 15:00:00,0.1718471,0.1964,2024-01-01,15
2024-01-01 16:00:00,0.06269415,0.108779,2024-01-01,16
2024-01-01 17:00:00,0.0,0.0,2024-01-01,17
2024-01-01 18:00:00,0.0,0.0,2024-01-01,18
2024-01-01 19:00:00,0.0,0.0,2024-01-01,19
2024-01-01 20:00:00,0.0,0.0,2024-01-01,20
2024-01-01 21:00:00,0.0,0.0,2024-01-01,21
2024-01-01 22:00:00,0.0,0.0,2024-01-01,22
2024-01-01 23:00:00,0.0,0.0,2024-01-01,23
2024-01-02 00:00:00,0.0,0.0,2024-01-02,0
2024-01-02 01:00:00,0.0,0.0,2024-01-02,1
2024-01-02 02:00:00,0.0,0.0,2024-01-02,2
2024-01-02 03:00:00,0.0,0.0,2024-01-02,3
2024-01-02 04:00:00,0.0,0.0,2024-01-02,4
2024-01-02 05:00:00,0.0,0.0,2024-01-02,5
2024-01-02 06:00:00,0.03453271,0.1155744,2024-01-02,6
2024-01-02 07:00:00,0.237807,0.4018265,2024-01-02,7
2024-01-02 08:00:00,0.4770587,0.6935339,2024-01-02,8
2024-01-02 09:00:00,0.6227905,0.847752,2024-01-02,9
2024-01-02 10:00:00,0.6170148,0.7948663,2024-01-02,10
2024-01-02 11:00:00,0.5486164,0.657254,2024-01-02,11
2024-01-02 12:00:00,0.4760745,0.5452611,2024-01-02,12
2024-01-02 13:00:00,0.6040769,0.8054781,2024-01-02,13
2024-01-02 14:00:00,0.4369653,0.5982867,2024-01-02,14
2024-01-02 15:00:00,0.3276186,0.5254107,2024-01-02,15
2024-01-02 16:00:00,0.07733031,0.1691837,2024-01-02,16
2024-01-02 17:00:00,0.0,0.0,2024-01-02,17
2024-01-02 18:00:00,0.0,0.0,2024-01-02,18
2024-01-02 19:00:00,0.0,0.0,2024-01-02,19
2024-01-02 20:00:00,0.0,0.0,2024-01-02,20
2024-01-02 21:00:00,0.0,0.0,2024-01-02,21
2024-01-02 22:00:00,0.0,0.0,2024-01-02,22
2024-01-02 23:00:00,0.0,0.0,2024-01-02,23
2024-01-03 00:00:00,0.0,0.0,2024-01-03,0
2024-01-03 01:00:00,0.0,0.0,2024-01-03,1
2024-01-03 02:00:00,0.0,0.0,2024-01-03,2
2024-01-03 03:00:00,0.0,0.0,2024-01-03,3
2024-01-03 04:00:00,0.0,0.0,2024-01-03,4
2024-01-03 05:00:00,0.0,0.0,2024-01-03,5
2024-01-03 06:00:00,0.02241321,0.0349775,2024-01-03,6
2024-01-03 07:00:00,0.1867508,0.2730623,2024-01-03,7
2024-01-03 08:00:00,0.3378436,0.4402532,2024-01-03,8
2024-01-03 09:00:00,0.3763207,0.4278443,2024-01-03,9
2024-01-03 10:00:00,0.7233452,0.9560671,2024-01-03,10
2024-01-03 11:00:00,0.5767059,0.7045401,2024-01-03,11
2024-01-03 12:00:00,0.4258189,0.4657649,2024-01-03,12
2024-01-03 13:00:00,0.495027,0.6169095,2024-01-03,13
2024-01-03 14:00:00,0.427768,0.5791844,2024-01-03,14
2024-01-03 15:00:00,0.293325,0.4580883,2024-01-03,15
2024-01-03 16:00:00,0.07859448,0.1684067,2024-01-03,16
2024-01-03 17:00:00,0.0,0.0,2024-01-03,17
2024-01-03 18:00:00,0.0,0.0,2024-01-03,18
2024-01-03 19:00:00,0.0,0.0,2024-01-03,19
2024-01-03 20:00:00,0.0,0.0,2024-01-03,20
2024-01-03 21:00:00,0.0,0.0,2024-01-03,21
2024-01-03 22:00:00,0.0,0.0,2024-01-03,22
2024-01-03 23:00:00,0.0,0.0,2024-01-03,23
2024-01-04 00:00:00,0.0,0.0,2024-01-04,0
2024-01-04 01:00:00,0.0,0.0,2024-01-04,1
2024-01-04 02:00:00,0.0,0.0,2024-01-04,2
2024-01-04 03:00:00,0.0,0.0,2024-01-04,3
2024-01-04 04:00:00,0.0,0.0,2024-01-04,4
2024-01-04 05:00:00,0.0,0.0,2024-01-04,5
2024-01-04 06:00:00,0.03435517,0.1191676,2024-01-04,6
2024-01-04 07:00:00,0.2537597,0.4362436,2024-01-04,7
2024-01-04 08:00:00,0.4707514,0.6831184,2024-01-04,8
2024-01-04 09:00:00,0.6384488,0.8684468,2024-01-04,9
2024-01-04 10:00:00,0.7166056,0.9459642,2024-01-04,10
2024-01-04 11:00:00,0.7674764,1.003876,2024-01-04,11
2024-01-04 12:00:00,0.7778832,1.023642,2024-01-04,12
2024-01-04 13:00:00,0.6223919,0.8311608,2024-01-04,13
2024-01-04 14:00:00,0.4818557,0.6738145,2024-01-04,14
2024-01-04 15:00:00,0.3089954,0.4870491,2024-01-04,15
2024-01-04 16:00:00,0.1049095,0.2714975,2024-01-04,16
2024-01-04 17:00:00,0.0,0.0,2024-01-04,17
2024-01-04 18:00:00,0.0,0.0,2024-01-04,18
2024-01-04 19:00:00,0.0,0.0,2024-01-04,19
2024-01-04 20:00:00,0.0,0.0,2024-01-04,20
2024-01-04 21:00:00,0.0,0.0,2024-01-04,21
2024-01-04 22:00:00,0.0,0.0,2024-01-04,22
2024-01-04 23:00:00,0.0,0.0,2024-01-04,23
2024-01-05 00:00:00,0.0,0.0,2024-01-05,0
2024-01-05 01:00:00,0.0,0.0,2024-01-05,1
2024-01-05 02:00:00,0.0,0.0,2024-01-05,2
2024-01-05 03:00:00,0.0,0.0,2024-01-05,3
2024-01-05 04:00:00,0.0,0.0,2024-01-05,4
2024-01-05 05:00:00,0.0,0.0,2024-01-05,5
2024-01-05 06:00:00,0.01534403,0.01707332,2024-01-05,6
2024-01-05 07:00:00,0.1070923,0.1118421,2024-01-05,7
2024-01-05 08:00:00,0.2788053,0.3262287,2024-01-05,8
2024-01-05 09:00:00,0.3157492,0.3352301,2024-01-05,9
2024-01-05 10:00:00,0.4976382,0.5877098,2024-01-05,10
2024-01-05 11:00:00,0.6522235,0.8297771,2024-01-05,11
2024-01-05 12:00:00,0.649617,0.8354453,2024-01-05,12
2024-01-05 13:00:00,0.5441065,0.7009014,2024-01-05,13
2024-01-05 14:00:00,0.3542231,0.4343306,2024-01-05,14
2024-01-05 15:00:00,0.2019763,0.2482594,2024-01-05,15
2024-01-05 16:00:00,0.05588503,0.07335567,2024-01-05,16
2024-01-05 17:00:00,0.0,0.0,2024-01-05,17
2024-01-05 18:00:00,0.0,0.0,2024-01-05,18
2024-01-05 19:00:00,0.0,0.0,2024-01-05,19
2024-01-05 20:00:00,0.0,0.0,2024-01-05,20
2024-01-05 21:00:00,0.0,0.0,2024-01-05,21
2024-01-05 22:00:00,0.0,0.0,2024-01-05,22
2024-01-05 23:00:00,0.0,0.0,2024-01-05,23
2024-01-06 00:00:00,0.0,0.0,2024-01-06,0
2024-01-06 01:00:00,0.0,0.0,2024-01-06,1
2024-01-06 02:00:00,0.0,0.0,2024-01-06,2
2024-01-06 03:00:00,0.0,0.0,2024-01-06,3
2024-01-06 04:00:00,0.0,0.0,2024-01-06,4
2024-01-06 05:00:00,0.0,0.0,2024-01-06,5
2024-01-06 06:00:00,0.03138941,0.09671727,2024-01-06,6
2024-01-06 07:00:00,0.2017003,0.3134029,2024-01-06,7
2024-01-06 08:00:00,0.3654687,0.4954043,2024-01-06,8
2024-01-06 09:00:00,0.4572792,0.5686049,2024-01-06,9
2024-01-06 10:00:00,0.4785688,0.5549685,2024-01-06,10
2024-01-06 11:00:00,0.5113429,0.5914917,2024-01-06,11
2024-01-06 12:00:00,0.5817239,0.7204739,2024-01-06,12
2024-01-06 13:00:00,0.5731564,0.7489618,2024-01-06,13
2024-01-06 14:00:00,0.4351941,0.5870164,2024-01-06,14
2024-01-06 15:00:00,0.205566,0.2537941,2024-01-06,15
2024-01-06 16:00:00,0.08210607,0.1643607,2024-01-06,16
2024-01-06 17:00:00,0.0,0.0,2024-01-06,17
2024-01-06 18:00:00,0.0,0.0,2024-01-06,18
2024-01-06 19:00:00,0.0,0.0,2024-01-06,19
2024-01-06 20:00:00,0.0,0.0,2024-01-06,20
2024-01-06 21:00:00,0.0,0.0,2024-01-06,21
2024-01-06 22:00:00,0.0,0.0,2024-01-06,22
2024-01-06 23:00:00,0.0,0.0,2024-01-06,23
2024-01-07 00:00:00,0.0,0.0,2024-01-07,0
2024-01-07 01:00:00,0.0,0.0,2024-01-07,1
2024-01-07 02:00:00,0.0,0.0,2024-01-07,2
2024-01-07 03:00:00,0.0,0.0,2024-01-07,3
2024-01-07 04:00:00,0.0,0.0,2024-01-07,4
2024-01-07 05:00:00,0.0,0.0,2024-01-07,5
2024-01-07 06:00:00,0.0330979,0.1138762,2024-01-07,6
2024-01-07 07:00:00,0.2373096,0.4011635,2024-01-07,7
2024-01-07 08:00:00,0.3822088,0.5280873,2024-01-07,8
2024-01-07 09:00:00,0.5505216,0.7328658,2024-01-07,9
2024-01-07 10:00:00,0.722432,0.951211,2024-01-07,10
2024-01-07 11:00:00,0.7593643,0.9896147,2024-01-07,11
2024-01-07 12:00:00,0.6992291,0.9099026,2024-01-07,12
2024-01-07 13:00:00,0.5762398,0.7524029,2024-01-07,13
2024-01-07 14:00:00,0.4556862,0.6224017,2024-01-07,14
2024-01-07 15:00:00,0.2684567,0.3915843,2024-01-07,15
2024-01-07 16:00:00,0.08492669,0.1699769,2024-01-07,16
2024-01-07 17:00:00,0.0,0.0,2024-01-07,17
2024-01-07 18:00:00,0.0,0.0,2024-01-07,18
2024-01-07 19:00:00,0.0,0.0,2024-01-07,19
2024-01-07 20:00:00,0.0,0.0,2024-01-07,20
2024-01-07 21:00:00,0.0,0.0,2024-01-07,21
2024-01-07 22:00:00,0.0,0.0,2024-01-07,22
2024-01-07 23:00:00,0.0,0.0,2024-01-07,23
2024-01-08 00:00:00,0.0,0.0,2024-01-08,0
2024-01-08 01:00:00,0.0,0.0,2024-01-08,1
2024-01-08 02:00:00,0.0,0.0,2024-01-08,2
2024-01-08 03:00:00,0.0,0.0,2024-01-08,3
2024-01-08 04:00:00,0.0,0.0,2024-01-08,4
2024-01-08 05:00:00,0.0,0.0,2024-01-08,5
2024-01-08 06:00:00,0.0192735,0.02633005,2024-01-08,6
2024-01-08 07:00:00,0.1513793,0.1890216,2024-01-08,7
2024-01-08 08:00:00,0.3416595,0.4466234,2024-01-08,8
2024-01-08 09:00:00,0.4114284,0.4855849,2024-01-08,9
2024-01-08 10:00:00,0.5368977,0.6527995,2024-01-08,10
2024-01-08 11:00:00,0.568865,0.6861101,2024-01-08,11
2024-01-08 12:00:00,0.5873399,0.7272442,2024-01-08,12
2024-01-08 13:00:00,0.6133257,0.8107805,2024-01-08,13
2024-01-08 14:00:00,0.4485032,0.6071928,2024-01-08,14
2024-01-08 15:00:00,0.263074,0.3762704,2024-01-08,15
2024-01-08 16:00:00,0.09819797,0.2191298,2024-01-08,16
2024-01-08 17:00:00,3.93389e-06,0.0,2024-01-08,17
2024-01-08 18:00:00,0.0,0.0,2024-01-08,18
2024-01-08 19:00:00,0.0,0.0,2024-01-08,19
2024-01-08 20:00:00,0.0,0.0,2024-01-08,20
2024-01-08 21:00:00,0.0,0.0,2024-01-08,21
2024-01-08 22:00:00,0.0,0.0,2024-01-08,22
2024-01-08 23:00:00,0.0,0.0,2024-01-08,23
2024-01-09 00:00:00,0.0,0.0,2024-01-09,0
2024-01-09 01:00:00,0.0,0.0,2024-01-09,1
2024-01-09 02:00:00,0.0,0.0,2024-01-09,2
2024-01-09 03:00:00,0.0,0.0,2024-01-09,3
2024-01-09 04:00:00,0.0,0.0,2024-01-09,4
2024-01-09 05:00:00,0.0,0.0,2024-01-09,5
2024-01-09 06:00:00,0.03000346,0.08930761,2024-01-09,6
2024-01-09 07:00:00,0.08635928,0.08657168,2024-01-09,7
2024-01-09 08:00:00,0.1907077,0.1942777,2024-01-09,8
2024-01-09 09:00:00,0.3795579,0.4311905,2024-01-09,9
2024-01-09 10:00:00,0.5838745,0.7325844,2024-01-09,10
2024-01-09 11:00:00,0.577405,0.699416,2024-01-09,11
2024-01-09 12:00:00,0.6567903,0.8410553,2024-01-09,12
2024-01-09 13:00:00,0.3548387,0.3791612,2024-01-09,13
2024-01-09 14:00:00,0.1884609,0.1873784,2024-01-09,14
2024-01-09 15:00:00,0.1752637,0.1942118,2024-01-09,15
2024-01-09 16:00:00,0.0544293,0.06342651,2024-01-09,16
2024-01-09 17:00:00,2.08278e-05,0.0,2024-01-09,17
2024-01-09 18:00:00,0.0,0.0,2024-01-09,18
2024-01-09 19:00:00,0.0,0.0,2024-01-09,19
2024-01-09 20:00:00,0.0,0.0,2024-01-09,20
2024-01-09 21:00:00,0.0,0.0,2024-01-09,21
2024-01-09 22:00:00,0.0,0.0,2024-01-09,22
2024-01-09 23:00:00,0.0,0.0,2024-01-09,23
2024-01-10 00:00:00,0.0,0.0,2024-01-10,0
2024-01-10 01:00:00,0.0,0.0,2024-01-10,1
2024-01-10 02:00:00,0.0,0.0,2024-01-10,2
2024-01-10 03:00:00,0.0,0.0,2024-01-10,3
2024-01-10 04:00:00,0.0,0.0,2024-01-10,4
2024-01-10 05:00:00,0.0,0.0,2024-01-10,5
2024-01-10 06:00:00,0.0298318,0.08895504,2024-01-10,6
2024-01-10 07:00:00,0.2160576,0.3496927,2024-01-10,7
2024-01-10 08:00:00,0.3814617,0.5245573,2024-01-10,8
2024-01-10 09:00:00,0.5871904,0.7885442,2024-01-10,9
2024-01-10 10:00:00,0.7161371,0.938998,2024-01-10,10
2024-01-10 11:00:00,0.8506246,1.108443,2024-01-10,11
2024-01-10 12:00:00,0.8205872,1.073272,2024-01-10,12
2024-01-10 13:00:00,0.7099593,0.9462987,2024-01-10,13
2024-01-10 14:00:00,0.559736,0.7810924,2024-01-10,14
2024-01-10 15:00:00,0.297617,0.4464334,2024-01-10,15
2024-01-10 16:00:00,0.1041138,0.2282494,2024-01-10,16
2024-01-10 17:00:00,6.02725e-05,0.0,2024-01-10,17
2024-01-10 18:00:00,0.0,0.0,2024-01-10,18
2024-01-10 19:00:00,0.0,0.0,2024-01-10,19
2024-01-10 20:00:00,0.0,0.0,2024-01-10,20
2024-01-10 21:00:00,0.0,0.0,2024-01-10,21
2024-01-10 22:00:00,0.0,0.0,2024-01-10,22
2024-01-10 23:00:00,0.0,0.0,2024-01-10,23
2024-01-11 00:00:00,0.0,0.0,2024-01-11,0
2024-01-11 01:00:00,0.0,0.0,2024-01-11,1
2024-01-11 02:00:00,0.0,0.0,2024-01-11,2
2024-01-11 03:00:00,0.0,0.0,2024-01-11,3
2024-01-11 04:00:00,0.0,0.0,2024-01-11,4
2024-01-11 05:00:00,0.0,0.0,2024-01-11,5
2024-01-11 06:00:00,0.02952721,0.08728775,2024-01-11,6
2024-01-11 07:00:00,0.1848508,0.2689326,2024-01-11,7
2024-01-11 08:00:00,0.3340221,0.4295697,2024-01-11,8
2024-01-11 09:00:00,0.4310884,0.5180501,2024-01-11,9
2024-01-11 10:00:00,0.7547435,0.9902238,2024-01-11,10
2024-01-11 11:00:00,0.7247469,0.9347516,2024-01-11,11
2024-01-11 12:00:00,0.6649137,0.8506384,2024-01-11,12
2024-01-11 13:00:00,0.4071646,0.4560097,2024-01-11,13
2024-01-11 14:00:00,0.3610501,0.4366572,2024-01-11,14
2024-01-11 15:00:00,0.2290017,0.2922137,2024-01-11,15
2024-01-11 16:00:00,0.06688853,0.08814626,2024-01-11,16
2024-01-11 17:00:00,0.00011547,0.0,2024-01-11,17
2024-01-11 18:00:00,0.0,0.0,2024-01-11,18
2024-01-11 19:00:00,0.0,0.0,2024-01-11,19
2024-01-11 20:00:00,0.0,0.0,2024-01-11,20
2024-01-11 21:00:00,0.0,0.0,2024-01-11,21
2024-01-11 22:00:00,0.0,0.0,2024-01-11,22
2024-01-11 23:00:00,0.0,0.0,2024-01-11,23
2024-01-12 00:00:00,0.0,0.0,2024-01-12,0
2024-01-12 01:00:00,0.0,0.0,2024-01-12,1
2024-01-12 02:00:00,0.0,0.0,2024-01-12,2
2024-01-12 03:00:00,0.0,0.0,2024-01-12,3
