date_time,global_solar_kw/m2,incident_solar_kw/m2,date,hour
2024-01-01 00:00:00,0.0,0.0,2024-01-01,0
2024-01-01 01:00:00,0.0,0.0,2024-01-01,1
2024-01-01 02:00:00,0.0,0.0,2024-01-01,2
2024-01-01 03:00:00,0.0,0.0,2024-01-01,3
2024-01-01 04:00:00,0.0,0.0,2024-01-01,4
2024-01-01 05:00:00,0.0,0.0,2024-01-01,5
2024-01-01 06:00:00,0.0206257,0.04664585,2024-01-01,6
2024-01-01 07:00:00,0.1795806,0.2780502,2024-01-01,7
2024-01-01 08:00:00,0.4070863,0.5905656,2024-01-01,8
2024-01-01 09:00:00,0.3676239,0.4195077,2024-01-01,9
2024-01-01 10:00:00,0.3967031,0.4309565,2024-01-01,10
2024-01-01 11:00:00,0.678987,0.879349,2024-01-01,11
2024-01-01 12:00:00,0.4944722,0.5760505,2024-01-01,12
2024-01-01 13:00:00,0.457933,0.5498061,2024-01-01,13
2024-01-01 14:00:00,0.2849263,0.313639,2024-01-01,14
2024-01-01 15:00:00,0.1855522,0.2139995,2024-01-01,15
2024-01-01 16:00:00,0.07534599,0.1247486,2024-01-01,16
2024-01-01 17:00:00,2.53899e-05,0.0,2024-01-01,17
2024-01-01 18:00:00,0.0,0.0,2024-01-01,18
2024-01-01 19:00:00,0.0,0.0,2024-01-01,19
2024-01-01 20:00:00,0.0,0.0,2024-01-01,20
2024-01-01 21:00:00,0.0,0.0,2024-01-01,21
2024-01-01 22:00:00,0.0,0.0,2024-01-01,22
2024-01-01 23:00:00,0.0,0.0,2024-01-01,23
2024-01-02 00:00:00,0.0,0.0,2024-01-02,0
2024-01-02 01:00:00,0.0,0.0,2024-01-02,1
2024-01-02 02:00:00,0.0,0.0,2024-01-02,2
2024-01-02 03:00:00,0.0,0.0,2024-01-02,3
2024-01-02 04:00:00,0.0,0.0,2024-01-02,4
2024-01-02 05:00:00,0.0,0.0,2024-01-02,5
2024-01-02 06:00:00,0.02499676,0.08375552,2024-01-02,6
2024-01-02 07:00:00,0.2192287,0.3832116,2024-01-02,7
2024-01-02 08:00:00,0.4593838,0.675724,2024-01-02,8
2024-01-02 09:00:00,0.6102327,0.8357104,2024-01-02,9
2024-01-02 10:00:00,0.6133769,0.7943847,2024-01-02,10
2024-01-02 11:00:00,0.5523474,0.6660159,2024-01-02,11
2024-01-02 12:00:00,0.4876976,0.5639902,2024-01-02,12
2024-01-02 13:00:00,0.6143292,0.8191974,2024-01-02,13
2024-01-02 14:00:00,0.4512634,0.6171866,2024-01-02,14
2024-01-02 15:00:00,0.3451248,0.5457199,2024-01-02,15
2024-01-02 16:00:00,0.0920922,0.1872561,2024-01-02,16
2024-01-02 17:00:00,5.95277e-05,0.0,2024-01-02,17
2024-01-02 18:00:00,0.0,0.0,2024-01-02,18
2024-01-02 19:00:00,0.0,0.0,2024-01-02,19
2024-01-02 20:00:00,0.0,0.0,2024-01-02,20
2024-01-02 21:00:00,0.0,0.0,2024-01-02,21
2024-01-02 22:00:00,0.0,0.0,2024-01-02,22
2024-01-02 23:00:00,0.0,0.0,2024-01-02,23
2024-01-03 00:00:00,0.0,0.0,2024-01-03,0
2024-01-03 01:00:00,0.0,0.0,2024-01-03,1
2024-01-03 02:00:00,0.0,0.0,2024-01-03,2
2024-01-03 03:00:00,0.0,0.0,2024-01-03,3
2024-01-03 04:00:00,0.0,0.0,2024-01-03,4
2024-01-03 05:00:00,0.0,0.0,2024-01-03,5
2024-01-03 06:00:00,0.01633446,0.0258834,2024-01-03,6
2024-01-03 07:00:00,0.1733818,0.2625508,2024-01-03,7
2024-01-03 08:00:00,0.3286345,0.435324,2024-01-03,8
2024-01-03 09:00:00,0.3742813,0.430371,2024-01-03,9
2024-01-03 10:00:00,0.7169719,0.9511486,2024-01-03,10
2024-01-03 11:00:00,0.5807633,0.7140751,2024-01-03,11
2024-01-03 12:00:00,0.4371623,0.4826008,2024-01-03,12
2024-01-03 13:00:00,0.507086,0.6349464,2024-01-03,13
2024-01-03 14:00:00,0.4424214,0.5990119,2024-01-03,14
2024-01-03 15:00:00,0.3101131,0.4788372,2024-01-03,15
2024-01-03 16:00:00,0.0934379,0.1868105,2024-01-03,16
2024-01-03 17:00:00,8.20321e-05,0.0,2024-01-03,17
2024-01-03 18:00:00,0.0,0.0,2024-01-03,18
2024-01-03 19:00:00,0.0,0.0,2024-01-03,19
2024-01-03 20:00:00,0.0,0.0,2024-01-03,20
2024-01-03 21:00:00,0.0,0.0,2024-01-03,21
2024-01-03 22:00:00,0.0,0.0,2024-01-03,22
2024-01-03 23:00:00,0.0,0.0,2024-01-03,23
2024-01-04 00:00:00,0.0,0.0,2024-01-04,0
2024-01-04 01:00:00,0.0,0.0,2024-01-04,1
2024-01-04 02:00:00,0.0,0.0,2024-01-04,2
2024-01-04 03:00:00,0.0,0.0,2024-01-04,3
2024-01-04 04:00:00,0.0,0.0,2024-01-04,4
2024-01-04 05:00:00,0.0,0.0,2024-01-04,5
2024-01-04 06:00:00,0.02473308,0.08579483,2024-01-04,6
2024-01-04 07:00:00,0.2336083,0.4155114,2024-01-04,7
2024-01-04 08:00:00,0.4547142,0.6677236,2024-01-04,8
2024-01-04 09:00:00,0.6270396,0.8582045,2024-01-04,9
2024-01-04 10:00:00,0.7115914,0.9429673,2024-01-04,10
2024-01-04 11:00:00,0.7678077,1.006563,2024-01-04,11
2024-01-04 12:00:00,0.783189,1.031591,2024-01-04,12
2024-01-04 13:00:00,0.6343505,0.8472933,2024-01-04,13
2024-01-04 14:00:00,0.4975302,0.6939964,2024-01-04,14
2024-01-04 15:00:00,0.3266166,0.5086471,2024-01-04,15
2024-01-04 16:00:00,0.1234444,0.2922634,2024-01-04,16
2024-01-04 17:00:00,0.000231963,0.0,2024-01-04,17
2024-01-04 18:00:00,0.0,0.0,2024-01-04,18
2024-01-04 19:00:00,0.0,0.0,2024-01-04,19
2024-01-04 20:00:00,0.0,0.0,2024-01-04,20
2024-01-04 21:00:00,0.0,0.0,2024-01-04,21
2024-01-04 22:00:00,0.0,0.0,2024-01-04,22
2024-01-04 23:00:00,0.0,0.0,2024-01-04,23
2024-01-05 00:00:00,0.0,0.0,2024-01-05,0
2024-01-05 01:00:00,0.0,0.0,2024-01-05,1
2024-01-05 02:00:00,0.0,0.0,2024-01-05,2
2024-01-05 03:00:00,0.0,0.0,2024-01-05,3
2024-01-05 04:00:00,0.0,0.0,2024-01-05,4
2024-01-05 05:00:00,0.0,0.0,2024-01-05,5
2024-01-05 06:00:00,0.01105316,0.01231359,2024-01-05,6
2024-01-05 07:00:00,0.1014952,0.1077376,2024-01-05,7
2024-01-05 08:00:00,0.2748384,0.3283136,2024-01-05,8
2024-01-05 09:00:00,0.3198933,0.344458,2024-01-05,9
2024-01-05 10:00:00,0.504713,0.6047588,2024-01-05,10
2024-01-05 11:00:00,0.6626568,0.8494831,2024-01-05,11
2024-01-05 12:00:00,0.6639752,0.8585547,2024-01-05,12
2024-01-05 13:00:00,0.5619069,0.7284175,2024-01-05,13
2024-01-05 14:00:00,0.3721132,0.4612017,2024-01-05,14
2024-01-05 15:00:00,0.2177043,0.270243,2024-01-05,15
2024-01-05 16:00:00,0.06723818,0.08728434,2024-01-05,16
2024-01-05 17:00:00,0.000371756,0.0,2024-01-05,17
2024-01-05 18:00:00,0.0,0.0,2024-01-05,18
2024-01-05 19:00:00,0.0,0.0,2024-01-05,19
2024-01-05 20:00:00,0.0,0.0,2024-01-05,20
2024-01-05 21:00:00,0.0,0.0,2024-01-05,21
2024-01-05 22:00:00,0.0,0.0,2024-01-05,22
2024-01-05 23:00:00,0.0,0.0,2024-01-05,23
2024-01-06 00:00:00,0.0,0.0,2024-01-06,0
2024-01-06 01:00:00,0.0,0.0,2024-01-06,1
2024-01-06 02:00:00,0.0,0.0,2024-01-06,2
2024-01-06 03:00:00,0.0,0.0,2024-01-06,3
2024-01-06 04:00:00,0.0,0.0,2024-01-06,4
2024-01-06 05:00:00,0.0,0.0,2024-01-06,5
2024-01-06 06:00:00,0.02253175,0.06958962,2024-01-06,6
2024-01-06 07:00:00,0.1866487,0.3005009,2024-01-06,7
2024-01-06 08:00:00,0.3546172,0.4881115,2024-01-06,8
2024-01-06 09:00:00,0.4532366,0.5700606,2024-01-06,9
2024-01-06 10:00:00,0.4804823,0.5626456,2024-01-06,10
2024-01-06 11:00:00,0.5176098,0.6039483,2024-01-06,11
2024-01-06 12:00:00,0.5907899,0.7357879,2024-01-06,12
2024-01-06 13:00:00,0.5852549,0.7662395,2024-01-06,13
2024-01-06 14:00:00,0.450269,0.6075537,2024-01-06,14
2024-01-06 15:00:00,0.2197374,0.2725736,2024-01-06,15
2024-01-06 16:00:00,0.09690069,0.1828932,2024-01-06,16
2024-01-06 17:00:00,0.000236062,0.0,2024-01-06,17
2024-01-06 18:00:00,0.0,0.0,2024-01-06,18
2024-01-06 19:00:00,0.0,0.0,2024-01-06,19
2024-01-06 20:00:00,0.0,0.0,2024-01-06,20
2024-01-06 21:00:00,0.0,0.0,2024-01-06,21
2024-01-06 22:00:00,0.0,0.0,2024-01-06,22
2024-01-06 23:00:00,0.0,0.0,2024-01-06,23
2024-01-07 00:00:00,0.0,0.0,2024-01-07,0
2024-01-07 01:00:00,0.0,0.0,2024-01-07,1
2024-01-07 02:00:00,0.0,0.0,2024-01-07,2
2024-01-07 03:00:00,0.0,0.0,2024-01-07,3
2024-01-07 04:00:00,0.0,0.0,2024-01-07,4
2024-01-07 05:00:00,0.0,0.0,2024-01-07,5
2024-01-07 06:00:00,0.02372888,0.08190484,2024-01-07,6
2024-01-07 07:00:00,0.2185543,0.3824595,2024-01-07,7
2024-01-07 08:00:00,0.3691941,0.5169079,2024-01-07,8
2024-01-07 09:00:00,0.5406358,0.7248092,2024-01-07,9
2024-01-07 10:00:00,0.7151549,0.9450955,2024-01-07,10
2024-01-07 11:00:00,0.7579557,0.9900275,2024-01-07,11
2024-01-07 12:00:00,0.7040776,0.9175563,2024-01-07,12
2024-01-07 13:00:00,0.5859123,0.7656319,2024-01-07,13
2024-01-07 14:00:00,0.4690106,0.6393414,2024-01-07,14
2024-01-07 15:00:00,0.2840419,0.4116232,2024-01-07,15
2024-01-07 16:00:00,0.09963983,0.1876899,2024-01-07,16
2024-01-07 17:00:00,0.000430588,0.0,2024-01-07,17
2024-01-07 18:00:00,0.0,0.0,2024-01-07,18
2024-01-07 19:00:00,0.0,0.0,2024-01-07,19
2024-01-07 20:00:00,0.0,0.0,2024-01-07,20
2024-01-07 21:00:00,0.0,0.0,2024-01-07,21
2024-01-07 22:00:00,0.0,0.0,2024-01-07,22
2024-01-07 23:00:00,0.0,0.0,2024-01-07,23
2024-01-08 00:00:00,0.0,0.0,2024-01-08,0
2024-01-08 01:00:00,0.0,0.0,2024-01-08,1
2024-01-08 02:00:00,0.0,0.0,2024-01-08,2
2024-01-08 03:00:00,0.0,0.0,2024-01-08,3
2024-01-08 04:00:00,0.0,0.0,2024-01-08,4
2024-01-08 05:00:00,0.0,0.0,2024-01-08,5
2024-01-08 06:00:00,0.01394837,0.01936413,2024-01-08,6
2024-01-08 07:00:00,0.1412413,0.1819359,2024-01-08,7
2024-01-08 08:00:00,0.3322356,0.4414733,2024-01-08,8
2024-01-08 09:00:00,0.4088214,0.4883775,2024-01-08,9
2024-01-08 10:00:00,0.538007,0.6601512,2024-01-08,10
2024-01-08 11:00:00,0.5747235,0.6986339,2024-01-08,11
2024-01-08 12:00:00,0.5965924,0.7428492,2024-01-08,12
2024-01-08 13:00:00,0.6254,0.8273824,2024-01-08,13
2024-01-08 14:00:00,0.4637114,0.6277072,2024-01-08,14
2024-01-08 15:00:00,0.2790938,0.397633,2024-01-08,15
2024-01-08 16:00:00,0.1147967,0.2392515,2024-01-08,16
2024-01-08 17:00:00,0.000507399,0.0,2024-01-08,17
2024-01-08 18:00:00,0.0,0.0,2024-01-08,18
2024-01-08 19:00:00,0.0,0.0,2024-01-08,19
2024-01-08 20:00:00,0.0,0.0,2024-01-08,20
2024-01-08 21:00:00,0.0,0.0,2024-01-08,21
2024-01-08 22:00:00,0.0,0.0,2024-01-08,22
2024-01-08 23:00:00,0.0,0.0,2024-01-08,23
2024-01-09 00:00:00,0.0,0.0,2024-01-09,0
2024-01-09 01:00:00,0.0,0.0,2024-01-09,1
2024-01-09 02:00:00,0.0,0.0,2024-01-09,2
2024-01-09 03:00:00,0.0,0.0,2024-01-09,3
2024-01-09 04:00:00,0.0,0.0,2024-01-09,4
2024-01-09 05:00:00,0.0,0.0,2024-01-09,5
2024-01-09 06:00:00,0.02146608,0.06425735,2024-01-09,6
2024-01-09 07:00:00,0.08243601,0.08329332,2024-01-09,7
2024-01-09 08:00:00,0.189559,0.194894,2024-01-09,8
2024-01-09 09:00:00,0.379809,0.4376288,2024-01-09,9
2024-01-09 10:00:00,0.585569,0.7411705,2024-01-09,10
2024-01-09 11:00:00,0.5854117,0.7156324,2024-01-09,11
2024-01-09 12:00:00,0.6670975,0.8576634,2024-01-09,12
2024-01-09 13:00:00,0.3702299,0.3997329,2024-01-09,13
2024-01-09 14:00:00,0.2007091,0.2002946,2024-01-09,14
2024-01-09 15:00:00,0.1888315,0.2110994,2024-01-09,15
2024-01-09 16:00:00,0.06481259,0.07532909,2024-01-09,16
2024-01-09 17:00:00,0.000591217,0.0,2024-01-09,17
2024-01-09 18:00:00,0.0,0.0,2024-01-09,18
2024-01-09 19:00:00,0.0,0.0,2024-01-09,19
2024-01-09 20:00:00,0.0,0.0,2024-01-09,20
2024-01-09 21:00:00,0.0,0.0,2024-01-09,21
2024-01-09 22:00:00,0.0,0.0,2024-01-09,22
2024-01-09 23:00:00,0.0,0.0,2024-01-09,23
2024-01-10 00:00:00,0.0,0.0,2024-01-10,0
2024-01-10 01:00:00,0.0,0.0,2024-01-10,1
2024-01-10 02:00:00,0.0,0.0,2024-01-10,2
2024-01-10 03:00:00,0.0,0.0,2024-01-10,3
2024-01-10 04:00:00,0.0,0.0,2024-01-10,4
2024-01-10 05:00:00,0.0,0.0,2024-01-10,5
2024-01-10 06:00:00,0.0213036,0.06381902,2024-01-10,6
2024-01-10 07:00:00,0.1993722,0.3342694,2024-01-10,7
2024-01-10 08:00:00,0.3694302,0.5153266,2024-01-10,8
2024-01-10 09:00:00,0.5767607,0.7797042,2024-01-10,9
2024-01-10 10:00:00,0.7102233,0.9348192,2024-01-10,10
2024-01-10 11:00:00,0.8479024,1.107303,2024-01-10,11
2024-01-10 12:00:00,0.8246982,1.079685,2024-01-10,12
2024-01-10 13:00:00,0.7196733,0.9586547,2024-01-10,13
2024-01-10 14:00:00,0.5744385,0.7987437,2024-01-10,14
2024-01-10 15:00:00,0.3143835,0.4676981,2024-01-10,15
2024-01-10 16:00:00,0.1208995,0.2483819,2024-01-10,16
2024-01-10 17:00:00,0.000836315,0.0,2024-01-10,17
2024-01-10 18:00:00,0.0,0.0,2024-01-10,18
2024-01-10 19:00:00,0.0,0.0,2024-01-10,19
2024-01-10 20:00:00,0.0,0.0,2024-01-10,20
2024-01-10 21:00:00,0.0,0.0,2024-01-10,21
2024-01-10 22:00:00,0.0,0.0,2024-01-10,22
2024-01-10 23:00:00,0.0,0.0,2024-01-10,23
2024-01-11 00:00:00,0.0,0.0,2024-01-11,0
2024-01-11 01:00:00,0.0,0.0,2024-01-11,1
2024-01-11 02:00:00,0.0,0.0,2024-01-11,2
2024-01-11 03:00:00,0.0,0.0,2024-01-11,3
2024-01-11 04:00:00,0.0,0.0,2024-01-11,4
2024-01-11 05:00:00,0.0,0.0,2024-01-11,5
2024-01-11 06:00:00,0.02107509,0.06265979,2024-01-11,6
2024-01-11 07:00:00,0.1713922,0.2584139,2024-01-11,7
2024-01-11 08:00:00,0.3252268,0.4253742,2024-01-11,8
2024-01-11 09:00:00,0.428735,0.5218502,2024-01-11,9
2024-01-11 10:00:00,0.7486562,0.9858596,2024-01-11,10
2024-01-11 11:00:00,0.7270255,0.9407089,2024-01-11,11
2024-01-11 12:00:00,0.6734219,0.8643163,2024-01-11,12
2024-01-11 13:00:00,0.4205303,0.475039,2024-01-11,13
2024-01-11 14:00:00,0.3762278,0.4581965,2024-01-11,14
2024-01-11 15:00:00,0.244079,0.3125988,2024-01-11,15
2024-01-11 16:00:00,0.0786039,0.1022732,2024-01-11,16
2024-01-11 17:00:00,0.001028907,0.0,2024-01-11,17
2024-01-11 18:00:00,0.0,0.0,2024-01-11,18
2024-01-11 19:00:00,0.0,0.0,2024-01-11,19
2024-01-11 20:00:00,0.0,0.0,2024-01-11,20
2024-01-11 21:00:00,0.0,0.0,2024-01-11,21
2024-01-11 22:00:00,0.0,0.0,2024-01-11,22
2024-01-11 23:00:00,0.0,0.0,2024-01-11,23
2024-01-12 00:00:00,0.0,0.0,2024-01-12,0
2024-01-12 01:00:00,0.0,0.0,2024-01-12,1
2024-01-12 02:00:00,0.0,0.0,2024-01-12,2
2024-01-12 03:00:00,0.0,0.0,2024-01-12,3
