date_time,global_solar_kw/m2,incident_solar_kw/m2,date,hour
2024-01-01 00:00:00,0.0,0.0,2024-01-01,0
2024-01-01 01:00:00,0.0,0.0,2024-01-01,1
2024-01-01 02:00:00,0.0,0.0,2024-01-01,2
2024-01-01 03:00:00,0.0,0.0,2024-01-01,3
2024-01-01 04:00:00,0.0,0.0,2024-01-01,4
2024-01-01 05:00:00,0.0,0.0,2024-01-01,5
2024-01-01 06:00:00,0.0284494,0.06258164,2024-01-01,6
2024-01-01 07:00:00,0.1909843,0.2760937,2024-01-01,7
2024-01-01 08:00:00,0.4202975,0.5907298,2024-01-01,8
2024-01-01 09:00:00,0.3529819,0.3855892,2024-01-01,9
2024-01-01 10:00:00,0.3729202,0.3906803,2024-01-01,10
2024-01-01 11:00:00,0.6729126,0.8502564,2024-01-01,11
2024-01-01 12:00:00,0.4723958,0.5290275,2024-01-01,12
2024-01-01 13:00:00,0.4392979,0.5065024,2024-01-01,13
2024-01-01 14:00:00,0.2647695,0.2798418,2024-01-01,14
2024-01-01 15:00:00,0.1737421,0.1902058,2024-01-01,15
2024-01-01 16:00:00,0.07406482,0.1115242,2024-01-01,16
2024-01-01 17:00:00,9.10953e-05,0.0,2024-01-01,17
2024-01-01 18:00:00,0.0,0.0,2024-01-01,18
2024-01-01 19:00:00,0.0,0.0,2024-01-01,19
2024-01-01 20:00:00,0.0,0.0,2024-01-01,20
2024-01-01 21:00:00,0.0,0.0,2024-01-01,21
2024-01-01 22:00:00,0.0,0.0,2024-01-01,22
2024-01-01 23:00:00,0.0,0.0,2024-01-01,23
2024-01-02 00:00:00,0.0,0.0,2024-01-02,0
2024-01-02 01:00:00,0.0,0.0,2024-01-02,1
2024-01-02 02:00:00,0.0,0.0,2024-01-02,2
2024-01-02 03:00:00,0.0,0.0,2024-01-02,3
2024-01-02 04:00:00,0.0,0.0,2024-01-02,4
2024-01-02 05:00:00,0.0,0.0,2024-01-02,5
2024-01-02 06:00:00,0.03500622,0.1170408,2024-01-02,6
2024-01-02 07:00:00,0.2393549,0.3971353,2024-01-02,7
2024-01-02 08:00:00,0.4817332,0.6902723,2024-01-02,8
2024-01-02 09:00:00,0.629654,0.8451585,2024-01-02,9
2024-01-02 10:00:00,0.6179686,0.7814377,2024-01-02,10
2024-01-02 11:00:00,0.546516,0.6404032,2024-01-02,11
2024-01-02 12:00:00,0.4688262,0.5228781,2024-01-02,12
2024-01-02 13:00:00,0.6181642,0.8088266,2024-01-02,13
2024-01-02 14:00:00,0.449912,0.6001182,2024-01-02,14
2024-01-02 15:00:00,0.3507345,0.5436821,2024-01-02,15
2024-01-02 16:00:00,0.09312554,0.1777242,2024-01-02,16
2024-01-02 17:00:00,0.000140762,0.0,2024-01-02,17
2024-01-02 18:00:00,0.0,0.0,2024-01-02,18
2024-01-02 19:00:00,0.0,0.0,2024-01-02,19
2024-01-02 20:00:00,0.0,0.0,2024-01-02,20
2024-01-02 21:00:00,0.0,0.0,2024-01-02,21
2024-01-02 22:00:00,0.0,0.0,2024-01-02,22
2024-01-02 23:00:00,0.0,0.0,2024-01-02,23
2024-01-03 00:00:00,0.0,0.0,2024-01-03,0
2024-01-03 01:00:00,0.0,0.0,2024-01-03,1
2024-01-03 02:00:00,0.0,0.0,2024-01-03,2
2024-01-03 03:00:00,0.0,0.0,2024-01-03,3
2024-01-03 04:00:00,0.0,0.0,2024-01-03,4
2024-01-03 05:00:00,0.0,0.0,2024-01-03,5
2024-01-03 06:00:00,0.02210827,0.03313494,2024-01-03,6
2024-01-03 07:00:00,0.1845202,0.2611342,2024-01-03,7
2024-01-03 08:00:00,0.3333143,0.422658,2024-01-03,8
2024-01-03 09:00:00,0.3629192,0.400525,2024-01-03,9
2024-01-03 10:00:00,0.7310787,0.9526972,2024-01-03,10
2024-01-03 11:00:00,0.5714274,0.6811099,2024-01-03,11
2024-01-03 12:00:00,0.4150442,0.4429136,2024-01-03,12
2024-01-03 13:00:00,0.4963113,0.6016265,2024-01-03,13
2024-01-03 14:00:00,0.4385188,0.5774089,2024-01-03,14
2024-01-03 15:00:00,0.3110822,0.4679292,2024-01-03,15
2024-01-03 16:00:00,0.09404182,0.1758961,2024-01-03,16
2024-01-03 17:00:00,0.000152118,0.0,2024-01-03,17
2024-01-03 18:00:00,0.0,0.0,2024-01-03,18
2024-01-03 19:00:00,0.0,0.0,2024-01-03,19
2024-01-03 20:00:00,0.0,0.0,2024-01-03,20
2024-01-03 21:00:00,0.0,0.0,2024-01-03,21
2024-01-03 22:00:00,0.0,0.0,2024-01-03,22
2024-01-03 23:00:00,0.0,0.0,2024-01-03,23
2024-01-04 00:00:00,0.0,0.0,2024-01-04,0
2024-01-04 01:00:00,0.0,0.0,2024-01-04,1
2024-01-04 02:00:00,0.0,0.0,2024-01-04,2
2024-01-04 03:00:00,0.0,0.0,2024-01-04,3
2024-01-04 04:00:00,0.0,0.0,2024-01-04,4
2024-01-04 05:00:00,0.0,0.0,2024-01-04,5
2024-01-04 06:00:00,0.03484588,0.1211358,2024-01-04,6
2024-01-04 07:00:00,0.2551587,0.4312991,2024-01-04,7
2024-01-04 08:00:00,0.4713175,0.6740187,2024-01-04,8
2024-01-04 09:00:00,0.639946,0.8582069,2024-01-04,9
2024-01-04 10:00:00,0.719565,0.9359243,2024-01-04,10
2024-01-04 11:00:00,0.7746323,0.9984416,2024-01-04,11
2024-01-04 12:00:00,0.790875,1.024939,2024-01-04,12
2024-01-04 13:00:00,0.6318249,0.8273217,2024-01-04,13
2024-01-04 14:00:00,0.494084,0.6739095,2024-01-04,14
2024-01-04 15:00:00,0.3268515,0.4966268,2024-01-04,15
2024-01-04 16:00:00,0.1271372,0.2904249,2024-01-04,16
2024-01-04 17:00:00,0.000390122,0.0,2024-01-04,17
2024-01-04 18:00:00,0.0,0.0,2024-01-04,18
2024-01-04 19:00:00,0.0,0.0,2024-01-04,19
2024-01-04 20:00:00,0.0,0.0,2024-01-04,20
2024-01-04 21:00:00,0.0,0.0,2024-01-04,21
2024-01-04 22:00:00,0.0,0.0,2024-01-04,22
2024-01-04 23:00:00,0.0,0.0,2024-01-04,23
2024-01-05 00:00:00,0.0,0.0,2024-01-05,0
2024-01-05 01:00:00,0.0,0.0,2024-01-05,1
2024-01-05 02:00:00,0.0,0.0,2024-01-05,2
2024-01-05 03:00:00,0.0,0.0,2024-01-05,3
2024-01-05 04:00:00,0.0,0.0,2024-01-05,4
2024-01-05 05:00:00,0.0,0.0,2024-01-05,5
2024-01-05 06:00:00,0.01558015,0.01735956,2024-01-05,6
2024-01-05 07:00:00,0.09986366,0.1019429,2024-01-05,7
2024-01-05 08:00:00,0.2653913,0.2986034,2024-01-05,8
2024-01-05 09:00:00,0.2940415,0.3035228,2024-01-05,9
2024-01-05 10:00:00,0.4728403,0.536813,2024-01-05,10
2024-01-05 11:00:00,0.6339914,0.7835026,2024-01-05,11
2024-01-05 12:00:00,0.6362907,0.7958523,2024-01-05,12
2024-01-05 13:00:00,0.5341365,0.664594,2024-01-05,13
2024-01-05 14:00:00,0.3472195,0.4060693,2024-01-05,14
2024-01-05 15:00:00,0.2036238,0.2367554,2024-01-05,15
2024-01-05 16:00:00,0.06327327,0.07472205,2024-01-05,16
2024-01-05 17:00:00,0.000559977,0.0,2024-01-05,17
2024-01-05 18:00:00,0.0,0.0,2024-01-05,18
2024-01-05 19:00:00,0.0,0.0,2024-01-05,19
2024-01-05 20:00:00,0.0,0.0,2024-01-05,20
2024-01-05 21:00:00,0.0,0.0,2024-01-05,21
2024-01-05 22:00:00,0.0,0.0,2024-01-05,22
2024-01-05 23:00:00,0.0,0.0,2024-01-05,23
2024-01-06 00:00:00,0.0,0.0,2024-01-06,0
2024-01-06 01:00:00,0.0,0.0,2024-01-06,1
2024-01-06 02:00:00,0.0,0.0,2024-01-06,2
2024-01-06 03:00:00,0.0,0.0,2024-01-06,3
2024-01-06 04:00:00,0.0,0.0,2024-01-06,4
2024-01-06 05:00:00,0.0,0.0,2024-01-06,5
2024-01-06 06:00:00,0.03169981,0.09741948,2024-01-06,6
2024-01-06 07:00:00,0.200086,0.3021769,2024-01-06,7
2024-01-06 08:00:00,0.3619663,0.4787829,2024-01-06,8
2024-01-06 09:00:00,0.4502139,0.5455143,2024-01-06,9
2024-01-06 10:00:00,0.4668091,0.5267279,2024-01-06,10
2024-01-06 11:00:00,0.5013213,0.5647551,2024-01-06,11
2024-01-06 12:00:00,0.5808349,0.7024046,2024-01-06,12
2024-01-06 13:00:00,0.580026,0.741192,2024-01-06,13
2024-01-06 14:00:00,0.4447839,0.5832499,2024-01-06,14
2024-01-06 15:00:00,0.2105468,0.2480804,2024-01-06,15
2024-01-06 16:00:00,0.09690833,0.17094,2024-01-06,16
2024-01-06 17:00:00,0.000318908,0.0,2024-01-06,17
2024-01-06 18:00:00,0.0,0.0,2024-01-06,18
2024-01-06 19:00:00,0.0,0.0,2024-01-06,19
2024-01-06 20:00:00,0.0,0.0,2024-01-06,20
2024-01-06 21:00:00,0.0,0.0,2024-01-06,21
2024-01-06 22:00:00,0.0,0.0,2024-01-06,22
2024-01-06 23:00:00,0.0,0.0,2024-01-06,23
2024-01-07 00:00:00,0.0,0.0,2024-01-07,0
2024-01-07 01:00:00,0.0,0.0,2024-01-07,1
2024-01-07 02:00:00,0.0,0.0,2024-01-07,2
2024-01-07 03:00:00,0.0,0.0,2024-01-07,3
2024-01-07 04:00:00,0.0,0.0,2024-01-07,4
2024-01-07 05:00:00,0.0,0.0,2024-01-07,5
2024-01-07 06:00:00,0.0334122,0.1147784,2024-01-07,6
2024-01-07 07:00:00,0.2387646,0.3966787,2024-01-07,7
2024-01-07 08:00:00,0.3824389,0.5184108,2024-01-07,8
2024-01-07 09:00:00,0.5531169,0.7243199,2024-01-07,9
2024-01-07 10:00:00,0.731789,0.9501825,2024-01-07,10
2024-01-07 11:00:00,0.7713501,0.9908307,2024-01-07,11
2024-01-07 12:00:00,0.7114829,0.9109419,2024-01-07,12
2024-01-07 13:00:00,0.5885454,0.7536786,2024-01-07,13
2024-01-07 14:00:00,0.4709367,0.6283219,2024-01-07,14
2024-01-07 15:00:00,0.2828506,0.3969219,2024-01-07,15
2024-01-07 16:00:00,0.1007389,0.1798289,2024-01-07,16
2024-01-07 17:00:00,0.000574902,0.0,2024-01-07,17
2024-01-07 18:00:00,0.0,0.0,2024-01-07,18
2024-01-07 19:00:00,0.0,0.0,2024-01-07,19
2024-01-07 20:00:00,0.0,0.0,2024-01-07,20
2024-01-07 21:00:00,0.0,0.0,2024-01-07,21
2024-01-07 22:00:00,0.0,0.0,2024-01-07,22
2024-01-07 23:00:00,0.0,0.0,2024-01-07,23
2024-01-08 00:00:00,0.0,0.0,2024-01-08,0
2024-01-08 01:00:00,0.0,0.0,2024-01-08,1
2024-01-08 02:00:00,0.0,0.0,2024-01-08,2
2024-01-08 03:00:00,0.0,0.0,2024-01-08,3
2024-01-08 04:00:00,0.0,0.0,2024-01-08,4
2024-01-08 05:00:00,0.0,0.0,2024-01-08,5
2024-01-08 06:00:00,0.01888843,0.02492985,2024-01-08,6
2024-01-08 07:00:00,0.1465835,0.1760466,2024-01-08,7
2024-01-08 08:00:00,0.3356643,0.4263303,2024-01-08,8
2024-01-08 09:00:00,0.3994448,0.4575325,2024-01-08,9
2024-01-08 10:00:00,0.5277262,0.6251401,2024-01-08,10
2024-01-08 11:00:00,0.5608855,0.6592097,2024-01-08,11
2024-01-08 12:00:00,0.5844721,0.7059339,2024-01-08,12
2024-01-08 13:00:00,0.6213292,0.8048264,2024-01-08,13
2024-01-08 14:00:00,0.457646,0.6025271,2024-01-08,14
2024-01-08 15:00:00,0.2739708,0.3748038,2024-01-08,15
2024-01-08 16:00:00,0.1157821,0.2294971,2024-01-08,16
2024-01-08 17:00:00,0.000644304,0.0,2024-01-08,17
2024-01-08 18:00:00,0.0,0.0,2024-01-08,18
2024-01-08 19:00:00,0.0,0.0,2024-01-08,19
2024-01-08 20:00:00,0.0,0.0,2024-01-08,20
2024-01-08 21:00:00,0.0,0.0,2024-01-08,21
2024-01-08 22:00:00,0.0,0.0,2024-01-08,22
2024-01-08 23:00:00,0.0,0.0,2024-01-08,23
2024-01-09 00:00:00,0.0,0.0,2024-01-09,0
2024-01-09 01:00:00,0.0,0.0,2024-01-09,1
2024-01-09 02:00:00,0.0,0.0,2024-01-09,2
2024-01-09 03:00:00,0.0,0.0,2024-01-09,3
2024-01-09 04:00:00,0.0,0.0,2024-01-09,4
2024-01-09 05:00:00,0.0,0.0,2024-01-09,5
2024-01-09 06:00:00,0.03012278,0.08892133,2024-01-09,6
2024-01-09 07:00:00,0.07959693,0.07909277,2024-01-09,7
2024-01-09 08:00:00,0.1763563,0.1767058,2024-01-09,8
2024-01-09 09:00:00,0.3624936,0.3984719,2024-01-09,9
2024-01-09 10:00:00,0.5720863,0.6989343,2024-01-09,10
2024-01-09 11:00:00,0.5631905,0.6619808,2024-01-09,11
2024-01-09 12:00:00,0.6523615,0.8163106,2024-01-09,12
2024-01-09 13:00:00,0.3401318,0.3537051,2024-01-09,13
2024-01-09 14:00:00,0.1755269,0.1729651,2024-01-09,14
2024-01-09 15:00:00,0.1746933,0.186194,2024-01-09,15
2024-01-09 16:00:00,0.06059353,0.0660255,2024-01-09,16
2024-01-09 17:00:00,0.000727863,0.0,2024-01-09,17
2024-01-09 18:00:00,0.0,0.0,2024-01-09,18
2024-01-09 19:00:00,0.0,0.0,2024-01-09,19
2024-01-09 20:00:00,0.0,0.0,2024-01-09,20
2024-01-09 21:00:00,0.0,0.0,2024-01-09,21
2024-01-09 22:00:00,0.0,0.0,2024-01-09,22
2024-01-09 23:00:00,0.0,0.0,2024-01-09,23
2024-01-10 00:00:00,0.0,0.0,2024-01-10,0
2024-01-10 01:00:00,0.0,0.0,2024-01-10,1
2024-01-10 02:00:00,0.0,0.0,2024-01-10,2
2024-01-10 03:00:00,0.0,0.0,2024-01-10,3
2024-01-10 04:00:00,0.0,0.0,2024-01-10,4
2024-01-10 05:00:00,0.0,0.0,2024-01-10,5
2024-01-10 06:00:00,0.02998175,0.08901159,2024-01-10,6
2024-01-10 07:00:00,0.2153171,0.3406618,2024-01-10,7
2024-01-10 08:00:00,0.379005,0.5099927,2024-01-10,8
2024-01-10 09:00:00,0.5892146,0.7791336,2024-01-10,9
2024-01-10 10:00:00,0.7218199,0.9329681,2024-01-10,10
2024-01-10 11:00:00,0.8654327,1.111984,2024-01-10,11
2024-01-10 12:00:00,0.8375522,1.079269,2024-01-10,12
2024-01-10 13:00:00,0.7293286,0.9562182,2024-01-10,13
2024-01-10 14:00:00,0.5810777,0.7946777,2024-01-10,14
2024-01-10 15:00:00,0.3133043,0.4531218,2024-01-10,15
2024-01-10 16:00:00,0.1221101,0.2398189,2024-01-10,16
2024-01-10 17:00:00,0.001008352,0.0,2024-01-10,17
2024-01-10 18:00:00,0.0,0.0,2024-01-10,18
2024-01-10 19:00:00,0.0,0.0,2024-01-10,19
2024-01-10 20:00:00,0.0,0.0,2024-01-10,20
2024-01-10 21:00:00,0.0,0.0,2024-01-10,21
2024-01-10 22:00:00,0.0,0.0,2024-01-10,22
2024-01-10 23:00:00,0.0,0.0,2024-01-10,23
2024-01-11 00:00:00,0.0,0.0,2024-01-11,0
2024-01-11 01:00:00,0.0,0.0,2024-01-11,1
2024-01-11 02:00:00,0.0,0.0,2024-01-11,2
2024-01-11 03:00:00,0.0,0.0,2024-01-11,3
2024-01-11 04:00:00,0.0,0.0,2024-01-11,4
2024-01-11 05:00:00,0.0,0.0,2024-01-11,5
2024-01-11 06:00:00,0.02960307,0.08691172,2024-01-11,6
2024-01-11 07:00:00,0.1818237,0.2558281,2024-01-11,7
2024-01-11 08:00:00,0.3273629,0.4088199,2024-01-11,8
2024-01-11 09:00:00,0.4206159,0.4913268,2024-01-11,9
2024-01-11 10:00:00,0.7589939,0.9821289,2024-01-11,10
2024-01-11 11:00:00,0.7263151,0.921139,2024-01-11,11
2024-01-11 12:00:00,0.6662924,0.835351,2024-01-11,12
2024-01-11 13:00:00,0.397878,0.43265,2024-01-11,13
2024-01-11 14:00:00,0.3614509,0.4223852,2024-01-11,14
2024-01-11 15:00:00,0.2348808,0.2861599,2024-01-11,15
2024-01-11 16:00:00,0.07507343,0.09039694,2024-01-11,16
2024-01-11 17:00:00,0.00121474,0.0,2024-01-11,17
2024-01-11 18:00:00,0.0,0.0,2024-01-11,18
2024-01-11 19:00:00,0.0,0.0,2024-01-11,19
2024-01-11 20:00:00,0.0,0.0,2024-01-11,20
2024-01-11 21:00:00,0.0,0.0,2024-01-11,21
2024-01-11 22:00:00,0.0,0.0,2024-01-11,22
2024-01-11 23:00:00,0.0,0.0,2024-01-11,23
2024-01-12 00:00:00,0.0,0.0,2024-01-12,0
2024-01-12 01:00:00,0.0,0.0,2024-01-12,1
2024-01-12 02:00:00,0.0,0.0,2024-01-12,2
2024-01-12 03:00:00,0.0,0.0,2024-01-12,3
