date_time,global_solar_kw/m2,incident_solar_kw/m2,date,hour
2024-01-01 00:00:00,0.0,0.0,2024-01-01,0
2024-01-01 01:00:00,0.0,0.0,2024-01-01,1
2024-01-01 02:00:00,0.0,0.0,2024-01-01,2
2024-01-01 03:00:00,0.0,0.0,2024-01-01,3
2024-01-01 04:00:00,0.0,0.0,2024-01-01,4
2024-01-01 05:00:00,0.0,0.0,2024-01-01,5
2024-01-01 06:00:00,0.03294229,0.07013416,2024-01-01,6
2024-01-01 07:00:00,0.2004263,0.2886602,2024-01-01,7
2024-01-01 08:00:00,0.4305398,0.6036469,2024-01-01,8
2024-01-01 09:00:00,0.3639556,0.4005167,2024-01-01,9
2024-01-01 10:00:00,0.3832254,0.4040234,2024-01-01,10
2024-01-01 11:00:00,0.6797687,0.8614646,2024-01-01,11
2024-01-01 12:00:00,0.4791118,0.5408652,2024-01-01,12
2024-01-01 13:00:00,0.442623,0.5148751,2024-01-01,13
2024-01-01 14:00:00,0.2672274,0.2851887,2024-01-01,14
2024-01-01 15:00:00,0.1722257,0.191183,2024-01-01,15
2024-01-01 16:00:00,0.06775878,0.1076353,2024-01-01,16
2024-01-01 17:00:00,0.0,0.0,2024-01-01,17
2024-01-01 18:00:00,0.0,0.0,2024-01-01,18
2024-01-01 19:00:00,0.0,0.0,2024-01-01,19
2024-01-01 20:00:00,0.0,0.0,2024-01-01,20
2024-01-01 21:00:00,0.0,0.0,2024-01-01,21
2024-01-01 22:00:00,0.0,0.0,2024-01-01,22
2024-01-01 23:00:00,0.0,0.0,2024-01-01,23
2024-01-02 00:00:00,0.0,0.0,2024-01-02,0
2024-01-02 01:00:00,0.0,0.0,2024-01-02,1
2024-01-02 02:00:00,0.0,0.0,2024-01-02,2
2024-01-02 03:00:00,0.0,0.0,2024-01-02,3
2024-01-02 04:00:00,0.0,0.0,2024-01-02,4
2024-01-02 05:00:00,0.0,0.0,2024-01-02,5
2024-01-02 06:00:00,0.04045103,0.1308479,2024-01-02,6
2024-01-02 07:00:00,0.2497056,0.4092379,2024-01-02,7
2024-01-02 08:00:00,0.4918963,0.701965,2024-01-02,8
2024-01-02 09:00:00,0.6373471,0.8542403,2024-01-02,9
2024-01-02 10:00:00,0.6248108,0.7913975,2024-01-02,10
2024-01-02 11:00:00,0.5518582,0.6494511,2024-01-02,11
2024-01-02 12:00:00,0.4728155,0.5303105,2024-01-02,12
2024-01-02 13:00:00,0.6149718,0.8069844,2024-01-02,13
2024-01-02 14:00:00,0.4452482,0.5975795,2024-01-02,14
2024-01-02 15:00:00,0.3403135,0.5330386,2024-01-02,15
2024-01-02 16:00:00,0.08480983,0.1714139,2024-01-02,16
2024-01-02 17:00:00,0.0,0.0,2024-01-02,17
2024-01-02 18:00:00,0.0,0.0,2024-01-02,18
2024-01-02 19:00:00,0.0,0.0,2024-01-02,19
2024-01-02 20:00:00,0.0,0.0,2024-01-02,20
2024-01-02 21:00:00,0.0,0.0,2024-01-02,21
2024-01-02 22:00:00,0.0,0.0,2024-01-02,22
2024-01-02 23:00:00,0.0,0.0,2024-01-02,23
2024-01-03 00:00:00,0.0,0.0,2024-01-03,0
2024-01-03 01:00:00,0.0,0.0,2024-01-03,1
2024-01-03 02:00:00,0.0,0.0,2024-01-03,2
2024-01-03 03:00:00,0.0,0.0,2024-01-03,3
2024-01-03 04:00:00,0.0,0.0,2024-01-03,4
2024-01-03 05:00:00,0.0,0.0,2024-01-03,5
2024-01-03 06:00:00,0.02582379,0.03884104,2024-01-03,6
2024-01-03 07:00:00,0.1938136,0.2734951,2024-01-03,7
2024-01-03 08:00:00,0.3433316,0.4366484,2024-01-03,8
2024-01-03 09:00:00,0.3735868,0.4151845,2024-01-03,9
2024-01-03 10:00:00,0.7368036,0.9599459,2024-01-03,10
2024-01-03 11:00:00,0.5780416,0.6923773,2024-01-03,11
2024-01-03 12:00:00,0.4221084,0.4537273,2024-01-03,12
2024-01-03 13:00:00,0.4973584,0.6068858,2024-01-03,13
2024-01-03 14:00:00,0.4347829,0.5765062,2024-01-03,14
2024-01-03 15:00:00,0.3030812,0.4612985,2024-01-03,15
2024-01-03 16:00:00,0.08586675,0.1699025,2024-01-03,16
2024-01-03 17:00:00,0.0,0.0,2024-01-03,17
2024-01-03 18:00:00,0.0,0.0,2024-01-03,18
2024-01-03 19:00:00,0.0,0.0,2024-01-03,19
2024-01-03 20:00:00,0.0,0.0,2024-01-03,20
2024-01-03 21:00:00,0.0,0.0,2024-01-03,21
2024-01-03 22:00:00,0.0,0.0,2024-01-03,22
2024-01-03 23:00:00,0.0,0.0,2024-01-03,23
2024-01-04 00:00:00,0.0,0.0,2024-01-04,0
2024-01-04 01:00:00,0.0,0.0,2024-01-04,1
2024-01-04 02:00:00,0.0,0.0,2024-01-04,2
2024-01-04 03:00:00,0.0,0.0,2024-01-04,3
2024-01-04 04:00:00,0.0,0.0,2024-01-04,4
2024-01-04 05:00:00,0.0,0.0,2024-01-04,5
2024-01-04 06:00:00,0.04032225,0.1393067,2024-01-04,6
2024-01-04 07:00:00,0.2661719,0.4439189,2024-01-04,7
2024-01-04 08:00:00,0.482675,0.6875148,2024-01-04,8
2024-01-04 09:00:00,0.6503255,0.8709373,2024-01-04,9
2024-01-04 10:00:00,0.7272955,0.9460557,2024-01-04,10
2024-01-04 11:00:00,0.7787949,1.004448,2024-01-04,11
2024-01-04 12:00:00,0.7907618,1.026017,2024-01-04,12
2024-01-04 13:00:00,0.6308588,0.8288129,2024-01-04,13
2024-01-04 14:00:00,0.4901471,0.6724723,2024-01-04,14
2024-01-04 15:00:00,0.3186572,0.4897212,2024-01-04,15
2024-01-04 16:00:00,0.1155245,0.2785194,2024-01-04,16
2024-01-04 17:00:00,7.64881e-06,0.0,2024-01-04,17
2024-01-04 18:00:00,0.0,0.0,2024-01-04,18
2024-01-04 19:00:00,0.0,0.0,2024-01-04,19
2024-01-04 20:00:00,0.0,0.0,2024-01-04,20
2024-01-04 21:00:00,0.0,0.0,2024-01-04,21
2024-01-04 22:00:00,0.0,0.0,2024-01-04,22
2024-01-04 23:00:00,0.0,0.0,2024-01-04,23
2024-01-05 00:00:00,0.0,0.0,2024-01-05,0
2024-01-05 01:00:00,0.0,0.0,2024-01-05,1
2024-01-05 02:00:00,0.0,0.0,2024-01-05,2
2024-01-05 03:00:00,0.0,0.0,2024-01-05,3
2024-01-05 04:00:00,0.0,0.0,2024-01-05,4
2024-01-05 05:00:00,0.0,0.0,2024-01-05,5
2024-01-05 06:00:00,0.01800837,0.02002437,2024-01-05,6
2024-01-05 07:00:00,0.1069177,0.1096173,2024-01-05,7
2024-01-05 08:00:00,0.2768956,0.3144515,2024-01-05,8
2024-01-05 09:00:00,0.306909,0.3192666,2024-01-05,9
2024-01-05 10:00:00,0.4875387,0.5594019,2024-01-05,10
2024-01-05 11:00:00,0.6474928,0.8058833,2024-01-05,11
2024-01-05 12:00:00,0.6444764,0.8109898,2024-01-05,12
2024-01-05 13:00:00,0.5392234,0.6769617,2024-01-05,13
2024-01-05 14:00:00,0.3494844,0.4144181,2024-01-05,14
2024-01-05 15:00:00,0.2020264,0.2391755,2024-01-05,15
2024-01-05 16:00:00,0.0589451,0.07219037,2024-01-05,16
2024-01-05 17:00:00,3.99045e-05,0.0,2024-01-05,17
2024-01-05 18:00:00,0.0,0.0,2024-01-05,18
2024-01-05 19:00:00,0.0,0.0,2024-01-05,19
2024-01-05 20:00:00,0.0,0.0,2024-01-05,20
2024-01-05 21:00:00,0.0,0.0,2024-01-05,21
2024-01-05 22:00:00,0.0,0.0,2024-01-05,22
2024-01-05 23:00:00,0.0,0.0,2024-01-05,23
2024-01-06 00:00:00,0.0,0.0,2024-01-06,0
2024-01-06 01:00:00,0.0,0.0,2024-01-06,1
2024-01-06 02:00:00,0.0,0.0,2024-01-06,2
2024-01-06 03:00:00,0.0,0.0,2024-01-06,3
2024-01-06 04:00:00,0.0,0.0,2024-01-06,4
2024-01-06 05:00:00,0.0,0.0,2024-01-06,5
2024-01-06 06:00:00,0.03678664,0.1126892,2024-01-06,6
2024-01-06 07:00:00,0.2098405,0.3148383,2024-01-06,7
2024-01-06 08:00:00,0.372389,0.4931565,2024-01-06,8
2024-01-06 09:00:00,0.4603403,0.5602702,2024-01-06,9
2024-01-06 10:00:00,0.4768204,0.5415893,2024-01-06,10
2024-01-06 11:00:00,0.5099244,0.5784435,2024-01-06,11
2024-01-06 12:00:00,0.5846322,0.7105317,2024-01-06,12
2024-01-06 13:00:00,0.5796472,0.7440201,2024-01-06,13
2024-01-06 14:00:00,0.4415597,0.5832068,2024-01-06,14
2024-01-06 15:00:00,0.20784,0.2487243,2024-01-06,15
2024-01-06 16:00:00,0.08903059,0.1652603,2024-01-06,16
2024-01-06 17:00:00,4.21684e-05,0.0,2024-01-06,17
2024-01-06 18:00:00,0.0,0.0,2024-01-06,18
2024-01-06 19:00:00,0.0,0.0,2024-01-06,19
2024-01-06 20:00:00,0.0,0.0,2024-01-06,20
2024-01-06 21:00:00,0.0,0.0,2024-01-06,21
2024-01-06 22:00:00,0.0,0.0,2024-01-06,22
2024-01-06 23:00:00,0.0,0.0,2024-01-06,23
2024-01-07 00:00:00,0.0,0.0,2024-01-07,0
2024-01-07 01:00:00,0.0,0.0,2024-01-07,1
2024-01-07 02:00:00,0.0,0.0,2024-01-07,2
2024-01-07 03:00:00,0.0,0.0,2024-01-07,3
2024-01-07 04:00:00,0.0,0.0,2024-01-07,4
2024-01-07 05:00:00,0.0,0.0,2024-01-07,5
2024-01-07 06:00:00,0.03876747,0.1325447,2024-01-07,6
2024-01-07 07:00:00,0.2494377,0.4092433,2024-01-07,7
2024-01-07 08:00:00,0.3917251,0.5301861,2024-01-07,8
2024-01-07 09:00:00,0.5610942,0.7345138,2024-01-07,9
2024-01-07 10:00:00,0.7367085,0.9563016,2024-01-07,10
2024-01-07 11:00:00,0.7732189,0.9937269,2024-01-07,11
2024-01-07 12:00:00,0.7108558,0.9115498,2024-01-07,12
2024-01-07 13:00:00,0.5856083,0.7522317,2024-01-07,13
2024-01-07 14:00:00,0.4652168,0.6238234,2024-01-07,14
2024-01-07 15:00:00,0.2760745,0.3920606,2024-01-07,15
2024-01-07 16:00:00,0.09248786,0.173144,2024-01-07,16
2024-01-07 17:00:00,0.000109377,0.0,2024-01-07,17
2024-01-07 18:00:00,0.0,0.0,2024-01-07,18
2024-01-07 19:00:00,0.0,0.0,2024-01-07,19
2024-01-07 20:00:00,0.0,0.0,2024-01-07,20
2024-01-07 21:00:00,0.0,0.0,2024-01-07,21
2024-01-07 22:00:00,0.0,0.0,2024-01-07,22
2024-01-07 23:00:00,0.0,0.0,2024-01-07,23
2024-01-08 00:00:00,0.0,0.0,2024-01-08,0
2024-01-08 01:00:00,0.0,0.0,2024-01-08,1
2024-01-08 02:00:00,0.0,0.0,2024-01-08,2
2024-01-08 03:00:00,0.0,0.0,2024-01-08,3
2024-01-08 04:00:00,0.0,0.0,2024-01-08,4
2024-01-08 05:00:00,0.0,0.0,2024-01-08,5
2024-01-08 06:00:00,0.02215501,0.02947927,2024-01-08,6
2024-01-08 07:00:00,0.1550383,0.1869293,2024-01-08,7
2024-01-08 08:00:00,0.3462898,0.4413508,2024-01-08,8
2024-01-08 09:00:00,0.410641,0.47363,2024-01-08,9
2024-01-08 10:00:00,0.537307,0.6398647,2024-01-08,10
2024-01-08 11:00:00,0.5685308,0.6719658,2024-01-08,11
2024-01-08 12:00:00,0.5890018,0.7152246,2024-01-08,12
2024-01-08 13:00:00,0.6204653,0.8065591,2024-01-08,13
2024-01-08 14:00:00,0.4545492,0.602663,2024-01-08,14
2024-01-08 15:00:00,0.2686834,0.3728774,2024-01-08,15
2024-01-08 16:00:00,0.1063898,0.2213835,2024-01-08,16
2024-01-08 17:00:00,0.00015851,0.0,2024-01-08,17
2024-01-08 18:00:00,0.0,0.0,2024-01-08,18
2024-01-08 19:00:00,0.0,0.0,2024-01-08,19
2024-01-08 20:00:00,0.0,0.0,2024-01-08,20
2024-01-08 21:00:00,0.0,0.0,2024-01-08,21
2024-01-08 22:00:00,0.0,0.0,2024-01-08,22
2024-01-08 23:00:00,0.0,0.0,2024-01-08,23
2024-01-09 00:00:00,0.0,0.0,2024-01-09,0
2024-01-09 01:00:00,0.0,0.0,2024-01-09,1
2024-01-09 02:00:00,0.0,0.0,2024-01-09,2
2024-01-09 03:00:00,0.0,0.0,2024-01-09,3
2024-01-09 04:00:00,0.0,0.0,2024-01-09,4
2024-01-09 05:00:00,0.0,0.0,2024-01-09,5
2024-01-09 06:00:00,0.03506964,0.103326,2024-01-09,6
2024-01-09 07:00:00,0.08548277,0.08504555,2024-01-09,7
2024-01-09 08:00:00,0.1861318,0.1873129,2024-01-09,8
2024-01-09 09:00:00,0.3750322,0.4158607,2024-01-09,9
2024-01-09 10:00:00,0.583712,0.7170522,2024-01-09,10
2024-01-09 11:00:00,0.573738,0.6795019,2024-01-09,11
2024-01-09 12:00:00,0.6577831,0.8267174,2024-01-09,12
2024-01-09 13:00:00,0.3474352,0.3644053,2024-01-09,13
2024-01-09 14:00:00,0.1799287,0.1777075,2024-01-09,14
2024-01-09 15:00:00,0.1740955,0.1878685,2024-01-09,15
2024-01-09 16:00:00,0.05683375,0.06330141,2024-01-09,16
2024-01-09 17:00:00,0.000215693,0.0,2024-01-09,17
2024-01-09 18:00:00,0.0,0.0,2024-01-09,18
2024-01-09 19:00:00,0.0,0.0,2024-01-09,19
2024-01-09 20:00:00,0.0,0.0,2024-01-09,20
2024-01-09 21:00:00,0.0,0.0,2024-01-09,21
2024-01-09 22:00:00,0.0,0.0,2024-01-09,22
2024-01-09 23:00:00,0.0,0.0,2024-01-09,23
2024-01-10 00:00:00,0.0,0.0,2024-01-10,0
2024-01-10 01:00:00,0.0,0.0,2024-01-10,1
2024-01-10 02:00:00,0.0,0.0,2024-01-10,2
2024-01-10 03:00:00,0.0,0.0,2024-01-10,3
2024-01-10 04:00:00,0.0,0.0,2024-01-10,4
2024-01-10 05:00:00,0.0,0.0,2024-01-10,5
2024-01-10 06:00:00,0.0349007,0.103256,2024-01-10,6
2024-01-10 07:00:00,0.2255329,0.3533882,2024-01-10,7
2024-01-10 08:00:00,0.3894311,0.5239318,2024-01-10,8
2024-01-10 09:00:00,0.5982122,0.7904693,2024-01-10,9
2024-01-10 10:00:00,0.7282172,0.9411844,2024-01-10,10
2024-01-10 11:00:00,0.8666415,1.113938,2024-01-10,11
2024-01-10 12:00:00,0.8357528,1.078103,2024-01-10,12
2024-01-10 13:00:00,0.7241806,0.9513819,2024-01-10,13
2024-01-10 14:00:00,0.5730859,0.7867844,2024-01-10,14
2024-01-10 15:00:00,0.3060865,0.4477403,2024-01-10,15
2024-01-10 16:00:00,0.1126625,0.2318007,2024-01-10,16
2024-01-10 17:00:00,0.000344298,0.0,2024-01-10,17
2024-01-10 18:00:00,0.0,0.0,2024-01-10,18
2024-01-10 19:00:00,0.0,0.0,2024-01-10,19
2024-01-10 20:00:00,0.0,0.0,2024-01-10,20
2024-01-10 21:00:00,0.0,0.0,2024-01-10,21
2024-01-10 22:00:00,0.0,0.0,2024-01-10,22
2024-01-10 23:00:00,0.0,0.0,2024-01-10,23
2024-01-11 00:00:00,0.0,0.0,2024-01-11,0
2024-01-11 01:00:00,0.0,0.0,2024-01-11,1
2024-01-11 02:00:00,0.0,0.0,2024-01-11,2
2024-01-11 03:00:00,0.0,0.0,2024-01-11,3
2024-01-11 04:00:00,0.0,0.0,2024-01-11,4
2024-01-11 05:00:00,0.0,0.0,2024-01-11,5
2024-01-11 06:00:00,0.03449527,0.1009964,2024-01-11,6
2024-01-11 07:00:00,0.1911907,0.2681446,2024-01-11,7
2024-01-11 08:00:00,0.3381186,0.4240261,2024-01-11,8
2024-01-11 09:00:00,0.4315364,0.5071245,2024-01-11,9
2024-01-11 10:00:00,0.766498,0.9915802,2024-01-11,10
2024-01-11 11:00:00,0.7322484,0.930169,2024-01-11,11
2024-01-11 12:00:00,0.6700403,0.8429295,2024-01-11,12
2024-01-11 13:00:00,0.4023784,0.4411386,2024-01-11,13
2024-01-11 14:00:00,0.361865,0.4273532,2024-01-11,14
2024-01-11 15:00:00,0.231682,0.2865794,2024-01-11,15
2024-01-11 16:00:00,0.0704424,0.08770475,2024-01-11,16
2024-01-11 17:00:00,0.000464303,0.0,2024-01-11,17
2024-01-11 18:00:00,0.0,0.0,2024-01-11,18
2024-01-11 19:00:00,0.0,0.0,2024-01-11,19
2024-01-11 20:00:00,0.0,0.0,2024-01-11,20
2024-01-11 21:00:00,0.0,0.0,2024-01-11,21
2024-01-11 22:00:00,0.0,0.0,2024-01-11,22
2024-01-11 23:00:00,0.0,0.0,2024-01-11,23
2024-01-12 00:00:00,0.0,0.0,2024-01-12,0
2024-01-12 01:00:00,0.0,0.0,2024-01-12,1
2024-01-12 02:00:00,0.0,0.0,2024-01-12,2
2024-01-12 03:00:00,0.0,0.0,2024-01-12,3
