date_time,global_solar_kw/m2,incident_solar_kw/m2,date,hour
2024-01-01 00:00:00,0.0,0.0,2024-01-01,0
2024-01-01 01:00:00,0.0,0.0,2024-01-01,1
2024-01-01 02:00:00,0.0,0.0,2024-01-01,2
2024-01-01 03:00:00,0.0,0.0,2024-01-01,3
2024-01-01 04:00:00,0.0,0.0,2024-01-01,4
2024-01-01 05:00:00,0.0,0.0,2024-01-01,5
2024-01-01 06:00:00,0.01855924,0.04219226,2024-01-01,6
2024-01-01 07:00:00,0.1674743,0.2617557,2024-01-01,7
2024-01-01 08:00:00,0.3841264,0.568593,2024-01-01,8
2024-01-01 09:00:00,0.3279742,0.3656552,2024-01-01,9
2024-01-01 10:00:00,0.3495986,0.3716009,2024-01-01,10
2024-01-01 11:00:00,0.6286357,0.8252484,2024-01-01,11
2024-01-01 12:00:00,0.4412577,0.506429,2024-01-01,12
2024-01-01 13:00:00,0.4067271,0.4824054,2024-01-01,13
2024-01-01 14:00:00,0.2417729,0.2597461,2024-01-01,14
2024-01-01 15:00:00,0.1522889,0.1711137,2024-01-01,15
2024-01-01 16:00:00,0.05313949,0.09631053,2024-01-01,16
2024-01-01 17:00:00,0.0,0.0,2024-01-01,17
2024-01-01 18:00:00,0.0,0.0,2024-01-01,18
2024-01-01 19:00:00,0.0,0.0,2024-01-01,19
2024-01-01 20:00:00,0.0,0.0,2024-01-01,20
2024-01-01 21:00:00,0.0,0.0,2024-01-01,21
2024-01-01 22:00:00,0.0,0.0,2024-01-01,22
2024-01-01 23:00:00,0.0,0.0,2024-01-01,23
2024-01-02 00:00:00,0.0,0.0,2024-01-02,0
2024-01-02 01:00:00,0.0,0.0,2024-01-02,1
2024-01-02 02:00:00,0.0,0.0,2024-01-02,2
2024-01-02 03:00:00,0.0,0.0,2024-01-02,3
2024-01-02 04:00:00,0.0,0.0,2024-01-02,4
2024-01-02 05:00:00,0.0,0.0,2024-01-02,5
2024-01-02 06:00:00,0.02274283,0.07796028,2024-01-02,6
2024-01-02 07:00:00,0.2072286,0.3733571,2024-01-02,7
2024-01-02 08:00:00,0.4379089,0.6609696,2024-01-02,8
2024-01-02 09:00:00,0.5845055,0.8195766,2024-01-02,9
2024-01-02 10:00:00,0.577763,0.7595696,2024-01-02,10
2024-01-02 11:00:00,0.5151482,0.6242618,2024-01-02,11
2024-01-02 12:00:00,0.4419929,0.5069306,2024-01-02,12
2024-01-02 13:00:00,0.5727335,0.7821962,2024-01-02,13
2024-01-02 14:00:00,0.4099631,0.5733814,2024-01-02,14
2024-01-02 15:00:00,0.3069744,0.511381,2024-01-02,15
2024-01-02 16:00:00,0.06602743,0.155345,2024-01-02,16
2024-01-02 17:00:00,0.0,0.0,2024-01-02,17
2024-01-02 18:00:00,0.0,0.0,2024-01-02,18
2024-01-02 19:00:00,0.0,0.0,2024-01-02,19
2024-01-02 20:00:00,0.0,0.0,2024-01-02,20
2024-01-02 21:00:00,0.0,0.0,2024-01-02,21
2024-01-02 22:00:00,0.0,0.0,2024-01-02,22
2024-01-02 23:00:00,0.0,0.0,2024-01-02,23
2024-01-03 00:00:00,0.0,0.0,2024-01-03,0
2024-01-03 01:00:00,0.0,0.0,2024-01-03,1
2024-01-03 02:00:00,0.0,0.0,2024-01-03,2
2024-01-03 03:00:00,0.0,0.0,2024-01-03,3
2024-01-03 04:00:00,0.0,0.0,2024-01-03,4
2024-01-03 05:00:00,0.0,0.0,2024-01-03,5
2024-01-03 06:00:00,0.01447638,0.02247225,2024-01-03,6
2024-01-03 07:00:00,0.160447,0.2430652,2024-01-03,7
2024-01-03 08:00:00,0.3036414,0.400541,2024-01-03,8
2024-01-03 09:00:00,0.3384948,0.3824613,2024-01-03,9
2024-01-03 10:00:00,0.6830314,0.9268641,2024-01-03,10
2024-01-03 11:00:00,0.5357482,0.6600871,2024-01-03,11
2024-01-03 12:00:00,0.3920102,0.4271735,2024-01-03,12
2024-01-03 13:00:00,0.4605037,0.5784442,2024-01-03,13
2024-01-03 14:00:00,0.3992539,0.5501344,2024-01-03,14
2024-01-03 15:00:00,0.271561,0.4373924,2024-01-03,15
2024-01-03 16:00:00,0.06735589,0.1549598,2024-01-03,16
2024-01-03 17:00:00,0.0,0.0,2024-01-03,17
2024-01-03 18:00:00,0.0,0.0,2024-01-03,18
2024-01-03 19:00:00,0.0,0.0,2024-01-03,19
2024-01-03 20:00:00,0.0,0.0,2024-01-03,20
2024-01-03 21:00:00,0.0,0.0,2024-01-03,21
2024-01-03 22:00:00,0.0,0.0,2024-01-03,22
2024-01-03 23:00:00,0.0,0.0,2024-01-03,23
2024-01-04 00:00:00,0.0,0.0,2024-01-04,0
2024-01-04 01:00:00,0.0,0.0,2024-01-04,1
2024-01-04 02:00:00,0.0,0.0,2024-01-04,2
2024-01-04 03:00:00,0.0,0.0,2024-01-04,3
2024-01-04 04:00:00,0.0,0.0,2024-01-04,4
2024-01-04 05:00:00,0.0,0.0,2024-01-04,5
2024-01-04 06:00:00,0.02259216,0.08046297,2024-01-04,6
2024-01-04 07:00:00,0.2226881,0.4098477,2024-01-04,7
2024-01-04 08:00:00,0.4321943,0.6510669,2024-01-04,8
2024-01-04 09:00:00,0.5932614,0.8309109,2024-01-04,9
2024-01-04 10:00:00,0.6724986,0.9108223,2024-01-04,10
2024-01-04 11:00:00,0.7258099,0.9732942,2024-01-04,11
2024-01-04 12:00:00,0.7397863,0.9981517,2024-01-04,12
2024-01-04 13:00:00,0.585399,0.7999008,2024-01-04,13
2024-01-04 14:00:00,0.4503555,0.6450661,2024-01-04,14
2024-01-04 15:00:00,0.2864527,0.4667548,2024-01-04,15
2024-01-04 16:00:00,0.0920634,0.2645193,2024-01-04,16
2024-01-04 17:00:00,0.0,0.0,2024-01-04,17
2024-01-04 18:00:00,0.0,0.0,2024-01-04,18
2024-01-04 19:00:00,0.0,0.0,2024-01-04,19
2024-01-04 20:00:00,0.0,0.0,2024-01-04,20
2024-01-04 21:00:00,0.0,0.0,2024-01-04,21
2024-01-04 22:00:00,0.0,0.0,2024-01-04,22
2024-01-04 23:00:00,0.0,0.0,2024-01-04,23
2024-01-05 00:00:00,0.0,0.0,2024-01-05,0
2024-01-05 01:00:00,0.0,0.0,2024-01-05,1
2024-01-05 02:00:00,0.0,0.0,2024-01-05,2
2024-01-05 03:00:00,0.0,0.0,2024-01-05,3
2024-01-05 04:00:00,0.0,0.0,2024-01-05,4
2024-01-05 05:00:00,0.0,0.0,2024-01-05,5
2024-01-05 06:00:00,0.0100799,0.01129761,2024-01-05,6
2024-01-05 07:00:00,0.08961993,0.09329883,2024-01-05,7
2024-01-05 08:00:00,0.2478016,0.2891761,2024-01-05,8
2024-01-05 09:00:00,0.2779607,0.2914683,2024-01-05,9
2024-01-05 10:00:00,0.4480279,0.525157,2024-01-05,10
2024-01-05 11:00:00,0.6010919,0.7738534,2024-01-05,11
2024-01-05 12:00:00,0.6011474,0.7838764,2024-01-05,12
2024-01-05 13:00:00,0.5016056,0.6517661,2024-01-05,13
2024-01-05 14:00:00,0.3220294,0.3920036,2024-01-05,14
2024-01-05 15:00:00,0.1827718,0.2232255,2024-01-05,15
2024-01-05 16:00:00,0.04715808,0.06212498,2024-01-05,16
2024-01-05 17:00:00,0.0,0.0,2024-01-05,17
2024-01-05 18:00:00,0.0,0.0,2024-01-05,18
2024-01-05 19:00:00,0.0,0.0,2024-01-05,19
2024-01-05 20:00:00,0.0,0.0,2024-01-05,20
2024-01-05 21:00:00,0.0,0.0,2024-01-05,21
2024-01-05 22:00:00,0.0,0.0,2024-01-05,22
2024-01-05 23:00:00,0.0,0.0,2024-01-05,23
2024-01-06 00:00:00,0.0,0.0,2024-01-06,0
2024-01-06 01:00:00,0.0,0.0,2024-01-06,1
2024-01-06 02:00:00,0.0,0.0,2024-01-06,2
2024-01-06 03:00:00,0.0,0.0,2024-01-06,3
2024-01-06 04:00:00,0.0,0.0,2024-01-06,4
2024-01-06 05:00:00,0.0,0.0,2024-01-06,5
2024-01-06 06:00:00,0.02057122,0.06512775,2024-01-06,6
2024-01-06 07:00:00,0.1745873,0.284951,2024-01-06,7
2024-01-06 08:00:00,0.3298177,0.4558691,2024-01-06,8
2024-01-06 09:00:00,0.4177351,0.5233657,2024-01-06,9
2024-01-06 10:00:00,0.4372775,0.5061864,2024-01-06,10
2024-01-06 11:00:00,0.4705894,0.5439792,2024-01-06,11
2024-01-06 12:00:00,0.5425476,0.6788711,2024-01-06,12
2024-01-06 13:00:00,0.5371381,0.7144485,2024-01-06,13
2024-01-06 14:00:00,0.4053551,0.5556812,2024-01-06,14
2024-01-06 15:00:00,0.1850174,0.2261015,2024-01-06,15
2024-01-06 16:00:00,0.07093358,0.1510916,2024-01-06,16
2024-01-06 17:00:00,0.0,0.0,2024-01-06,17
2024-01-06 18:00:00,0.0,0.0,2024-01-06,18
2024-01-06 19:00:00,0.0,0.0,2024-01-06,19
2024-01-06 20:00:00,0.0,0.0,2024-01-06,20
2024-01-06 21:00:00,0.0,0.0,2024-01-06,21
2024-01-06 22:00:00,0.0,0.0,2024-01-06,22
2024-01-06 23:00:00,0.0,0.0,2024-01-06,23
2024-01-07 00:00:00,0.0,0.0,2024-01-07,0
2024-01-07 01:00:00,0.0,0.0,2024-01-07,1
2024-01-07 02:00:00,0.0,0.0,2024-01-07,2
2024-01-07 03:00:00,0.0,0.0,2024-01-07,3
2024-01-07 04:00:00,0.0,0.0,2024-01-07,4
2024-01-07 05:00:00,0.0,0.0,2024-01-07,5
2024-01-07 06:00:00,0.02167333,0.0764221,2024-01-07,6
2024-01-07 07:00:00,0.206614,0.3723568,2024-01-07,7
2024-01-07 08:00:00,0.3497252,0.497435,2024-01-07,8
2024-01-07 09:00:00,0.5146495,0.7032194,2024-01-07,9
2024-01-07 10:00:00,0.6853508,0.9263633,2024-01-07,10
2024-01-07 11:00:00,0.7238161,0.9671001,2024-01-07,11
2024-01-07 12:00:00,0.6664306,0.8881475,2024-01-07,12
2024-01-07 13:00:00,0.5479497,0.7316344,2024-01-07,13
2024-01-07 14:00:00,0.4311797,0.6033115,2024-01-07,14
2024-01-07 15:00:00,0.2491657,0.3718553,2024-01-07,15
2024-01-07 16:00:00,0.07358525,0.1566464,2024-01-07,16
2024-01-07 17:00:00,0.0,0.0,2024-01-07,17
2024-01-07 18:00:00,0.0,0.0,2024-01-07,18
2024-01-07 19:00:00,0.0,0.0,2024-01-07,19
2024-01-07 20:00:00,0.0,0.0,2024-01-07,20
2024-01-07 21:00:00,0.0,0.0,2024-01-07,21
2024-01-07 22:00:00,0.0,0.0,2024-01-07,22
2024-01-07 23:00:00,0.0,0.0,2024-01-07,23
2024-01-08 00:00:00,0.0,0.0,2024-01-08,0
2024-01-08 01:00:00,0.0,0.0,2024-01-08,1
2024-01-08 02:00:00,0.0,0.0,2024-01-08,2
2024-01-08 03:00:00,0.0,0.0,2024-01-08,3
2024-01-08 04:00:00,0.0,0.0,2024-01-08,4
2024-01-08 05:00:00,0.0,0.0,2024-01-08,5
2024-01-08 06:00:00,0.01237736,0.01682084,2024-01-08,6
2024-01-08 07:00:00,0.1289123,0.1628744,2024-01-08,7
2024-01-08 08:00:00,0.3065475,0.40527,2024-01-08,8
2024-01-08 09:00:00,0.3714349,0.437031,2024-01-08,9
2024-01-08 10:00:00,0.4938769,0.6037055,2024-01-08,10
2024-01-08 11:00:00,0.5260311,0.6376302,2024-01-08,11
2024-01-08 12:00:00,0.5464497,0.682875,2024-01-08,12
2024-01-08 13:00:00,0.5764027,0.7782484,2024-01-08,13
2024-01-08 14:00:00,0.4179299,0.5755667,2024-01-08,14
2024-01-08 15:00:00,0.2411874,0.3493011,2024-01-08,15
2024-01-08 16:00:00,0.08587483,0.2073005,2024-01-08,16
2024-01-08 17:00:00,0.0,0.0,2024-01-08,17
2024-01-08 18:00:00,0.0,0.0,2024-01-08,18
2024-01-08 19:00:00,0.0,0.0,2024-01-08,19
2024-01-08 20:00:00,0.0,0.0,2024-01-08,20
2024-01-08 21:00:00,0.0,0.0,2024-01-08,21
2024-01-08 22:00:00,0.0,0.0,2024-01-08,22
2024-01-08 23:00:00,0.0,0.0,2024-01-08,23
2024-01-09 00:00:00,0.0,0.0,2024-01-09,0
2024-01-09 01:00:00,0.0,0.0,2024-01-09,1
2024-01-09 02:00:00,0.0,0.0,2024-01-09,2
2024-01-09 03:00:00,0.0,0.0,2024-01-09,3
2024-01-09 04:00:00,0.0,0.0,2024-01-09,4
2024-01-09 05:00:00,0.0,0.0,2024-01-09,5
2024-01-09 06:00:00,0.01962153,0.059912,2024-01-09,6
2024-01-09 07:00:00,0.07138931,0.07145739,2024-01-09,7
2024-01-09 08:00:00,0.1631996,0.1647367,2024-01-09,8
2024-01-09 09:00:00,0.3383816,0.3804138,2024-01-09,9
2024-01-09 10:00:00,0.5364484,0.6792527,2024-01-09,10
2024-01-09 11:00:00,0.5290702,0.6417658,2024-01-09,11
2024-01-09 12:00:00,0.6113673,0.794992,2024-01-09,12
2024-01-09 13:00:00,0.317515,0.334777,2024-01-09,13
2024-01-09 14:00:00,0.162203,0.160341,2024-01-09,14
2024-01-09 15:00:00,0.1555787,0.1696102,2024-01-09,15
2024-01-09 16:00:00,0.04610859,0.05345437,2024-01-09,16
2024-01-09 17:00:00,0.0,0.0,2024-01-09,17
2024-01-09 18:00:00,0.0,0.0,2024-01-09,18
2024-01-09 19:00:00,0.0,0.0,2024-01-09,19
2024-01-09 20:00:00,0.0,0.0,2024-01-09,20
2024-01-09 21:00:00,0.0,0.0,2024-01-09,21
2024-01-09 22:00:00,0.0,0.0,2024-01-09,22
2024-01-09 23:00:00,0.0,0.0,2024-01-09,23
2024-01-10 00:00:00,0.0,0.0,2024-01-10,0
2024-01-10 01:00:00,0.0,0.0,2024-01-10,1
2024-01-10 02:00:00,0.0,0.0,2024-01-10,2
2024-01-10 03:00:00,0.0,0.0,2024-01-10,3
2024-01-10 04:00:00,0.0,0.0,2024-01-10,4
2024-01-10 05:00:00,0.0,0.0,2024-01-10,5
2024-01-10 06:00:00,0.01955068,0.0,2024-01-10,6
2024-01-10 07:00:00,0.1874847,0.3208033,2024-01-10,7
2024-01-10 08:00:00,0.3457537,0.4868799,2024-01-10,8
2024-01-10 09:00:00,0.5471823,0.754829,2024-01-10,9
2024-01-10 10:00:00,0.6751171,0.907933,2024-01-10,10
2024-01-10 11:00:00,0.815336,1.089516,2024-01-10,11
2024-01-10 12:00:00,0.7855175,1.05319,2024-01-10,12
2024-01-10 13:00:00,0.6797412,0.9294147,2024-01-10,13
2024-01-10 14:00:00,0.5330899,0.7649035,2024-01-10,14
2024-01-10 15:00:00,0.2761179,0.4248688,2024-01-10,15
2024-01-10 16:00:00,0.09120846,0.2147472,2024-01-10,16
2024-01-10 17:00:00,0.0,0.0,2024-01-10,17
2024-01-10 18:00:00,0.0,0.0,2024-01-10,18
2024-01-10 19:00:00,0.0,0.0,2024-01-10,19
2024-01-10 20:00:00,0.0,0.0,2024-01-10,20
2024-01-10 21:00:00,0.0,0.0,2024-01-10,21
2024-01-10 22:00:00,0.0,0.0,2024-01-10,22
2024-01-10 23:00:00,0.0,0.0,2024-01-10,23
2024-01-11 00:00:00,0.0,0.0,2024-01-11,0
2024-01-11 01:00:00,0.0,0.0,2024-01-11,1
2024-01-11 02:00:00,0.0,0.0,2024-01-11,2
2024-01-11 03:00:00,0.0,0.0,2024-01-11,3
2024-01-11 04:00:00,0.0,0.0,2024-01-11,4
2024-01-11 05:00:00,0.0,0.0,2024-01-11,5
2024-01-11 06:00:00,0.01935389,0.0,2024-01-11,6
2024-01-11 07:00:00,0.1598225,0.241779,2024-01-11,7
2024-01-11 08:00:00,0.2996609,0.3889039,2024-01-11,8
2024-01-11 09:00:00,0.3914831,0.4709417,2024-01-11,9
2024-01-11 10:00:00,0.7106056,0.9566029,2024-01-11,10
2024-01-11 11:00:00,0.6806348,0.896906,2024-01-11,11
2024-01-11 12:00:00,0.6230433,0.8110949,2024-01-11,12
2024-01-11 13:00:00,0.3712472,0.4122985,2024-01-11,13
2024-01-11 14:00:00,0.3313062,0.3993302,2024-01-11,14
2024-01-11 15:00:00,0.2079898,0.2641695,2024-01-11,15
2024-01-11 16:00:00,0.05735281,0.07566379,2024-01-11,16
2024-01-11 17:00:00,0.0,0.0,2024-01-11,17
2024-01-11 18:00:00,0.0,0.0,2024-01-11,18
2024-01-11 19:00:00,0.0,0.0,2024-01-11,19
2024-01-11 20:00:00,0.0,0.0,2024-01-11,20
2024-01-11 21:00:00,0.0,0.0,2024-01-11,21
2024-01-11 22:00:00,0.0,0.0,2024-01-11,22
2024-01-11 23:00:00,0.0,0.0,2024-01-11,23
2024-01-12 00:00:00,0.0,0.0,2024-01-12,0
2024-01-12 01:00:00,0.0,0.0,2024-01-12,1
2024-01-12 02:00:00,0.0,0.0,2024-01-12,2
2024-01-12 03:00:00,0.0,0.0,2024-01-12,3
2024-01-12 04:00:00,0.0,0.0,2024-01-12,4
