observation_date,INTDSRINM193N
1/1/68,6
2/1/68,6
3/1/68,5
4/1/68,5
5/1/68,5
6/1/68,5
7/1/68,5
8/1/68,5
9/1/68,5
10/1/68,5
11/1/68,5
12/1/68,5
1/1/69,5
2/1/69,5
3/1/69,5
4/1/69,5
5/1/69,5
6/1/69,5
7/1/69,5
8/1/69,5
9/1/69,5
10/1/69,5
11/1/69,5
12/1/69,5
1/1/70,5
2/1/70,5
3/1/70,5
4/1/70,5
5/1/70,5
6/1/70,5
7/1/70,5
8/1/70,5
9/1/70,5
10/1/70,5
11/1/70,5
12/1/70,5
1/1/71,6
2/1/71,6
3/1/71,6
4/1/71,6
5/1/71,6
6/1/71,6
7/1/71,6
8/1/71,6
9/1/71,6
10/1/71,6
11/1/71,6
12/1/71,6
1/1/72,6
2/1/72,6
3/1/72,6
4/1/72,6
5/1/72,6
6/1/72,6
7/1/72,6
8/1/72,6
9/1/72,6
10/1/72,6
11/1/72,6
12/1/72,6
1/1/73,6
2/1/73,6
3/1/73,6
4/1/73,6
5/1/73,7
6/1/73,7
7/1/73,7
8/1/73,7
9/1/73,7
10/1/73,7
11/1/73,7
12/1/73,7
1/1/74,7
2/1/74,7
3/1/74,7
4/1/74,7
5/1/74,7
6/1/74,7
7/1/74,9
8/1/74,9
9/1/74,9
10/1/74,9
11/1/74,9
12/1/74,9
1/1/75,9
2/1/75,9
3/1/75,9
4/1/75,9
5/1/75,9
6/1/75,9
7/1/75,9
8/1/75,9
9/1/75,9
10/1/75,9
11/1/75,9
12/1/75,9
1/1/76,9
2/1/76,9
3/1/76,9
4/1/76,9
5/1/76,9
6/1/76,9
7/1/76,9
8/1/76,9
9/1/76,9
10/1/76,9
11/1/76,9
12/1/76,9
1/1/77,9
2/1/77,9
3/1/77,9
4/1/77,9
5/1/77,9
6/1/77,9
7/1/77,9
8/1/77,9
9/1/77,9
10/1/77,9
11/1/77,9
12/1/77,9
1/1/78,9
2/1/78,9
3/1/78,9
4/1/78,9
5/1/78,9
6/1/78,9
7/1/78,9
8/1/78,9
9/1/78,9
10/1/78,9
11/1/78,9
12/1/78,9
1/1/79,9
2/1/79,9
3/1/79,9
4/1/79,9
5/1/79,9
6/1/79,9
7/1/79,9
8/1/79,9
9/1/79,9
10/1/79,9
11/1/79,9
12/1/79,9
1/1/80,9
