Time,global_solar_kw/m2,incident_solar_kw/m2
1/1/24 0:00,0,0
1/1/24 1:00,0,0
1/1/24 2:00,0,0
1/1/24 3:00,0,0
1/1/24 4:00,0,0
1/1/24 5:00,0,0
1/1/24 6:00,0.02375665,0.05435748
1/1/24 7:00,0.1789622,0.278751
1/1/24 8:00,0.3943286,0.5848879
1/1/24 9:00,0.3370354,0.3802143
1/1/24 10:00,0.356955,0.3833904
1/1/24 11:00,0.6277005,0.8324701
1/1/24 12:00,0.4405987,0.5130898
1/1/24 13:00,0.4011596,0.4841266
1/1/24 14:00,0.2364852,0.2583947
1/1/24 15:00,0.1423502,0.1644261
1/1/24 16:00,0.03996561,0.09093384
1/1/24 17:00,0,0
1/1/24 18:00,0,0
1/1/24 19:00,0,0
1/1/24 20:00,0,0
1/1/24 21:00,0,0
1/1/24 22:00,0,0
1/1/24 23:00,0,0
1/2/24 0:00,0,0
1/2/24 1:00,0,0
1/2/24 2:00,0,0
1/2/24 3:00,0,0
1/2/24 4:00,0,0
1/2/24 5:00,0,0
1/2/24 6:00,0.029069,0.09955219
1/2/24 7:00,0.2197795,0.3902486
1/2/24 8:00,0.4477786,0.6759661
1/2/24 9:00,0.5894498,0.8299935
1/2/24 10:00,0.579641,0.7682241
1/2/24 11:00,0.5145385,0.630331
1/2/24 12:00,0.4397367,0.5108092
1/2/24 13:00,0.5571471,0.7705766
1/2/24 14:00,0.3923576,0.5594842
1/2/24 15:00,0.2805482,0.485274
1/2/24 16:00,0.04940312,0.1485722
1/2/24 17:00,0,0
1/2/24 18:00,0,0
1/2/24 19:00,0,0
1/2/24 20:00,0,0
1/2/24 21:00,0,0
1/2/24 22:00,0,0
1/2/24 23:00,0,0
1/3/24 0:00,0,0
1/3/24 1:00,0,0
1/3/24 2:00,0,0
1/3/24 3:00,0,0
1/3/24 4:00,0,0
1/3/24 5:00,0,0
1/3/24 6:00,0.01875199,0.02957825
1/3/24 7:00,0.1714523,0.2588671
1/3/24 8:00,0.3133361,0.4163104
1/3/24 9:00,0.3475549,0.3974035
1/3/24 10:00,0.6831114,0.9326776
1/3/24 11:00,0.5359379,0.6680683
1/3/24 12:00,0.3923655,0.4328802
1/3/24 13:00,0.4514054,0.575852
1/3/24 14:00,0.3829226,0.5382507
1/3/24 15:00,0.2492472,0.4170513
1/3/24 16:00,0.05068494,0.1476798
1/3/24 17:00,0,0
1/3/24 18:00,0,0
1/3/24 19:00,0,0
1/3/24 20:00,0,0
1/3/24 21:00,0,0
1/3/24 22:00,0,0
1/3/24 23:00,0,0
1/4/24 0:00,0,0
1/4/24 1:00,0,0
1/4/24 2:00,0,0
1/4/24 3:00,0,0
1/4/24 4:00,0,0
1/4/24 5:00,0,0
1/4/24 6:00,0.02897879,0.1029381
1/4/24 7:00,0.2364212,0.4282067
1/4/24 8:00,0.442477,0.6666214
1/4/24 9:00,0.6008927,0.8452405
1/4/24 10:00,0.6746141,0.9195984
1/4/24 11:00,0.7214684,0.9748615
1/4/24 12:00,0.7282864,0.9916846
1/4/24 13:00,0.5715949,0.7912439
1/4/24 14:00,0.4319547,0.6306666
1/4/24 15:00,0.2632965,0.4455209
1/4/24 16:00,0.06912577,0.2526439
1/4/24 17:00,0,0
1/4/24 18:00,0,0
1/4/24 19:00,0,0
1/4/24 20:00,0,0
1/4/24 21:00,0,0
1/4/24 22:00,0,0
1/4/24 23:00,0,0
1/5/24 0:00,0,0
1/5/24 1:00,0,0
1/5/24 2:00,0,0
1/5/24 3:00,0,0
1/5/24 4:00,0,0
1/5/24 5:00,0,0
1/5/24 6:00,0.01294791,0.01449637
1/5/24 7:00,0.09805042,0.1028359
1/5/24 8:00,0.2593634,0.3070178
1/5/24 9:00,0.2891693,0.3067234
1/5/24 10:00,0.458747,0.5469925
1/5/24 11:00,0.6064562,0.7917228
1/5/24 12:00,0.5990573,0.7920508
1/5/24 13:00,0.4951591,0.6552306
1/5/24 14:00,0.3139971,0.3920882
1/5/24 15:00,0.1712544,0.2169669
1/5/24 16:00,0.03645877,0.05515517
1/5/24 17:00,0,0
1/5/24 18:00,0,0
1/5/24 19:00,0,0
1/5/24 20:00,0,0
1/5/24 21:00,0,0
1/5/24 22:00,0,0
1/5/24 23:00,0,0
1/6/24 0:00,0,0
1/6/24 1:00,0,0
1/6/24 2:00,0,0
1/6/24 3:00,0,0
1/6/24 4:00,0,0
1/6/24 5:00,0,0
1/6/24 6:00,0.02652137,0.08385421
1/6/24 7:00,0.1864676,0.3020235
1/6/24 8:00,0.340013,0.4725539
1/6/24 9:00,0.4256285,0.5385268
1/6/24 10:00,0.4435565,0.5197173
1/6/24 11:00,0.4736056,0.5546358
1/6/24 12:00,0.5376992,0.6813115
1/6/24 13:00,0.5249839,0.7079844
1/6/24 14:00,0.3895119,0.5446686
1/6/24 15:00,0.1724082,0.2175027
1/6/24 16:00,0.05407534,0.1413285
1/6/24 17:00,0,0
1/6/24 18:00,0,0
1/6/24 19:00,0,0
1/6/24 20:00,0,0
1/6/24 21:00,0,0
1/6/24 22:00,0,0
1/6/24 23:00,0,0
1/7/24 0:00,0,0
1/7/24 1:00,0,0
1/7/24 2:00,0,0
1/7/24 3:00,0,0
1/7/24 4:00,0,0
1/7/24 5:00,0,0
1/7/24 6:00,0.02799772,0.09861097
1/7/24 7:00,0.2193679,0.3892207
1/7/24 8:00,0.3590727,0.5121144
1/7/24 9:00,0.5203589,0.7148371
1/7/24 10:00,0.6849353,0.9313765
1/7/24 11:00,0.7175847,0.9659336
1/7/24 12:00,0.6556482,0.8820722
1/7/24 13:00,0.5341851,0.7224261
1/7/24 14:00,0.4130704,0.5886653
1/7/24 15:00,0.2296805,0.3549777
1/7/24 16:00,0.05614921,0.14501
1/7/24 17:00,0,0
1/7/24 18:00,0,0
1/7/24 19:00,0,0
1/7/24 20:00,0,0
1/7/24 21:00,0,0
1/7/24 22:00,0,0
