Time,global_solar_kw/m2,incident_solar_kw/m2
1/1/24 0:00,0,0
1/1/24 1:00,0,0
1/1/24 2:00,0,0
1/1/24 3:00,0,0
1/1/24 4:00,0,0
1/1/24 5:00,0,0
1/1/24 6:00,0.0201489,0.04623107
1/1/24 7:00,0.1719029,0.2721193
1/1/24 8:00,0.3870541,0.5775831
1/1/24 9:00,0.3352814,0.3797893
1/1/24 10:00,0.3573649,0.3849911
1/1/24 11:00,0.6284134,0.8347015
1/1/24 12:00,0.4440638,0.5185134
1/1/24 13:00,0.4059647,0.4908701
1/1/24 14:00,0.2415202,0.2643826
1/1/24 15:00,0.1477092,0.1706418
1/1/24 16:00,0.04474006,0.09450743
1/1/24 17:00,0,0
1/1/24 18:00,0,0
1/1/24 19:00,0,0
1/1/24 20:00,0,0
1/1/24 21:00,0,0
1/1/24 22:00,0,0
1/1/24 23:00,0,0
1/2/24 0:00,0,0
1/2/24 1:00,0,0
1/2/24 2:00,0,0
1/2/24 3:00,0,0
1/2/24 4:00,0,0
1/2/24 5:00,0,0
1/2/24 6:00,0.02460032,0.08432389
1/2/24 7:00,0.2106977,0.3806222
1/2/24 8:00,0.4391184,0.6667804
1/2/24 9:00,0.5831533,0.8235018
1/2/24 10:00,0.5772567,0.7666555
1/2/24 11:00,0.5149174,0.6319183
1/2/24 12:00,0.4426951,0.5153532
1/2/24 13:00,0.5617254,0.7763946
1/2/24 14:00,0.3986666,0.5673052
1/2/24 15:00,0.2892615,0.4953326
1/2/24 16:00,0.05510659,0.1514634
1/2/24 17:00,0,0
1/2/24 18:00,0,0
1/2/24 19:00,0,0
1/2/24 20:00,0,0
1/2/24 21:00,0,0
1/2/24 22:00,0,0
1/2/24 23:00,0,0
1/3/24 0:00,0,0
1/3/24 1:00,0,0
1/3/24 2:00,0,0
1/3/24 3:00,0,0
1/3/24 4:00,0,0
1/3/24 5:00,0,0
1/3/24 6:00,0.01588916,0.02517891
1/3/24 7:00,0.1646496,0.2525395
1/3/24 8:00,0.3080135,0.4118285
1/3/24 9:00,0.3456733,0.3969387
1/3/24 10:00,0.679653,0.9294725
1/3/24 11:00,0.5367867,0.6705785
1/3/24 12:00,0.3951803,0.4368705
1/3/24 13:00,0.4560854,0.5823696
1/3/24 14:00,0.3892584,0.5462673
1/3/24 15:00,0.2571971,0.4265283
1/3/24 16:00,0.05646796,0.1511616
1/3/24 17:00,0,0
1/3/24 18:00,0,0
1/3/24 19:00,0,0
1/3/24 20:00,0,0
1/3/24 21:00,0,0
1/3/24 22:00,0,0
1/3/24 23:00,0,0
1/4/24 0:00,0,0
1/4/24 1:00,0,0
1/4/24 2:00,0,0
1/4/24 3:00,0,0
1/4/24 4:00,0,0
1/4/24 5:00,0,0
1/4/24 6:00,0.02446691,0.08698553
1/4/24 7:00,0.2265254,0.4175342
1/4/24 8:00,0.4338689,0.6574845
1/4/24 9:00,0.5950611,0.8394929
1/4/24 10:00,0.6716306,0.9170869
1/4/24 11:00,0.7211135,0.9752209
1/4/24 12:00,0.7306647,0.9950528
1/4/24 13:00,0.5766935,0.7978644
1/4/24 14:00,0.4390141,0.6394668
1/4/24 15:00,0.2716631,0.4555117
1/4/24 16:00,0.07675005,0.2555663
1/4/24 17:00,0,0
1/4/24 18:00,0,0
1/4/24 19:00,0,0
1/4/24 20:00,0,0
1/4/24 21:00,0,0
1/4/24 22:00,0,0
1/4/24 23:00,0,0
1/5/24 0:00,0,0
1/5/24 1:00,0,0
1/5/24 2:00,0,0
1/5/24 3:00,0,0
1/5/24 4:00,0,0
1/5/24 5:00,0,0
1/5/24 6:00,0.01092299,0.01223341
1/5/24 7:00,0.09465514,0.09982079
1/5/24 8:00,0.2556803,0.3046075
1/5/24 9:00,0.2883997,0.307026
1/5/24 10:00,0.4593001,0.5501573
1/5/24 11:00,0.608281,0.7959629
1/5/24 12:00,0.6027479,0.7979615
1/5/24 13:00,0.5008075,0.6634015
1/5/24 14:00,0.3205677,0.4011483
1/5/24 15:00,0.177388,0.224545
1/5/24 16:00,0.04067932,0.05944473
1/5/24 17:00,0,0
1/5/24 18:00,0,0
1/5/24 19:00,0,0
1/5/24 20:00,0,0
1/5/24 21:00,0,0
1/5/24 22:00,0,0
1/5/24 23:00,0,0
1/6/24 0:00,0,0
1/6/24 1:00,0,0
1/6/24 2:00,0,0
1/6/24 3:00,0,0
1/6/24 4:00,0,0
1/6/24 5:00,0,0
1/6/24 6:00,0.02235745,0.07080779
1/6/24 7:00,0.178892,0.2946608
1/6/24 8:00,0.3340522,0.4672477
1/6/24 9:00,0.4222618,0.5363891
1/6/24 10:00,0.443087,0.5209103
1/6/24 11:00,0.4751416,0.558046
1/6/24 12:00,0.5405059,0.6858444
1/6/24 13:00,0.5298371,0.7145188
1/6/24 14:00,0.395956,0.5528991
1/6/24 15:00,0.17841,0.2247895
1/6/24 16:00,0.05999227,0.1460883
1/6/24 17:00,0,0
1/6/24 18:00,0,0
1/6/24 19:00,0,0
1/6/24 20:00,0,0
1/6/24 21:00,0,0
1/6/24 22:00,0,0
1/6/24 23:00,0,0
1/7/24 0:00,0,0
1/7/24 1:00,0,0
1/7/24 2:00,0,0
1/7/24 3:00,0,0
1/7/24 4:00,0,0
1/7/24 5:00,0,0
1/7/24 6:00,0.02358712,0.08322995
1/7/24 7:00,0.2101332,0.3793873
1/7/24 8:00,0.3523109,0.5054367
1/7/24 9:00,0.5150247,0.7096683
1/7/24 10:00,0.6811623,0.9277451
1/7/24 11:00,0.7166571,0.9655071
1/7/24 12:00,0.6576114,0.8849425
1/7/24 13:00,0.538442,0.727869
1/7/24 14:00,0.4192593,0.5961546
1/7/24 15:00,0.2367788,0.3634153
1/7/24 16:00,0.06215404,0.1498474
1/7/24 17:00,0,0
1/7/24 18:00,0,0
1/7/24 19:00,0,0
1/7/24 20:00,0,0
1/7/24 21:00,0,0
1/7/24 22:00,0,0
