Time,global_solar_kw/m2,incident_solar_kw/m2
1/1/24 0:00,0,0
1/1/24 1:00,0,0
1/1/24 2:00,0,0
1/1/24 3:00,0,0
1/1/24 4:00,0,0
1/1/24 5:00,0,0
1/1/24 6:00,0.02424452,0.05572697
1/1/24 7:00,0.1831945,0.2876396
1/1/24 8:00,0.4010876,0.5942481
1/1/24 9:00,0.3545025,0.4076632
1/1/24 10:00,0.3784439,0.4137749
1/1/24 11:00,0.6448244,0.8566236
1/1/24 12:00,0.4618633,0.5468311
1/1/24 13:00,0.4191147,0.5135497
1/1/24 14:00,0.2514988,0.2802928
1/1/24 15:00,0.1521029,0.180266
1/1/24 16:00,0.04335684,0.09875384
1/1/24 17:00,0,0
1/1/24 18:00,0,0
1/1/24 19:00,0,0
1/1/24 20:00,0,0
1/1/24 21:00,0,0
1/1/24 22:00,0,0
1/1/24 23:00,0,0
1/2/24 0:00,0,0
1/2/24 1:00,0,0
1/2/24 2:00,0,0
1/2/24 3:00,0,0
1/2/24 4:00,0,0
1/2/24 5:00,0,0
1/2/24 6:00,0.02946809,0.1001908
1/2/24 7:00,0.2228284,0.3944109
1/2/24 8:00,0.4534128,0.6818458
1/2/24 9:00,0.5957529,0.8358811
1/2/24 10:00,0.5913819,0.7845564
1/2/24 11:00,0.5273163,0.649596
1/2/24 12:00,0.4591695,0.5412522
1/2/24 13:00,0.5670993,0.7824315
1/2/24 14:00,0.4023859,0.5739672
1/2/24 15:00,0.2870183,0.4920771
1/2/24 16:00,0.05298722,0.1549647
1/2/24 17:00,0,0
1/2/24 18:00,0,0
1/2/24 19:00,0,0
1/2/24 20:00,0,0
1/2/24 21:00,0,0
1/2/24 22:00,0,0
1/2/24 23:00,0,0
1/3/24 0:00,0,0
1/3/24 1:00,0,0
1/3/24 2:00,0,0
1/3/24 3:00,0,0
1/3/24 4:00,0,0
1/3/24 5:00,0,0
1/3/24 6:00,0.01930567,0.03099088
1/3/24 7:00,0.1760203,0.2687768
1/3/24 8:00,0.3227515,0.4334929
1/3/24 9:00,0.3636504,0.4230351
1/3/24 10:00,0.6920727,0.9417699
1/3/24 11:00,0.5530154,0.6949006
1/3/24 12:00,0.4101373,0.4586255
1/3/24 13:00,0.4669796,0.6009023
1/3/24 14:00,0.3942031,0.555639
1/3/24 15:00,0.2570882,0.4285134
1/3/24 16:00,0.05435211,0.1545218
1/3/24 17:00,0,0
1/3/24 18:00,0,0
1/3/24 19:00,0,0
1/3/24 20:00,0,0
1/3/24 21:00,0,0
1/3/24 22:00,0,0
1/3/24 23:00,0,0
1/4/24 0:00,0,0
1/4/24 1:00,0,0
1/4/24 2:00,0,0
1/4/24 3:00,0,0
1/4/24 4:00,0,0
1/4/24 5:00,0,0
1/4/24 6:00,0.02932578,0.1031832
1/4/24 7:00,0.2389012,0.4305108
1/4/24 8:00,0.448476,0.6731106
1/4/24 9:00,0.6114153,0.8572325
1/4/24 10:00,0.6863765,0.9328947
1/4/24 11:00,0.7330603,0.9872529
1/4/24 12:00,0.738949,1.002638
1/4/24 13:00,0.5848829,0.8080497
1/4/24 14:00,0.4440137,0.6471352
1/4/24 15:00,0.2716547,0.4572012
1/4/24 16:00,0.07297003,0.2536742
1/4/24 17:00,0,0
1/4/24 18:00,0,0
1/4/24 19:00,0,0
1/4/24 20:00,0,0
1/4/24 21:00,0,0
1/4/24 22:00,0,0
1/4/24 23:00,0,0
1/5/24 0:00,0,0
1/5/24 1:00,0,0
1/5/24 2:00,0,0
1/5/24 3:00,0,0
1/5/24 4:00,0,0
1/5/24 5:00,0,0
1/5/24 6:00,0.01314252,0.01469613
1/5/24 7:00,0.104114,0.111056
1/5/24 8:00,0.2719622,0.3290002
1/5/24 9:00,0.3095177,0.3350827
1/5/24 10:00,0.4844255,0.5898102
1/5/24 11:00,0.6300325,0.8277177
1/5/24 12:00,0.6241885,0.8299991
1/5/24 13:00,0.5181675,0.6927348
1/5/24 14:00,0.3321854,0.4243763
1/5/24 15:00,0.1817109,0.2362336
1/5/24 16:00,0.04010297,0.0628752
1/5/24 17:00,0,0
1/5/24 18:00,0,0
1/5/24 19:00,0,0
1/5/24 20:00,0,0
1/5/24 21:00,0,0
1/5/24 22:00,0,0
1/5/24 23:00,0,0
1/6/24 0:00,0,0
1/6/24 1:00,0,0
1/6/24 2:00,0,0
1/6/24 3:00,0,0
1/6/24 4:00,0,0
1/6/24 5:00,0,0
1/6/24 6:00,0.02687243,0.08430199
1/6/24 7:00,0.190464,0.3101031
1/6/24 8:00,0.349018,0.4884248
1/6/24 9:00,0.439431,0.5617159
1/6/24 10:00,0.4615531,0.5483586
1/6/24 11:00,0.4918883,0.5831833
1/6/24 12:00,0.554036,0.706479
1/6/24 13:00,0.5390934,0.728212
1/6/24 14:00,0.4016662,0.5636246
1/6/24 15:00,0.1822099,0.2351624
1/6/24 16:00,0.05787956,0.1488197
1/6/24 17:00,0,0
1/6/24 18:00,0,0
1/6/24 19:00,0,0
1/6/24 20:00,0,0
1/6/24 21:00,0,0
1/6/24 22:00,0,0
1/6/24 23:00,0,0
1/7/24 0:00,0,0
1/7/24 1:00,0,0
1/7/24 2:00,0,0
1/7/24 3:00,0,0
1/7/24 4:00,0,0
1/7/24 5:00,0,0
1/7/24 6:00,0.0283842,0.09938042
1/7/24 7:00,0.2222408,0.3929785
1/7/24 8:00,0.3650942,0.5212292
1/7/24 9:00,0.5279592,0.7244093
1/7/24 10:00,0.6919855,0.9378151
1/7/24 11:00,0.7254683,0.9733198
1/7/24 12:00,0.6647072,0.8918561
1/7/24 13:00,0.5432317,0.7335449
1/7/24 14:00,0.4212602,0.5990995
1/7/24 15:00,0.2370614,0.3668538
1/7/24 16:00,0.05978061,0.1511271
1/7/24 17:00,0,0
1/7/24 18:00,0,0
1/7/24 19:00,0,0
1/7/24 20:00,0,0
1/7/24 21:00,0,0
1/7/24 22:00,0,0
