Time,global_solar_kw/m2,incident_solar_kw/m2
1/1/24 0:00,0,0
1/1/24 1:00,0,0
1/1/24 2:00,0,0
1/1/24 3:00,0,0
1/1/24 4:00,0,0
1/1/24 5:00,0,0
1/1/24 6:00,0.02466855,0.055703
1/1/24 7:00,0.1860681,0.2838193
1/1/24 8:00,0.4105406,0.5942434
1/1/24 9:00,0.3623946,0.4104756
1/1/24 10:00,0.3871725,0.417921
1/1/24 11:00,0.6681196,0.8677582
1/1/24 12:00,0.48032,0.5580274
1/1/24 13:00,0.4411863,0.5287033
1/1/24 14:00,0.2691424,0.2947608
1/1/24 15:00,0.1710274,0.196728
1/1/24 16:00,0.06199149,0.10958
1/1/24 17:00,0,0
1/1/24 18:00,0,0
1/1/24 19:00,0,0
1/1/24 20:00,0,0
1/1/24 21:00,0,0
1/1/24 22:00,0,0
1/1/24 23:00,0,0
1/2/24 0:00,0,0
1/2/24 1:00,0,0
1/2/24 2:00,0,0
1/2/24 3:00,0,0
1/2/24 4:00,0,0
1/2/24 5:00,0,0
1/2/24 6:00,0.03003032,0.1009407
1/2/24 7:00,0.2280132,0.3933474
1/2/24 8:00,0.4656546,0.6845407
1/2/24 9:00,0.6122805,0.8405669
1/2/24 10:00,0.6092799,0.79087
1/2/24 11:00,0.5437519,0.6558771
1/2/24 12:00,0.4738333,0.5464382
1/2/24 13:00,0.5988243,0.8040568
1/2/24 14:00,0.4334438,0.5978433
1/2/24 15:00,0.3245769,0.5248802
1/2/24 16:00,0.07617858,0.1692463
1/2/24 17:00,0,0
1/2/24 18:00,0,0
1/2/24 19:00,0,0
1/2/24 20:00,0,0
1/2/24 21:00,0,0
1/2/24 22:00,0,0
1/2/24 23:00,0,0
1/3/24 0:00,0,0
1/3/24 1:00,0,0
1/3/24 2:00,0,0
1/3/24 3:00,0,0
1/3/24 4:00,0,0
1/3/24 5:00,0,0
1/3/24 6:00,0.01953093,0.03072597
1/3/24 7:00,0.1793538,0.2670963
1/3/24 8:00,0.3303244,0.4347634
1/3/24 9:00,0.3711933,0.4247543
1/3/24 10:00,0.7137651,0.9504603
1/3/24 11:00,0.571349,0.7028685
1/3/24 12:00,0.4236944,0.4659171
1/3/24 13:00,0.4915617,0.6168695
1/3/24 14:00,0.4244088,0.5788551
1/3/24 15:00,0.2906492,0.4577349
1/3/24 16:00,0.07751933,0.1687856
1/3/24 17:00,0,0
1/3/24 18:00,0,0
1/3/24 19:00,0,0
1/3/24 20:00,0,0
1/3/24 21:00,0,0
1/3/24 22:00,0,0
1/3/24 23:00,0,0
1/4/24 0:00,0,0
1/4/24 1:00,0,0
1/4/24 2:00,0,0
1/4/24 3:00,0,0
1/4/24 4:00,0,0
1/4/24 5:00,0,0
1/4/24 6:00,0.02983421,0.1039034
1/4/24 7:00,0.243505,0.4275706
1/4/24 8:00,0.4597942,0.6746826
1/4/24 9:00,0.6279414,0.8614548
1/4/24 10:00,0.7073804,0.9407942
1/4/24 11:00,0.7592286,1.000024
1/4/24 12:00,0.7706129,1.020989
1/4/24 13:00,0.6171851,0.8299615
1/4/24 14:00,0.4779967,0.6733364
1/4/24 15:00,0.3063444,0.4869665
1/4/24 16:00,0.1034757,0.2718576
1/4/24 17:00,0,0
1/4/24 18:00,0,0
1/4/24 19:00,0,0
1/4/24 20:00,0,0
1/4/24 21:00,0,0
1/4/24 22:00,0,0
1/4/24 23:00,0,0
1/5/24 0:00,0,0
1/5/24 1:00,0,0
1/5/24 2:00,0,0
1/5/24 3:00,0,0
1/5/24 4:00,0,0
1/5/24 5:00,0,0
1/5/24 6:00,0.01332632,0.01484759
1/5/24 7:00,0.1037271,0.109077
1/5/24 8:00,0.2741018,0.3239572
1/5/24 9:00,0.3128548,0.3339953
1/5/24 10:00,0.4937841,0.5879554
1/5/24 11:00,0.6473069,0.8300204
1/5/24 12:00,0.6459811,0.8372676
1/5/24 13:00,0.5417501,0.7036052
1/5/24 14:00,0.3532214,0.4368438
1/5/24 15:00,0.2015483,0.2501866
1/5/24 16:00,0.05555755,0.07410039
1/5/24 17:00,0,0
1/5/24 18:00,0,0
1/5/24 19:00,0,0
1/5/24 20:00,0,0
1/5/24 21:00,0,0
1/5/24 22:00,0,0
1/5/24 23:00,0,0
1/6/24 0:00,0,0
1/6/24 1:00,0,0
1/6/24 2:00,0,0
1/6/24 3:00,0,0
1/6/24 4:00,0,0
1/6/24 5:00,0,0
1/6/24 6:00,0.02724459,0.084386
1/6/24 7:00,0.193708,0.3070672
1/6/24 8:00,0.3572155,0.4893432
1/6/24 9:00,0.4503458,0.5644404
1/6/24 10:00,0.4734803,0.5526046
1/6/24 11:00,0.5070459,0.5901631
1/6/24 12:00,0.5769304,0.7193941
1/6/24 13:00,0.5685103,0.7480625
1/6/24 14:00,0.4318703,0.5867724
1/6/24 15:00,0.2042652,0.2539714
1/6/24 16:00,0.08112744,0.1649533
1/6/24 17:00,0,0
1/6/24 18:00,0,0
1/6/24 19:00,0,0
1/6/24 20:00,0,0
1/6/24 21:00,0,0
1/6/24 22:00,0,0
1/6/24 23:00,0,0
1/7/24 0:00,0,0
1/7/24 1:00,0,0
1/7/24 2:00,0,0
1/7/24 3:00,0,0
1/7/24 4:00,0,0
1/7/24 5:00,0,0
1/7/24 6:00,0.02872389,0.09933762
1/7/24 7:00,0.227236,0.3920443
1/7/24 8:00,0.3734831,0.5215924
1/7/24 9:00,0.541582,0.7271161
1/7/24 10:00,0.7129452,0.9456875
1/7/24 11:00,0.751083,0.9856373
1/7/24 12:00,0.6927621,0.9076787
1/7/24 13:00,0.5716903,0.751679
1/7/24 14:00,0.4521927,0.6221358
1/7/24 15:00,0.2663106,0.3916387
1/7/24 16:00,0.08380114,0.169972
1/7/24 17:00,0,0
1/7/24 18:00,0,0
1/7/24 19:00,0,0
1/7/24 20:00,0,0
1/7/24 21:00,0,0
1/7/24 22:00,0,0
1/7/24 23:00,0,0
