Time,global_solar_kw/m2,incident_solar_kw/m2
1/1/24 0:00,0,0
1/1/24 1:00,0,0
1/1/24 2:00,0,0
1/1/24 3:00,0,0
1/1/24 4:00,0,0
1/1/24 5:00,0,0
1/1/24 6:00,0.02831506,0.06349947
1/1/24 7:00,0.193465,0.2892847
1/1/24 8:00,0.4200992,0.6012555
1/1/24 9:00,0.3671671,0.4132086
1/1/24 10:00,0.3903575,0.4192462
1/1/24 11:00,0.6749756,0.8703319
1/1/24 12:00,0.4836085,0.558394
1/1/24 13:00,0.4439433,0.5285098
1/1/24 14:00,0.2701824,0.2944185
1/1/24 15:00,0.1718471,0.1964
1/1/24 16:00,0.06269415,0.108779
1/1/24 17:00,0,0
1/1/24 18:00,0,0
1/1/24 19:00,0,0
1/1/24 20:00,0,0
1/1/24 21:00,0,0
1/1/24 22:00,0,0
1/1/24 23:00,0,0
1/2/24 0:00,0,0
1/2/24 1:00,0,0
1/2/24 2:00,0,0
1/2/24 3:00,0,0
1/2/24 4:00,0,0
1/2/24 5:00,0,0
1/2/24 6:00,0.03453271,0.1155744
1/2/24 7:00,0.237807,0.4018265
1/2/24 8:00,0.4770587,0.6935339
1/2/24 9:00,0.6227905,0.847752
1/2/24 10:00,0.6170148,0.7948663
1/2/24 11:00,0.5486164,0.657254
1/2/24 12:00,0.4760745,0.5452611
1/2/24 13:00,0.6040769,0.8054781
1/2/24 14:00,0.4369653,0.5982867
1/2/24 15:00,0.3276186,0.5254107
1/2/24 16:00,0.07733031,0.1691837
1/2/24 17:00,0,0
1/2/24 18:00,0,0
1/2/24 19:00,0,0
1/2/24 20:00,0,0
1/2/24 21:00,0,0
1/2/24 22:00,0,0
1/2/24 23:00,0,0
1/3/24 0:00,0,0
1/3/24 1:00,0,0
1/3/24 2:00,0,0
1/3/24 3:00,0,0
1/3/24 4:00,0,0
1/3/24 5:00,0,0
1/3/24 6:00,0.02241321,0.0349775
1/3/24 7:00,0.1867508,0.2730623
1/3/24 8:00,0.3378436,0.4402532
1/3/24 9:00,0.3763207,0.4278443
1/3/24 10:00,0.7233452,0.9560671
1/3/24 11:00,0.5767059,0.7045401
1/3/24 12:00,0.4258189,0.4657649
1/3/24 13:00,0.495027,0.6169095
1/3/24 14:00,0.427768,0.5791844
1/3/24 15:00,0.293325,0.4580883
1/3/24 16:00,0.07859448,0.1684067
1/3/24 17:00,0,0
1/3/24 18:00,0,0
1/3/24 19:00,0,0
1/3/24 20:00,0,0
1/3/24 21:00,0,0
1/3/24 22:00,0,0
1/3/24 23:00,0,0
1/4/24 0:00,0,0
1/4/24 1:00,0,0
1/4/24 2:00,0,0
1/4/24 3:00,0,0
1/4/24 4:00,0,0
1/4/24 5:00,0,0
1/4/24 6:00,0.03435517,0.1191676
1/4/24 7:00,0.2537597,0.4362436
1/4/24 8:00,0.4707514,0.6831184
1/4/24 9:00,0.6384488,0.8684468
1/4/24 10:00,0.7166056,0.9459642
1/4/24 11:00,0.7674764,1.003876
1/4/24 12:00,0.7778832,1.023642
1/4/24 13:00,0.6223919,0.8311608
1/4/24 14:00,0.4818557,0.6738145
1/4/24 15:00,0.3089954,0.4870491
1/4/24 16:00,0.1049095,0.2714975
1/4/24 17:00,0,0
1/4/24 18:00,0,0
1/4/24 19:00,0,0
1/4/24 20:00,0,0
1/4/24 21:00,0,0
1/4/24 22:00,0,0
1/4/24 23:00,0,0
1/5/24 0:00,0,0
1/5/24 1:00,0,0
1/5/24 2:00,0,0
1/5/24 3:00,0,0
1/5/24 4:00,0,0
1/5/24 5:00,0,0
1/5/24 6:00,0.01534403,0.01707332
1/5/24 7:00,0.1070923,0.1118421
1/5/24 8:00,0.2788053,0.3262287
1/5/24 9:00,0.3157492,0.3352301
1/5/24 10:00,0.4976382,0.5877098
1/5/24 11:00,0.6522235,0.8297771
1/5/24 12:00,0.649617,0.8354453
1/5/24 13:00,0.5441065,0.7009014
1/5/24 14:00,0.3542231,0.4343306
1/5/24 15:00,0.2019763,0.2482594
1/5/24 16:00,0.05588503,0.07335567
1/5/24 17:00,0,0
1/5/24 18:00,0,0
1/5/24 19:00,0,0
1/5/24 20:00,0,0
1/5/24 21:00,0,0
1/5/24 22:00,0,0
1/5/24 23:00,0,0
1/6/24 0:00,0,0
1/6/24 1:00,0,0
1/6/24 2:00,0,0
1/6/24 3:00,0,0
1/6/24 4:00,0,0
1/6/24 5:00,0,0
1/6/24 6:00,0.03138941,0.09671727
1/6/24 7:00,0.2017003,0.3134029
1/6/24 8:00,0.3654687,0.4954043
1/6/24 9:00,0.4572792,0.5686049
1/6/24 10:00,0.4785688,0.5549685
1/6/24 11:00,0.5113429,0.5914917
1/6/24 12:00,0.5817239,0.7204739
1/6/24 13:00,0.5731564,0.7489618
1/6/24 14:00,0.4351941,0.5870164
1/6/24 15:00,0.205566,0.2537941
1/6/24 16:00,0.08210607,0.1643607
1/6/24 17:00,0,0
1/6/24 18:00,0,0
1/6/24 19:00,0,0
1/6/24 20:00,0,0
1/6/24 21:00,0,0
1/6/24 22:00,0,0
1/6/24 23:00,0,0
1/7/24 0:00,0,0
1/7/24 1:00,0,0
1/7/24 2:00,0,0
1/7/24 3:00,0,0
1/7/24 4:00,0,0
1/7/24 5:00,0,0
1/7/24 6:00,0.0330979,0.1138762
1/7/24 7:00,0.2373096,0.4011635
1/7/24 8:00,0.3822088,0.5280873
1/7/24 9:00,0.5505216,0.7328658
1/7/24 10:00,0.722432,0.951211
1/7/24 11:00,0.7593643,0.9896147
1/7/24 12:00,0.6992291,0.9099026
1/7/24 13:00,0.5762398,0.7524029
1/7/24 14:00,0.4556862,0.6224017
1/7/24 15:00,0.2684567,0.3915843
1/7/24 16:00,0.08492669,0.1699769
1/7/24 17:00,0,0
1/7/24 18:00,0,0
1/7/24 19:00,0,0
1/7/24 20:00,0,0
1/7/24 21:00,0,0
1/7/24 22:00,0,0
1/7/24 23:00,0,0
