Time,global_solar_kw/m2,incident_solar_kw/m2
1/1/24 0:00,0,0
1/1/24 1:00,0,0
1/1/24 2:00,0,0
1/1/24 3:00,0,0
1/1/24 4:00,0,0
1/1/24 5:00,0,0
1/1/24 6:00,0.03294229,0.07013416
1/1/24 7:00,0.2004263,0.2886602
1/1/24 8:00,0.4305398,0.6036469
1/1/24 9:00,0.3639556,0.4005167
1/1/24 10:00,0.3832254,0.4040234
1/1/24 11:00,0.6797687,0.8614646
1/1/24 12:00,0.4791118,0.5408652
1/1/24 13:00,0.442623,0.5148751
1/1/24 14:00,0.2672274,0.2851887
1/1/24 15:00,0.1722257,0.191183
1/1/24 16:00,0.06775878,0.1076353
1/1/24 17:00,0,0
1/1/24 18:00,0,0
1/1/24 19:00,0,0
1/1/24 20:00,0,0
1/1/24 21:00,0,0
1/1/24 22:00,0,0
1/1/24 23:00,0,0
1/2/24 0:00,0,0
1/2/24 1:00,0,0
1/2/24 2:00,0,0
1/2/24 3:00,0,0
1/2/24 4:00,0,0
1/2/24 5:00,0,0
1/2/24 6:00,0.04045103,0.1308479
1/2/24 7:00,0.2497056,0.4092379
1/2/24 8:00,0.4918963,0.701965
1/2/24 9:00,0.6373471,0.8542403
1/2/24 10:00,0.6248108,0.7913975
1/2/24 11:00,0.5518582,0.6494511
1/2/24 12:00,0.4728155,0.5303105
1/2/24 13:00,0.6149718,0.8069844
1/2/24 14:00,0.4452482,0.5975795
1/2/24 15:00,0.3403135,0.5330386
1/2/24 16:00,0.08480983,0.1714139
1/2/24 17:00,0,0
1/2/24 18:00,0,0
1/2/24 19:00,0,0
1/2/24 20:00,0,0
1/2/24 21:00,0,0
1/2/24 22:00,0,0
1/2/24 23:00,0,0
1/3/24 0:00,0,0
1/3/24 1:00,0,0
1/3/24 2:00,0,0
1/3/24 3:00,0,0
1/3/24 4:00,0,0
1/3/24 5:00,0,0
1/3/24 6:00,0.02582379,0.03884104
1/3/24 7:00,0.1938136,0.2734951
1/3/24 8:00,0.3433316,0.4366484
1/3/24 9:00,0.3735868,0.4151845
1/3/24 10:00,0.7368036,0.9599459
1/3/24 11:00,0.5780416,0.6923773
1/3/24 12:00,0.4221084,0.4537273
1/3/24 13:00,0.4973584,0.6068858
1/3/24 14:00,0.4347829,0.5765062
1/3/24 15:00,0.3030812,0.4612985
1/3/24 16:00,0.08586675,0.1699025
1/3/24 17:00,0,0
1/3/24 18:00,0,0
1/3/24 19:00,0,0
1/3/24 20:00,0,0
1/3/24 21:00,0,0
1/3/24 22:00,0,0
1/3/24 23:00,0,0
1/4/24 0:00,0,0
1/4/24 1:00,0,0
1/4/24 2:00,0,0
1/4/24 3:00,0,0
1/4/24 4:00,0,0
1/4/24 5:00,0,0
1/4/24 6:00,0.04032225,0.1393067
1/4/24 7:00,0.2661719,0.4439189
1/4/24 8:00,0.482675,0.6875148
1/4/24 9:00,0.6503255,0.8709373
1/4/24 10:00,0.7272955,0.9460557
1/4/24 11:00,0.7787949,1.004448
1/4/24 12:00,0.7907618,1.026017
1/4/24 13:00,0.6308588,0.8288129
1/4/24 14:00,0.4901471,0.6724723
1/4/24 15:00,0.3186572,0.4897212
1/4/24 16:00,0.1155245,0.2785194
1/4/24 17:00,7.64881E-06,0
1/4/24 18:00,0,0
1/4/24 19:00,0,0
1/4/24 20:00,0,0
1/4/24 21:00,0,0
1/4/24 22:00,0,0
1/4/24 23:00,0,0
1/5/24 0:00,0,0
1/5/24 1:00,0,0
1/5/24 2:00,0,0
1/5/24 3:00,0,0
1/5/24 4:00,0,0
1/5/24 5:00,0,0
1/5/24 6:00,0.01800837,0.02002437
1/5/24 7:00,0.1069177,0.1096173
1/5/24 8:00,0.2768956,0.3144515
1/5/24 9:00,0.306909,0.3192666
1/5/24 10:00,0.4875387,0.5594019
1/5/24 11:00,0.6474928,0.8058833
1/5/24 12:00,0.6444764,0.8109898
1/5/24 13:00,0.5392234,0.6769617
1/5/24 14:00,0.3494844,0.4144181
1/5/24 15:00,0.2020264,0.2391755
1/5/24 16:00,0.0589451,0.07219037
1/5/24 17:00,3.99045E-05,0
1/5/24 18:00,0,0
1/5/24 19:00,0,0
1/5/24 20:00,0,0
1/5/24 21:00,0,0
1/5/24 22:00,0,0
1/5/24 23:00,0,0
1/6/24 0:00,0,0
1/6/24 1:00,0,0
1/6/24 2:00,0,0
1/6/24 3:00,0,0
1/6/24 4:00,0,0
1/6/24 5:00,0,0
1/6/24 6:00,0.03678664,0.1126892
1/6/24 7:00,0.2098405,0.3148383
1/6/24 8:00,0.372389,0.4931565
1/6/24 9:00,0.4603403,0.5602702
1/6/24 10:00,0.4768204,0.5415893
1/6/24 11:00,0.5099244,0.5784435
1/6/24 12:00,0.5846322,0.7105317
1/6/24 13:00,0.5796472,0.7440201
1/6/24 14:00,0.4415597,0.5832068
1/6/24 15:00,0.20784,0.2487243
1/6/24 16:00,0.08903059,0.1652603
1/6/24 17:00,4.21684E-05,0
1/6/24 18:00,0,0
1/6/24 19:00,0,0
1/6/24 20:00,0,0
1/6/24 21:00,0,0
1/6/24 22:00,0,0
1/6/24 23:00,0,0
1/7/24 0:00,0,0
1/7/24 1:00,0,0
1/7/24 2:00,0,0
1/7/24 3:00,0,0
1/7/24 4:00,0,0
1/7/24 5:00,0,0
1/7/24 6:00,0.03876747,0.1325447
1/7/24 7:00,0.2494377,0.4092433
1/7/24 8:00,0.3917251,0.5301861
1/7/24 9:00,0.5610942,0.7345138
1/7/24 10:00,0.7367085,0.9563016
1/7/24 11:00,0.7732189,0.9937269
1/7/24 12:00,0.7108558,0.9115498
1/7/24 13:00,0.5856083,0.7522317
1/7/24 14:00,0.4652168,0.6238234
1/7/24 15:00,0.2760745,0.3920606
1/7/24 16:00,0.09248786,0.173144
1/7/24 17:00,0.000109377,0
1/7/24 18:00,0,0
1/7/24 19:00,0,0
1/7/24 20:00,0,0
1/7/24 21:00,0,0
