block,district,,,
Alipurduar-I,Alipurduar,,,
Alipurduar-Ii,Alipurduar,,,
Kumargram,Alipurduar,,,
Madarihat,Alipurduar,,,
Kalchini,Alipurduar,,,
Falakata,Alipurduar,,,
Bankura-I,Bankura,,,
Bankura-Ii,Bankura,,,
Barjora,Bankura,,,
Chhatna,Bankura,,,
Gangajal Ghati,Bankura,,,
Hirbandh,Bankura,,,
Indpur,Bankura,,,
Indus,Bankura,,,
Jaypur,Bankura,,,
Joypur,Bankura,,,
Kotulpur,Bankura,,,
Khatra-I,Bankura,,,
Mejhia,Bankura,,,
Onda,Bankura,,,
Patrasayer,Bankura,,,
Ranibundh,Bankura,,,
Raipur-I,Bankura,,,
Saltora,Bankura,,,
Sarenga,Bankura,,,
Simlapal,Bankura,,,
Sonamukhi,Bankura,,,
Taldangra,Bankura,,,
Vishnupur,Bankura,,,
Ausgram-I,Barddhaman,,,
Ausgram-Ii,Barddhaman,,,
Bhatar,Barddhaman,,,
Burdwan-I,Barddhaman,,,
Burdwan-Ii,Barddhaman,,,
Faridpur Durgapur,Barddhaman,,,
Galsi -I,Barddhaman,,,
Galsi-Ii,Barddhaman,,,
Jamal Pur,Barddhaman,,,
Kalna-I,Barddhaman,,,
Kalna Ii,Barddhaman,,,
Katwa-I,Barddhaman,,,
Katwa-Ii,Barddhaman,,,
Ketugram_I,Barddhaman,,,
Ketugram-Ii,Barddhaman,,,
Khandaghosh,Barddhaman,,,
Mangolkote,Barddhaman,,,
Manteswar,Barddhaman,,,
Memari-1,Barddhaman,,,
Memari-Ii,Barddhaman,,,
Purbasthali-I,Barddhaman,,,
Purbasthali-Ii,Barddhaman,,,
Raina-I,Barddhaman,,,
Raina-Ii,Barddhaman,,,
Bolpur-Sriniketan,Birbhum,,,
Dubrajpur,Birbhum,,,
Labpur,Birbhum,,,
Mayureswar-I,Birbhum,,,
Mayureswar-Ii,Birbhum,,,
Mohammad Bazar,Birbhum,,,
Murarai-I,Birbhum,,,
Murarai-Ii,Birbhum,,,
Nanoor,Birbhum,,,
Nalhati-I,Birbhum,,,
Nalhati-Ii,Birbhum,,,
Rajnagar,Birbhum,,,
Rampurhat-I,Birbhum,,,
Rampurhat-Ii,Birbhum,,,
Sainthia,Birbhum,,,
Suri-I,Birbhum,,,
Suri-Ii,Birbhum,,,
Illambazar,Birbhum,,,
Khoyrasol,Birbhum,,,
Balurghat,Dakshin Dinajpur,,,
Bansihari,Dakshin Dinajpur,,,
Harirampur,Dakshin Dinajpur,,,
Hili,Dakshin Dinajpur,,,
Kumarganj,Dakshin Dinajpur,,,
Tapan,Dakshin Dinajpur,,,
Kushmandi,Dakshin Dinajpur,,,
Gangarampur,Dakshin Dinajpur,,,
Darjeeling-Pulbazar,Darjiling,,,
Jore Bunglow-Sukiapokhri,Darjiling,,,
Rangli Rangliot,Darjiling,,,
Kurseong,Darjiling,,,
Mirik,Darjiling,,,
Matigara,Darjiling,,,
Kharibari,Darjiling,,,
Naxal Bari,Darjiling,,,
Phansidewa,Darjiling,,,
Siliguri,Darjiling,,,
Amta-I,Haora,,,
Amta-Ii,Haora,,,
Bagnan-I,Haora,,,
Bagnan-Ii,Haora,,,
Bally-Jagacha,Haora,,,
Domjur,Haora,,,
Jagatballavpur,Haora,,,
Panchla,Haora,,,
Sankrail-H,Haora,,,
Shyampur-I,Haora,,,
Shyampur-Ii,Haora,,,
Udaynarayanpur,Haora,,,
Uluberia-I,Haora,,,
Uluberia-Ii,Haora,,,
Arambagh,Hugli,,,
Balagarh,Hugli,,,
Chanditala-I,Hugli,,,
Chanditala-Ii,Hugli,,,
Chinsurah-Magrah,Hugli,,,
Dhaniakhali,Hugli,,,
Goghat-I,Hugli,,,
Goghat-Ii,Hugli,,,
Haripal,Hugli,,,
Jangipara,Hugli,,,
Khanakul-I,Hugli,,,
Khanakul-Ii,Hugli,,,
Pandua,Hugli,,,
Polba-Dadpur,Hugli,,,
Pursurah,Hugli,,,
Sirampur-Uttarpara,Hugli,,,
Singur,Hugli,,,
Tarakeswar,Hugli,,,
Jalpaiguri,Jalpaiguri,,,
Dhupguri,Jalpaiguri,,,
Maynaguri,Jalpaiguri,,,
Rajganj,Jalpaiguri,,,
Mal,Jalpaiguri,,,
Matiali,Jalpaiguri,,,
Nagrakata,Jalpaiguri,,,
Kranti,Jalpaiguri,,,
Banarhat,Jalpaiguri,,,
Binpur-I,Jhargram,,,
Binpur-Ii,Jhargram,,,
Gopiballavpur-I,Jhargram,,,
Gopiballav Pur -Ii,Jhargram,,,
Jambani,Jhargram,,,
Jhargram,Jhargram,,,
Nayagram,Jhargram,,,
Sankrail-J,Jhargram,,,
Kalimpong-I,Kalimpong,,,
Kalimpong-Ii,Kalimpong,,,
Gorubathan,Kalimpong,,,
Cooch Behar-I,Koch Bihar,,,
Cooch Behar Ii,Koch Bihar,,,
Dinhata-I,Koch Bihar,,,
Dinhata-Ii,Koch Bihar,,,
Sitai,Koch Bihar,,,
Mathabhanga-I,Koch Bihar,,,
Matha Bhanga-Ii,Koch Bihar,,,
Sitalkuchi,Koch Bihar,,,
Mekliganj,Koch Bihar,,,
Haldibari,Koch Bihar,,,
Tufanganj-I,Koch Bihar,,,
Tufanganj-Ii,Koch Bihar,,,
Bamongola,Maldah,,,
Habibpur,Maldah,,,
Old Malda,Maldah,,,
English Bazar,Maldah,,,
Manikchak,Maldah,,,
Kaliachak-I,Maldah,,,
Kaliachak-Ii,Maldah,,,
Kaliachak-Iii,Maldah,,,
Kaliachak-Iv,Maldah,,,
Ratua-I,Maldah,,,
Ratua-Ii,Maldah,,,
Gazole,Maldah,,,
Harishchandrapur-I,Maldah,,,
Harishchandrapur-Ii,Maldah,,,
Chanchal-I,Maldah,,,
Chanchal-Ii,Maldah,,,
Berhampore,Murshidabad,,,
Beldanga-I,Murshidabad,,,
Beldanga-Ii,Murshidabad,,,
Bhagawangola-I,Murshidabad,,,
Bhagabangola-Ii,Murshidabad,,,
Bharatpur-I,Murshidabad,,,
Bharatpur-Ii,Murshidabad,,,
Burwan,Murshidabad,,,
Domkal,Murshidabad,,,
Farakka,Murshidabad,,,
Hariharpara,Murshidabad,,,
Jalangi,Murshidabad,,,
Kandi,Murshidabad,,,
Khargram,Murshidabad,,,
Lalgola,Murshidabad,,,
Murshidabad-Jiagunj,Murshidabad,,,
Nabagram,Murshidabad,,,
Nawda,Murshidabad,,,
Raghunathganj-I,Murshidabad,,,
Raghunathganj-Ii,Murshidabad,,,
Raninagar-I,Murshidabad,,,
Raninagar-Ii,Murshidabad,,,
Suti-I,Murshidabad,,,
Suti-Ii,Murshidabad,,,
Sagardighi,Murshidabad,,,
Shamsherganj,Murshidabad,,,
Chakdah,Nadia,,,
Chapra,Nadia,,,
Hanskhali,Nadia,,,
Haringhata,Nadia,,,
Kaliganj,Nadia,,,
Kalyani,Nadia,,,
Karimpur-1,Nadia,,,
Karimpur-Ii,Nadia,,,
Krishnaganj,Nadia,,,
Krishnagar-I,Nadia,,,
Krishnagar-Ii,Nadia,,,
Nabadwip,Nadia,,,
Nakashipara,Nadia,,,
Ranaghat-I,Nadia,,,
Ranaghat-Ii,Nadia,,,
Santipur,Nadia,,,
Tehatta-I,Nadia,,,
Tehatta-Ii,Nadia,,,
Amdanga,North Twenty Four Parganas,,,
Baduria,North Twenty Four Parganas,,,
Bagda,North Twenty Four Parganas,,,
Barasat-I,North Twenty Four Parganas,,,
Barasat-Ii,North Twenty Four Parganas,,,
Barrackpur-I,North Twenty Four Parganas,,,
Barrackpur-Ii,North Twenty Four Parganas,,,
Basirhat-I,North Twenty Four Parganas,,,
Basirhat-Ii,North Twenty Four Parganas,,,
Bongaon,North Twenty Four Parganas,,,
Deganga,North Twenty Four Parganas,,,
Gaighata,North Twenty Four Parganas,,,
Habra-I,North Twenty Four Parganas,,,
Habra-Ii,North Twenty Four Parganas,,,
Haroa,North Twenty Four Parganas,,,
Hasnabad,North Twenty Four Parganas,,,
Hingalganj,North Twenty Four Parganas,,,
Minakhan,North Twenty Four Parganas,,,
Rajarhat,North Twenty Four Parganas,,,
Sandeshkhali-I,North Twenty Four Parganas,,,
Sandeshkhali-Ii,North Twenty Four Parganas,,,
Swarupnagar,North Twenty Four Parganas,,,
Asansol,Paschim Barddhaman,,,
Kanksa,Paschim Barddhaman,,,
Pandaveswar,Paschim Barddhaman,,,
Faridpur - Durgapur,Paschim Barddhaman,,,
Ondal,Paschim Barddhaman,,,
Raniganj,Paschim Barddhaman,,,
Jamuria,Paschim Barddhaman,,,
Barabani,Paschim Barddhaman,,,
Salanpur,Paschim Barddhaman,,,
Salbani,Paschim Medinipur,,,
Keshpur,Paschim Medinipur,,,
Midnapore,Paschim Medinipur,,,
Garbeta-I,Paschim Medinipur,,,
Garbeta-Ii,Paschim Medinipur,,,
Garbeta-Iii,Paschim Medinipur,,,
Debra,Paschim Medinipur,,,
Pingla,Paschim Medinipur,,,
Keshiary,Paschim Medinipur,,,
Dantan-I,Paschim Medinipur,,,
Dantan-Ii,Paschim Medinipur,,,
Narayangarh,Paschim Medinipur,,,
Mohanpur,Paschim Medinipur,,,
Sabang,Paschim Medinipur,,,
Kharagpur-I,Paschim Medinipur,,,
Kharagpur-Ii,Paschim Medinipur,,,
Ghatal,Paschim Medinipur,,,
Chandrakona-I,Paschim Medinipur,,,
Chandrakona-Ii,Paschim Medinipur,,,
Daspur-I,Paschim Medinipur,,,
Daspur-Ii,Paschim Medinipur,,,
Bhagawanpur-I,Purba Medinipur,,,
Bhagawanpur-Ii,Purba Medinipur,,,
Chandipur,Purba Medinipur,,,
Contai-I,Purba Medinipur,,,
Contai-Ii,Purba Medinipur,,,
Contai-Iii,Purba Medinipur,,,
Deshapran,Purba Medinipur,,,
Egra-I,Purba Medinipur,,,
Egra-Ii,Purba Medinipur,,,
Haldia,Purba Medinipur,,,
Khejuri-I,Purba Medinipur,,,
Khejuri-Ii,Purba Medinipur,,,
Kolaghat,Purba Medinipur,,,
Mahishadal,Purba Medinipur,,,
Moyna,Purba Medinipur,,,
Nandakumar,Purba Medinipur,,,
Nandigram-I,Purba Medinipur,,,
Nandigram-Ii,Purba Medinipur,,,
Panskura-I,Purba Medinipur,,,
Patashpur-I,Purba Medinipur,,,
Patashpur-Ii,Purba Medinipur,,,
Ramnagar-I,Purba Medinipur,,,
Ramnagar-Ii,Purba Medinipur,,,
Sutahata,Purba Medinipur,,,
Shahid Matangini,Purba Medinipur,,,
Tamluk,Purba Medinipur,,,
Arsha,Puruliya,,,
Bagmundi,Puruliya,,,
Balarampur,Puruliya,,,
Barabazar,Puruliya,,,
Bundwan,Puruliya,,,
Hura,Puruliya,,,
Jhalda-I,Puruliya,,,
Jhalda-Ii,Puruliya,,,
Jaipur,Puruliya,,,
Kashipur,Puruliya,,,
Manbazar-I,Puruliya,,,
Manbazar-Ii,Puruliya,,,``
Neturia,Puruliya,,,
Para,Puruliya,,,
Puncha,Puruliya,,,
Purulia-I,Puruliya,,,
Purulia-Ii,Puruliya,,,
Raghunath Pur-I,Puruliya,,,
Raghunathpur-Ii,Puruliya,,,
Santuri,Puruliya,,,
Baruipur,South Twenty Four Parganas,,,
Basanti,South Twenty Four Parganas,,,
Bhangar-I,South Twenty Four Parganas,,,
Bhangar-Ii,South Twenty Four Parganas,,,
Bishnupur-I,South Twenty Four Parganas,,,
Bishnupur-Ii,South Twenty Four Parganas,,,
Budge Budge-I,South Twenty Four Parganas,,,
Budge Budge-Ii,South Twenty Four Parganas,,,
Canning-I,South Twenty Four Parganas,,,
Canning-Ii,South Twenty Four Parganas,,,
Diamond Harbour-I,South Twenty Four Parganas,,,
Diamond Harbour-Ii,South Twenty Four Parganas,,,
Falta,South Twenty Four Parganas,,,
Gosaba,South Twenty Four Parganas,,,
Jaynagar-I,South Twenty Four Parganas,,,
Jaynagar-Ii,South Twenty Four Parganas,,,
Kak Dwip,South Twenty Four Parganas,,,
Kolkata,South Twenty Four Parganas,,,
Kulpi,South Twenty Four Parganas,,,
Kultali,South Twenty Four Parganas,,,
Magra Hat-I,South Twenty Four Parganas,,,
Magra Hat-Ii,South Twenty Four Parganas,,,
Mandirbazar,South Twenty Four Parganas,,,
Mathurapur I,South Twenty Four Parganas,,,
Mathurapur-Ii,South Twenty Four Parganas,,,
Namkhana,South Twenty Four Parganas,,,
Pathar Pratima,South Twenty Four Parganas,,,
Sagar,South Twenty Four Parganas,,,
Sonar Pur,South Twenty Four Parganas,,,
Thakurpukur Mahestola,South Twenty Four Parganas,,,
Chopra,Uttar Dinajpur,,,
Goalpokhar-I,Uttar Dinajpur,,,
Goalpokhar Ii,Uttar Dinajpur,,,
Hemtabad,Uttar Dinajpur,,,
Islampur,Uttar Dinajpur,,,
Itahar,Uttar Dinajpur,,,
Kaliaganj,Uttar Dinajpur,,,
Karandighi,Uttar Dinajpur,,,
Raiganj,Uttar Dinajpur,,,
Kolkata,Kolkata,,,
